,0,1,2,3,4,5,6,7,8,9
0,NATURE,ARTIF INTELL,J NEUROSCI,PLOS ONE,ACTA PSYCHOL,P NATL ACAD SCI USA,COMPUT EDUC,COGN NEUROPSYCHOL,CHILD DEV,J PERS SOC PSYCHOL
1,SCIENCE,LECT NOTES COMPUT SC,NAT NEUROSCI,,BEHAV BRAIN SCI,,COMPUT HUM BEHAV,COGN PROCESS,DEV PSYCHOL,PSYCHOL BULL
2,,,NEURON,,COGNITION,,EDUC PSYCHOL REV,CORTEX,DEVELOPMENTAL SCI,
3,,,,,COGNITIVE PSYCHOL,,INSTR SCI,FRONT HUM NEUROSCI,J CHILD LANG,
4,,,,,COGNITIVE SCI,,LEARN INSTR,J COGNITIVE NEUROSCI,J EDUC PSYCHOL,
5,,,,,FRONT PSYCHOL,,,NEUROPSYCHOLOGIA,J EXP CHILD PSYCHOL,
6,,,,,J EXP PSYCHOL GEN,,,PHILOS T R SOC B,,
7,,,,,J EXP PSYCHOL HUMAN,,,TRENDS COGN SCI,,
8,,,,,J EXP PSYCHOL LEARN,,,,,
9,,,,,J MEM LANG,,,,,
10,,,,,J PHONETICS,,,,,
11,,,,,LANG COGN NEUROSCI,,,,,
12,,,,,MEM COGNITION,,,,,
13,,,,,NEW IDEAS PSYCHOL,,,,,
14,,,,,PSYCHOL REV,,,,,
15,,,,,PSYCHOL SCI,,,,,
16,,,,,PSYCHON B REV,,,,,
17,,,,,Q J EXP PSYCHOL,,,,,
18,,,,,TOP COGN SCI,,,,,
19,,,,,WIRES COGN SCI,,,,,
