Cited Journal Data: COGNITIVE NEUROPSYCHOLOGY,,,,,,,,,,,,,,
,Impact Factor,Citing Journal,All Yrs,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,Rest
1,,ALL Journals,2293,9,23,91,49,85,106,135,157,153,211,1274
2,,ALL OTHERS (177),177,0,4,9,1,6,13,8,16,5,28,87
3,,FRONT HUM NEUROSCI,156,1,3,16,5,7,7,7,13,15,21,61
4,2.073,COGN NEUROPSYCHOL,152,7,2,0,4,3,4,11,5,17,4,95
5,3.302,NEUROPSYCHOLOGIA,111,0,0,4,2,7,10,3,8,4,7,66
6,2.560,FRONT PSYCHOL,105,0,0,3,3,4,4,13,6,5,20,47
7,,CORTEX,99,0,0,0,2,6,4,10,9,6,4,58
8,,PLOS ONE,87,1,1,4,0,1,4,8,7,6,9,46
9,,PHILOS T R SOC B,70,0,0,2,6,4,0,3,2,9,9,35
10,,APHASIOLOGY,67,0,1,0,0,3,0,2,3,5,3,50
11,4.085,J COGNITIVE NEUROSCI,49,0,0,1,3,4,4,2,5,2,5,23
12,3.215,BRAIN LANG,47,0,0,2,0,1,2,1,0,2,4,35
13,,NEUROIMAGE,42,0,1,3,1,0,4,1,0,2,5,25
14,2.477,BRAIN COGNITION,31,0,0,2,0,1,4,1,1,2,2,18
15,3.479,COGNITION,29,0,0,2,0,0,0,2,2,1,4,18
16,,LANG COGN NEUROSCI,28,0,1,0,0,0,2,5,4,0,4,12
17,,NEUROCASE,27,0,0,0,0,1,1,2,3,0,3,17
18,,NEUROPSYCHOL REHABIL,27,0,0,0,0,1,0,1,2,3,0,20
19,,BRAIN,25,0,1,4,0,1,3,2,2,1,0,11
20,,CEREB CORTEX,25,0,0,1,1,1,0,0,3,3,0,16
21,,HUM BRAIN MAPP,23,0,0,0,1,3,0,0,3,0,0,16
22,,NEUROSCI BIOBEHAV R,23,0,0,0,0,0,2,2,2,3,0,14
23,2.248,ACTA PSYCHOL,20,0,0,0,0,1,2,3,1,0,2,11
24,2.446,COGNITIVE SCI,20,0,0,0,1,1,0,3,0,0,2,13
25,1.489,J NEUROLINGUIST,20,0,0,1,0,1,0,1,0,1,0,16
26,,EXP BRAIN RES,19,0,1,1,1,1,1,3,2,0,1,8
27,2.127,Q J EXP PSYCHOL,19,0,0,0,0,0,0,0,0,2,3,14
28,3.269,NEUROPSYCHOLOGY,18,0,0,0,1,2,1,1,1,1,2,9
29,3.358,J EXP PSYCHOL HUMAN,17,0,0,0,0,0,2,2,1,2,1,9
30,4.237,J MEM LANG,17,0,0,0,0,0,0,3,0,0,0,14
31,2.168,ATTEN PERCEPT PSYCHO,16,0,0,3,0,1,0,1,2,3,2,4
32,3.369,PSYCHON B REV,16,0,0,1,0,0,1,0,1,2,4,7
33,2.486,J NEUROPSYCHOL,15,0,0,0,0,2,1,0,1,1,2,8
34,1.869,WIRES COGN SCI,15,0,0,0,0,0,0,1,0,0,0,14
35,2.083,J CLIN EXP NEUROPSYC,14,0,0,1,0,2,0,1,1,2,0,7
36,1.473,J RES READ,14,0,0,0,0,0,2,0,1,2,0,9
37,4.592,NEUROPSYCHOL REV,14,0,0,0,0,1,0,0,1,0,1,11
38,1.887,RES DEV DISABIL,13,0,0,1,0,0,2,1,0,1,0,8
39,,VISION RES,13,0,1,0,0,2,0,0,1,4,0,5
40,,COGN BEHAV NEUROL,12,0,0,0,0,0,0,0,1,1,0,10
41,,J NEUROSCI,12,0,0,1,0,0,2,0,0,1,0,8
42,,J VISION,12,0,1,1,0,0,3,0,2,0,0,5
43,1.941,CONSCIOUS COGN,11,0,0,0,0,0,0,1,0,1,6,3
44,21.965,TRENDS COGN SCI,11,0,0,4,2,0,1,0,0,0,0,4
45,,BRAIN RES,10,0,0,0,0,1,0,1,0,1,3,4
46,,DEV COGN NEUROS-NETH,10,0,0,2,1,1,1,1,2,1,0,1
47,3.665,J AUTISM DEV DISORD,10,0,0,0,0,0,0,0,6,0,3,1
48,2.549,J EXP CHILD PSYCHOL,10,0,0,5,0,1,0,0,0,0,0,4
49,1.688,MEMORY,10,0,0,0,0,0,0,0,2,0,0,8
50,1.089,MIND LANG,10,0,1,0,0,0,0,0,0,0,1,8
51,,PHYS LIFE REV,10,0,0,0,0,0,0,0,0,0,3,7
52,1.921,VIS COGN,10,0,0,1,0,0,1,1,1,1,0,5
53,,BEHAV NEUROL,9,0,0,0,0,1,1,0,0,1,1,5
54,2.928,BEHAV RES METHODS,9,0,0,0,0,0,0,0,0,0,1,8
55,,COGN NEUROSCI-UK,9,0,0,0,0,0,0,0,0,2,0,7
56,,J ALZHEIMERS DIS,9,0,0,0,0,0,0,0,2,0,2,5
57,2.070,J SPEECH LANG HEAR R,9,0,0,1,0,0,1,0,1,1,0,5
58,3.063,TOP COGN SCI,9,0,0,0,0,0,1,1,0,0,3,4
59,,COGN AFFECT BEHAV NE,8,0,0,0,0,1,0,0,0,2,2,3
60,5.064,COGNITIVE PSYCHOL,8,0,0,0,2,2,0,1,0,0,0,3
61,,FRONT BEHAV NEUROSCI,8,0,0,0,0,0,2,1,0,0,1,4
62,1.431,J COGN PSYCHOL,8,0,0,0,0,0,0,1,0,2,1,4
63,,ANN NY ACAD SCI,7,0,0,0,3,0,0,0,0,0,0,4
64,,BEHAV BRAIN RES,7,0,0,0,1,1,0,0,1,0,0,4
65,3.808,DEVELOPMENTAL SCI,7,0,0,1,1,1,0,1,0,0,0,3
66,2.882,INT J PSYCHOPHYSIOL,7,0,0,0,0,0,0,0,0,2,0,5
67,2.457,MEM COGNITION,7,0,0,0,0,0,1,0,2,1,0,3
68,14.756,PSYCHOL BULL,7,0,0,1,1,0,0,1,0,2,1,1
69,7.372,SOC COGN AFFECT NEUR,7,0,0,0,0,0,0,0,1,0,1,5
70,1.512,APPL PSYCHOLINGUIST,6,0,0,0,0,0,0,0,2,0,0,4
71,3.403,BIOL PSYCHOL,6,0,0,0,0,0,0,0,0,0,1,5
72,1.733,DYSLEXIA,6,0,0,0,0,0,0,2,0,0,0,4
73,,EUR J NEUROSCI,6,0,0,0,0,0,0,0,0,2,0,4
74,,J INT NEUROPSYCH SOC,6,0,0,0,0,0,0,0,0,1,0,5
75,0.504,AN PSICOL-SPAIN,5,0,0,0,0,0,0,0,2,0,0,3
76,4.061,CHILD DEV,5,0,0,1,0,0,1,1,0,0,1,1
77,1.388,COGN PROCESS,5,0,0,0,0,0,0,0,2,0,1,2
78,2.241,DEV NEUROPSYCHOL,5,0,0,0,0,0,0,0,0,0,0,5
79,4.141,DEV PSYCHOL,5,0,0,0,0,0,0,0,0,2,0,3
80,2.076,EXP PSYCHOL,5,0,0,0,0,0,1,1,0,1,0,2
81,1.449,J COMMUN DISORD,5,0,0,0,1,0,0,0,0,0,0,4
82,5.929,J EXP PSYCHOL GEN,5,0,0,0,0,0,0,2,0,0,1,2
83,2.862,J EXP PSYCHOL LEARN,5,0,0,1,0,0,0,0,0,1,0,3
84,1.356,LATERALITY,5,0,0,0,0,0,0,0,0,0,1,4
85,,NEURON,5,0,0,0,0,0,0,0,0,0,0,5
86,,P NATL ACAD SCI USA,5,0,1,1,0,0,0,0,1,1,0,1
87,2.863,PSYCHOL RES-PSYCH FO,5,0,0,0,0,0,1,1,0,2,0,1
88,1.057,SCAND J PSYCHOL,5,0,0,0,0,0,0,0,0,1,0,4
89,,SCI REP-UK,5,0,0,1,0,0,0,1,0,0,1,2
90,1.368,SECOND LANG RES,5,0,0,0,0,1,1,0,1,0,0,2
91,1.594,AM J SPEECH-LANG PAT,4,0,0,0,0,1,0,0,0,0,0,3
92,,BRAIN STRUCT FUNCT,4,0,0,0,0,0,0,0,1,0,0,3
93,,CHILD NEUROPSYCHOL,4,0,0,0,0,0,0,1,0,1,1,1
94,,CHRONOBIOL INT,4,0,0,0,0,0,0,0,4,0,0,0
95,0.831,COGN SYST RES,4,0,0,0,0,0,0,0,0,0,0,4
96,,CURR BIOL,4,0,1,1,0,1,1,0,0,0,0,0
97,,FRONT COMPUT NEUROSC,4,0,0,0,0,0,0,1,0,0,1,2
98,0.500,JPN PSYCHOL RES,4,0,0,1,0,0,0,0,0,0,0,3
99,1.621,LEARN INDIVID DIFFER,4,0,0,0,0,0,1,0,1,0,0,2
100,,NEUROPHYSIOL CLIN,4,0,0,0,0,1,0,0,0,0,1,2
101,9.546,PERSPECT PSYCHOL SCI,4,0,0,0,0,0,0,0,0,0,0,4
102,4.940,PSYCHOL SCI,4,0,0,1,0,0,1,0,0,1,0,1
103,,SOC NEUROSCI-UK,4,0,0,0,0,0,0,0,0,0,0,4
104,2.164,AJIDD-AM J INTELLECT,3,0,0,0,0,0,0,0,0,0,0,3
105,,ANNU REV NEUROSCI,3,0,0,0,0,0,0,0,0,0,2,1
106,,BEHAV BRAIN FUNCT,3,0,0,0,0,0,1,0,0,0,0,2
107,,BIOL RHYTHM RES,3,0,0,0,0,0,0,0,3,0,0,0
108,,CLIN NEUROPHYSIOL,3,0,0,0,0,0,0,1,0,0,0,2
109,,COGN COMPUT,3,0,0,0,0,0,0,1,1,0,1,0
110,1.912,COGN NEUROPSYCHIATRY,3,0,0,0,0,0,1,0,1,0,0,1
111,0.468,ESTUD PSICOL-MADRID,3,0,0,0,0,0,0,0,0,0,0,3
112,,FRONT AGING NEUROSCI,3,0,0,0,0,0,0,0,2,0,0,1
113,,FRONT NEUROSCI-SWITZ,3,0,0,0,0,0,0,2,0,0,0,1
114,1.471,INT J LANG COMM DIS,3,0,0,0,0,0,0,0,0,0,0,3
115,2.920,J HEAD TRAUMA REHAB,3,0,0,0,0,0,0,0,0,0,0,3
116,,J INTEGR NEUROSCI,3,0,0,0,0,0,0,0,0,0,1,2
117,1.901,J LEARN DISABIL-US,3,0,0,0,0,0,0,1,0,1,0,1
118,1.590,J PSYCHOPHYSIOL,3,0,0,0,0,0,0,0,0,0,0,3
119,1.612,LANG LEARN,3,0,0,0,0,1,0,0,0,0,0,2
120,,NEUROINFORMATICS,3,0,0,0,0,0,0,0,0,0,0,3
121,,NEUROLOGIA,3,0,0,0,0,0,0,1,1,0,0,1
122,1.124,NEUROREHABILITATION,3,0,0,0,0,0,0,0,0,1,1,1
123,,NEUROREPORT,3,0,0,0,0,0,0,0,0,0,2,1
124,,NEUROSCI BULL,3,0,0,0,0,0,0,0,0,1,0,2
125,,NEUROSCI LETT,3,0,0,0,0,0,0,0,0,1,0,2
126,,NEUROSCIENCE,3,0,0,0,0,0,0,0,0,0,0,3
127,2.986,PSYCHOPHYSIOLOGY,3,0,0,0,0,0,0,0,0,1,0,2
128,1.634,READ WRIT,3,0,0,0,0,0,0,1,0,1,0,1
129,,VOP PSIKHOL+,3,0,0,0,0,0,0,0,0,0,0,3
130,2.070,ACCIDENT ANAL PREV,2,0,0,0,0,0,0,0,1,0,0,1
131,1.444,ANN DYSLEXIA,2,0,0,1,0,0,0,0,0,0,0,1
132,0.440,ANN PSYCHOL,2,0,0,1,0,0,0,0,0,0,0,1
133,12.674,ANNU REV CLIN PSYCHO,2,0,0,0,0,0,0,0,0,0,0,2
134,3.639,AUTISM,2,0,0,0,1,0,0,1,0,0,0,0
135,4.330,AUTISM RES,2,0,0,0,0,0,0,0,1,0,0,1
136,20.771,BEHAV BRAIN SCI,2,0,0,0,0,0,0,0,1,0,0,1
137,,BMC NEUROL,2,0,0,0,0,0,0,0,0,0,0,2
138,2.841,BRIT J DEV PSYCHOL,2,0,0,0,1,0,0,0,0,0,1,0
139,1.281,BRIT J PHILOS SCI,2,0,0,0,2,0,0,0,0,0,0,0
140,1.218,CAN J EXP PSYCHOL,2,0,0,0,0,0,0,0,0,0,0,2
141,1.719,CLIN NEUROPSYCHOL,2,0,0,0,0,0,0,0,0,0,0,2
142,6.932,CLIN PSYCHOL REV,2,0,0,0,0,0,0,0,0,0,1,1
143,,COGN NEURODYNAMICS,2,0,0,0,0,0,0,0,0,0,1,1
144,1.460,CREATIVITY RES J,2,0,0,0,0,0,0,0,0,0,1,1
145,,CURR OPIN NEUROBIOL,2,0,1,1,0,0,0,0,0,0,0,0
146,,DEV PSYCHOBIOL,2,0,0,1,1,0,0,0,0,0,0,0
147,1.985,DISABIL REHABIL,2,0,0,0,0,0,0,0,0,0,0,2
148,1.018,EDUC TECHNOL SOC,2,0,0,0,0,0,0,0,0,0,2,0
149,,FRONT BIOSCI-LANDMRK,2,0,0,0,0,0,0,0,0,0,0,2
150,1.598,HUM MOVEMENT SCI,2,0,0,0,0,0,0,0,0,0,0,2
151,0.438,INT J DISABIL DEV ED,2,0,0,0,0,0,0,0,0,0,0,2
152,0.575,INT J SCI MATH EDUC,2,0,0,0,0,0,0,0,0,0,1,1
153,1.244,INTERACT STUD,2,0,0,0,0,0,0,0,0,0,1,1
154,1.184,J AGING STUD,2,0,0,0,0,0,0,0,0,1,1,0
155,,J CEREBR BLOOD F MET,2,0,0,0,0,1,0,0,1,0,0,0
156,1.683,J COGN DEV,2,0,0,0,0,0,0,0,0,0,0,2
157,,J NEURODEV DISORD,2,0,0,0,0,1,1,0,0,0,0,0
158,,J NEUROSCI METH,2,0,0,1,0,0,0,0,0,0,0,1
159,2.736,J PSYCHOSOM RES,2,0,0,1,0,0,1,0,0,0,0,0
160,,LANCET PSYCHIAT,2,0,0,0,0,0,0,0,0,0,1,1
161,0.984,MIND BRAIN EDUC,2,0,0,0,0,0,0,1,0,0,1,0
162,0.781,MULTISENS RES,2,0,0,0,0,1,0,0,0,0,1,0
163,,NAT NEUROSCI,2,0,0,0,0,0,0,0,0,0,0,2
164,,NEUROBIOL AGING,2,0,0,0,0,0,0,0,0,0,0,2
165,,NEUROIMAGE-CLIN,2,0,0,0,0,0,0,0,0,0,0,2
166,,NEUROPHYSIOLOGY+,2,0,0,0,0,0,0,0,0,1,0,1
167,0.906,PERCEPTION,2,0,0,0,0,0,0,0,0,0,1,1
168,,PHENOMENOL COGN SCI,2,0,0,0,0,0,0,1,0,0,0,1
169,0.784,PHILOS PSYCHOL,2,0,0,0,0,0,0,0,0,0,0,2
170,0.659,PSYCHOL BELG,2,0,0,0,0,0,0,0,0,0,0,2
171,0.317,PSYCHOL FR,2,0,0,0,0,0,0,0,1,0,0,1
172,2.884,READ RES QUART,2,0,0,0,0,0,0,0,0,1,0,1
173,,REV NEUROLOGIA,2,0,0,0,0,0,0,0,0,0,0,2
174,,REV NEUROSCIENCE,2,0,0,0,0,0,0,1,0,0,0,1
175,2.941,SCI STUD READ,2,0,1,0,0,0,1,0,0,0,0,0
176,,SEMIN SPEECH LANG,2,0,0,0,0,0,0,0,0,0,0,2
177,0.739,SYNTHESE,2,0,0,0,0,0,0,0,0,0,0,2
178,,TOP STROKE REHABIL,2,0,0,0,0,0,0,0,0,0,0,2
179,,TRANSL NEUROSCI,2,0,1,0,0,0,0,0,0,0,1,0
Copyright © 2018 Clarivate Analytics,,,,,,,,,,,,,,
"By exporting the selected data, you agree to the data usage policy set forth in the Terms of Use",,,,,,,,,,,,,,
