Cited Journal Data: EDUCATIONAL PSYCHOLOGY REVIEW,,,,,,,,,,,,,,
,Impact Factor,Citing Journal,All Yrs,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,Rest
1,,ALL Journals,2299,48,32,86,130,165,90,122,189,165,128,1144
2,,ALL OTHERS (343),343,2,5,19,25,10,15,26,13,13,30,185
3,2.565,EDUC PSYCHOL REV,85,36,5,7,6,5,3,1,5,0,1,16
4,3.585,LEARN INSTR,82,0,0,4,5,17,3,4,9,8,2,30
5,2.556,COMPUT EDUC,81,0,1,3,3,7,6,6,14,7,3,31
6,2.694,COMPUT HUM BEHAV,78,0,1,1,4,9,4,5,13,3,10,28
7,3.518,J EDUC PSYCHOL,49,0,1,2,3,2,1,6,5,5,2,22
8,1.621,LEARN INDIVID DIFFER,47,0,0,0,0,2,0,3,2,7,3,30
9,2.560,FRONT PSYCHOL,40,2,3,1,2,3,4,1,4,3,2,15
10,1.426,INSTR SCI,35,0,0,1,2,4,0,1,7,0,4,16
11,,PROCD SOC BEHV,34,0,0,0,0,0,2,1,1,1,1,28
12,1.929,CONTEMP EDUC PSYCHOL,31,0,0,1,1,1,0,4,3,10,2,9
13,1.018,EDUC TECHNOL SOC,31,0,0,0,1,6,1,2,9,0,3,9
14,,LECT NOTES COMPUT SC,29,0,0,1,0,4,1,1,3,2,2,15
15,1.413,TEACH TEACH EDUC,29,0,0,0,5,1,2,0,0,4,0,17
16,0.667,EDUC PSYCHOL-UK,28,0,0,1,1,1,0,3,2,2,1,17
17,2.000,BRIT J EDUC PSYCHOL,26,0,0,1,3,1,1,0,1,1,3,15
18,3.611,EDUC PSYCHOL-US,25,0,0,0,1,1,1,4,2,6,0,10
19,0.790,EUR J PSYCHOL EDUC,22,0,0,1,0,1,0,1,2,4,1,12
20,,PLOS ONE,21,0,1,4,3,2,0,0,0,3,1,7
21,1.132,INT J SCI EDUC,18,0,0,0,0,0,0,2,2,3,1,10
22,1.321,APPL COGNITIVE PSYCH,17,1,0,3,2,2,1,0,1,0,0,7
23,0.911,HIGH EDUC RES DEV,16,0,0,0,1,3,1,1,1,1,1,7
24,1.087,J EXP EDUC,16,0,1,0,1,0,0,0,2,2,1,9
25,1.318,BRIT J EDUC TECHNOL,15,0,0,0,1,3,0,0,2,6,0,3
26,0.840,J EDUC RES,15,0,0,0,0,0,0,1,1,1,1,11
27,1.218,BMC MED EDUC,14,1,0,2,1,1,0,0,0,1,2,6
28,2.452,EDUC RES REV-NETH,14,0,0,0,2,1,1,1,2,0,0,7
29,0.575,INT J SCI MATH EDUC,14,0,0,0,2,1,0,0,1,1,0,9
30,,MED TEACH,14,0,0,0,0,1,2,1,2,1,1,6
31,0.659,PSYCHOL BELG,14,0,0,0,1,1,0,0,5,2,1,4
32,1.634,READ WRIT,14,0,0,1,2,1,0,0,1,0,0,9
33,0.670,J EDUC COMPUT RES,13,0,0,0,0,1,0,0,1,3,0,8
34,1.461,THINK SKILLS CREAT,13,0,0,0,0,1,1,0,0,0,0,11
35,0.940,SOC PSYCHOL EDUC,12,0,0,0,1,0,1,0,0,4,0,6
36,1.038,STUD HIGH EDUC,12,0,0,0,0,0,0,2,0,4,0,6
37,0.737,ASIA-PAC EDUC RES,11,0,0,0,0,1,1,1,0,1,0,7
38,0.648,AUSTRALAS J EDUC TEC,11,0,0,0,0,2,0,1,1,0,0,7
39,0.223,EGIT BILIM,11,0,0,0,0,0,1,0,1,0,0,9
40,0.721,SYSTEM,11,0,0,0,0,0,0,0,0,1,0,10
41,,ACAD MED,10,0,0,0,0,3,1,0,1,1,2,2
42,0.216,AUST J EDUC,10,0,0,0,0,0,0,0,5,1,0,4
43,4.061,CHILD DEV,10,0,0,0,1,2,0,0,0,0,1,6
44,1.360,J COMPUT ASSIST LEAR,10,0,0,1,0,3,0,0,2,0,0,4
45,2.059,J ENG EDUC,10,0,0,0,1,1,0,0,1,2,0,5
46,2.312,J LEARN SCI,10,0,0,0,0,2,0,2,1,1,0,4
47,,MED EDUC,10,1,0,0,0,2,2,0,0,0,0,5
48,0.429,CURR PSYCHOL,9,0,0,0,0,0,0,1,0,1,0,7
49,,INT J ENG EDUC,9,0,0,0,1,1,1,0,1,0,1,4
50,,J CHEM EDUC,9,0,0,0,0,0,0,0,1,0,1,7
51,1.214,J SCI EDUC TECHNOL,9,0,0,0,0,0,0,0,0,0,0,9
52,1.708,METACOGN LEARN,9,0,0,0,0,2,0,0,0,2,0,5
53,0.562,RES PAP EDUC,9,0,0,0,0,0,3,0,3,0,0,3
54,0.299,Z ERZIEHWISS,9,0,0,0,1,0,2,0,0,1,0,5
55,2.446,COGNITIVE SCI,8,0,0,1,0,4,0,0,1,1,0,1
56,1.420,ETR&D-EDUC TECH RES,8,0,0,0,0,0,1,1,0,3,1,2
57,0.850,INT J HUM-COMPUT INT,8,0,0,0,2,2,2,0,0,0,0,2
58,0.486,J LEGAL EDUC,8,0,0,0,0,6,0,0,0,0,0,2
59,0.347,KURAM UYGUL EGIT BIL,8,0,0,0,0,1,0,0,0,0,2,5
60,1.433,PHYS REV SPEC TOP-PH,8,0,0,0,1,0,0,0,1,0,0,6
61,1.887,RES DEV DISABIL,8,0,0,0,0,1,1,0,0,0,0,6
62,0.309,UNIV PSYCHOL,8,0,0,0,0,1,1,1,0,2,0,3
63,1.586,ACAD MANAG LEARN EDU,7,0,0,0,0,0,0,0,0,1,1,5
64,0.438,AUST EDUC RES,7,0,1,0,0,1,2,0,0,2,0,1
65,0.366,EDUC STUD-UK,7,0,0,0,0,0,0,0,0,0,0,7
66,,IEEE INT CONF ADV LE,7,0,0,0,0,0,0,0,0,1,0,6
67,2.463,INTERNET HIGH EDUC,7,0,0,0,0,1,0,0,2,0,1,3
68,1.185,J APPL DEV PSYCHOL,7,0,0,0,0,1,1,1,0,0,0,4
69,1.836,J EXP PSYCHOL-APPL,7,1,0,2,0,0,1,0,2,0,0,1
70,1.054,J PSYCHOEDUC ASSESS,7,0,0,0,0,0,0,1,1,0,0,5
71,2.185,J SPORT EXERCISE PSY,7,0,0,0,2,0,0,1,0,0,0,4
72,,J VET MED EDUC,7,0,0,0,0,0,0,0,1,0,0,6
73,1.210,PSICOTHEMA,7,0,1,0,0,0,0,0,0,1,0,5
74,0.278,RES SCI TECHNOL EDUC,7,0,0,0,0,0,0,0,0,1,0,6
75,2.124,ADV HEALTH SCI EDUC,6,0,0,1,1,0,0,0,1,0,2,1
76,,IEEE GLOB ENG EDUC C,6,0,0,0,0,0,0,2,2,0,0,2
77,5.929,J EXP PSYCHOL GEN,6,0,1,0,1,1,0,0,0,2,0,1
78,3.162,J RES SCI TEACH,6,0,0,1,1,0,0,0,1,1,1,1
79,0.488,PSYCHOL ERZ UNTERR,6,0,1,0,0,0,0,1,1,1,0,2
80,0.560,PSYCHOL REP,6,0,0,0,0,1,0,0,0,0,1,4
81,1.879,PSYCHOL WOMEN QUART,6,0,2,0,0,0,0,0,0,2,0,2
82,0.568,SCAND J EDUC RES,6,0,0,1,0,0,1,0,0,0,0,4
83,0.750,TEACH COLL REC,6,0,0,0,0,0,0,0,0,0,0,6
84,0.829,TECHNOL PEDAGOG EDUC,6,0,0,0,0,2,0,0,0,3,0,1
85,,ACS SYM SER,5,1,1,0,0,0,0,0,0,0,0,3
86,1.581,ADV CHILD DEV BEHAV,5,0,1,0,0,0,1,0,0,0,1,2
87,2.157,AM EDUC RES J,5,0,0,0,1,0,0,0,2,0,0,2
88,,AM J PHARM EDUC,5,0,0,1,0,0,0,0,1,1,0,2
89,0.504,AN PSICOL-SPAIN,5,0,0,0,0,1,0,0,0,0,0,4
90,4.141,DEV PSYCHOL,5,0,0,0,1,1,0,0,0,0,0,3
