Cited Journal Data: Frontiers in Human Neuroscience,,,,,,,,,,,,,,
,Impact Factor,Citing Journal,All Yrs,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,Rest
1,,ALL Journals,6818,483,2607,1653,745,846,303,153,23,1,0,4
2,,ALL OTHERS (387),387,26,153,97,37,33,32,6,1,1,0,1
3,3.626,FRONT HUM NEUROSCI,1147,183,650,168,69,55,9,13,0,0,0,0
4,,FRONT PSYCHOL,389,61,143,97,52,31,5,0,0,0,0,0
5,3.234,PLOS ONE,378,16,172,78,49,33,16,12,1,0,0,1
6,6.357,NEUROIMAGE,336,5,95,74,64,77,16,5,0,0,0,0
7,3.302,NEUROPSYCHOLOGIA,152,17,51,33,18,18,8,7,0,0,0,0
8,6.344,J NEUROSCI,148,4,41,35,21,36,6,3,2,0,0,0
9,5.969,HUM BRAIN MAPP,102,1,23,28,13,16,16,3,2,0,0,0
10,8.802,NEUROSCI BIOBEHAV R,95,2,34,33,5,16,2,2,1,0,0,0
11,3.656,FRONT NEUROSCI-SWITZ,88,13,25,17,18,12,3,0,0,0,0,0
12,3.270,FRONT BEHAV NEUROSCI,87,12,36,15,11,10,2,1,0,0,0,0
13,4.085,J COGNITIVE NEUROSCI,71,3,13,15,9,17,9,5,0,0,0,0
14,5.128,CORTEX,70,1,33,15,7,8,2,3,1,0,0,0
15,7.372,SOC COGN AFFECT NEUR,64,0,6,28,13,9,5,3,0,0,0,0
16,2.036,EXP BRAIN RES,59,3,21,16,8,6,2,3,0,0,0,0
17,3.357,NEUROSCIENCE,54,1,24,16,5,5,1,2,0,0,0,0
18,3.287,COGN AFFECT BEHAV NE,52,0,9,20,5,9,8,1,0,0,0,0
19,21.965,TRENDS COGN SCI,49,4,15,13,2,9,3,1,2,0,0,0
20,4.000,FRONT AGING NEUROSCI,48,5,15,17,6,3,2,0,0,0,0,0
21,7.055,PHILOS T R SOC B,45,2,14,16,8,4,0,1,0,0,0,0
22,2.526,NEUROIMAGE-CLIN,43,0,24,5,5,5,2,2,0,0,0,0
23,,PSYCHOL RES-PSYCH FO,43,0,4,32,3,3,0,0,1,0,0,0
24,8.665,CEREB CORTEX,42,0,0,7,11,18,5,1,0,0,0,0
25,2.882,INT J PSYCHOPHYSIOL,42,1,15,12,4,9,1,0,0,0,0,0
26,2.477,BRAIN COGNITION,40,0,10,14,6,8,1,1,0,0,0,0
27,3.181,EUR J NEUROSCI,40,3,10,6,9,8,3,1,0,0,0,0
28,9.674,P NATL ACAD SCI USA,40,0,6,12,7,10,3,2,0,0,0,0
29,5.578,SCI REP-UK,39,5,14,13,1,4,0,2,0,0,0,0
30,2.887,J NEUROPHYSIOL,38,1,9,3,4,14,2,4,1,0,0,0
31,15.054,NEURON,38,3,12,7,3,10,1,1,1,0,0,0
32,2.843,BRAIN RES,36,3,15,11,2,3,2,0,0,0,0,0
33,4.399,BRAIN STIMUL,35,2,23,9,0,0,1,0,0,0,0,0
34,,CONSCIOUS COGN,35,0,9,15,5,4,1,1,0,0,0,0
35,4.383,ANN NY ACAD SCI,34,0,13,16,3,1,1,0,0,0,0,0
36,3.028,BEHAV BRAIN RES,34,3,17,4,5,4,1,0,0,0,0,0
37,2.986,PSYCHOPHYSIOLOGY,34,0,9,10,5,8,1,1,0,0,0,0
38,2.393,J VISION,32,1,3,8,13,5,1,1,0,0,0,0
39,4.592,NEUROPSYCHOL REV,32,1,23,5,0,1,2,0,0,0,0,0
40,3.403,BIOL PSYCHOL,30,2,8,14,1,4,0,1,0,0,0,0
41,3.358,J EXP PSYCHOL HUMAN,29,1,7,8,1,7,1,4,0,0,0,0
42,8.450,SCHIZOPHRENIA BULL,29,0,10,12,2,1,4,0,0,0,0,0
43,3.923,SCHIZOPHR RES,28,0,14,5,2,4,3,0,0,0,0,0
44,3.097,CLIN NEUROPHYSIOL,27,0,12,6,5,4,0,0,0,0,0,0
45,2.030,NEUROSCI LETT,27,6,15,5,1,0,0,0,0,0,0,0
46,,ACTA PSYCHOL,26,0,9,9,1,6,1,0,0,0,0,0
47,2.660,SOC NEUROSCI-UK,24,0,9,7,3,2,1,2,0,0,0,0
48,9.196,BRAIN,23,0,7,12,1,1,2,0,0,0,0,0
49,3.215,BRAIN LANG,23,1,9,6,2,1,2,1,1,0,0,0
50,3.833,DEV COGN NEUROS-NETH,23,2,1,7,1,8,3,1,0,0,0,0
51,2.025,J NEUROSCI METH,23,0,7,3,3,7,2,1,0,0,0,0
52,10.255,BIOL PSYCHIAT,22,0,6,7,1,7,0,1,0,0,0,0
53,31.427,NAT REV NEUROSCI,22,3,10,2,3,2,1,1,0,0,0,0
54,9.571,CURR BIOL,21,2,5,5,3,4,0,2,0,0,0,0
55,2.968,HEARING RES,21,2,5,8,2,4,0,0,0,0,0,0
56,2.467,PSYCHIAT RES,21,0,12,1,3,1,4,0,0,0,0,0
57,4.162,HIPPOCAMPUS,20,0,1,9,0,7,0,3,0,0,0,0
58,,J EXP PSYCHOL GEN,20,0,7,5,1,5,1,1,0,0,0,0
59,3.468,BRAIN TOPOGR,19,0,8,4,3,3,0,1,0,0,0,0
60,1.520,NEUROREPORT,19,1,6,5,2,2,0,2,1,0,0,0
61,2.490,RESTOR NEUROL NEUROS,19,3,4,7,3,1,1,0,0,0,0,0
62,2.168,ATTEN PERCEPT PSYCHO,18,0,3,6,4,2,2,1,0,0,0,0
63,,COGNITION,18,0,3,11,0,3,0,1,0,0,0,0
64,0.906,PERCEPTION,18,1,4,4,6,1,0,2,0,0,0,0
65,7.478,PHYS LIFE REV,18,1,13,1,2,1,0,0,0,0,0,0
66,2.201,FRONT COMPUT NEUROSC,17,1,3,5,2,4,2,0,0,0,0,0
67,3.295,J NEURAL ENG,17,1,10,1,2,2,1,0,0,0,0,0
68,,PSYCHOL SCI,16,1,1,7,3,1,3,0,0,0,0,0
69,,WIRES COGN SCI,15,0,9,0,3,2,0,1,0,0,0,0
70,1.579,BIOMED RES INT,14,1,6,4,1,1,0,1,0,0,0,0
71,6.628,CURR OPIN NEUROBIOL,14,0,5,2,2,2,3,0,0,0,0,0
72,7.048,NEUROPSYCHOPHARMACOL,14,0,3,4,1,4,2,0,0,0,0,0
73,6.837,NEUROSCIENTIST,14,0,5,6,1,1,1,0,0,0,0,0
74,2.424,PSYCHIAT RES-NEUROIM,14,0,4,2,3,2,3,0,0,0,0,0
75,2.257,EPILEPSY BEHAV,13,0,5,3,1,2,0,2,0,0,0,0
76,3.652,NEUROBIOL LEARN MEM,13,0,6,2,1,1,0,1,2,0,0,0
77,9.343,PLOS BIOL,13,0,6,2,0,5,0,0,0,0,0,0
78,4.620,PLOS COMPUT BIOL,13,0,1,2,4,5,1,0,0,0,0,0
79,9.992,PROG NEUROBIOL,13,2,4,5,0,2,0,0,0,0,0,0
80,,PSYCHOL AGING,13,0,0,4,0,1,1,7,0,0,0,0
81,1.319,TRANSL NEUROSCI,13,2,4,1,2,2,1,1,0,0,0,0
82,13.555,TRENDS NEUROSCI,13,0,5,1,1,6,0,0,0,0,0,0
83,5.307,CURR OPIN NEUROL,12,1,10,0,1,0,0,0,0,0,0,0
84,3.261,FRONT NEUROINFORM,12,0,5,4,0,2,0,0,1,0,0,0
85,3.268,J NEURODEV DISORD,12,0,5,1,4,2,0,0,0,0,0,0
86,2.243,BRAIN BEHAV,11,0,3,3,0,3,2,0,0,0,0,0
87,,COGN PROCESS,11,0,8,1,1,1,0,0,0,0,0,0
88,11.470,NAT COMMUN,11,1,1,3,0,6,0,0,0,0,0,0
89,16.095,NAT NEUROSCI,11,1,1,1,2,6,0,0,0,0,0,0
90,5.013,NEUROBIOL AGING,11,0,5,4,0,2,0,0,0,0,0,0
91,4.944,PSYCHONEUROENDOCRINO,11,0,5,6,0,0,0,0,0,0,0,0
92,,RES DEV DISABIL,11,1,3,3,3,1,0,0,0,0,0,0
93,,TOP COGN SCI,11,0,3,7,1,0,0,0,0,0,0,0
94,0.946,APPL NEUROPSYCH-CHIL,10,2,3,5,0,0,0,0,0,0,0,0
95,20.771,BEHAV BRAIN SCI,10,0,2,6,0,2,0,0,0,0,0,0
96,3.957,J PSYCHIATR RES,10,0,5,3,0,1,1,0,0,0,0,0
97,,MEM COGNITION,10,2,2,4,1,0,0,1,0,0,0,0
98,14.496,MOL PSYCHIATR,10,0,0,4,0,3,2,1,0,0,0,0
99,3.269,NEUROPSYCHOLOGY,10,0,1,4,1,3,0,0,1,0,0,0
100,27.324,PHYSIOL REV,10,0,1,5,1,2,1,0,0,0,0,0
101,0.731,PRESENCE-TELEOP VIRT,10,0,4,3,0,0,0,3,0,0,0,0
102,,PSYCHON B REV,10,0,3,2,0,2,1,2,0,0,0,0
103,2.127,Q J EXP PSYCHOL,10,1,0,4,2,3,0,0,0,0,0,0
104,5.618,BRAIN STRUCT FUNCT,9,0,1,1,2,2,2,0,1,0,0,0
105,,COGNITIVE SCI,9,0,1,5,2,1,0,0,0,0,0,0
106,,DEV PSYCHOPATHOL,9,0,3,4,0,1,1,0,0,0,0,0
107,,DEVELOPMENTAL SCI,9,0,0,0,2,4,3,0,0,0,0,0
108,,EMOTION,9,0,5,2,1,0,1,0,0,0,0,0
109,3.383,J AFFECT DISORDERS,9,1,3,2,0,1,2,0,0,0,0,0
110,,J AUTISM DEV DISORD,9,0,5,2,1,0,0,1,0,0,0,0
111,2.862,J EXP PSYCHOL LEARN,9,0,1,6,1,1,0,0,0,0,0,0
112,5.413,MOL AUTISM,9,0,8,1,0,0,0,0,0,0,0,0
113,,PROC SPIE,9,0,5,3,0,0,1,0,0,0,0,0
114,5.938,PSYCHOL MED,9,0,1,4,0,3,1,0,0,0,0,0
115,3.875,PSYCHOPHARMACOLOGY,9,0,3,4,0,0,1,1,0,0,0,0
116,1.786,SEMIN NEUROL,9,2,5,0,1,1,0,0,0,0,0,0
117,,BEHAV RES THER,8,0,6,0,0,2,0,0,0,0,0,0
118,4.598,BRAIN IMAGING BEHAV,8,0,1,1,1,2,1,2,0,0,0,0
119,3.307,DEV PSYCHOBIOL,8,0,0,1,1,4,2,0,0,0,0,0
120,4.369,EUR NEUROPSYCHOPHARM,8,0,1,2,2,2,1,0,0,0,0,0
121,3.544,FRONT NEUROANAT,8,0,3,1,0,0,4,0,0,0,0,0
122,,I-PERCEPTION,8,0,0,1,7,0,0,0,0,0,0,0
123,2.474,J NEUROL SCI,8,0,2,4,1,1,0,0,0,0,0,0
124,5.620,TRANSL PSYCHIAT,8,0,4,1,1,2,0,0,0,0,0,0
