Cited Journal Data: JOURNAL OF EXPERIMENTAL PSYCHOLOGY-GENERAL,,,,,,,,,,,,,,
,Impact Factor,Citing Journal,All Yrs,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,Rest
1,,ALL Journals,8281,135,471,525,291,236,232,344,352,293,320,5082
2,,ALL OTHERS (511),511,9,28,49,13,12,12,12,28,15,13,320
3,2.560,FRONT PSYCHOL,556,19,33,48,23,16,11,16,18,16,22,334
4,,PLOS ONE,319,5,21,19,7,10,12,18,16,3,18,190
5,,FRONT HUM NEUROSCI,249,6,17,20,6,9,0,7,9,5,11,159
6,5.929,J EXP PSYCHOL GEN,239,10,15,16,13,8,9,12,11,17,9,119
7,2.862,J EXP PSYCHOL LEARN,177,2,7,6,7,4,6,7,9,8,2,119
8,3.369,PSYCHON B REV,159,0,10,8,3,3,2,9,4,8,3,109
9,2.168,ATTEN PERCEPT PSYCHO,149,2,9,3,6,8,3,8,9,2,4,95
10,3.302,NEUROPSYCHOLOGIA,145,3,10,7,4,4,2,7,6,6,5,91
11,2.248,ACTA PSYCHOL,144,3,7,7,4,5,2,1,4,8,6,97
12,3.358,J EXP PSYCHOL HUMAN,143,3,9,3,6,7,5,7,4,5,9,85
13,2.127,Q J EXP PSYCHOL,140,1,4,5,7,6,3,7,5,3,10,89
14,3.479,COGNITION,136,2,7,12,6,7,4,4,14,6,5,69
15,2.457,MEM COGNITION,129,4,7,2,7,1,4,5,4,6,7,82
16,4.940,PSYCHOL SCI,85,2,10,8,1,1,4,6,2,4,4,43
17,1.941,CONSCIOUS COGN,83,1,4,8,7,2,1,3,3,1,4,49
18,2.863,PSYCHOL RES-PSYCH FO,83,0,10,1,2,3,2,5,2,2,4,52
19,4.237,J MEM LANG,81,0,4,3,6,2,5,5,2,1,3,50
20,,COGN AFFECT BEHAV NE,77,3,1,4,4,5,1,5,0,0,1,53
21,1.688,MEMORY,76,0,2,1,2,0,5,2,6,2,3,53
22,1.431,J COGN PSYCHOL,73,0,1,5,4,1,9,5,3,3,1,41
23,2.201,COGNITION EMOTION,69,0,5,5,8,1,5,6,2,0,4,33
24,2.549,J EXP CHILD PSYCHOL,69,0,3,6,5,1,0,2,2,1,5,44
25,,NEUROIMAGE,69,0,1,6,8,1,0,1,4,2,2,44
26,,J VISION,61,0,4,5,2,4,0,2,2,1,2,39
27,2.446,COGNITIVE SCI,59,3,1,2,3,4,1,3,2,5,2,33
28,4.085,J COGNITIVE NEUROSCI,59,0,4,5,2,1,1,5,1,3,3,34
29,1.321,APPL COGNITIVE PSYCH,56,0,3,1,3,3,2,4,2,3,3,32
30,3.383,EMOTION,55,2,5,10,3,0,0,4,2,0,3,26
31,2.076,EXP PSYCHOL,55,0,1,2,0,1,0,2,3,2,4,40
32,14.756,PSYCHOL BULL,52,2,2,6,3,0,2,3,1,3,2,28
33,2.285,J EXP SOC PSYCHOL,50,5,7,5,3,2,4,3,3,1,1,16
34,4.141,DEV PSYCHOL,49,1,3,1,2,1,1,3,3,3,2,29
35,3.125,J CONSUM RES,47,0,4,2,1,2,7,0,4,8,8,11
36,,J NEUROSCI,47,0,9,3,0,1,0,1,1,1,4,27
37,,EXP BRAIN RES,46,2,4,4,1,0,1,2,2,1,0,29
38,5.064,COGNITIVE PSYCHOL,45,0,4,3,0,2,2,2,1,0,2,29
39,2.477,BRAIN COGNITION,44,0,3,2,1,1,1,5,1,1,1,28
40,3.245,INTELLIGENCE,44,0,2,2,2,1,0,2,2,0,0,33
41,21.965,TRENDS COGN SCI,44,3,5,11,3,1,1,1,5,2,0,12
42,,HUM BRAIN MAPP,42,1,2,3,0,1,0,2,1,0,4,28
43,,LANG COGN NEUROSCI,42,0,0,1,5,0,2,0,3,3,1,27
44,1.621,LEARN INDIVID DIFFER,41,0,2,3,0,1,0,1,1,1,0,32
45,5.031,J PERS SOC PSYCHOL,39,3,6,6,0,1,4,1,3,4,0,11
46,7.972,PSYCHOL REV,37,0,4,1,2,2,3,3,4,0,1,17
47,3.403,BIOL PSYCHOL,36,1,0,1,0,4,1,5,0,0,1,23
48,3.808,DEVELOPMENTAL SCI,36,0,2,5,2,0,0,6,2,0,1,18
49,2.964,PSYCHOL LEARN MOTIV,36,0,0,3,2,0,5,3,0,0,0,23
50,,VISION RES,36,0,1,2,2,0,1,1,1,2,3,23
51,1.388,COGN PROCESS,35,0,3,3,1,2,3,1,1,0,0,21
52,,CORTEX,35,0,3,0,0,0,1,1,2,2,0,26
53,2.928,BEHAV RES METHODS,33,0,1,4,2,1,1,0,1,0,1,22
54,1.218,CAN J EXP PSYCHOL,33,0,0,0,2,1,1,0,0,2,0,27
55,,CEREB CORTEX,33,0,0,1,2,1,1,2,0,1,2,23
56,,P NATL ACAD SCI USA,33,1,5,3,2,1,2,0,0,1,0,18
57,7.372,SOC COGN AFFECT NEUR,32,0,1,5,3,2,1,0,1,0,0,19
58,1.532,SOC COGNITION,32,0,4,5,0,1,1,2,0,2,0,17
59,2.646,PSYCHOL AGING,31,0,2,0,0,0,0,1,1,0,4,23
60,1.921,VIS COGN,31,0,2,1,2,2,0,1,2,3,1,17
61,1.836,J EXP PSYCHOL-APPL,29,0,1,0,0,1,3,1,4,5,0,14
62,4.061,CHILD DEV,28,0,6,4,0,1,1,2,1,0,1,12
63,,FRONT BEHAV NEUROSCI,28,1,0,2,0,2,1,2,0,1,1,18
64,9.546,PERSPECT PSYCHOL SCI,28,1,3,0,0,1,0,1,0,0,3,19
65,1.869,WIRES COGN SCI,28,1,4,1,0,0,1,1,0,1,0,19
66,2.344,J COMP PSYCHOL,27,0,4,0,0,0,0,2,0,6,1,14
67,2.909,PERS SOC PSYCHOL B,27,0,1,4,0,2,2,1,3,4,1,9
68,2.694,COMPUT HUM BEHAV,26,0,0,0,1,0,0,0,1,1,0,23
69,,PHILOS T R SOC B,26,0,0,5,3,1,1,2,2,1,1,10
70,1.521,JUDGM DECIS MAK,25,2,1,1,1,0,0,2,1,2,1,14
71,,NEUROSCI BIOBEHAV R,25,1,1,2,0,2,0,0,0,0,2,17
72,2.986,PSYCHOPHYSIOLOGY,25,0,0,2,2,0,0,0,0,0,0,21
73,1.949,J EXP PSYCHOL-ANIM L,24,0,2,0,0,1,0,1,0,3,1,16
74,1.803,AGING NEUROPSYCHOL C,23,0,1,1,0,0,2,0,1,1,2,15
75,3.215,BRAIN LANG,22,0,2,1,4,1,1,1,1,2,0,9
76,2.201,ORGAN BEHAV HUM DEC,22,1,1,3,1,0,3,2,2,4,0,5
77,0.317,PSYCHOL FR,22,0,0,0,0,0,0,4,0,0,0,18
78,2.243,J CONSUM PSYCHOL,21,0,3,8,1,0,0,0,3,1,2,3
79,0.906,PERCEPTION,21,0,0,1,1,0,0,1,0,2,1,15
80,1.887,RES DEV DISABIL,21,0,1,3,1,0,0,0,0,1,0,15
81,,BEHAV BRAIN RES,20,0,1,0,0,0,0,0,1,0,3,15
82,,FRONT NEUROSCI-SWITZ,20,0,1,2,1,1,0,1,2,0,1,11
83,0.481,HUMOR,20,0,0,0,0,0,0,0,0,0,0,20
84,3.585,LEARN INSTR,19,0,1,1,0,0,1,0,0,0,1,15
85,1.080,PSYCHOL MARKET,19,0,1,2,0,1,2,1,0,3,1,8
86,,ANIM COGN,18,0,0,0,0,0,0,0,0,1,0,17
87,1.744,MOTIV EMOTION,18,0,0,1,0,0,2,0,1,0,1,13
88,3.652,NEUROBIOL LEARN MEM,18,0,0,0,0,0,0,0,2,1,3,12
89,2.467,PSYCHIAT RES,18,0,1,0,0,0,0,0,0,0,1,16
90,1.567,BEHAV PROCESS,17,0,1,0,0,0,1,1,0,0,0,14
91,3.269,NEUROPSYCHOLOGY,17,0,0,0,0,0,0,0,1,0,1,15
92,2.561,SOC PSYCHOL PERS SCI,17,0,1,3,2,0,1,2,2,1,1,4
93,1.662,SOC PSYCHOL-GERMANY,17,0,5,2,0,0,1,2,1,1,0,5
94,2.882,INT J PSYCHOPHYSIOL,16,0,0,3,2,0,0,0,1,0,0,10
95,3.063,TOP COGN SCI,16,1,1,1,2,3,1,0,0,1,0,6
96,,EXP AGING RES,15,0,0,0,1,0,1,1,0,1,0,11
97,2.312,J BEHAV THER EXP PSY,15,0,0,0,0,0,0,0,2,0,0,13
98,3.518,J EDUC PSYCHOL,15,0,0,0,3,0,1,0,1,0,0,10
99,,J INT NEUROPSYCH SOC,15,0,0,1,0,0,0,0,1,0,4,9
100,1.612,LANG LEARN,15,0,0,1,0,2,0,0,0,1,3,8
101,1.646,ADV COGN PSYCHOL,14,0,0,0,0,0,0,0,0,0,1,13
102,0.619,AM J PSYCHOL,14,0,0,1,0,0,1,0,0,0,1,11
103,,BRAIN RES,14,0,0,0,1,1,0,1,0,1,0,10
104,,CURR BIOL,14,0,3,0,0,0,0,2,0,0,0,9
105,5.678,CURR DIR PSYCHOL SCI,14,2,0,1,1,1,1,1,0,1,1,5
106,2.565,EDUC PSYCHOL REV,14,0,2,1,1,0,1,1,0,1,0,7
107,1.179,INFANT CHILD DEV,14,0,0,2,0,0,0,3,0,0,0,9
108,5.153,J ABNORM PSYCHOL,14,0,0,1,0,0,0,1,2,0,1,9
109,2.070,J SPEECH LANG HEAR R,14,0,1,1,0,0,1,1,1,0,2,7
110,2.941,SCI STUD READ,14,0,0,2,1,2,0,0,1,0,0,8
111,,BIOL PSYCHIAT,13,1,0,0,1,0,0,0,0,0,1,10
112,2.556,COMPUT EDUC,13,0,0,3,0,0,0,3,2,0,0,5
113,,FRONT COMPUT NEUROSC,13,1,0,0,0,1,0,0,0,0,1,10
114,1.598,HUM MOVEMENT SCI,13,0,1,0,0,0,1,0,0,1,1,9
115,3.665,J AUTISM DEV DISORD,13,0,1,0,0,0,0,0,1,1,0,10
116,2.069,J BEHAV DECIS MAKING,13,0,0,0,0,0,1,0,1,2,0,9
117,2.609,J MATH PSYCHOL,13,0,0,0,0,2,0,0,0,0,0,11
118,,LECT NOTES COMPUT SC,13,0,1,1,0,0,0,0,0,1,0,10
119,,NEURON,13,1,7,0,0,0,1,1,1,0,0,2
120,0.441,PSICOLOGICA,13,0,0,0,1,1,0,1,0,3,0,7
121,1.683,J COGN DEV,12,0,0,0,1,0,1,1,0,0,0,9
122,1.230,J ECON PSYCHOL,12,0,0,0,0,0,2,0,0,1,0,9
123,0.633,J PSYCHOLINGUIST RES,12,0,0,0,1,0,0,0,1,1,0,9
124,,ANN NY ACAD SCI,11,0,4,2,0,0,0,0,0,0,0,5
125,1.512,APPL PSYCHOLINGUIST,11,0,1,0,2,0,0,1,0,0,1,6
126,20.771,BEHAV BRAIN SCI,11,0,0,2,0,2,0,0,0,1,1,5
127,2.073,COGN NEUROPSYCHOL,11,0,0,1,0,0,0,0,0,0,0,10
128,2.172,COGNITIVE DEV,11,0,0,0,0,0,0,2,0,0,0,9
129,1.587,COGNITIVE THER RES,11,0,0,0,0,1,0,0,0,0,0,10
130,0.887,DISCOURSE PROCESS,11,0,3,0,0,0,4,0,0,0,0,4
131,,FRONT AGING NEUROSCI,11,0,2,0,0,1,0,0,0,1,0,7
132,1.694,HUM FACTORS,11,0,0,0,0,0,0,1,1,1,0,8
133,0.831,J PRAGMATICS,11,0,0,0,0,0,0,0,0,0,0,11
134,2.482,MANAGE SCI,11,0,0,1,1,1,1,0,1,0,1,5
135,4.592,NEUROPSYCHOL REV,11,0,0,0,0,2,0,1,0,0,0,8
136,1.634,READ WRIT,11,0,0,1,2,0,0,0,0,0,0,8
137,,SCI REP-UK,11,1,0,0,0,1,0,1,0,0,0,8
138,,APPETITE,10,0,1,0,0,0,0,1,0,0,0,8
139,2.009,BILING-LANG COGN,10,0,0,0,2,2,0,0,0,0,0,6
140,2.254,BRIT J PSYCHOL,10,0,0,0,0,0,2,2,1,1,1,3
141,,DEV COGN NEUROS-NETH,10,0,1,0,0,0,0,0,0,0,0,9
142,,EUR J NEUROSCI,10,0,0,0,0,0,0,0,0,0,1,9
143,,HIPPOCAMPUS,10,0,7,0,0,0,0,0,0,0,0,3
144,2.083,J CLIN EXP NEUROPSYC,10,0,0,0,0,0,0,2,0,1,1,6
145,2.200,THINK REASONING,10,0,0,2,1,0,0,0,1,1,1,4
146,2.764,ADDICT BEHAV,9,0,0,0,0,0,0,1,0,0,0,8
147,0.440,ANN PSYCHOL,9,0,0,1,0,0,0,1,0,0,1,6
