Cited Journal Data: JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY,,,,,,,,,,,,,,
,Impact Factor,Citing Journal,All Yrs,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,Rest
1,,ALL Journals,55364,77,409,889,1321,1177,1491,1557,1504,1576,1691,43672
2,,ALL OTHERS (853),853,1,6,10,20,3,8,11,15,7,14,758
3,5.031,J PERS SOC PSYCHOL,1617,9,26,61,81,73,61,75,56,72,64,1039
4,,PLOS ONE,1276,1,13,19,34,32,38,43,31,40,34,991
5,2.909,PERS SOC PSYCHOL B,1038,2,21,40,37,36,50,53,48,34,52,665
6,2.285,J EXP SOC PSYCHOL,977,0,16,16,28,42,44,45,41,42,50,653
7,2.560,FRONT PSYCHOL,837,4,6,15,12,14,23,23,26,21,20,673
8,1.951,PERS INDIV DIFFER,773,0,8,16,20,13,17,16,15,19,20,629
9,2.561,SOC PSYCHOL PERS SCI,704,0,11,18,40,33,45,32,28,25,30,442
10,5.929,J EXP PSYCHOL GEN,539,0,8,14,23,18,22,25,19,23,24,363
11,3.125,J CONSUM RES,514,1,4,12,13,20,14,18,25,27,19,361
12,2.694,COMPUT HUM BEHAV,496,2,0,1,13,10,5,13,5,7,4,436
13,3.347,EUR J PERSONALITY,439,4,13,12,42,25,25,12,12,18,16,260
14,1.712,EUR J SOC PSYCHOL,439,1,3,19,16,18,13,29,14,15,30,281
15,2.264,J RES PERS,435,0,9,15,20,24,14,15,12,19,15,292
16,3.383,EMOTION,433,0,4,7,15,16,14,17,12,16,10,322
17,3.229,J PERS,400,0,3,13,24,14,13,15,19,18,24,257
18,1.532,SOC COGNITION,387,2,4,6,6,12,17,22,20,24,20,254
19,4.940,PSYCHOL SCI,367,3,11,13,13,20,13,12,17,11,8,246
20,1.744,MOTIV EMOTION,366,0,2,0,8,7,5,16,12,10,12,294
21,1.514,SELF IDENTITY,360,0,0,6,8,7,21,11,14,15,16,262
22,2.243,J CONSUM PSYCHOL,353,0,2,8,3,12,13,14,20,12,13,256
23,0.790,J APPL SOC PSYCHOL,349,0,0,1,6,5,7,15,15,25,5,270
24,1.395,SOC INDIC RES,348,0,3,2,5,7,5,5,4,5,15,297
25,2.201,ORGAN BEHAV HUM DEC,346,0,3,10,5,11,18,6,9,13,12,259
26,14.756,PSYCHOL BULL,334,2,4,4,13,10,10,18,11,17,8,237
27,1.929,J CROSS CULT PSYCHOL,318,1,1,14,10,6,23,16,10,15,21,201
28,1.019,BASIC APPL SOC PSYCH,307,1,0,4,4,7,11,9,12,10,8,241
29,5.318,ADV EXP SOC PSYCHOL,299,1,3,8,7,12,9,10,11,5,11,222
30,2.201,COGNITION EMOTION,295,0,0,3,6,3,16,13,10,12,7,225
31,7.372,SOC COGN AFFECT NEUR,289,0,0,5,6,5,6,7,7,12,4,237
32,1.326,J BUS ETHICS,271,0,3,0,6,7,10,6,6,2,12,219
33,6.692,PERS SOC PSYCHOL REV,270,0,4,8,10,10,10,9,11,8,8,192
34,4.141,DEV PSYCHOL,268,0,4,3,16,12,13,6,15,8,6,185
35,,FRONT HUM NEUROSCI,266,0,3,10,10,8,6,10,13,7,6,193
36,1.366,PERS RELATIONSHIP,264,0,1,3,8,4,5,14,8,7,9,205
37,1.662,SOC PSYCHOL-GERMANY,250,0,2,3,7,5,5,12,9,10,14,183
38,2.384,POLIT PSYCHOL,244,0,0,2,6,2,7,11,7,9,12,188
39,1.548,GROUP PROCESS INTERG,241,0,1,3,15,5,13,9,7,14,18,156
40,1.160,J SOC PERS RELAT,239,0,0,2,2,6,8,15,9,5,17,175
41,1.683,J HAPPINESS STUD,231,0,0,4,4,5,2,4,2,7,10,193
42,1.080,PSYCHOL MARKET,213,0,0,1,1,5,4,7,5,2,6,182
43,4.799,J APPL PSYCHOL,211,0,1,4,5,4,7,2,11,7,5,165
44,0.981,J SOC PSYCHOL,210,0,1,4,4,6,4,10,7,7,11,156
45,1.913,BRIT J SOC PSYCHOL,205,0,0,4,7,11,7,17,8,10,16,125
46,0.560,PSYCHOL REP,203,0,0,3,3,1,3,4,6,5,3,175
47,6.071,J MANAGE,195,0,4,6,4,7,2,6,8,4,7,147
48,1.480,J BUS RES,193,0,1,0,2,2,2,3,0,3,6,174
49,3.138,LEADERSHIP QUART,190,1,2,2,6,7,2,8,7,4,5,146
50,9.546,PERSPECT PSYCHOL SCI,186,1,2,5,11,6,5,10,3,9,10,124
51,,PROCD SOC BEHV,182,0,0,2,1,4,3,2,5,4,2,159
52,21.810,ANNU REV PSYCHOL,181,0,6,15,12,8,7,16,10,9,7,91
53,1.058,INT J INTERCULT REL,178,0,0,3,4,2,12,9,7,14,12,115
54,6.448,ACAD MANAGE J,176,0,0,3,2,4,4,3,3,6,10,141
55,20.771,BEHAV BRAIN SCI,172,0,6,5,8,3,9,9,3,8,7,114
56,2.589,ARCH SEX BEHAV,171,0,1,2,6,3,4,10,11,4,2,128
57,1.911,J POSIT PSYCHOL,171,0,4,2,5,8,2,4,9,3,5,129
58,1.735,SEX ROLES,170,0,1,2,3,1,2,5,4,6,10,136
59,2.467,PSYCHIAT RES,167,0,0,0,1,1,4,2,0,2,1,156
60,1.230,J ECON PSYCHOL,157,0,1,4,5,3,0,6,5,6,4,123
61,3.038,J ORGAN BEHAV,155,0,1,2,6,2,0,6,2,2,10,124
62,1.214,J SOC CLIN PSYCHOL,153,0,0,4,2,6,5,9,6,3,4,114
63,1.621,LEARN INDIVID DIFFER,152,0,2,3,3,2,5,3,10,4,3,117
64,3.775,ORGAN SCI,152,0,0,2,5,2,2,3,5,9,5,119
65,0.429,CURR PSYCHOL,148,0,3,1,1,2,5,1,2,4,5,124
66,1.837,J PERS ASSESS,147,0,1,3,3,4,8,1,9,8,2,108
67,6.250,PSYCHOL INQ,147,1,5,9,8,5,8,10,8,4,3,86
68,0.366,SOC BEHAV PERSONAL,147,0,0,4,3,0,1,3,4,3,4,125
69,2.640,J ENVIRON PSYCHOL,146,0,1,1,6,6,5,3,6,4,6,108
70,1.957,J ADOLESCENCE,144,0,0,4,5,0,8,3,4,5,6,109
71,1.562,CULT DIVERS ETHN MIN,139,0,1,2,5,3,12,8,5,6,14,83
72,1.974,J NONVERBAL BEHAV,135,0,2,0,2,2,4,1,0,3,2,119
73,,P NATL ACAD SCI USA,134,7,1,4,2,4,8,3,5,4,1,95
74,2.751,PSYCHOL ASSESSMENT,133,0,3,1,0,1,0,3,1,0,4,120
75,3.403,BIOL PSYCHOL,132,0,1,2,3,1,4,3,5,4,3,106
76,2.412,EUR REV SOC PSYCHOL,129,2,3,1,7,4,10,9,4,8,6,75
77,,APPETITE,124,0,0,0,1,0,0,3,4,3,5,108
78,2.475,J COUNS PSYCHOL,123,0,1,3,1,1,6,2,2,4,1,102
79,0.794,SMALL GR RES,123,0,0,1,1,4,1,1,2,6,2,105
80,3.590,HEALTH PSYCHOL,118,0,0,1,3,3,2,3,4,2,4,96
81,0.940,SOC PSYCHOL EDUC,117,0,0,2,2,1,4,2,3,2,3,98
82,1.156,REV GEN PSYCHOL,115,0,3,6,4,1,7,4,5,2,9,74
83,7.972,PSYCHOL REV,113,1,0,2,2,2,3,5,8,4,3,83
84,2.764,ADDICT BEHAV,111,0,0,1,2,3,4,2,0,0,3,96
85,3.130,EVOL HUM BEHAV,111,0,3,10,6,4,12,5,8,1,4,58
86,1.015,CAN J BEHAV SCI,110,0,0,2,1,1,3,2,5,3,2,91
87,5.678,CURR DIR PSYCHOL SCI,110,2,11,8,6,6,6,4,8,5,6,48
88,2.959,J BEHAV MED,107,0,0,1,1,1,2,3,4,3,1,91
89,2.646,PSYCHOL AGING,107,0,1,2,3,2,0,2,5,3,7,82
90,1.879,PSYCHOL WOMEN QUART,104,0,0,1,6,1,3,3,3,2,5,80
91,1.521,JUDGM DECIS MAK,103,2,3,3,4,0,1,4,4,4,0,78
92,3.518,J EDUC PSYCHOL,102,0,1,5,3,1,2,2,3,6,3,76
93,,NEUROIMAGE,102,0,0,3,1,1,2,2,2,5,1,85
94,0.623,ASIAN J SOC PSYCHOL,101,0,1,2,0,3,9,2,4,5,6,69
95,1.163,J CHILD FAM STUD,101,0,0,2,1,1,2,1,3,0,1,90
96,3.692,MINDFULNESS,101,0,0,0,0,0,0,5,3,3,0,90
97,1.389,EVOL PSYCHOL-US,100,0,3,2,4,9,3,6,3,4,5,61
98,1.562,RES ORGAN BEHAV,99,5,2,5,6,0,7,2,3,3,3,63
99,2.090,EUR J WORK ORGAN PSY,98,0,0,0,1,1,0,0,2,1,5,88
100,0.795,SOC INFLUENCE,98,0,0,0,1,2,3,1,2,3,3,83
101,3.160,J COMMUN,97,0,0,2,3,1,4,4,2,0,0,81
102,1.713,J FAM PSYCHOL,97,0,0,3,1,5,6,4,3,1,5,69
103,2.588,J VOCAT BEHAV,97,0,1,1,2,0,1,2,1,0,1,88
104,3.479,COGNITION,96,2,0,4,3,2,4,3,5,1,2,70
105,1.529,J SOC ISSUES,96,0,0,3,5,2,8,3,5,10,6,54
106,2.777,J YOUTH ADOLESCENCE,95,0,1,3,2,3,1,5,1,1,3,75
107,1.170,SOC JUSTICE RES,95,0,1,0,4,0,9,5,3,1,2,70
108,2.890,SOC SCI MED,95,0,0,4,3,3,15,5,3,4,3,55
109,4.061,CHILD DEV,94,0,0,3,1,4,1,6,1,3,8,67
110,1.896,PSYCHOL SPORT EXERC,94,0,1,1,1,0,0,1,0,2,2,86
111,,COGN AFFECT BEHAV NE,93,0,0,1,0,1,0,1,4,3,6,77
112,1.006,EUR J MARKETING,93,0,0,0,3,2,0,2,3,2,2,79
113,2.493,COMMUN RES,92,0,0,0,2,3,0,2,1,3,1,80
114,,EVOL PSYCHOL-SER,92,0,1,5,8,0,3,3,3,2,4,63
115,2.069,J BEHAV DECIS MAKING,92,0,1,1,2,3,0,7,6,3,3,66
116,2.747,PSYCHOL ADDICT BEHAV,92,0,0,2,0,1,1,0,1,3,1,83
117,1.198,INT J PSYCHOL,91,0,1,0,5,1,2,1,3,1,4,73
118,5.153,J ABNORM PSYCHOL,91,0,1,1,1,3,2,2,3,1,4,73
119,3.356,EMOT REV,90,1,1,1,4,1,2,2,3,3,0,72
120,2.398,HUM RELAT,90,0,1,0,4,3,1,1,2,5,5,68
121,2.075,J BUS PSYCHOL,90,0,0,0,0,2,2,3,2,2,1,78
122,3.213,J GERONTOL B-PSYCHOL,90,0,1,0,0,3,1,0,1,3,4,77
