Cited Journal Data: LECTURE NOTES IN COMPUTER SCIENCE,,,,,,,,,,,,,,
,Impact Factor,Citing Journal,All Yrs,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,Rest
1,,ALL Journals,38975,1169,5509,6130,4883,4339,3046,2464,2087,1619,1424,6305
2,,ALL OTHERS (380),380,10,39,65,51,60,28,28,17,21,12,49
3,0.402,LECT NOTES COMPUT SC,20241,829,3725,3326,2467,2152,1377,1117,978,737,611,2922
4,0.302,LECT NOTES ARTIF INT,1558,129,371,229,195,148,90,83,65,40,42,166
5,0.743,THEOR COMPUT SCI,1131,9,102,179,123,124,102,76,54,56,47,259
6,,INT FED INFO PROC,708,7,41,131,109,101,70,50,46,32,19,102
7,0.330,IEICE T FUND ELECTR,511,0,30,82,70,71,54,37,31,13,22,101
8,0.175,ACM SIGPLAN NOTICES,397,4,39,65,32,41,30,31,20,31,7,97
9,,P SOC PHOTO-OPT INS,344,2,55,71,48,34,30,22,25,20,11,26
10,0.337,J UNIVERS COMPUT SCI,337,1,25,47,47,41,31,31,19,17,16,62
11,1.053,INFORM COMPUT,283,1,10,29,29,34,27,27,14,18,15,79
12,0.688,APPL MATH COMPUT,248,0,8,18,17,28,17,14,14,22,25,85
13,,FORM ASP COMPUT,227,3,8,14,21,28,21,24,21,18,15,54
14,0.734,SCI COMPUT PROGRAM,227,0,7,27,36,25,28,24,14,12,11,43
15,0.661,DESIGN CODE CRYPTOGR,202,0,1,11,18,23,24,20,16,15,13,61
16,1.195,SIAM J COMPUT,192,1,14,14,31,18,16,12,16,3,16,51
17,,MATH STRUCT COMP SCI,189,0,3,5,12,16,26,17,19,16,10,65
18,,INT J FOUND COMPUT S,171,5,14,29,19,21,12,9,9,7,7,39
19,1.333,FORM METHOD SYST DES,167,0,0,5,9,13,23,14,11,12,23,57
20,2.125,J LOGIC ALGEBR PROGR,157,0,4,17,16,12,22,14,14,10,6,42
21,0.557,INFORM PROCESS LETT,153,0,12,33,15,15,7,10,5,3,4,49
22,,IEEE S LOG,149,9,23,17,15,17,12,9,7,6,5,29
23,1.400,J FUNCT PROGRAM,149,0,8,16,9,23,15,11,11,6,10,40
24,0.585,DISCRETE APPL MATH,140,0,2,15,16,24,16,15,11,15,5,21
25,1.404,ACM T PROGR LANG SYS,138,0,3,7,7,15,22,17,7,12,11,37
26,2.280,J CRYPTOL,138,0,2,12,20,12,7,14,8,10,8,45
27,,AD CO MATH,131,0,0,9,18,24,16,14,13,10,8,19
28,2.183,IEEE T INFORM THEORY,116,1,3,16,8,8,12,9,3,5,5,46
29,1.100,ACTA INFORM,114,0,10,7,11,12,18,13,7,3,8,25
30,0.535,CONCURR COMP-PRACT E,111,0,1,16,14,8,13,9,9,13,5,23
31,3.257,IEEE T EVOLUT COMPUT,111,0,15,18,13,7,15,6,14,3,10,10
32,0.555,FUTURE GENER COMP SY,108,0,9,25,19,16,11,3,7,5,3,10
33,0.517,J SYMB COMPUT,105,0,3,4,10,11,11,10,5,6,6,39
34,0.476,ANN PURE APPL LOGIC,101,0,0,6,11,10,7,8,2,8,12,37
35,1.372,THEOR PRACT LOG PROG,101,0,0,3,11,14,13,13,3,7,9,28
36,3.939,IEEE T MED IMAGING,97,0,10,29,15,13,3,9,7,6,2,3
37,,IEEE DECIS CONTR P,94,0,6,27,13,9,13,6,3,1,3,13
38,2.197,J ACM,94,2,10,11,11,10,9,7,4,1,3,26
39,,ADV SOFT COMP,92,1,26,15,11,8,8,7,3,5,0,8
40,1.085,DATA KNOWL ENG,88,0,2,16,16,11,13,8,9,5,4,4
41,1.328,J COMPUT SYST SCI,87,1,4,7,9,8,11,12,4,4,3,24
42,3.000,ACM T SOFTW ENG METH,82,0,2,10,6,8,4,8,7,7,3,27
43,0.242,IEICE T INF SYST,82,1,13,7,14,10,5,3,7,6,3,13
44,2.179,KNOWL ENG REV,79,10,8,12,26,11,7,0,1,0,0,4
45,0.406,SOFTWARE PRACT EXPER,79,0,1,13,17,7,12,11,6,6,1,5
46,3.149,MED IMAGE ANAL,76,0,3,25,14,9,4,9,4,5,0,3
47,1.017,ALGORITHMICA,74,0,6,6,8,10,6,8,3,1,3,23
48,0.338,FINITE FIELDS TH APP,72,1,13,11,10,6,6,2,4,4,3,12
49,0.933,J LOGIC COMPUT,71,0,4,6,2,8,7,4,2,8,4,26
50,0.744,J SYST SOFTWARE,71,0,2,8,11,8,12,6,5,7,5,7
51,1.192,INFORM PROCESS MANAG,70,0,3,17,21,16,3,3,2,2,0,3
52,6.019,BIOINFORMATICS,65,3,9,10,9,14,4,1,3,1,1,10
53,3.657,INT J COMPUT VISION,65,1,2,15,10,7,10,2,2,4,3,9
54,0.885,SIAM J DISCRETE MATH,65,1,4,5,3,7,8,4,1,2,4,26
55,0.818,THEOR COMPUT SYST,64,2,1,13,8,9,6,3,4,2,1,15
56,0.472,RAIRO-THEOR INF APPL,63,0,12,3,5,5,2,5,4,3,2,22
57,0.691,COMPUT J,62,1,4,12,7,7,4,2,2,2,3,18
58,1.383,IMAGE VISION COMPUT,60,0,1,21,8,8,4,5,6,0,1,6
59,,AN S FDN CO,59,9,6,11,4,2,6,1,2,5,0,13
60,0.273,IEE P-COMMUN,59,1,5,10,8,8,6,5,0,6,5,5
61,0.900,J PARALLEL DISTR COM,58,0,1,3,10,10,5,8,5,2,6,8
62,1.138,J ALGORITHM,56,0,2,6,4,4,0,2,3,5,6,24
63,0.300,IEE PROC-SOFTW,55,0,5,6,7,5,3,8,3,5,2,11
64,,NATO SCI SER II MATH,55,2,4,7,10,8,2,2,4,5,2,9
65,0.978,COMPUT NETW,54,3,7,8,5,9,2,3,5,3,1,8
66,0.629,COMP GEOM-THEOR APPL,52,0,5,9,13,5,2,4,1,4,3,6
67,0.119,COMPUT SYST SCI ENG,52,0,8,7,6,6,4,3,6,0,4,8
68,0.353,J COMPUT SCI TECHNOL,52,1,8,8,6,10,1,1,1,4,2,10
69,2.153,PATTERN RECOGN,52,0,1,4,7,11,9,4,6,3,4,3
70,5.288,NEUROIMAGE,49,0,2,13,8,6,1,8,4,1,5,1
71,0.348,IEICE T COMMUN,48,0,3,8,14,5,9,3,0,3,1,2
72,1.069,DISTRIB COMPUT,47,0,3,3,9,7,5,3,2,0,3,12
73,0.743,COMPUT SECUR,46,0,6,3,4,3,3,4,4,2,6,11
74,0.723,INFORM SCIENCES,46,0,0,3,4,4,4,2,3,1,3,22
75,1.027,INFORM SYST,45,0,0,8,10,5,6,1,5,2,2,6
76,0.875,J AUTOM REASONING,45,0,4,1,11,1,3,1,3,3,0,18
77,,P AMER CONTR CONF,45,1,10,6,3,8,6,1,1,0,4,5
78,,INT CON DISTR COMP S,44,1,5,3,5,5,1,9,5,3,2,5
79,0.746,COMPUT OPER RES,43,0,1,0,6,10,0,3,12,1,3,7
80,0.824,EUR J OPER RES,43,0,0,3,9,15,3,3,3,1,1,5
81,0.389,APPL ALGEBR ENG COMM,42,0,7,8,7,5,2,3,1,0,2,7
82,,P INT COMP SOFTW APP,42,1,6,6,5,5,1,4,2,5,2,5
83,2.997,PHYS REV A,42,1,3,3,2,0,3,8,5,0,4,13
84,0.620,COMPUT STAND INTER,41,0,2,5,10,7,2,1,3,2,3,6
85,2.197,J MATH IMAGING VIS,41,0,0,9,1,6,5,8,1,6,1,4
86,3.887,P IEEE,41,0,3,7,4,11,2,3,5,0,0,6
87,,PR IEEE COMP DESIGN,41,9,2,8,5,3,4,5,2,2,0,1
88,0.091,COMPUT INFORM,40,0,4,3,4,2,5,1,8,4,3,6
89,,IEEE SECUR PRIV,40,2,3,7,10,6,1,5,1,0,0,5
90,2.159,IEEE T AUTOMAT CONTR,40,3,7,5,4,4,5,5,1,2,1,3
91,0.500,NEW GENERAT COMPUT,40,0,3,5,4,1,3,4,2,1,2,15
92,0.538,SOFT COMPUT,40,0,5,2,4,4,4,0,4,8,4,5
93,2.638,ARTIF INTELL,39,0,1,3,4,8,1,1,1,0,2,18
94,1.568,EVOL COMPUT,39,0,3,13,4,3,4,1,4,1,3,3
95,,P IEEE S SECUR PRIV,39,0,8,7,6,4,5,0,4,0,2,3
96,,PROC CVPR IEEE,39,1,8,13,3,4,1,2,4,1,1,1
97,,INT CONGR SER,38,0,13,6,7,2,5,1,1,1,0,2
98,,PROC INT CONF PARAL,38,1,5,8,5,4,2,3,1,1,6,2
99,0.541,ANN MATH ARTIF INTEL,37,0,1,3,4,5,6,5,2,2,4,5
100,1.061,DISCRET MATH THEOR C,37,0,8,2,9,3,1,1,1,0,6,6
101,1.108,IEEE T SYST MAN CY B,37,0,2,5,7,2,5,1,5,1,1,8
102,,ANN IEEE CONF COMPUT,36,3,2,5,4,2,1,3,1,1,2,12
103,0.435,INFORM SOFTWARE TECH,36,0,4,8,9,4,3,2,2,2,0,2
104,0.776,MULTIMEDIA SYST,36,2,3,6,3,3,4,2,6,0,2,5
105,1.138,PATTERN RECOGN LETT,36,0,5,11,4,1,3,3,1,3,1,4
106,1.468,COMPUT VIS IMAGE UND,35,2,1,3,10,1,7,2,1,2,1,5
107,1.109,INT J HIGH PERFORM C,35,0,6,3,6,10,3,3,0,0,2,2
108,0.923,MOBILE NETW APPL,35,0,2,4,5,4,4,3,2,5,0,6
109,,NATO SC S SS III C S,35,0,0,2,5,6,3,1,6,1,1,10
110,0.556,COMPUT COMMUN,34,0,7,8,8,3,1,1,1,3,0,2
111,0.508,INT J SOFTW ENG KNOW,34,0,3,5,6,1,4,3,5,1,3,3
112,,KNOWL INF SYST,34,0,0,1,5,4,9,4,4,4,0,3
113,0.269,LECT NOTES CONTR INF,34,0,3,2,5,7,6,5,2,1,2,1
114,0.714,CONSTRAINTS,33,0,5,4,4,9,6,1,0,1,2,1
115,,KLUWER INT SER ENG C,33,0,7,5,8,3,3,2,0,0,0,5
116,0.790,NEUROCOMPUTING,33,0,6,10,4,5,0,1,2,2,2,1
117,1.144,BIOSYSTEMS,32,0,1,16,3,5,2,2,0,2,1,0
118,0.735,DISCRETE COMPUT GEOM,32,0,1,7,6,3,2,1,0,2,1,9
119,0.533,IEE P-COMPUT DIG T,32,0,4,7,5,5,0,1,1,0,2,7
120,0.457,J SOFTW MAINT EVOL-R,32,0,1,2,2,6,4,5,3,5,1,3
121,0.855,PARALLEL COMPUT,31,0,1,6,6,7,3,2,1,0,0,5
122,0.136,DYNAM CONT DIS SER B,29,1,3,4,3,3,4,2,3,1,2,3
123,,EDUC TECHNOL SOC,29,0,8,4,10,2,3,0,1,0,0,1
124,0.394,EURASIP J APPL SIG P,29,0,2,5,3,4,3,4,0,5,2,1
125,1.371,INT J COOP INF SYST,29,0,6,11,5,2,5,0,0,0,0,0
126,2.247,J ARTIF INTELL RES,29,0,5,4,4,3,3,1,1,2,1,5
127,1.521,AI MAG,28,6,8,2,6,4,1,0,0,1,0,0
128,,FR ART INT,28,0,0,3,7,2,4,5,3,2,0,2
129,1.039,FUZZY SET SYST,28,0,3,3,1,9,1,0,1,1,3,6
130,1.583,J AM SOC INF SCI TEC,28,0,2,7,8,3,1,3,2,0,1,1
131,0.852,J SCHEDULING,28,0,0,3,3,3,3,1,4,1,9,1
132,0.482,J SUPERCOMPUT,28,0,0,5,1,1,0,7,4,0,2,8
133,3.192,MED PHYS,28,0,4,9,3,5,0,0,4,0,0,3
134,2.418,PHYS REV E,28,1,7,5,4,1,1,3,2,0,0,4
135,0.868,ARTIF INTELL REV,27,0,7,1,3,1,1,1,1,1,2,9
136,1.820,IEEE T SIGNAL PROCES,27,2,3,3,3,2,5,2,5,1,0,1
137,0.386,SCI CHINA SER F,27,0,1,3,1,3,3,1,2,2,3,8
138,,SPRING COMP SCI,27,0,3,5,6,5,4,0,1,0,2,1
139,0.136,CHINESE J ELECTRON,26,0,0,4,3,5,4,2,1,3,1,3
140,1.562,INT J GEOGR INF SCI,26,0,1,7,6,3,0,3,1,0,1,4
141,1.509,SIAM J SCI COMPUT,26,0,1,9,3,2,2,5,1,1,2,0
142,1.882,ARTIF INTELL MED,25,0,1,10,1,8,0,2,3,0,0,0
143,2.428,IEEE T IMAGE PROCESS,25,0,1,4,2,4,2,5,3,0,1,3
144,2.205,IEEE T NEURAL NETWOR,25,1,1,2,6,4,0,2,3,0,0,6
145,1.186,J COMPLEXITY,25,0,3,2,1,2,4,0,0,0,1,12
146,1.731,MULTISCALE MODEL SIM,25,0,3,3,11,2,0,3,2,0,1,0
147,,TSI PRESS S,25,0,0,3,8,5,1,4,1,0,0,3
148,2.221,ULTRASOUND MED BIOL,25,0,4,7,1,5,3,1,2,0,0,2
149,1.644,ACAD RADIOL,24,0,4,6,3,6,2,0,1,0,2,0
150,2.698,IEEE J SEL AREA COMM,24,1,0,11,1,4,0,0,1,1,0,5
151,0.603,J OPER RES SOC,24,0,0,7,1,5,2,1,4,0,2,2
152,0.470,J SYMBOLIC LOGIC,24,2,1,4,3,1,1,2,1,2,0,7
153,0.263,MICROPROCESS MICROSY,24,0,1,11,2,3,0,0,2,2,0,3
154,7.489,PHYS REV LETT,24,3,1,4,2,1,2,1,5,0,4,1
155,1.392,SIAM J NUMER ANAL,24,2,1,5,3,4,6,0,2,0,0,1
156,1.833,ACM T DATABASE SYST,23,2,3,1,4,3,1,2,1,2,2,2
