Cited Journal Data: Topics in Cognitive Science,,,,,,,,,,,,,,
,Impact Factor,Citing Journal,All Yrs,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,Rest
1,,ALL Journals,850,28,101,190,100,153,272,0,0,0,0,6
2,,ALL OTHERS (203),203,6,10,33,20,49,85,0,0,0,0,0
3,2.560,FRONT PSYCHOL,71,3,10,27,4,9,17,0,0,0,0,1
4,3.063,TOP COGN SCI,59,7,33,11,4,2,2,0,0,0,0,0
5,,FRONT HUM NEUROSCI,28,1,1,8,4,4,10,0,0,0,0,0
6,,PLOS ONE,21,0,1,6,2,4,8,0,0,0,0,0
7,,LANG COGN NEUROSCI,20,0,1,12,1,1,5,0,0,0,0,0
8,3.479,COGNITION,16,0,2,4,0,5,5,0,0,0,0,0
9,,LECT NOTES COMPUT SC,14,1,3,0,3,0,7,0,0,0,0,0
10,2.446,COGNITIVE SCI,13,0,0,1,4,6,2,0,0,0,0,0
11,,PHILOS T R SOC B,12,1,1,3,0,1,6,0,0,0,0,0
12,3.358,J EXP PSYCHOL HUMAN,11,0,2,4,0,1,4,0,0,0,0,0
13,2.243,J CONSUM PSYCHOL,10,0,0,10,0,0,0,0,0,0,0,0
14,2.127,Q J EXP PSYCHOL,10,0,2,2,0,6,0,0,0,0,0,0
15,7.372,SOC COGN AFFECT NEUR,9,0,0,5,0,1,3,0,0,0,0,0
16,21.965,TRENDS COGN SCI,9,0,1,0,2,4,2,0,0,0,0,0
17,1.480,J BUS RES,8,0,0,0,0,0,8,0,0,0,0,0
18,3.518,J EDUC PSYCHOL,8,0,0,0,3,1,4,0,0,0,0,0
19,2.609,J MATH PSYCHOL,8,1,6,0,1,0,0,0,0,0,0,0
20,,P NATL ACAD SCI USA,8,0,7,0,0,1,0,0,0,0,0,0
21,5.929,J EXP PSYCHOL GEN,7,0,0,3,0,0,4,0,0,0,0,0
22,4.237,J MEM LANG,7,0,2,2,0,1,2,0,0,0,0,0
23,0.739,SYNTHESE,7,0,0,1,2,2,2,0,0,0,0,0
24,0.831,COGN SYST RES,6,0,0,1,1,0,4,0,0,0,0,0
25,,EXP BRAIN RES,6,0,0,1,0,0,5,0,0,0,0,0
26,,FRONT COMPUT NEUROSC,6,1,0,4,0,1,0,0,0,0,0,0
27,1.444,NEW IDEAS PSYCHOL,6,0,0,0,0,0,6,0,0,0,0,0
28,0.784,PHILOS PSYCHOL,6,0,0,0,0,4,2,0,0,0,0,0
29,,PHYS LIFE REV,6,0,0,0,2,3,1,0,0,0,0,0
30,,PHYS SCRIPTA,6,3,3,0,0,0,0,0,0,0,0,0
31,1.869,WIRES COGN SCI,6,0,1,0,1,3,1,0,0,0,0,0
32,5.064,COGNITIVE PSYCHOL,5,0,1,2,1,0,1,0,0,0,0,0
33,2.565,EDUC PSYCHOL REV,5,0,1,0,0,1,3,0,0,0,0,0
34,,FOUND SCI,5,0,0,0,0,2,3,0,0,0,0,0
35,2.862,J EXP PSYCHOL LEARN,5,0,2,0,1,1,1,0,0,0,0,0
36,,J VISUAL LANG COMPUT,5,0,0,0,4,0,1,0,0,0,0,0
37,3.302,NEUROPSYCHOLOGIA,5,0,1,0,1,3,0,0,0,0,0,0
38,3.369,PSYCHON B REV,5,0,0,2,2,0,1,0,0,0,0,0
39,1.532,SOC COGNITION,5,0,0,2,1,1,1,0,0,0,0,0
40,,AXIOMATHES,4,0,0,3,0,0,1,0,0,0,0,0
41,20.771,BEHAV BRAIN SCI,4,1,0,1,0,0,2,0,0,0,0,0
42,1.388,COGN PROCESS,4,0,0,1,0,1,2,0,0,0,0,0
43,2.694,COMPUT HUM BEHAV,4,0,0,0,2,0,2,0,0,0,0,0
44,4.141,DEV PSYCHOL,4,0,0,2,0,1,1,0,0,0,0,0
45,0.905,ETHOS,4,0,0,3,0,1,0,0,0,0,0,0
46,,J ASSOC INF SCI TECH,4,0,0,0,0,0,3,0,0,0,0,1
