Citing Journal Data: ARTIFICIAL INTELLIGENCE,,,,,,,,,,,,,,
,Impact Factor,Cited Journal,All Yrs,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,Rest
1, ,ALL Journals,3173,23,119,221,234,245,230,185,204,161,148,1403
2, ,ALL OTHERS (1077),1077,11,51,85,61,72,53,50,62,52,46,534
3,3.371,ARTIF INTELL,208,3,3,6,17,12,19,10,18,6,9,105
4, ,LECT NOTES COMPUT SC,183,0,9,23,20,17,17,16,16,13,9,43
5, ,LECT NOTES ARTIF INT,78,0,3,2,14,11,7,3,7,6,7,18
6,1.257,J ARTIF INTELL RES,70,0,4,4,7,2,11,9,10,4,4,15
7, ,FR ART INT,26,0,0,0,0,0,3,7,1,9,0,6
8,2.473,J MACH LEARN RES,26,1,1,2,3,1,3,0,2,8,1,4
9,1.889,MACH LEARN,25,0,0,0,0,2,0,2,1,2,0,18
10, ,ADV NEURAL INFORM PR,23,0,3,2,2,2,1,3,3,1,1,5
11, ,21 INT JOINT C ART,22,0,0,0,0,0,22,0,0,0,0,0
12,1.138,J COMPUT SYST SCI,22,0,0,1,1,3,1,0,2,0,0,14
13, ,AAAI,21,0,0,1,1,2,0,3,1,0,2,11
14,1.394,J ACM,21,0,0,0,0,1,1,1,2,1,0,15
15,0.691,ANN MATH ARTIF INTEL,20,0,1,0,1,2,2,1,0,1,0,12
16,1.257,CONSTRAINTS,20,0,2,1,1,2,2,2,1,3,2,4
17,1.051,THEOR PRACT LOG PROG,20,0,0,3,6,2,0,2,2,1,1,3
18, ,ICAPS,16,0,2,2,1,2,2,2,1,0,3,1
19,3.889,ECONOMETRICA,15,0,0,0,0,0,0,0,0,1,0,14
20,0.657,THEOR COMPUT SCI,15,1,1,0,0,1,1,1,0,0,0,10
21,1.254,AUTON AGENT MULTI-AG,14,0,0,0,4,3,3,0,1,1,0,2
22,0.512,J LOGIC COMPUT,14,0,1,1,2,0,1,0,0,0,1,8
23,2.550,J WEB SEMANT,14,0,0,3,1,0,2,3,1,1,2,1
24, ,P INT C MACH LEARN,14,0,0,0,0,1,2,1,1,1,0,8
25, ,19 INT JOINT C ART,13,0,0,0,0,0,0,0,0,0,13,0
26,3.621,COMMUN ACM,13,0,0,2,3,1,1,0,0,0,0,6
27, ,20 INT JOINT C ART,12,0,0,0,0,0,0,0,12,0,0,0
28,1.481,IEEE T COMP INTEL AI,12,0,1,4,0,5,2,0,0,0,0,0
29, ,J ECON THEORY,12,0,0,0,0,0,1,0,0,1,1,9
30, ,P INT C AUT AG MULT,12,0,2,2,1,4,0,1,0,1,1,0
31,0.598,STUD LOGICA,12,0,0,0,0,1,5,0,0,0,1,5
32, ,**NON-TRADITIONAL**,11,0,0,0,0,0,0,0,0,0,0,11
33, ,IJCAI,11,0,0,0,3,0,1,0,0,0,0,7
34, ,TECH REP,11,0,2,0,0,2,0,0,0,2,0,5
35,0.541,J SYMBOLIC LOGIC,10,0,0,0,0,0,0,0,0,0,0,10
36, ,P AAAI,10,0,0,0,1,1,0,3,0,0,4,1
37,0.741,SIAM J COMPUT,10,0,0,0,0,0,1,0,0,0,0,9
38,0.595,AI MAG,9,0,0,0,1,1,0,0,1,0,1,5
39,0.830,INFORM COMPUT,9,0,0,0,1,0,0,0,0,1,0,7
40, ,INT JOINT CONF ARTIF,9,0,0,0,0,0,0,0,0,0,0,9
41,0.881,J AUTOM REASONING,9,0,1,0,0,0,0,1,4,0,0,3
42, ,P ICML,9,0,0,0,0,0,1,0,1,2,2,3
43,2.358,EUR J OPER RES,8,1,1,1,0,0,1,0,1,0,0,3
44, ,FRONT ARTIF INTEL AP,8,0,0,0,0,6,0,1,0,1,0,0
45,2.067,IEEE T KNOWL DATA EN,8,0,0,1,0,6,0,0,0,0,0,1
46,2.451,INT J APPROX REASON,8,0,0,0,3,1,2,1,0,0,0,1
47,1.979,J AM STAT ASSOC,8,0,0,0,1,0,0,0,1,3,0,3
48, ,J LOG COMPUT,8,0,1,1,0,0,0,0,0,0,1,5
49,0.766,KNOWL ENG REV,8,0,0,1,4,0,0,0,1,2,0,0
50, ,P 22 INT JOINT C ART,8,0,0,0,8,0,0,0,0,0,0,0
51, ,P OF THE 2,8,0,0,2,2,2,0,0,2,0,0,0
52,3.373,ACM COMPUT SURV,7,0,0,0,0,0,2,0,0,0,0,5
53,4.981,BIOINFORMATICS,7,0,1,0,0,0,0,1,1,2,1,1
54,0.717,FUND INFORM,7,0,0,0,1,0,0,0,0,0,0,6
55,1.699,IEEE T SYST MAN CY-S,7,0,0,1,0,2,0,1,0,1,0,2
56, ,LECT NOTES IN COM,7,0,3,3,0,0,0,0,0,0,0,1
