Citing Journal Data: DEVELOPMENTAL SCIENCE,,,,,,,,,,,,,,
,Impact Factor,Cited Journal,All Yrs,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,Rest
1, ,ALL Journals,4796,13,178,306,350,318,372,290,294,227,236,2212
2, ,ALL OTHERS (709),709,3,22,36,38,36,33,29,37,29,36,410
3,4.061,CHILD DEV,216,0,8,7,16,12,13,10,10,4,5,131
4,3.479,COGNITION,178,0,4,15,14,13,16,22,18,7,9,60
5,3.808,DEVELOPMENTAL SCI,177,4,6,18,38,14,22,16,20,8,9,22
6,4.141,DEV PSYCHOL,150,0,9,7,7,13,11,13,5,5,4,76
7,2.549,J EXP CHILD PSYCHOL,106,1,12,11,11,10,14,4,1,2,4,36
8, ,P NATL ACAD SCI USA,106,0,2,15,7,9,15,4,10,6,4,34
9,4.940,PSYCHOL SCI,103,0,9,8,5,12,7,3,13,3,4,39
10, ,NEUROIMAGE,88,0,0,4,17,8,4,5,9,6,7,28
11, ,J NEUROSCI,77,0,1,4,8,3,6,4,3,9,9,30
12, ,SCIENCE,75,0,0,0,3,5,10,2,7,1,6,41
13,4.085,J COGNITIVE NEUROSCI,70,0,0,3,5,4,4,8,5,6,5,30
14,21.965,TRENDS COGN SCI,64,0,0,4,3,6,5,5,4,3,6,28
15,6.459,J CHILD PSYCHOL PSYC,60,1,3,5,7,2,2,4,5,6,0,25
16,1.349,INFANT BEHAV DEV,58,0,1,0,2,0,1,4,2,1,0,47
17, ,NATURE,55,0,0,1,2,0,2,6,3,0,1,40
18,3.302,NEUROPSYCHOLOGIA,50,0,1,5,3,8,7,2,2,8,0,14
19, ,PLOS ONE,48,0,14,16,11,2,2,2,1,0,0,0
20,2.086,INFANCY,45,0,1,3,5,6,5,3,3,3,3,13
21, ,NAT NEUROSCI,44,0,1,2,0,2,3,1,3,4,7,21
22,14.756,PSYCHOL BULL,38,0,0,2,0,0,1,5,1,2,3,24
23,5.064,COGNITIVE PSYCHOL,36,0,2,1,2,4,2,0,3,0,1,21
24,5.929,J EXP PSYCHOL GEN,36,0,2,5,2,0,0,6,2,0,1,18
25, ,NEURON,36,0,1,2,2,2,2,3,5,1,1,17
26, ,CEREB CORTEX,35,0,2,5,6,5,5,1,1,2,2,6
27, ,CURR BIOL,33,0,1,2,3,2,6,9,2,1,0,7
28, ,NAT REV NEUROSCI,33,0,0,1,1,1,4,7,1,2,6,10
29,2.241,DEV NEUROPSYCHOL,32,0,0,1,3,3,1,7,0,0,4,13
30, ,DEV PSYCHOBIOL,32,2,2,3,4,2,3,1,0,0,0,15
31,7.972,PSYCHOL REV,32,0,0,0,1,0,2,0,0,1,2,26
32,2.172,COGNITIVE DEV,30,0,2,2,2,1,1,0,4,1,1,16
33,3.665,J AUTISM DEV DISORD,30,0,0,1,2,3,2,1,4,4,0,13
34,2.841,BRIT J DEV PSYCHOL,27,0,0,9,4,2,1,1,2,1,0,7
35,1.598,J CHILD LANG,26,0,1,1,2,1,2,3,1,0,2,13
36, ,BIOL PSYCHIAT,25,0,3,1,4,2,2,3,2,0,3,5
37,2.862,J EXP PSYCHOL LEARN,25,0,2,0,1,0,2,3,1,1,3,12
38,4.237,J MEM LANG,25,0,1,0,0,2,1,5,1,2,1,12
39, ,NEUROREPORT,25,0,0,0,0,0,1,0,1,3,2,18
40, ,CLIN NEUROPHYSIOL,24,0,1,0,1,2,5,0,2,0,0,13
41, ,COGNITIVE BRAIN RES,24,0,0,0,0,0,0,0,0,0,5,19
42,2.477,BRAIN COGNITION,23,0,0,1,2,6,3,0,2,1,2,6
43, ,HUM BRAIN MAPP,23,0,2,2,3,3,0,1,1,2,0,9
44,3.518,J EDUC PSYCHOL,23,0,2,1,1,1,4,0,0,0,2,12
45, ,VISION RES,23,0,1,0,1,1,1,2,2,0,2,13
46, ,EUR J NEUROSCI,22,0,1,0,4,2,4,0,2,2,1,6
47, ,EXP BRAIN RES,22,0,0,1,0,3,4,0,5,2,1,6
48,3.358,J EXP PSYCHOL HUMAN,21,0,0,1,0,2,1,0,0,0,0,17
49,2.070,J SPEECH LANG HEAR R,21,0,1,2,1,1,3,1,0,3,3,6
50,1.966,MONOGR SOC RES CHILD,21,0,0,0,0,1,0,0,0,0,1,19
51, ,CORTEX,20,0,2,1,4,4,1,0,2,0,1,5
52,2.560,FRONT PSYCHOL,20,0,2,6,12,0,0,0,0,0,0,0
53, ,BRAIN,19,0,0,0,0,3,0,2,2,3,2,7
54,5.678,CURR DIR PSYCHOL SCI,19,0,4,2,0,0,3,0,6,1,1,2
55,5.031,J PERS SOC PSYCHOL,19,0,0,0,0,0,0,0,1,2,0,16
56,20.771,BEHAV BRAIN SCI,18,0,0,0,0,3,2,1,1,0,4,7
57, ,NEUROSCI BIOBEHAV R,18,0,0,5,2,2,1,0,0,4,0,4
58, ,PHILOS T R SOC B,18,0,0,2,4,0,4,2,2,0,0,4
59,2.457,MEM COGNITION,17,0,0,1,1,0,0,0,1,0,1,13
60,12.295,AM J PSYCHIAT,16,0,1,1,0,1,2,1,3,0,1,6
61,2.928,BEHAV RES METHODS,16,0,0,1,1,0,1,4,0,2,0,7
62,3.369,PSYCHON B REV,16,0,0,2,5,0,2,1,1,0,0,5
63,7.260,J AM ACAD CHILD PSY,15,0,0,2,0,1,2,0,1,1,0,8
64,1.901,J LEARN DISABIL-US,15,0,1,1,0,2,0,2,0,1,1,7
65, ,PEDIATRICS,15,0,0,0,3,0,1,0,0,0,1,10
66, ,PERCEPT PSYCHOPHYS,15,0,0,0,0,0,0,1,1,0,1,12
67, ,ANN NY ACAD SCI,14,0,0,2,1,0,5,3,0,1,0,2
68,21.810,ANNU REV PSYCHOL,14,0,0,0,1,2,3,0,4,0,2,2
