Citing Journal Data: EDUCATIONAL PSYCHOLOGY REVIEW,,,,,,,,,,,,,,
,Impact Factor,Cited Journal,All Yrs,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,Rest
1, ,ALL Journals,2657,89,159,206,192,160,170,152,142,108,104,1175
2, ,ALL OTHERS (703),703,22,34,46,42,51,46,46,30,34,24,328
3,3.518,J EDUC PSYCHOL,119,1,12,3,8,3,13,2,5,3,3,66
4,2.565,EDUC PSYCHOL REV,85,36,5,7,6,5,3,1,5,0,1,16
5,3.611,EDUC PSYCHOL-US,51,0,2,6,2,1,0,6,6,6,1,21
6,7.972,PSYCHOL REV,41,0,1,2,1,1,0,2,1,2,0,31
7,4.061,CHILD DEV,37,1,4,2,2,2,0,1,2,1,1,21
8,3.585,LEARN INSTR,37,2,2,7,6,1,4,0,1,3,0,11
9,3.369,PSYCHON B REV,30,0,3,2,4,1,0,1,3,0,5,11
10, ,SCIENCE,27,0,2,0,4,2,3,5,2,1,1,7
11,4.141,DEV PSYCHOL,26,1,4,2,3,1,2,0,1,0,1,11
12,2.457,MEM COGNITION,26,0,0,1,3,1,1,2,1,2,1,14
13,3.897,REV EDUC RES,26,0,1,0,2,1,1,2,2,0,0,17
14,6.100,AM PSYCHOL,23,0,1,1,0,0,0,0,0,0,0,21
15,5.064,COGNITIVE PSYCHOL,22,0,0,0,0,1,0,0,0,0,0,21
16,2.862,J EXP PSYCHOL LEARN,22,0,3,2,2,3,0,0,2,0,0,10
17,4.940,PSYCHOL SCI,22,0,5,1,1,2,1,0,3,3,2,4
18,2.884,READ RES QUART,22,2,6,3,1,0,0,0,0,0,1,9
19,2.446,COGNITIVE SCI,21,0,1,1,1,2,0,2,0,0,3,11
20, ,P NATL ACAD SCI USA,20,1,0,5,1,2,2,3,2,0,1,3
21,14.756,PSYCHOL BULL,19,0,2,1,0,0,1,0,1,2,0,12
22,2.157,AM EDUC RES J,18,0,0,0,5,0,0,1,1,0,0,11
23,20.771,BEHAV BRAIN SCI,18,0,0,1,2,0,0,0,0,0,0,15
24,1.929,CONTEMP EDUC PSYCHOL,18,0,0,1,0,1,0,1,7,0,0,8
25,5.031,J PERS SOC PSYCHOL,18,1,0,2,1,0,1,1,0,0,1,11
26,1.321,APPL COGNITIVE PSYCH,17,0,1,3,2,1,3,0,0,2,0,5
27,2.000,COGNITION INSTRUCT,17,0,0,2,0,0,2,0,2,1,1,9
28, ,READING PSYCHOL,17,0,0,0,4,1,3,1,3,1,1,3
