Citing Journal Data: Frontiers in Human Neuroscience,,,,,,,,,,,,,,
,Impact Factor,Cited Journal,All Yrs,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,Rest
1, ,ALL Journals,64203,1867,5117,4893,4519,4196,4003,3700,3708,3186,2936,26078
2, ,ALL OTHERS (5230),5230,157,330,345,282,281,232,255,225,184,180,2759
3,6.357,NEUROIMAGE,3137,111,196,364,316,272,196,215,225,236,206,800
4,6.344,J NEUROSCI,1910,50,172,148,205,157,170,97,148,113,90,560
5,9.674,P NATL ACAD SCI USA,1162,21,56,77,90,101,110,64,86,73,56,428
6,3.626,FRONT HUM NEUROSCI,1147,183,650,168,69,55,9,13,0,0,0,0
7,3.302,NEUROPSYCHOLOGIA,1113,27,57,80,103,102,81,58,82,74,33,416
8,9.196,BRAIN,1015,17,33,41,41,62,55,42,47,51,47,579
9,8.665,CEREB CORTEX,1008,40,100,97,67,74,89,89,88,33,73,258
10,21.965,TRENDS COGN SCI,989,24,51,73,67,73,61,55,81,83,85,336
11,4.085,J COGNITIVE NEUROSCI,951,19,39,41,92,87,68,73,80,65,55,332
12,3.234,PLOS ONE,871,52,228,219,134,85,59,68,25,0,0,1
13,33.611,SCIENCE,852,6,26,17,26,44,43,33,56,38,40,523
14,2.887,J NEUROPHYSIOL,834,11,29,41,37,71,40,22,44,43,44,452
15,15.054,NEURON,789,19,60,65,81,44,53,48,57,49,56,257
16,2.036,EXP BRAIN RES,772,11,44,36,59,54,48,47,44,46,38,345
17,16.095,NAT NEUROSCI,767,6,46,34,50,25,51,45,41,35,57,377
18,41.456,NATURE,710,2,19,27,18,19,21,24,19,21,42,498
19,5.969,HUM BRAIN MAPP,707,44,60,64,42,30,107,28,39,32,58,203
20,31.427,NAT REV NEUROSCI,661,5,26,40,42,74,66,63,57,49,52,187
21,3.097,CLIN NEUROPHYSIOL,550,15,20,41,38,32,50,32,60,38,24,200
22,2.843,BRAIN RES,510,6,13,44,43,35,32,41,52,65,5,174
23,1.520,NEUROREPORT,477,4,4,8,17,7,17,16,23,30,31,320
24, ,PSYCHOL SCI,464,17,37,27,37,34,31,35,43,30,22,151
25,1.815,VISION RES,443,5,12,7,31,20,14,21,14,23,23,273
26,5.128,CORTEX,434,14,97,48,30,34,41,19,17,35,8,91
27, ,COGNITION,430,4,23,18,17,33,20,63,29,25,19,179
28,10.255,BIOL PSYCHIAT,418,6,35,26,47,32,32,23,27,25,29,136
29,7.972,PSYCHOL REV,388,1,5,5,4,14,8,11,25,16,14,285
30,2.030,NEUROSCI LETT,375,6,13,26,28,28,29,22,23,21,18,161
31,2.986,PSYCHOPHYSIOLOGY,361,1,15,15,30,17,16,26,22,7,13,199
32, ,FRONT PSYCHOL,360,42,119,77,103,18,0,1,0,0,0,0
33,9.571,CURR BIOL,356,7,27,44,37,33,37,30,36,32,17,56
34,3.181,EUR J NEUROSCI,343,4,20,41,18,22,28,23,28,26,28,105
35,3.358,J EXP PSYCHOL HUMAN,334,5,12,23,19,11,18,15,27,11,17,176
36,5.037,J PHYSIOL-LONDON,328,0,9,10,11,8,15,13,10,12,11,229
37,8.802,NEUROSCI BIOBEHAV R,326,31,59,61,30,33,20,25,9,16,5,37
38,8.185,NEUROLOGY,325,3,6,17,11,13,14,11,11,23,18,198
39,3.215,BRAIN LANG,315,7,45,31,16,15,12,26,14,20,16,113
40,4.383,ANN NY ACAD SCI,307,6,5,19,16,22,40,53,30,8,12,96
41,14.756,PSYCHOL BULL,301,5,9,9,9,31,12,6,12,17,23,168
42,7.055,PHILOS T R SOC B,289,18,5,18,8,5,43,17,22,12,34,107
43, ,CONSCIOUS COGN,288,6,27,45,25,30,23,51,24,14,6,37
44,2.862,J EXP PSYCHOL LEARN,282,11,14,8,13,9,11,19,7,10,12,168
45,3.225,J COMP NEUROL,274,1,5,7,4,4,5,7,3,5,14,219
46, ,J PERS SOC PSYCHOL,266,0,3,10,10,8,6,10,13,7,6,193
47,2.882,INT J PSYCHOPHYSIOL,264,6,14,30,21,12,14,12,21,14,15,105
48,2.477,BRAIN COGNITION,260,7,21,16,11,25,21,18,11,13,11,106
49,12.295,AM J PSYCHIAT,259,1,14,11,15,15,12,13,24,11,14,129
50,6.628,CURR OPIN NEUROBIOL,259,5,15,7,8,16,5,9,23,26,20,125
51, ,ELECTROEN CLIN NEURO,255,0,0,0,0,0,0,0,0,0,3,252
52, ,J EXP PSYCHOL GEN,249,6,17,20,6,9,0,7,9,5,11,159
53, ,PERCEPT PSYCHOPHYS,241,0,0,0,0,0,0,7,6,13,6,209
54,19.320,ANNU REV NEUROSCI,235,1,4,13,8,12,7,18,24,4,14,130
55,0.906,PERCEPTION,235,3,2,6,9,13,6,10,12,17,6,151
56, ,PSYCHON B REV,233,7,20,13,17,12,9,13,17,11,26,88
57,20.771,BEHAV BRAIN SCI,226,8,32,13,0,13,1,7,9,1,5,137
58,13.555,TRENDS NEUROSCI,222,2,9,11,8,7,7,9,19,15,11,124
59, ,COGNITIVE BRAIN RES,220,0,0,0,0,0,0,0,0,0,57,163
60,3.357,NEUROSCIENCE,211,11,13,14,18,15,21,7,12,38,5,57
61,6.807,J NEUROL NEUROSUR PS,205,3,8,6,5,6,3,14,5,5,6,144
