Citing Journal Data: Frontiers in Psychology,,,,,,,,,,,,,,
,Impact Factor,Cited Journal,All Yrs,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,Rest
1, ,ALL Journals,84624,2753,5578,5638,5421,4937,4923,4462,4416,3796,3692,39008
2, ,ALL OTHERS (10018),10018,336,572,618,586,459,469,455,399,406,359,5359
3,2.560,FRONT PSYCHOL,1297,413,471,190,176,46,0,0,0,1,0,0
4, ,NEUROIMAGE,1166,38,63,121,107,118,84,79,74,100,97,285
5,21.965,TRENDS COGN SCI,1156,24,53,71,67,70,78,63,90,96,125,419
6,4.940,PSYCHOL SCI,1131,33,88,74,82,113,76,70,106,85,57,347
7, ,J NEUROSCI,1129,50,84,99,118,98,125,60,75,63,45,312
8,7.972,PSYCHOL REV,1027,2,17,15,25,41,27,25,36,22,22,795
9, ,P NATL ACAD SCI USA,1014,15,69,71,71,76,95,59,86,71,61,340
10,3.479,COGNITION,996,26,57,52,60,66,46,122,52,39,36,440
11,3.302,NEUROPSYCHOLOGIA,931,29,61,57,86,63,66,42,61,65,37,364
12,3.358,J EXP PSYCHOL HUMAN,915,19,36,40,56,52,38,43,37,33,38,523
13, ,SCIENCE,888,11,27,20,39,38,29,28,57,46,38,555
14,5.031,J PERS SOC PSYCHOL,837,4,6,15,12,14,23,23,26,21,20,673
15, ,PLOS ONE,787,67,222,202,126,65,51,31,22,1,0,0
16, ,NATURE,724,6,21,15,14,11,16,28,32,33,37,511
17,2.862,J EXP PSYCHOL LEARN,722,12,32,36,40,25,31,44,31,21,23,427
18,14.756,PSYCHOL BULL,721,12,18,40,20,35,18,24,28,25,25,476
19, ,VISION RES,712,9,15,23,47,33,26,38,30,47,45,399
20,4.085,J COGNITIVE NEUROSCI,692,21,35,39,54,63,56,52,63,45,31,233
21,4.061,CHILD DEV,667,14,26,23,40,50,22,17,31,29,17,398
22,3.369,PSYCHON B REV,652,27,59,46,61,23,40,43,35,38,43,237
23, ,NAT NEUROSCI,631,15,18,33,28,18,38,32,40,20,91,298
24, ,CEREB CORTEX,584,26,60,51,32,44,54,50,68,17,43,139
25,4.141,DEV PSYCHOL,573,15,32,24,26,37,24,30,34,24,12,315
26, ,J ACOUST SOC AM,566,5,19,28,28,28,24,24,19,25,17,349
27, ,PERCEPT PSYCHOPHYS,564,0,0,0,0,0,0,18,15,18,23,490
28,5.929,J EXP PSYCHOL GEN,556,19,33,48,23,16,11,16,18,16,22,334
29, ,NEURON,549,8,32,52,51,26,30,34,47,31,51,187
30, ,EXP BRAIN RES,547,14,35,45,61,36,46,35,39,22,33,181
31,20.771,BEHAV BRAIN SCI,509,8,55,19,41,16,17,24,29,5,32,263
32,4.237,J MEM LANG,486,7,36,20,21,14,19,57,20,20,15,257
33,2.457,MEM COGNITION,482,10,20,22,25,14,16,19,22,28,31,275
34, ,J VISION,447,10,50,50,34,55,62,55,33,28,16,54
35, ,NAT REV NEUROSCI,434,6,26,25,19,38,34,42,35,20,39,150
36,1.941,CONSCIOUS COGN,413,8,34,38,60,54,48,41,21,15,14,80
37,2.549,J EXP CHILD PSYCHOL,411,14,35,38,56,31,51,17,18,12,7,132
38,2.248,ACTA PSYCHOL,410,32,41,33,51,25,10,46,11,10,8,143
39,5.064,COGNITIVE PSYCHOL,407,11,14,15,5,14,10,14,6,3,9,306
40, ,FRONT HUM NEUROSCI,389,61,143,97,52,31,5,0,0,0,0,0
41, ,BRAIN,383,4,18,17,12,27,21,15,17,13,14,225
42, ,CURR BIOL,377,15,26,41,27,33,50,36,36,26,16,71
43, ,J NEUROPHYSIOL,364,5,13,10,12,21,21,16,25,22,18,201
44,3.808,DEVELOPMENTAL SCI,352,20,16,24,47,31,60,18,35,19,15,67
45, ,CORTEX,345,9,49,32,19,30,35,24,14,23,3,107
46,2.986,PSYCHOPHYSIOLOGY,336,9,17,14,18,19,15,19,17,12,7,189
47,0.906,PERCEPTION,325,2,4,19,17,16,13,17,25,16,12,184
48,3.383,EMOTION,315,4,19,53,30,25,28,31,44,18,23,40
49,2.928,BEHAV RES METHODS,313,13,18,13,18,24,19,27,34,16,17,114
50,2.477,BRAIN COGNITION,311,8,13,16,27,28,24,16,9,12,18,140
51,3.215,BRAIN LANG,310,11,24,27,11,12,27,13,9,13,15,148
52, ,BRAIN RES,308,4,14,28,16,29,31,37,23,44,2,80
53, ,PHILOS T R SOC B,308,18,6,27,18,6,75,36,23,3,14,82
54,21.810,ANNU REV PSYCHOL,307,9,20,10,28,17,11,42,27,9,12,122
55,2.127,Q J EXP PSYCHOL,301,19,24,31,21,34,26,22,23,30,0,71
56, ,ANN NY ACAD SCI,273,3,11,24,13,12,45,33,4,5,7,116
57,2.201,COGNITION EMOTION,272,5,19,22,22,30,17,7,14,7,12,117
58, ,APPETITE,255,6,31,43,21,16,22,16,20,9,6,65
59, ,NEUROSCI BIOBEHAV R,252,10,15,57,22,18,34,22,3,16,4,51
60,6.100,AM PSYCHOL,248,0,5,5,4,4,7,1,3,6,10,203
61, ,HUM BRAIN MAPP,248,9,22,29,17,25,41,9,10,21,13,52
62,2.646,PSYCHOL AGING,246,2,4,19,16,17,24,19,7,11,20,107
63,3.403,BIOL PSYCHOL,243,8,26,22,18,26,20,14,24,10,3,72
64, ,NEUROREPORT,238,2,3,3,4,6,6,10,16,11,16,161
65, ,BIOL PSYCHIAT,232,3,27,18,20,25,12,20,11,11,18,67
66,5.678,CURR DIR PSYCHOL SCI,232,1,13,42,17,22,17,13,14,11,14,68
67,2.446,COGNITIVE SCI,231,6,10,13,20,13,16,7,15,11,27,93
68,1.951,PERS INDIV DIFFER,229,10,9,10,17,10,16,12,20,13,11,101
69,2.000,MUSIC PERCEPT,214,3,10,5,4,29,32,5,14,25,10,77
70,2.863,PSYCHOL RES-PSYCH FO,213,20,20,18,14,5,18,3,11,4,10,90
71, ,NEUROSCI LETT,211,4,9,7,13,14,13,13,17,16,12,93
72,2.168,ATTEN PERCEPT PSYCHO,198,13,33,26,38,56,32,0,0,0,0,0
73, ,EUR J NEUROSCI,191,3,12,20,8,14,11,16,7,11,20,69
74,1.921,VIS COGN,184,7,7,15,7,8,10,17,7,19,7,80
75, ,J EXP PSYCHOL,183,0,0,0,0,0,0,0,0,0,0,183
76,5.153,J ABNORM PSYCHOL,178,3,3,1,6,5,2,16,8,7,8,119
77,3.518,J EDUC PSYCHOL,178,4,4,5,4,7,8,12,4,14,4,112
78,2.976,PHYSIOL BEHAV,178,5,8,11,12,7,12,10,11,10,8,84
79,2.882,INT J PSYCHOPHYSIOL,169,4,14,23,11,14,14,5,14,7,5,58
80,6.459,J CHILD PSYCHOL PSYC,168,3,7,9,5,11,6,3,10,6,6,102
81, ,CHEM SENSES,166,3,10,8,10,4,13,11,11,5,4,87
82,2.254,BRIT J PSYCHOL,163,1,2,12,8,5,16,2,5,2,3,107
83, ,TRENDS NEUROSCI,163,1,11,3,4,5,5,4,17,7,3,103
84, ,COGNITIVE BRAIN RES,162,0,0,0,0,0,0,0,0,0,44,118
85, ,CURR OPIN NEUROBIOL,162,1,13,5,4,11,7,11,7,12,11,80
86,9.546,PERSPECT PSYCHOL SCI,162,9,23,26,30,32,5,19,7,10,0,1
87, ,ANNU REV NEUROSCI,160,1,6,10,7,3,5,4,7,4,7,106
88,2.909,PERS SOC PSYCHOL B,154,3,8,6,7,3,6,9,17,4,8,83
89,1.349,INFANT BEHAV DEV,153,1,8,10,7,7,5,7,7,1,6,94
90,2.285,J EXP SOC PSYCHOL,150,5,7,16,10,15,18,10,11,13,4,41
91,12.295,AM J PSYCHIAT,145,1,3,4,5,4,1,6,7,6,10,98
