Citing Journal Data: JOURNAL OF EXPERIMENTAL PSYCHOLOGY-GENERAL,,,,,,,,,,,,,,
,Impact Factor,Cited Journal,All Yrs,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,Rest
1, ,ALL Journals,10884,77,378,631,709,668,628,703,593,515,478,5504
2, ,ALL OTHERS (1406),1406,18,55,60,65,69,72,59,61,57,56,834
3,5.031,J PERS SOC PSYCHOL,539,0,8,14,23,18,22,25,19,23,24,363
4,7.972,PSYCHOL REV,418,0,4,12,11,17,7,16,16,11,15,309
5,4.940,PSYCHOL SCI,386,9,17,23,29,44,27,34,23,40,28,112
6,2.862,J EXP PSYCHOL LEARN,290,3,16,9,14,9,19,9,10,22,12,167
7,5.929,J EXP PSYCHOL GEN,239,10,15,16,13,8,9,12,11,17,9,119
8,3.369,PSYCHON B REV,219,2,10,13,12,21,16,16,19,20,13,77
9,14.756,PSYCHOL BULL,204,1,8,2,7,15,6,4,7,6,5,143
10,2.457,MEM COGNITION,192,1,7,10,9,9,4,12,8,11,10,111
11,3.358,J EXP PSYCHOL HUMAN,187,1,3,12,10,9,10,10,6,10,7,109
12,3.479,COGNITION,166,0,3,11,11,12,11,36,9,3,5,65
13,21.965,TRENDS COGN SCI,160,1,2,13,7,15,10,22,15,14,15,46
14, ,SCIENCE,149,0,0,4,7,8,8,21,19,6,4,72
15,2.285,J EXP SOC PSYCHOL,146,2,6,11,18,11,14,18,6,7,2,51
16,5.064,COGNITIVE PSYCHOL,130,0,2,6,4,7,6,6,4,6,3,86
17, ,P NATL ACAD SCI USA,117,2,4,9,19,20,9,10,5,4,4,31
18,2.909,PERS SOC PSYCHOL B,102,1,2,6,9,7,3,7,6,6,4,51
19,4.237,J MEM LANG,101,0,7,7,4,4,4,14,4,3,7,47
20, ,J NEUROSCI,86,1,7,8,11,4,9,7,11,8,1,19
21, ,NATURE,86,0,1,3,1,2,0,9,7,7,5,51
22, ,VISION RES,82,0,1,3,4,2,5,2,5,6,6,48
23,2.127,Q J EXP PSYCHOL,78,0,9,9,8,6,12,5,10,5,0,14
24,9.546,PERSPECT PSYCHOL SCI,76,0,9,22,15,9,2,7,3,9,0,0
25,5.678,CURR DIR PSYCHOL SCI,74,0,5,8,7,3,8,7,7,2,1,26
26, ,PERCEPT PSYCHOPHYS,73,0,0,0,0,0,0,2,1,4,4,62
27,6.100,AM PSYCHOL,72,0,0,0,1,0,1,0,0,1,3,66
28,20.771,BEHAV BRAIN SCI,72,1,4,4,7,6,3,4,1,1,2,39
29,2.928,BEHAV RES METHODS,71,0,6,6,5,3,5,10,11,0,3,22
30, ,PLOS ONE,70,2,11,21,9,7,10,7,3,0,0,0
31, ,NAT NEUROSCI,69,1,3,4,10,3,3,4,8,1,7,25
32, ,NEUROIMAGE,69,1,2,8,10,6,8,5,4,3,4,18
33,3.383,EMOTION,68,0,1,5,8,14,9,9,8,4,2,8
34, ,J EXP PSYCHOL,62,0,0,0,0,0,0,0,0,0,0,62
35,4.085,J COGNITIVE NEUROSCI,61,2,0,6,8,7,5,5,4,4,2,18
36,2.201,COGNITION EMOTION,59,0,3,2,6,11,8,2,2,0,3,22
37,3.125,J CONSUM RES,59,0,1,3,2,4,5,4,3,0,4,33
38, ,J NEUROPHYSIOL,59,0,1,5,1,2,6,3,4,1,5,31
39,21.810,ANNU REV PSYCHOL,57,1,1,4,3,2,4,10,4,2,3,23
40, ,NEURON,54,0,1,10,5,3,1,5,1,3,6,19
41,2.248,ACTA PSYCHOL,52,0,5,2,4,3,1,6,3,2,1,25
42,2.446,COGNITIVE SCI,52,1,2,4,5,6,7,3,3,2,1,18
43, ,EXP BRAIN RES,52,0,0,2,3,4,3,5,4,4,3,24
44,1.688,MEMORY,51,0,2,1,4,6,3,4,3,7,5,16
45,3.302,NEUROPSYCHOLOGIA,50,0,1,4,6,6,3,2,3,4,1,20
46,2.201,ORGAN BEHAV HUM DEC,50,0,1,0,2,1,3,0,2,2,1,38
47,4.061,CHILD DEV,48,0,0,4,4,2,4,3,4,1,5,21
48, ,J VERB LEARN VERB BE,48,0,0,0,0,0,0,0,0,0,0,48
49,6.692,PERS SOC PSYCHOL REV,46,1,4,3,2,7,2,1,6,4,2,14
50, ,PHILOS T R SOC B,44,0,3,5,1,1,11,1,6,0,1,15
