Citing Journal Data: JOURNAL OF EXPERIMENTAL PSYCHOLOGY-HUMAN PERCEPTION AND PERFORMANCE,,,,,,,,,,,,,,
,Impact Factor,Cited Journal,All Yrs,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,Rest
1, ,ALL Journals,10242,120,471,535,622,584,556,565,474,436,473,5406
2, ,ALL OTHERS (841),841,17,40,35,37,25,22,35,36,27,34,533
3,3.358,J EXP PSYCHOL HUMAN,891,15,48,44,42,42,58,37,44,31,39,491
4, ,PERCEPT PSYCHOPHYS,521,0,0,0,0,0,1,34,21,18,30,417
5, ,VISION RES,341,1,11,10,21,18,20,17,12,23,13,195
6,3.369,PSYCHON B REV,298,5,22,17,22,20,29,20,21,27,25,90
7,4.940,PSYCHOL SCI,275,2,23,12,12,25,27,12,16,15,14,117
8,7.972,PSYCHOL REV,268,2,4,5,3,11,7,13,14,9,15,185
9, ,J VISION,222,2,27,17,37,32,38,16,17,7,4,25
10, ,J ACOUST SOC AM,220,1,4,4,10,6,7,16,10,10,7,145
11, ,EXP BRAIN RES,199,1,10,7,23,16,13,15,15,13,13,73
12,21.965,TRENDS COGN SCI,185,2,6,13,12,10,11,9,8,14,18,82
13,2.862,J EXP PSYCHOL LEARN,162,9,19,6,3,9,8,6,7,1,6,88
14,3.479,COGNITION,160,2,9,10,8,14,8,29,4,9,6,61
15, ,J NEUROSCI,155,2,8,18,32,15,14,5,4,12,7,38
16, ,NATURE,150,0,0,2,0,0,3,8,0,3,5,129
17,5.064,COGNITIVE PSYCHOL,149,1,1,5,2,3,6,2,1,5,4,119
18,3.302,NEUROPSYCHOLOGIA,146,0,6,9,25,10,9,7,10,11,9,50
19,5.929,J EXP PSYCHOL GEN,143,3,9,3,6,7,5,7,4,5,9,85
20,2.168,ATTEN PERCEPT PSYCHO,142,7,17,32,27,42,17,0,0,0,0,0
21,2.248,ACTA PSYCHOL,141,0,7,12,16,29,4,8,4,5,3,53
22,0.906,PERCEPTION,138,1,2,2,4,6,12,10,9,7,8,77
23,1.921,VIS COGN,134,1,3,13,11,11,12,13,4,12,14,40
24, ,SCIENCE,125,0,1,3,2,4,6,9,3,2,6,89
25,4.085,J COGNITIVE NEUROSCI,116,2,8,14,14,11,7,11,5,4,4,36
26,2.127,Q J EXP PSYCHOL,113,1,12,8,11,10,14,13,2,11,0,31
27,2.457,MEM COGNITION,110,1,0,4,4,6,6,4,4,8,3,70
28, ,P NATL ACAD SCI USA,103,1,1,7,17,5,3,9,9,8,15,28
29,14.756,PSYCHOL BULL,97,0,0,3,6,5,4,1,6,3,6,63
30, ,CURR BIOL,96,2,3,8,8,11,5,12,7,6,5,29
31, ,PLOS ONE,91,3,22,22,13,12,10,7,2,0,0,0
32,2.000,MUSIC PERCEPT,77,1,1,2,2,5,5,2,0,3,1,55
33, ,NAT NEUROSCI,75,1,0,2,3,1,7,7,2,1,9,42
34,2.863,PSYCHOL RES-PSYCH FO,70,1,6,8,2,2,6,4,6,3,3,29
35, ,J NEUROPHYSIOL,69,1,3,5,1,7,5,2,4,0,4,37
36, ,NEUROIMAGE,64,2,2,12,7,6,3,2,4,5,3,18
37, ,NEURON,64,0,1,2,0,2,3,4,5,4,8,35
38, ,SPATIAL VISION,64,0,0,0,0,0,0,1,0,0,0,63
39, ,Q J EXP PSYCHOL-A,63,0,0,0,0,0,0,0,0,0,2,61
40,4.237,J MEM LANG,62,0,5,1,2,1,5,12,5,2,1,28
41,2.928,BEHAV RES METHODS,59,2,0,7,4,2,6,3,10,1,2,22
42,2.560,FRONT PSYCHOL,53,4,16,13,18,2,0,0,0,0,0,0
43,20.771,BEHAV BRAIN SCI,52,0,1,0,0,0,1,3,1,0,0,46
44,1.418,J MOTOR BEHAV,51,3,0,0,4,2,4,3,2,0,0,33
45, ,J EXP PSYCHOL,48,0,0,0,0,0,0,0,0,0,0,48
46, ,ATTENTION PERFORM,46,0,0,0,1,0,0,0,0,1,0,44
47,0.842,ECOL PSYCHOL,46,0,5,0,1,1,0,1,2,3,3,30
48, ,CEREB CORTEX,45,1,2,6,3,2,3,4,12,0,4,8
49,5.031,J PERS SOC PSYCHOL,45,0,1,1,0,5,1,0,2,1,0,34
50, ,NAT REV NEUROSCI,45,0,1,0,0,6,2,4,3,3,4,22
51, ,ANNU REV NEUROSCI,44,0,0,2,1,3,0,1,1,0,3,33
52,5.678,CURR DIR PSYCHOL SCI,39,0,4,3,7,4,1,1,1,5,0,13
53,1.598,HUM MOVEMENT SCI,38,1,1,2,3,1,3,1,7,1,2,16
54,0.619,AM J PSYCHOL,35,0,0,0,1,0,1,0,0,0,0,33
55,21.810,ANNU REV PSYCHOL,34,0,0,4,3,0,0,5,2,1,3,16
56, ,BRAIN,33,0,0,0,1,2,1,0,3,2,0,24
57,2.477,BRAIN COGNITION,33,0,4,0,4,3,1,2,1,0,2,16
58, ,BRAIN RES,32,0,1,1,0,3,3,3,5,9,1,6
59, ,NEUROSCI LETT,30,1,0,1,1,2,4,6,4,4,0,7
60, ,PHILOS T R SOC B,30,0,2,1,6,0,6,2,1,1,0,11
61, ,BIOL CYBERN,29,0,0,0,0,2,0,0,1,1,0,25
62,3.383,EMOTION,29,0,3,1,6,3,1,5,2,3,4,1
63, ,FRONT HUM NEUROSCI,29,1,7,8,1,7,1,4,0,0,0,0
64,1.598,J PHONETICS,27,0,1,0,1,1,2,0,1,0,0,21
65,2.134,LANG COGNITIVE PROC,27,0,0,5,2,2,0,5,0,0,2,11
66, ,CORTEX,26,0,2,1,2,0,4,3,3,1,0,10
67, ,J OPT SOC AM A,26,0,1,0,0,0,0,0,0,0,2,23
68,2.986,PSYCHOPHYSIOLOGY,26,0,1,1,5,2,1,0,0,0,0,16
69,2.549,J EXP CHILD PSYCHOL,25,0,0,2,1,0,2,2,2,2,0,14
