Citing Journal Data: Language Cognition and Neuroscience,,,,,,,,,,,,,,
,Impact Factor,Cited Journal,All Yrs,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,Rest
1, ,ALL Journals,5103,15,83,201,297,267,258,337,267,250,210,2918
2, ,ALL OTHERS (851),851,0,14,22,49,33,42,37,35,43,35,541
3,4.237,J MEM LANG,467,1,8,10,24,19,20,49,28,23,14,271
4, ,COGNITION,292,1,5,4,7,19,13,28,25,8,13,169
5,2.862,J EXP PSYCHOL LEARN,220,1,4,5,14,8,3,9,12,11,18,135
6, ,LANG COGNITIVE PROC,207,0,11,13,17,20,17,23,13,14,7,72
7,3.215,BRAIN LANG,119,0,0,11,10,3,2,10,3,5,4,71
8,7.972,PSYCHOL REV,115,0,0,2,3,2,0,1,2,8,2,95
9, ,MEM COGNITION,110,0,1,1,5,3,2,4,10,5,3,76
10,5.064,COGNITIVE PSYCHOL,95,1,0,1,6,7,6,1,3,3,3,64
11, ,PSYCHON B REV,81,0,0,0,9,7,6,14,4,5,3,33
12,4.085,J COGNITIVE NEUROSCI,77,0,1,2,7,5,9,8,1,8,1,35
13, ,COGNITIVE SCI,73,0,2,14,5,9,5,3,1,4,7,23
14, ,PSYCHOL SCI,69,1,1,0,3,6,2,5,5,5,7,34
15, ,J PSYCHOLINGUIST RES,64,0,0,2,1,0,1,3,2,3,3,49
16,6.357,NEUROIMAGE,60,0,2,4,4,6,5,7,3,6,4,19
17, ,J VERB LEARN VERB BE,59,0,0,0,0,0,0,0,0,0,0,59
18, ,BEHAV RES METHODS,58,0,0,2,3,4,6,5,8,0,1,29
19,3.358,J EXP PSYCHOL HUMAN,52,0,0,2,1,1,3,3,2,3,3,34
20, ,DISCOURSE PROCESS,49,0,1,0,2,1,3,1,4,5,6,26
21,21.965,TRENDS COGN SCI,46,0,0,0,0,2,3,5,5,6,3,22
22,1.503,J ACOUST SOC AM,44,0,0,1,0,2,0,2,0,3,2,34
23, ,LANGUAGE,44,0,0,1,1,1,0,0,1,3,2,35
24, ,J EXP PSYCHOL GEN,42,0,0,1,5,0,2,0,3,3,1,27
25,2.127,Q J EXP PSYCHOL,40,0,2,3,4,12,3,3,2,3,0,8
26, ,PERCEPT PSYCHOPHYS,36,0,0,0,0,0,0,1,0,1,1,33
27,2.986,PSYCHOPHYSIOLOGY,35,0,0,2,5,0,5,2,1,2,0,18
28,1.040,LANG SPEECH,34,0,3,0,2,2,1,1,1,0,1,23
29,20.771,BEHAV BRAIN SCI,33,1,4,1,0,0,0,0,0,0,0,27
30,2.843,BRAIN RES,32,0,0,1,4,3,3,3,13,5,0,0
