Citing Journal Data: NEW IDEAS IN PSYCHOLOGY,,,,,,,,,,,,,,
,Impact Factor,Cited Journal,All Yrs,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,Rest
1, ,ALL Journals,2122,20,40,99,107,110,88,92,104,96,76,1290
2, ,ALL OTHERS (929),929,2,17,42,43,37,35,26,42,43,30,612
3,1.444,NEW IDEAS PSYCHOL,49,16,3,3,1,7,2,5,5,4,2,1
4,5.031,J PERS SOC PSYCHOL,45,0,2,0,2,0,1,0,0,0,1,39
5,7.972,PSYCHOL REV,39,0,0,0,0,2,0,0,1,0,2,34
6,0.906,THEOR PSYCHOL,37,0,0,3,7,3,2,10,3,0,1,8
7,6.100,AM PSYCHOL,31,0,0,0,0,0,1,0,0,1,1,28
8,3.479,COGNITION,23,0,0,0,2,0,2,3,0,0,1,15
9,2.446,COGNITIVE SCI,20,0,0,2,1,0,1,1,3,0,2,10
10,4.940,PSYCHOL SCI,20,0,1,3,0,1,2,2,2,1,1,7
11,0.956,CULT PSYCHOL,17,0,0,3,7,0,0,0,0,0,0,7
12,0.756,J THEOR SOC BEHAV,17,0,0,0,2,1,0,1,1,1,1,10
13,14.756,PSYCHOL BULL,17,0,0,0,0,0,0,1,0,0,1,15
14,21.810,ANNU REV PSYCHOL,16,0,0,0,1,1,1,0,1,0,0,12
15,20.771,BEHAV BRAIN SCI,16,0,2,0,1,0,1,0,0,0,0,12
16,4.061,CHILD DEV,16,0,0,0,0,1,0,0,0,0,0,15
17,3.229,J PERS,15,0,0,0,0,0,0,0,2,1,0,12
18,2.695,J SEX RES,14,0,0,0,0,0,1,2,0,1,0,10
19,1.951,PERS INDIV DIFFER,14,0,0,0,0,2,0,0,1,0,0,11
20, ,J THEOR PHILOS,13,0,0,6,2,0,0,0,0,0,1,4
21,21.965,TRENDS COGN SCI,13,0,0,0,0,2,0,1,1,1,1,7
22,4.141,DEV PSYCHOL,12,0,1,0,1,0,1,0,1,0,0,8
