Cited Journal Data: LANGUAGE AND COGNITIVE PROCESSES,,,,,,,,,,,,,,
,Impact Factor,Citing Journal,All Yrs,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,Rest
1,,ALL Journals,2123,5,101,185,158,125,149,178,120,94,55,953
2,,ALL OTHERS (142),142,0,1,6,13,10,6,7,5,6,2,86
3,,LANG COGN NEUROSCI,207,0,11,13,17,20,17,23,13,14,7,72
4,2.560,FRONT PSYCHOL,118,1,10,15,12,10,10,10,6,4,0,40
5,4.237,J MEM LANG,115,0,11,6,8,5,8,12,3,6,3,53
6,3.215,BRAIN LANG,68,1,5,9,3,5,2,4,4,0,0,35
7,2.127,Q J EXP PSYCHOL,66,0,6,5,2,1,3,8,3,1,3,34
8,,PLOS ONE,64,0,5,6,2,5,4,8,5,1,1,27
9,3.302,NEUROPSYCHOLOGIA,54,0,1,6,5,2,3,3,1,0,1,32
10,2.073,COGN NEUROPSYCHOL,47,0,0,3,0,0,0,10,3,5,6,20
11,3.479,COGNITION,47,0,1,4,7,2,7,3,2,2,0,19
12,0.647,LINGUA,43,1,3,4,5,2,1,4,2,0,1,20
13,2.862,J EXP PSYCHOL LEARN,42,0,8,5,1,2,4,5,2,1,1,13
14,2.009,BILING-LANG COGN,39,0,1,4,2,3,0,4,11,2,1,11
15,1.598,J CHILD LANG,38,0,0,3,4,1,3,2,4,1,3,17
16,3.369,PSYCHON B REV,36,0,4,1,3,2,6,5,2,3,3,7
17,,FRONT HUM NEUROSCI,31,0,0,5,5,3,2,3,3,1,0,9
18,0.633,J PSYCHOLINGUIST RES,31,0,0,1,3,3,0,0,2,1,2,19
19,2.070,J SPEECH LANG HEAR R,31,0,0,8,4,2,5,1,1,2,0,8
20,2.457,MEM COGNITION,30,0,0,1,5,1,2,3,1,2,1,14
21,3.358,J EXP PSYCHOL HUMAN,27,0,0,5,2,2,0,5,0,0,2,11
22,2.446,COGNITIVE SCI,25,0,1,1,3,5,1,0,1,1,1,11
23,1.512,APPL PSYCHOLINGUIST,24,0,0,0,1,2,3,2,2,1,1,12
24,5.064,COGNITIVE PSYCHOL,24,0,1,0,1,0,0,2,1,3,1,15
25,,PHILOS T R SOC B,24,0,4,0,1,1,5,1,1,0,0,11
26,4.085,J COGNITIVE NEUROSCI,21,0,2,0,2,2,3,0,0,1,0,11
27,,BRAIN RES,20,0,0,1,2,0,2,4,1,0,1,9
28,1.431,J COGN PSYCHOL,20,0,0,2,0,1,1,9,1,0,0,6
29,1.598,J PHONETICS,20,0,1,0,0,2,2,0,2,2,0,11
30,2.928,BEHAV RES METHODS,19,0,0,1,0,0,2,4,1,1,1,9
31,,APHASIOLOGY,18,0,0,2,0,0,3,0,0,4,1,8
32,1.634,READ WRIT,18,0,0,3,1,0,0,1,2,2,1,8
33,2.248,ACTA PSYCHOL,17,0,0,1,1,0,2,5,0,1,0,7
34,4.141,DEV PSYCHOL,17,0,0,2,1,1,5,1,2,0,1,4
35,1.040,LANG SPEECH,17,0,1,2,1,2,0,1,2,2,0,6
36,,CORTEX,15,0,4,2,0,0,3,1,0,3,0,2
37,2.076,EXP PSYCHOL,14,0,2,0,0,1,0,2,1,0,0,8
38,5.929,J EXP PSYCHOL GEN,12,0,0,1,0,1,4,0,2,0,0,4
39,1.489,J NEUROLINGUIST,12,0,0,0,1,1,2,0,0,0,0,8
40,1.444,ANN DYSLEXIA,11,0,0,0,1,2,0,0,1,1,0,6
41,1.612,LANG LEARN,11,0,0,0,3,1,0,1,2,0,0,4
42,,NEUROIMAGE,11,0,0,2,2,0,0,1,0,1,1,4
43,,SPEECH COMMUN,11,0,0,0,2,3,2,0,2,0,0,2
44,1.388,COGN PROCESS,9,0,0,1,1,1,1,0,1,0,0,4
45,3.665,J AUTISM DEV DISORD,9,0,0,0,0,1,0,0,0,0,0,8
46,1.887,RES DEV DISABIL,9,0,0,0,0,0,1,0,0,2,0,6
47,2.941,SCI STUD READ,9,0,0,0,1,0,0,2,0,0,1,5
48,1.175,COGN LINGUIST,8,0,1,1,0,1,1,0,0,1,0,3
49,1.400,FIRST LANG,8,0,0,0,0,0,0,0,3,0,0,5
50,0.942,MOD LANG J,8,0,0,2,2,0,2,0,0,0,0,2
51,0.364,NORD J LINGUIST,8,0,2,0,2,0,0,0,0,0,0,4
52,4.940,PSYCHOL SCI,8,1,2,0,0,1,0,3,1,0,0,0
53,2.212,RES AUTISM SPECT DIS,8,0,0,0,0,0,0,0,0,0,0,8
54,1.083,LANG ACQUIS,7,0,0,1,0,0,0,1,0,1,3,1
55,0.826,LANG SCI,7,0,1,1,2,0,0,0,0,0,0,3
56,,NEUROINFORMATICS,7,0,0,2,1,0,1,0,0,0,0,3
57,,NEUROPHYSIOL CLIN,7,0,0,0,0,0,0,0,0,0,0,7
58,1.368,SECOND LANG RES,7,0,1,1,0,0,0,0,0,0,0,5
59,4.061,CHILD DEV,6,0,0,1,0,0,1,0,0,1,0,3
60,0.575,CLIN LINGUIST PHONET,6,0,0,0,0,0,0,0,1,1,0,4
61,1.471,INT J LANG COMM DIS,6,0,0,0,0,0,1,0,1,0,0,4
62,,J ACOUST SOC AM,6,0,0,3,0,0,1,1,1,0,0,0
63,1.625,J DEAF STUD DEAF EDU,6,0,0,2,0,0,1,0,0,1,0,2
64,3.518,J EDUC PSYCHOL,6,0,1,2,1,0,0,0,0,0,1,1
65,2.549,J EXP CHILD PSYCHOL,6,0,0,0,0,1,1,1,1,0,0,2
66,0.831,J PRAGMATICS,6,0,0,3,0,1,0,0,0,0,0,2
67,,P NATL ACAD SCI USA,6,0,0,0,3,0,0,1,1,0,0,1
68,,PHYS LIFE REV,6,0,0,1,1,0,0,0,0,0,0,4
69,1.556,STUD SECOND LANG ACQ,6,0,0,1,1,0,0,0,0,0,0,4
