,ACAD MED.csv,ADV CHILD DEV BEHAV.csv,AM J PRIMATOL.csv,AM J PSYCHOL.csv,AM PSYCHOL.csv,ANIM BEHAV.csv,ARTIF INTELL REV.csv,ARTIF INTELL.csv,BEHAV BRAIN SCI.csv,BEHAV PROCESS.csv,BEHAVIOUR.csv,BRIT J PSYCHOL.csv,CHILD DEV.csv,COGNITION INSTRUCT.csv,COGNITION.csv,COGNITIVE PSYCHOL.csv,COGNITIVE SCI.csv,COMPUT INTELL.csv,CONNECT SCI.csv,CONTEMP EDUC PSYCHOL.csv,DEV PSYCHOL.csv,DEV REV.csv,EUR J COGN PSYCHOL.csv,EXPERT SYST.csv,HUM FACTORS.csv,INT J HUM-COMPUT ST.csv,INT J PRIMATOL.csv,INT J SCI EDUC.csv,J AM SOC INFORM SCI.csv,J APPL DEV PSYCHOL.csv,J CHILD LANG.csv,J COMP PSYCHOL.csv,J COMPUT ASSIST LEAR.csv,J EDUC PSYCHOL.csv,J EXP PSYCHOL ANIM B.csv,J EXP PSYCHOL GEN.csv,J EXP PSYCHOL LEARN.csv,J HUM EVOL.csv,J LEARN SCI.csv,J MEM LANG.csv,J PERS SOC PSYCHOL.csv,J PRAGMATICS.csv,J PSYCHOLINGUIST RES.csv,J RES SCI TEACH.csv,LANG COGNITIVE PROC.csv,LEARN INSTR.csv,LECT NOTES ARTIF INT.csv,LECT NOTES COMPUT SC.csv,MACH LEARN.csv,MEM COGNITION.csv,MIND MACH.csv,MONOGR SOC RES CHILD.csv,NATURE.csv,NEURAL COMPUT.csv,NEUROCOMPUTING.csv,ORGAN BEHAV HUM DEC.csv,P NATL ACAD SCI USA.csv,PHILOS PSYCHOL.csv,PRIMATES.csv,PSYCHOL REV.csv,PSYCHOL SCI.csv,PSYCHON B REV.csv,SCIENCE.csv,TRAV HUMAIN.csv,USER MODEL USER-ADAP.csv
ACAD MED.csv,696.0,0.0,0.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,13.0,0.0,0.0
ADV CHILD DEV BEHAV.csv,0.0,2.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,69.0,0.0,26.0,16.0,7.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,3.0,0.0,4.0,0.0,0.0
AM J PRIMATOL.csv,0.0,0.0,236.0,0.0,0.0,70.0,0.0,0.0,0.0,2.0,44.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,111.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,2.0,0.0,108.0,0.0,0.0,0.0,16.0,0.0,0.0
AM J PSYCHOL.csv,0.0,0.0,0.0,23.0,16.0,0.0,0.0,2.0,0.0,0.0,0.0,9.0,12.0,0.0,4.0,27.0,12.0,0.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,14.0,84.0,0.0,0.0,11.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,49.0,0.0,0.0,4.0,0.0,0.0,6.0,0.0,0.0,0.0,47.0,13.0,9.0,8.0,0.0,0.0
AM PSYCHOL.csv,3.0,0.0,0.0,40.0,411.0,0.0,0.0,0.0,15.0,0.0,0.0,3.0,40.0,0.0,8.0,4.0,2.0,0.0,0.0,0.0,40.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,13.0,2.0,2.0,2.0,0.0,0.0,0.0,198.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,9.0,0.0,0.0,4.0,8.0,5.0,0.0,75.0,21.0,0.0,43.0,0.0,0.0
ANIM BEHAV.csv,0.0,0.0,27.0,0.0,0.0,1192.0,0.0,2.0,17.0,37.0,247.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,72.0,0.0,0.0,6.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,0.0,0.0,0.0,65.0,0.0,38.0,5.0,6.0,3.0,133.0,0.0,0.0
ARTIF INTELL REV.csv,0.0,0.0,0.0,0.0,0.0,0.0,3.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0
ARTIF INTELL.csv,0.0,0.0,0.0,0.0,0.0,0.0,6.0,390.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,12.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,50.0,46.0,0.0,1.0,0.0,2.0,4.0,0.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0,6.0,0.0,1.0
BEHAV BRAIN SCI.csv,0.0,0.0,5.0,6.0,32.0,39.0,0.0,6.0,126.0,8.0,16.0,3.0,8.0,0.0,52.0,41.0,30.0,0.0,17.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,23.0,14.0,33.0,3.0,0.0,44.0,32.0,0.0,13.0,0.0,28.0,0.0,0.0,0.0,4.0,13.0,0.0,0.0,85.0,12.0,6.0,3.0,31.0,0.0,3.0,194.0,19.0,15.0,80.0,0.0,0.0
BEHAV PROCESS.csv,0.0,0.0,3.0,3.0,2.0,259.0,0.0,0.0,5.0,70.0,73.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,83.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,40.0,0.0,0.0,0.0,19.0,0.0,0.0,32.0,3.0,13.0,40.0,0.0,0.0
