,ACTA PSYCHOL.csv,ARTIF INTELL.csv,BEHAV BRAIN SCI.csv,CHILD DEV.csv,COGN NEUROPSYCHOL.csv,COGN PROCESS.csv,COGNITION.csv,COGNITIVE PSYCHOL.csv,COGNITIVE SCI.csv,COMPUT EDUC.csv,COMPUT HUM BEHAV.csv,CORTEX.csv,DEV PSYCHOL.csv,DEVELOPMENTAL SCI.csv,EDUC PSYCHOL REV.csv,FRONT HUM NEUROSCI.csv,FRONT PSYCHOL.csv,INSTR SCI.csv,J CHILD LANG.csv,J COGNITIVE NEUROSCI.csv,J EDUC PSYCHOL.csv,J EXP CHILD PSYCHOL.csv,J EXP PSYCHOL GEN.csv,J EXP PSYCHOL HUMAN.csv,J EXP PSYCHOL LEARN.csv,J MEM LANG.csv,J NEUROSCI.csv,J PERS SOC PSYCHOL.csv,J PHONETICS.csv,LANG COGN NEUROSCI.csv,LEARN INSTR.csv,LECT NOTES COMPUT SC.csv,MEM COGNITION.csv,NAT NEUROSCI.csv,NATURE.csv,NEURON.csv,NEUROPSYCHOLOGIA.csv,NEW IDEAS PSYCHOL.csv,P NATL ACAD SCI USA.csv,PHILOS T R SOC B.csv,PLOS ONE.csv,PSYCHOL BULL.csv,PSYCHOL REV.csv,PSYCHOL SCI.csv,PSYCHON B REV.csv,Q J EXP PSYCHOL.csv,SCIENCE.csv,TOP COGN SCI.csv,TRENDS COGN SCI.csv,WIRES COGN SCI.csv
ACTA PSYCHOL.csv,255.0,0.0,49.0,25.0,20.0,9.0,153.0,82.0,40.0,0.0,0.0,30.0,31.0,24.0,0.0,26.0,55.0,0.0,0.0,89.0,6.0,55.0,144.0,330.0,193.0,98.0,78.0,68.0,0.0,0.0,16.0,0.0,148.0,53.0,60.0,30.0,157.0,0.0,59.0,27.0,77.0,120.0,181.0,175.0,196.0,115.0,70.0,0.0,111.0,0.0
ARTIF INTELL.csv,0.0,208.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,0.0,0.0,4.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0
BEHAV BRAIN SCI.csv,4.0,0.0,112.0,44.0,2.0,2.0,54.0,12.0,11.0,0.0,0.0,14.0,24.0,30.0,0.0,10.0,15.0,0.0,4.0,23.0,2.0,4.0,11.0,22.0,13.0,6.0,53.0,172.0,7.0,0.0,0.0,0.0,4.0,31.0,69.0,33.0,24.0,0.0,98.0,47.0,71.0,43.0,72.0,93.0,10.0,7.0,135.0,4.0,82.0,3.0
CHILD DEV.csv,5.0,0.0,16.0,859.0,5.0,0.0,158.0,49.0,18.0,0.0,0.0,6.0,550.0,147.0,10.0,3.0,4.0,0.0,37.0,17.0,77.0,139.0,28.0,17.0,25.0,14.0,18.0,94.0,14.0,0.0,7.0,0.0,13.0,13.0,31.0,7.0,24.0,5.0,52.0,19.0,15.0,116.0,50.0,140.0,21.0,11.0,63.0,0.0,46.0,3.0
COGN NEUROPSYCHOL.csv,4.0,0.0,10.0,0.0,152.0,3.0,42.0,11.0,5.0,0.0,0.0,55.0,2.0,2.0,0.0,3.0,9.0,0.0,0.0,48.0,3.0,3.0,11.0,31.0,29.0,63.0,9.0,0.0,0.0,3.0,0.0,0.0,13.0,6.0,10.0,14.0,105.0,0.0,11.0,6.0,2.0,0.0,36.0,11.0,23.0,8.0,5.0,0.0,36.0,0.0
COGN PROCESS.csv,27.0,5.0,24.0,6.0,5.0,25.0,53.0,29.0,27.0,0.0,2.0,27.0,7.0,3.0,3.0,11.0,20.0,0.0,0.0,32.0,6.0,9.0,35.0,55.0,30.0,31.0,16.0,36.0,0.0,0.0,0.0,0.0,59.0,13.0,20.0,4.0,53.0,0.0,22.0,15.0,22.0,40.0,62.0,50.0,37.0,21.0,38.0,4.0,52.0,0.0
COGNITION.csv,79.0,5.0,85.0,156.0,29.0,4.0,482.0,114.0,85.0,0.0,4.0,30.0,113.0,110.0,2.0,18.0,75.0,0.0,17.0,95.0,10.0,65.0,136.0,145.0,189.0,230.0,74.0,96.0,17.0,0.0,0.0,0.0,112.0,56.0,77.0,48.0,82.0,2.0,125.0,45.0,60.0,92.0,215.0,248.0,131.0,71.0,138.0,16.0,173.0,3.0
COGNITIVE PSYCHOL.csv,26.0,0.0,22.0,24.0,8.0,0.0,142.0,84.0,51.0,0.0,0.0,2.0,25.0,30.0,0.0,0.0,10.0,0.0,21.0,11.0,4.0,22.0,45.0,59.0,90.0,86.0,9.0,8.0,0.0,0.0,0.0,0.0,55.0,6.0,23.0,8.0,8.0,0.0,20.0,2.0,8.0,28.0,137.0,63.0,51.0,14.0,25.0,5.0,39.0,5.0
COGNITIVE SCI.csv,19.0,22.0,46.0,72.0,20.0,2.0,148.0,79.0,121.0,2.0,2.0,3.0,41.0,24.0,8.0,9.0,14.0,8.0,19.0,24.0,25.0,23.0,59.0,34.0,83.0,49.0,20.0,35.0,2.0,0.0,13.0,0.0,37.0,27.0,23.0,23.0,19.0,2.0,48.0,16.0,12.0,28.0,209.0,67.0,40.0,22.0,77.0,13.0,73.0,6.0
COMPUT EDUC.csv,5.0,9.0,3.0,21.0,0.0,0.0,4.0,14.0,27.0,953.0,249.0,0.0,13.0,5.0,81.0,0.0,2.0,70.0,0.0,2.0,158.0,4.0,13.0,0.0,19.0,0.0,0.0,30.0,0.0,0.0,126.0,6.0,10.0,0.0,8.0,4.0,3.0,4.0,8.0,0.0,2.0,53.0,21.0,12.0,5.0,5.0,32.0,2.0,15.0,0.0
