Cited Journal Data,,,,,,,,,,,,,,
,Impact Factor,Citing Journal,All Yrs,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,Rest
1,,ALL Journals,4492,72,214,272,470,337,238,213,296,207,222,1951
2,,ALL OTHERS (164),164,4,7,11,20,11,8,11,13,12,8,59
3,2.641,BRAIN LANG,574,30,38,33,55,36,23,22,34,18,34,251
4,3.630,NEUROPSYCHOLOGIA,299,3,12,23,22,25,5,18,15,14,10,152
5,,APHASIOLOGY,201,1,8,10,14,7,6,8,16,8,8,115
6,,BRAIN RES,168,12,15,8,15,14,9,6,5,7,5,72
7,,NEUROIMAGE,155,6,17,11,23,18,9,8,6,3,5,49
8,1.200,J NEUROLINGUIST,137,0,4,7,11,18,7,5,6,6,4,69
9,4.997,J COGNITIVE NEUROSCI,103,1,1,8,14,9,7,3,6,5,1,48
10,1.925,COGN NEUROPSYCHOL,97,0,3,10,11,7,6,2,7,2,6,43
11,2.474,J MEM LANG,81,0,0,5,10,6,12,1,3,9,5,30
12,,CORTEX,76,0,1,3,7,2,6,1,4,1,7,44
13,,PROG BRAIN RES,75,0,3,2,4,9,1,4,3,2,5,42
14,0.615,CLIN LINGUIST PHONET,63,0,4,3,4,10,3,3,3,7,4,22
15,,CEREB CORTEX,61,0,1,5,10,5,4,4,4,1,2,25
16,,J INT NEUROPSYCH SOC,61,2,2,7,4,1,3,4,5,1,6,26
17,1.018,AM J SPEECH-LANG PAT,56,1,3,2,3,5,3,0,6,3,3,27
18,,HUM BRAIN MAPP,55,0,3,3,9,12,2,1,2,1,0,22
19,1.383,LANG COGNITIVE PROC,53,0,1,1,10,1,13,3,2,9,2,11
20,0.962,LATERALITY,42,0,1,3,4,1,3,1,4,1,0,24
21,2.308,BRAIN COGNITION,38,0,0,3,5,2,1,2,3,1,1,20
22,1.691,J CLIN EXP NEUROPSYC,38,0,0,1,2,3,0,2,4,2,2,22
23,1.452,J SPEECH LANG HEAR R,38,0,5,4,7,2,4,1,2,1,2,10
24,,BRAIN,35,0,1,3,3,5,2,1,4,0,4,12
25,3.831,COGNITION,34,0,0,2,8,2,4,1,1,3,2,11
26,2.987,NEUROPSYCHOLOGY,34,0,1,3,0,1,2,0,4,1,2,20
27,,NEUROREPORT,34,2,7,1,7,0,0,3,1,1,2,10
28,0.756,BILING-LANG COGN,30,0,0,1,6,1,2,7,3,2,0,8
29,,BRAIN RES BULL,30,2,3,4,7,2,0,2,2,3,0,5
30,,J MED SPEECH-LANG PA,29,0,1,3,0,0,2,0,2,0,0,21
31,0.500,J PSYCHOLINGUIST RES,29,0,1,4,3,5,0,0,1,1,2,12
32,,PEDIATR CLIN N AM,26,0,2,1,1,1,1,1,1,3,3,12
33,,RESTOR NEUROL NEUROS,26,0,7,2,3,0,0,1,3,0,2,8
34,0.984,INT J LANG COMM DIS,25,0,0,0,2,3,0,3,0,2,1,14
35,,J NEUROSCI,22,0,1,0,4,3,2,0,4,0,0,8
36,,NEUROLOGY,22,0,4,2,1,1,2,1,1,0,0,10
37,,REV NEUROLOGIA,22,0,1,2,3,3,1,0,1,1,1,9
38,1.580,APPL PSYCHOLINGUIST,21,0,0,0,3,3,4,3,1,0,0,7
39,,CLIN NEUROPHYSIOL,21,0,1,3,1,0,1,2,1,3,1,8
40,2.205,INT J PSYCHOPHYSIOL,21,0,0,0,1,1,1,1,2,6,0,9
41,1.604,MEM COGNITION,21,0,0,4,4,1,3,0,1,2,1,5
42,2.435,NEUROPSYCHOL REV,21,0,0,1,0,2,0,3,3,1,2,9
43,2.922,DEV NEUROPSYCHOL,20,0,0,0,1,1,0,1,3,0,0,14
44,,CEREBELLUM,19,0,2,5,1,0,0,3,1,2,0,5
45,3.198,DEVELOPMENTAL SCI,19,0,1,3,1,2,1,1,4,0,1,5
46,,BEHAV BRAIN RES,18,0,0,0,3,1,1,1,7,0,0,5
47,0.963,BEHAV RES METHODS,18,0,0,5,4,3,5,0,0,0,1,0
48,3.349,PSYCHOPHYSIOLOGY,18,0,0,0,2,1,1,0,0,1,1,12
49,,CHILD NEUROPSYCHOL,17,0,0,0,3,1,1,2,2,2,2,4
50,3.212,J AUTISM DEV DISORD,17,0,0,0,3,0,0,2,0,2,1,9
51,,NAT REV NEUROSCI,17,0,0,2,2,1,1,0,1,1,0,9
52,,NEUROCASE,17,0,0,1,1,1,1,1,1,0,2,9
53,,BEHAV NEUROL,16,0,0,1,1,0,1,0,2,0,1,10
54,,BRAIN RES REV,16,0,0,0,7,1,1,0,0,1,1,5
55,,COGN BEHAV NEUROL,16,0,0,0,1,2,0,1,2,1,0,9
56,10.905,PSYCHOL BULL,16,0,2,2,3,1,0,1,0,0,3,4
57,,BEHAV BRAIN FUNCT,15,2,0,0,0,1,0,1,1,0,0,10
58,1.716,CLIN NEUROPSYCHOL,15,0,0,0,2,1,1,0,2,0,2,7
59,1.439,FOLIA PHONIATR LOGO,15,0,0,2,1,1,1,4,0,0,1,5
60,,EUR J NEUROSCI,14,0,0,0,4,0,1,0,3,1,1,4
61,,J ACOUST SOC AM,14,0,5,1,1,0,3,0,2,0,0,2
62,1.371,PERCEPT PSYCHOPHYS,14,0,0,0,2,1,1,0,0,0,1,9
63,1.265,DYSLEXIA,13,0,0,1,1,0,2,0,1,1,0,7
64,0.924,NEUROREHABILITATION,13,0,0,1,5,1,0,1,0,0,2,3
65,2.201,ARCH CLIN NEUROPSYCH,12,0,0,0,0,0,1,1,0,0,3,7
66,,NEUROPSYCHOL REHABIL,12,0,0,0,3,0,0,1,1,0,1,6
67,,NEUROSCI LETT,12,0,1,1,3,1,0,0,1,1,0,4
68,,SOC NEUROSCI,12,0,2,1,2,1,0,1,0,1,0,4
69,0.589,SPAN J PSYCHOL,12,0,0,0,3,2,0,0,0,0,1,6
70,,CAN J LING/REV CAN L,11,0,0,0,1,2,0,0,0,1,1,6
71,,COMP LITERATURE,11,0,0,0,1,1,2,1,1,1,1,3
72,,P NATL ACAD SCI USA,11,0,0,0,1,1,0,1,0,3,1,4
73,1.935,PSYCHON B REV,11,0,0,1,2,1,1,0,0,0,1,5
74,,READ WRIT,11,0,1,1,2,0,2,1,0,1,0,3
75,,BMC NEUROSCI,10,0,1,0,1,1,0,0,1,0,1,5
76,1.188,J FLUENCY DISORD,10,0,0,0,0,1,0,0,1,0,2,6
77,1.477,J LEARN DISABIL-US,10,0,0,0,1,2,1,0,1,0,1,4
78,,NEURON,10,0,0,0,3,0,0,1,0,0,0,6
79,4.240,SCHIZOPHR RES,10,0,0,0,0,1,1,0,0,1,1,6
80,,AM J PHYS MED REHAB,9,0,0,0,0,0,1,0,2,0,0,6
81,,AUDIOL NEURO-OTOL,9,0,0,0,1,0,1,2,0,2,0,3
82,2.179,COGNITIVE SCI,9,0,0,0,2,1,0,1,1,0,0,4
83,,EPILEPSIA,9,0,0,2,1,0,0,1,2,0,0,3
84,,EPILEPSY BEHAV,9,0,1,2,0,0,0,2,1,0,1,2
85,,J NEUROL NEUROSUR PS,9,0,0,0,0,0,1,0,0,0,2,6
86,,J NEUROL SCI,9,0,0,1,0,1,0,2,2,0,0,3
87,,LECT NOTES ARTIF INT,9,0,0,0,1,3,0,0,0,0,1,4
88,1.403,MEMORY,9,0,0,2,1,1,0,1,0,0,0,4
89,0.387,PERCEPT MOTOR SKILL,9,0,1,0,0,0,1,0,1,1,0,5
90,1.104,Q J EXP PSYCHOL,9,0,0,1,1,0,0,0,2,0,0,5
91,2.393,ARCH SEX BEHAV,8,0,0,0,0,0,1,0,3,0,1,3
92,2.312,CURR ANTHROPOL,8,0,1,1,1,1,0,0,0,0,0,4
93,1.414,DISABIL REHABIL,8,0,0,0,0,0,0,0,1,3,1,3
94,,EXP BRAIN RES,8,0,1,1,1,0,1,0,2,1,0,1
95,2.408,J EXP PSYCHOL LEARN,8,0,1,0,0,2,1,0,2,0,1,1
96,,J NEUROL,8,0,0,2,0,0,0,2,2,0,0,2
97,0.757,LANG SPEECH,8,0,0,0,1,0,2,1,0,0,2,2
98,0.500,REV MEX PSICOL,8,0,0,0,0,1,0,1,0,0,0,6
99,2.676,SCI STUD READ,8,1,0,2,1,1,1,0,0,1,0,1
100,,STROKE,8,0,2,1,1,0,0,0,0,0,1,3
101,1.485,STUD SECOND LANG ACQ,8,0,0,0,0,0,0,0,0,1,0,7
102,,VISION RES,8,0,0,0,2,0,2,0,1,0,0,3
103,,BRAIN INJURY,7,0,1,0,0,0,1,0,0,1,0,4
