Citing Journal Data,,,,,,,,,,,,,,
,Impact Factor,Cited Journal,All Yrs,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,Rest
1, ,ALL Journals,932,7,33,32,46,58,36,54,55,36,28,547
2, ,ALL OTHERS (445),445,4,20,15,20,25,19,18,27,17,16,264
3,0.971,COGN LINGUIST,87,1,4,2,6,1,0,0,0,1,4,68
4,1.976,LANGUAGE,15,0,1,1,0,0,0,0,3,2,0,8
5, ,FIELD MANUAL 2001 LA,14,0,0,0,0,0,0,14,0,0,0,0
6,2.179,COGNITIVE SCI,10,0,0,2,0,1,0,1,0,0,0,6
7,0.880,J CHILD LANG,9,0,0,1,1,2,1,1,1,0,0,2
8,2.474,J MEM LANG,9,0,0,0,0,1,0,0,1,2,0,5
9,7.803,PSYCHOL REV,9,0,1,1,0,0,0,0,0,0,0,7
10, ,FDN COGNITIVE GRAMMA,8,0,0,0,0,0,0,0,0,0,0,8
11, ,COGNITIVE SEMANTICS,7,0,0,0,0,0,0,0,7,0,0,0
12,4.505,J PERS SOC PSYCHOL,7,0,0,0,0,0,0,1,0,0,1,5
13, ,METAPHORS WE LIVE,7,0,0,0,0,1,0,0,0,0,0,6
14,1.439,J PHONETICS,6,0,0,0,0,2,0,0,0,0,1,3
15,0.484,J PRAGMATICS,6,1,0,1,1,0,1,0,0,1,0,1
16, ,METAPHOR THOUGHT,6,0,0,0,0,0,0,0,0,0,0,6
17, ,STUD LANG,6,0,0,0,0,0,0,0,0,1,1,4
18, ,UNACCUSATIVITY SYNTA,6,0,0,0,0,0,0,0,0,0,0,6
19, ,WOMEN FIRE DANGEROUS,6,0,0,0,0,0,0,0,0,0,0,6
20, ,KANS WORKING PAPER,5,0,0,0,0,0,0,0,0,0,0,5
21,0.338,LINGUISTICS,5,1,0,0,1,0,0,0,0,1,0,2
22, ,PAP PAR CAUS AG 21 R,5,0,0,0,0,0,0,0,0,0,0,5
23, ,PAP PARASESSION C,5,0,0,0,0,0,0,0,0,0,0,5
24, ,BUILDING OBJECT CATE,4,0,0,4,0,0,0,0,0,0,0,0
25, ,CAUSATIVES TRANSITIV,4,0,0,0,0,0,0,0,0,0,0,4
26, ,CONSTRUCTION GRAMMAR,4,0,0,0,2,0,0,0,0,0,0,2
27, ,ENGLISH VERB CLASSES,4,0,0,0,0,0,0,0,0,0,0,4
28,2.408,J EXP PSYCHOL LEARN,4,0,0,0,0,0,0,0,0,0,0,4
29,0.373,LANG SCI,4,0,1,0,0,1,1,0,1,0,0,0
30, ,LANGUAGE TYPOLOGY SY,4,0,0,0,0,0,0,0,0,0,0,4
31,1.040,METAPHOR SYMBOL,4,0,1,0,0,1,0,1,1,0,0,0
