Cited Journal Data,,,,,,,,,,,,,,
,Impact Factor,Citing Journal,All Yrs,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,Rest
1,,ALL Journals,9417,41,239,326,513,549,422,359,406,650,496,5416
2,,ALL OTHERS (338),338,2,8,6,22,12,14,11,10,21,14,218
3,3.038,DEV PSYCHOL,501,7,14,26,34,47,28,29,27,37,29,223
4,3.382,CHILD DEV,391,1,13,17,24,15,25,7,20,35,31,203
5,0.986,SOC DEV,186,0,1,3,9,10,4,13,8,13,17,108
6,4.374,DEV PSYCHOPATHOL,162,0,4,5,16,16,6,6,7,14,13,75
7,0.970,INFANT BEHAV DEV,158,0,8,2,6,1,2,3,6,11,12,107
8,1.171,INT J BEHAV DEV,157,3,1,7,5,6,7,13,5,11,14,85
9,3.198,DEVELOPMENTAL SCI,156,3,3,7,14,11,10,7,9,7,6,79
10,2.619,J ABNORM CHILD PSYCH,154,1,7,5,8,19,4,7,9,13,6,75
11,0.915,J YOUTH ADOLESCENCE,132,0,7,3,4,9,6,5,10,9,5,74
12,0.824,MERRILL PALMER QUART,132,0,0,3,10,5,6,9,7,9,6,77
13,4.432,J CHILD PSYCHOL PSYC,122,0,5,11,12,9,7,3,5,11,7,52
14,1.694,INFANCY,103,0,3,6,3,3,2,3,3,4,6,70
15,1.055,J APPL DEV PSYCHOL,98,0,3,3,5,9,3,5,4,9,7,50
16,0.843,J GENET PSYCHOL,95,0,0,2,5,5,6,0,4,4,4,65
17,2.555,J CLIN CHILD ADOLESC,83,0,3,4,1,16,2,2,5,3,3,44
18,1.728,J FAM PSYCHOL,81,1,1,3,3,5,2,4,5,8,6,43
19,1.211,J RES ADOLESCENCE,81,0,1,1,6,3,7,2,8,5,2,46
20,3.212,J AUTISM DEV DISORD,77,0,1,2,9,4,2,1,4,4,6,44
21,1.197,COGNITIVE DEV,76,0,2,2,8,4,5,4,4,5,6,36
22,1.563,J EXP CHILD PSYCHOL,76,0,4,3,4,3,6,2,2,6,5,41
23,2.032,DEV REV,71,0,1,6,6,2,2,6,5,3,3,37
24,1.091,INFANT CHILD DEV,71,0,1,0,4,0,2,4,2,9,5,44
25,0.632,EARLY CHILD RES Q,65,0,1,4,2,5,4,2,2,2,6,37
26,,DEV PSYCHOBIOL,60,0,1,2,2,3,2,2,3,3,3,39
27,1.057,INFANT MENT HEALTH J,60,0,0,5,5,5,3,3,4,6,2,27
28,3.831,COGNITION,59,0,0,2,3,2,6,4,2,3,6,31
29,1.205,BRIT J DEV PSYCHOL,58,0,1,0,1,6,3,2,2,5,9,29
30,1.452,J SPEECH LANG HEAR R,58,0,1,2,6,3,2,0,1,0,0,43
31,1.240,AGGRESSIVE BEHAV,57,0,0,0,1,11,1,0,4,5,6,29
32,0.652,SEX ROLES,56,0,2,0,2,1,4,6,0,7,2,32
33,2.353,J EDUC PSYCHOL,55,0,1,5,3,7,1,2,2,0,4,30
34,1.444,ADV CHILD DEV BEHAV,54,0,3,3,2,5,1,7,1,10,1,21
35,0.962,J SCHOOL PSYCHOL,53,0,1,2,3,4,4,0,9,2,0,28
36,1.756,J MARRIAGE FAM,52,1,4,2,4,0,2,2,1,4,0,32
37,,J COGN DEV,50,0,0,3,4,2,3,2,3,3,4,26
38,1.959,AM J ORTHOPSYCHIAT,49,0,2,2,1,6,3,1,0,6,0,28
39,3.088,EMOTION,47,0,2,3,2,1,1,2,0,7,1,28
40,4.505,J PERS SOC PSYCHOL,46,0,0,1,5,4,2,1,2,4,1,26
41,2.518,PSYCHOL AGING,43,0,0,3,0,1,2,2,1,1,2,31
42,4.854,CLIN PSYCHOL REV,42,0,0,1,1,6,1,0,5,3,0,25
43,0.880,J CHILD LANG,41,0,2,3,0,0,3,5,2,2,2,22
44,1.717,ATTACH HUM DEV,40,0,1,0,2,3,3,3,2,8,1,17
45,1.154,J EARLY ADOLESCENCE,40,0,0,0,0,1,3,5,4,2,1,24
46,10.905,PSYCHOL BULL,40,0,2,1,3,2,5,2,2,1,3,19
47,,PARENT-SCI PRACT,39,0,4,1,3,4,1,2,1,4,0,19
48,1.207,J ADOLESCENCE,38,0,1,0,2,3,2,1,1,0,8,20
49,,TWIN RES HUM GENET,38,0,4,2,2,2,1,0,3,3,3,18
50,1.257,APPL COGNITIVE PSYCH,37,0,0,0,1,0,1,0,0,7,2,26
51,1.333,NEBR SYM MOTIV,37,0,0,0,1,0,0,1,1,1,2,31
52,,PROG BRAIN RES,37,0,2,1,1,2,2,3,4,2,0,20
53,2.922,DEV NEUROPSYCHOL,36,0,0,1,3,1,0,3,1,3,1,23
54,3.045,J PEDIATR PSYCHOL,36,0,0,2,5,1,2,2,3,1,2,18
55,2.097,J DEV BEHAV PEDIATR,35,0,1,2,2,1,3,0,2,0,2,22
56,1.783,ACTA PSYCHOL,34,0,2,2,2,0,1,1,1,5,0,20
57,2.308,BRAIN COGNITION,34,0,0,1,0,0,2,0,1,2,1,27
58,1.400,PERS INDIV DIFFER,34,0,2,0,2,5,2,1,1,0,2,19
59,4.251,PSYCHOL SCI,34,0,2,1,1,4,1,0,0,4,1,20
