Cited Journal Data,,,,,,,,,,,,,,
,Impact Factor,Citing Journal,All Yrs,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,Rest
1,,ALL Journals,405,0,4,13,26,40,49,46,37,35,8,147
2,,ALL OTHERS (48),48,0,0,2,1,5,5,3,6,5,0,21
3,0.270,ETR&D-EDUC TECH RES,94,0,1,1,5,10,15,8,6,10,3,35
4,0.574,BRIT J EDUC TECHNOL,29,0,1,3,6,2,2,2,2,3,1,7
5,1.344,COMPUT HUM BEHAV,27,0,0,0,0,1,5,2,4,2,1,12
6,0.800,J COMPUT ASSIST LEAR,20,0,1,0,0,7,1,1,1,1,1,7
7,1.602,COMPUT EDUC,17,0,0,0,1,1,3,2,1,2,0,7
8,0.795,INSTR SCI,17,0,0,0,1,1,3,3,3,1,1,4
9,0.475,EDUC TECHNOL SOC,16,0,0,0,3,3,0,2,0,1,0,7
10,,LECT NOTES COMPUT SC,12,0,1,0,0,0,2,3,0,1,0,5
11,2.600,REV EDUC RES,10,0,0,1,0,2,0,2,1,1,0,3
12,0.936,SCI EDUC,10,0,0,1,0,2,0,3,2,0,0,2
13,,PROC FRONT EDUC CONF,8,0,0,0,2,2,2,1,0,1,0,0
14,1.029,LEARN INSTR,7,0,0,0,3,0,0,2,0,0,0,2
15,0.180,INNOV EDUC TEACH INT,6,0,0,1,0,0,0,1,1,0,0,3
16,,INT J ENG EDUC,5,0,0,0,0,0,1,0,0,0,0,4
17,0.407,INTERACT LEARN ENVIR,5,0,0,0,2,0,2,0,1,0,0,0
18,1.222,LANG LEARN TECHNOL,5,0,0,0,0,0,0,1,1,1,0,2
19,1.516,EDUC PSYCHOL REV,4,0,0,1,0,0,0,0,0,0,0,3
20,0.364,FOREIGN LANG ANN,4,0,0,1,0,0,1,0,1,0,0,1
21,1.571,J LEARN SCI,4,0,0,1,0,1,0,0,1,0,0,1
22,,J VET MED EDUC,4,0,0,0,0,1,2,1,0,0,0,0
23,,MED EDUC,4,0,0,0,0,0,0,2,0,0,0,2
24,0.415,ASIA PAC EDUC REV,3,0,0,0,0,0,1,0,0,0,0,2
25,1.028,BEHAV INFORM TECHNOL,3,0,0,0,1,0,0,2,0,0,0,0
26,1.487,CONTEMP EDUC PSYCHOL,3,0,0,1,0,0,0,0,0,0,0,2
27,,IEEE T EDUC,3,0,0,0,0,0,0,0,0,1,0,2
28,,MED TEACH,3,0,0,0,0,0,0,1,1,0,0,1
29,,ACAD EMERG MED,2,0,0,0,0,0,0,0,1,0,0,1
30,0.475,ADOLESCENCE,2,0,0,0,0,0,0,1,0,1,0,0
31,,CLIN MED,2,0,0,0,0,0,1,0,0,0,0,1
32,2.231,EDUC PSYCHOL-US,2,0,0,0,0,0,2,0,0,0,0,0
33,,ELE COM ENG,2,0,0,0,0,0,0,0,0,2,0,0
34,,EUR J CANCER CARE,2,0,0,0,0,0,0,1,0,0,0,1
35,1.436,J AM SOC INF SCI TEC,2,0,0,0,0,0,0,0,1,0,0,1
36,3.047,J APPL PSYCHOL,2,0,0,0,0,0,0,0,2,0,0,0
37,1.232,J COMPUT-MEDIAT COMM,2,0,0,0,1,0,0,0,0,0,0,1
38,2.353,J EDUC PSYCHOL,2,0,0,0,0,2,0,0,0,0,0,0
39,3.000,J ENG EDUC,2,0,0,0,0,0,0,0,0,1,0,1
40,0.345,J LIT RES,2,0,0,0,0,0,0,1,0,0,0,1
41,,LECT NOTES ARTIF INT,2,0,0,0,0,0,0,0,1,1,0,0
42,0.387,PERCEPT MOTOR SKILL,2,0,0,0,0,0,0,0,0,0,0,2
43,,S AFR J EDUC,2,0,0,0,0,0,1,0,0,0,1,0
44,1.472,SCIENTOMETRICS,2,0,0,0,0,0,0,0,0,0,0,2
45,1.212,TECH COMMUN,2,0,0,0,0,0,0,1,0,0,0,1
Copyright © 2018 Clarivate Analytics,,,,,,,,,,,,,,
"By exporting the selected data, you agree to the data usage policy set forth in the Terms of Use",,,,,,,,,,,,,,
