Citing Journal Data,,,,,,,,,,,,,,
,Impact Factor,Cited Journal,All Yrs,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,Rest
1, ,ALL Journals,1426,24,132,168,129,77,100,59,72,53,54,558
2, ,ALL OTHERS (641),641,13,64,61,62,31,46,31,31,16,16,270
3,3.000,J ENG EDUC,156,4,16,36,19,6,14,9,7,5,10,30
4, ,DESIGN STUD,29,0,2,4,2,2,2,1,1,4,3,8
5, ,P AM SOC ENG ED ANN,27,1,11,10,1,3,0,1,0,0,0,0
6, ,INT J ENG EDUC,18,0,9,1,2,0,2,1,0,0,0,3
7, ,CHEM ENG EDUC,16,0,1,1,0,0,1,0,5,1,0,7
8,1.148,J RES SCI TEACH,14,0,0,0,1,0,1,2,0,3,2,5
9, ,AM J PHYS,11,0,1,1,2,1,1,0,0,0,2,3
10,2.179,COGNITIVE SCI,10,0,0,0,2,0,0,0,0,0,0,8
11, ,J PROF ISS ENG ED PR,10,0,0,0,0,0,0,1,2,1,1,5
12, ,P 2004 AM SOC ENG ED,10,0,0,0,4,0,0,0,0,0,0,6
13, ,RES ENG DES,10,0,2,0,0,1,0,0,0,0,3,4
14, ,J WOMEN MINORITIES S,9,0,0,0,1,0,1,0,0,1,0,6
15,0.699,RES HIGH EDUC,8,0,0,1,1,1,1,0,0,1,0,3
16,2.600,REV EDUC RES,8,0,0,0,0,1,0,0,1,1,0,5
17, ,EDUC RESEARCHER,7,0,0,0,1,2,2,0,0,0,0,2
18, ,NEW DIRECTIONS TEACH,7,0,0,0,0,2,0,0,1,0,0,4
19, ,P 2005 AM SOC ENG ED,7,0,0,4,0,0,0,0,0,0,0,3
20,1.930,AM EDUC RES J,6,0,0,0,0,1,0,1,0,1,0,3
21, ,CHANGE,6,0,0,0,1,0,0,0,0,2,0,3
22, ,CRIT ACCR ENG PROGR,6,0,1,1,0,1,0,0,0,0,0,3
23, ,EXPERT SYST,6,0,0,5,0,0,0,0,0,0,0,1
24, ,IEEE ENG MED BIOL,6,0,0,0,0,6,0,0,0,0,0,0
25,2.353,J EDUC PSYCHOL,6,0,0,0,0,2,0,0,2,0,0,2
26,1.571,J LEARN SCI,6,0,0,2,0,0,0,0,2,0,0,2
27, ,THESIS COLORADO SCH,6,2,1,3,0,0,0,0,0,0,0,0
28,3.277,AM SOCIOL REV,5,0,0,0,0,0,0,0,0,0,0,5
29, ,BASICS QUAL R,5,0,0,0,0,0,0,0,0,0,2,3
30, ,CAMBRIDGE HDB EXPERT,5,0,5,0,0,0,0,0,0,0,0,0
31,1.519,COGNITION INSTRUCT,5,0,0,0,1,1,0,0,0,0,2,1
32, ,DES KNOWING LEARN,5,0,0,0,0,0,2,3,0,0,0,0
33, ,IEEE T EDUC,5,0,0,2,0,0,0,0,3,0,0,0
34,0.867,J HIGH EDUC,5,0,0,0,1,1,1,0,0,0,2,0
35, ,P 2006 AM SOC ENG ED,5,0,3,0,0,0,0,0,0,0,0,2
36,0.936,SCI EDUC,5,0,0,0,1,0,0,0,0,0,0,4
37, ,8 AUSTR COMP ED C AC,4,0,4,0,0,0,0,0,0,0,0,0
38,1.602,COMPUT EDUC,4,0,0,0,0,0,2,0,0,0,0,2
39,1.484,ERGONOMICS,4,0,0,0,0,2,0,0,1,0,0,1
40,0.608,HIGH EDUC,4,0,0,0,0,0,0,0,0,0,0,4
41, ,P FRONT ED C IND IN,4,0,0,4,0,0,0,0,0,0,0,0
42, ,PHYS TEACH,4,0,1,0,1,0,0,0,0,0,0,2
43, ,REFERENCE GUIDE WRIT,4,0,0,4,0,0,0,0,0,0,0,0
44, ,TALKING LEAVING WHY,4,0,0,0,0,0,0,0,0,0,0,4
45, ,UNLOCKING CLUBHOUSE,4,0,0,0,0,0,3,1,0,0,0,0
46, ,1 INT COMP ED RES WO,3,0,0,3,0,0,0,0,0,0,0,0
