Citing Journal Data,,,,,,,,,,,,,,
,Impact Factor,Cited Journal,All Yrs,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,Rest
1, ,ALL Journals,2605,10,118,178,179,155,141,166,148,113,135,1262
2, ,ALL OTHERS (564),564,2,17,33,18,25,25,24,26,14,33,347
3,7.803,PSYCHOL REV,134,1,1,7,10,4,7,6,5,7,4,82
4,5.594,J EXP PSYCHOL GEN,108,1,10,7,16,5,6,14,4,6,4,35
5,2.408,J EXP PSYCHOL LEARN,107,0,3,9,8,7,6,6,10,7,4,47
6,4.505,J PERS SOC PSYCHOL,85,0,2,5,7,13,0,9,4,3,7,35
7,1.604,MEM COGNITION,62,0,3,6,1,2,10,3,5,3,5,24
8,2.474,J MEM LANG,59,0,2,9,5,6,1,3,3,3,4,23
9,2.580,J EXP PSYCHOL HUMAN,55,2,2,3,3,4,1,4,6,0,5,25
10,10.905,PSYCHOL BULL,52,0,2,0,4,1,0,3,5,1,3,33
11,1.935,PSYCHON B REV,47,0,1,6,9,4,8,4,3,2,2,8
12,4.251,PSYCHOL SCI,46,0,4,9,8,1,3,3,5,0,4,9
13,4.026,COGNITIVE PSYCHOL,44,0,3,4,2,1,0,2,2,2,1,27
14,3.831,COGNITION,37,0,0,3,0,1,2,2,2,0,3,24
15,1.371,PERCEPT PSYCHOPHYS,37,0,1,2,0,2,2,2,1,0,1,26
16, ,NATURE,34,0,5,3,6,2,2,2,0,0,1,13
17,9.389,TRENDS COGN SCI,28,0,1,6,1,6,2,2,6,2,1,1
18,2.449,Q J EXP PSYCHOL-A,26,1,0,1,3,1,2,2,1,1,1,13
19, ,SCIENCE,26,0,0,0,2,1,1,3,2,2,1,14
20, ,J VERB LEARN VERB BE,22,0,0,0,0,0,0,0,0,0,0,22
21,17.462,BEHAV BRAIN SCI,21,0,0,0,1,2,0,7,2,4,1,4
22,1.783,ACTA PSYCHOL,19,0,0,0,5,0,0,0,2,2,1,9
23,1.511,COGNITION EMOTION,18,0,4,1,3,0,0,1,0,0,1,8
24,2.179,COGNITIVE SCI,18,0,0,3,3,2,0,2,0,1,0,7
25,4.997,J COGNITIVE NEUROSCI,18,0,5,1,0,0,2,1,1,2,3,3
26,1.403,MEMORY,18,0,0,4,3,1,0,2,0,0,1,7
27, ,NEUROIMAGE,18,0,1,2,2,4,1,1,1,1,1,4
28,2.714,PSYCHOL LEARN MOTIV,18,0,0,0,1,2,0,0,2,0,0,13
29, ,VISION RES,18,1,1,5,1,1,2,3,1,0,1,2
30,3.382,CHILD DEV,17,0,1,1,0,1,0,3,1,0,1,9
31,4.684,J ABNORM PSYCHOL,17,0,1,0,0,2,1,2,1,2,1,7
32, ,J EXP PSYCHOL,17,0,0,0,0,0,0,0,0,0,0,17
33, ,P NATL ACAD SCI USA,17,0,4,1,1,1,3,0,0,3,1,3
34,1.383,LANG COGNITIVE PROC,15,0,1,1,1,2,1,0,1,1,1,6
35,3.630,NEUROPSYCHOLOGIA,14,0,0,1,0,3,0,2,2,1,1,4
36,2.518,PSYCHOL AGING,14,0,1,0,2,1,0,1,1,2,0,6
37, ,ATTENTION PERFORM,13,0,0,0,0,0,0,0,2,0,0,11
38,1.384,EUR J COGN PSYCHOL,13,0,2,1,4,0,0,2,0,2,2,0
39,0.657,J EDUC MEAS,13,0,0,0,0,0,0,0,0,0,0,13
40,0.387,PERCEPT MOTOR SKILL,13,0,0,0,0,0,1,0,0,0,0,12
41,0.963,BEHAV RES METHODS,12,0,0,1,2,1,0,0,0,1,2,5
42,2.986,INTELLIGENCE,12,0,0,1,0,2,2,0,0,0,2,5
43,1.847,PSYCHOL RES-PSYCH FO,12,0,0,0,4,1,0,1,0,0,1,5
44,6.967,AM PSYCHOL,11,0,0,0,0,0,0,0,0,2,0,9
45,1.257,APPL COGNITIVE PSYCH,11,0,2,2,0,0,0,2,4,0,1,0
46,13.400,ANNU REV PSYCHOL,10,0,0,0,2,0,1,2,2,0,0,3
47, ,MODELS WORKING MEMOR,10,0,0,0,0,0,0,0,0,10,0,0
48, ,NAT NEUROSCI,10,0,1,0,1,1,1,1,2,1,2,0
49,3.600,BEHAV RES THER,9,0,2,0,3,0,2,1,0,0,0,1
50, ,BRAIN,9,0,1,0,0,0,0,1,0,0,0,7
51, ,COGN AFFECT BEHAV NE,9,0,1,0,0,2,5,1,0,0,0,0
52,6.667,ADV EXP SOC PSYCHOL,8,0,0,0,1,2,2,0,0,0,0,3
53,0.939,AM J PSYCHOL,8,0,0,0,0,0,0,0,0,1,0,7
54,1.538,BRIT J PSYCHOL,8,0,1,0,0,0,0,0,0,0,0,7
55,2.732,CONSCIOUS COGN,8,0,0,0,0,4,0,2,0,0,0,2
56,2.750,CURR DIR PSYCHOL SCI,8,0,0,0,0,0,3,0,0,1,1,3
57,2.058,J EXP SOC PSYCHOL,8,1,2,0,1,0,0,0,0,2,0,2
58,1.282,J MATH PSYCHOL,8,0,0,0,0,0,0,1,3,0,0,4
59, ,J NEUROSCI,8,0,0,1,0,2,0,1,0,0,2,2
60,0.500,J PSYCHOLINGUIST RES,8,0,0,0,0,1,1,0,0,0,1,5
61,1.104,Q J EXP PSYCHOL,8,0,0,0,0,1,0,0,0,0,0,7
62, ,B PSYCHONOMIC SOC,7,0,0,0,0,0,0,0,0,0,0,7
63, ,COGNITIVE BRAIN RES,7,0,0,1,1,2,1,0,1,0,0,1
64, ,J ACOUST SOC AM,7,0,0,0,0,0,0,1,1,0,0,5
65, ,J NEUROPHYSIOL,7,0,1,0,0,0,0,2,1,0,1,2
66,1.400,PERS INDIV DIFFER,7,0,0,0,1,0,0,0,1,1,1,3
67,2.308,BRAIN COGNITION,6,0,0,0,0,2,2,0,0,1,0,1
68,2.641,BRAIN LANG,6,0,0,0,0,1,0,1,1,0,0,3
69,1.879,BRIT J CLIN PSYCHOL,6,0,0,0,0,0,1,2,0,0,0,3
70,1.925,COGN NEUROPSYCHOL,6,0,0,0,1,1,1,0,2,0,1,0
71,3.088,EMOTION,6,0,1,2,1,2,0,0,0,0,0,0
72, ,HUM BRAIN MAPP,6,0,1,0,0,0,1,3,0,0,0,1
73,0.564,J GEN PSYCHOL,6,0,0,0,0,0,0,0,0,0,1,5
74, ,NEURON,6,0,1,2,2,0,0,1,0,0,0,0
75,1.617,PERCEPTION,6,0,0,1,1,0,1,1,0,0,0,2
76,2.580,PERS SOC PSYCHOL B,6,0,2,0,1,0,1,0,0,0,0,2
77,3.349,PSYCHOPHYSIOLOGY,6,0,0,0,1,0,0,1,1,0,1,2
78, ,WORKING MEMORY,6,0,0,0,0,0,0,0,0,0,0,6
79,0.891,CAN J EXP PSYCHOL,5,0,0,1,0,2,0,0,0,0,0,2
80,1.111,COGN SYST RES,5,0,4,0,0,0,0,1,0,0,0,0
81,3.038,DEV PSYCHOL,5,0,0,0,1,0,0,1,0,1,0,2
82, ,DUAL PROCESS THEORIE,5,0,0,0,0,0,0,0,0,5,0,0
83,1.738,J CONSUM RES,5,0,0,1,0,0,0,0,0,2,1,1
84,1.739,J MARKETING RES,5,0,1,0,0,0,1,0,1,1,0,1
85, ,J SLEEP RES,5,0,0,1,0,0,0,0,1,0,1,2
86, ,LEARN MEMORY,5,0,0,1,3,0,0,0,0,0,0,1
87, ,CAN J PSYCHOL,4,0,0,0,0,0,0,0,0,0,0,4
88, ,CEREB CORTEX,4,0,0,1,0,1,0,1,0,0,0,1
89, ,COGNITIVE NEUROSCIEN,4,0,0,0,2,0,0,0,0,0,0,2
90, ,COLOR RES APPL,4,0,0,0,0,1,0,0,0,0,0,3
91, ,CONSCIOUSNESS SELF R,4,0,0,0,0,0,0,0,0,0,0,4
92, ,CURR OPIN NEUROBIOL,4,0,0,0,1,1,1,0,1,0,0,0
93,0.831,EDUC PSYCHOL MEAS,4,0,0,0,1,0,0,0,0,0,0,3
94, ,HEURISTICS BIASES PS,4,0,0,0,0,0,4,0,0,0,0,0
95,1.113,HUM FACTORS,4,0,0,0,0,1,0,1,0,0,1,1
96, ,INTENTIONAL FORGETTI,4,0,0,0,0,0,0,0,0,0,4,0
97,4.214,J CONSULT CLIN PSYCH,4,0,0,1,0,0,0,0,1,0,1,1
98,1.563,J EXP CHILD PSYCHOL,4,0,0,0,0,1,0,0,0,0,0,3
99,1.810,J EXP PSYCHOL-APPL,4,0,0,0,0,0,1,1,0,0,2,0
100, ,NONLINEAR DYNAMICS P,4,0,0,1,0,1,1,0,0,0,0,1
101,3.500,PSYCHOL METHODS,4,0,0,2,0,0,2,0,0,0,0,0
102,1.121,SOC COGNITION,4,0,0,0,1,0,0,0,0,1,0,2
103,1.727,VIS COGN,4,0,2,1,0,0,1,0,0,0,0,0
104, ,VOLITION PERSONALITY,4,0,0,0,0,0,0,0,0,0,0,4
105, ,ASSESSMENT EVALUATIO,3,0,0,1,1,0,0,0,0,1,0,0
106,0.833,BASIC APPL SOC PSYCH,3,0,2,0,0,0,0,0,0,0,0,1
107, ,BEHAV NEUROSCI,3,0,0,1,1,1,0,0,0,0,0,0
108, ,BIG BOOK CONCEPTS,3,0,0,0,0,0,3,0,0,0,0,0
109, ,CAUSAL LEARN PSYC,3,1,2,0,0,0,0,0,0,0,0,0
110, ,CAUSALITY MODELS REA,3,0,0,0,0,0,1,0,2,0,0,0
111,1.197,COGNITIVE DEV,3,0,0,0,0,0,0,0,0,0,0,3
112, ,COMPUT ANAL P,3,0,0,0,0,0,0,0,0,0,0,3
113, ,CORTEX,3,0,0,0,1,1,0,0,0,0,0,1
114, ,CURR BIOL,3,0,1,0,0,1,0,0,0,0,0,1
115, ,EXP BRAIN RES,3,0,0,0,0,0,1,1,0,1,0,0
116, ,HUM LEARN,3,0,0,0,0,0,0,0,0,0,0,3
117,1.583,J BEHAV DECIS MAKING,3,0,0,0,0,1,0,0,0,2,0,0
118,2.353,J EDUC PSYCHOL,3,0,0,1,0,1,0,0,0,0,0,1
119, ,J OPT SOC AM A,3,0,0,0,0,0,1,0,0,0,0,2
120, ,MED EDUC,3,0,0,0,0,0,1,0,0,1,0,1
121, ,MULTIDIMENSIONAL MOD,3,0,0,0,0,0,0,0,0,0,0,3
122, ,NEUROSCIENCE,3,0,0,2,1,0,0,0,0,0,0,0
123,1.847,ORGAN BEHAV HUM DEC,3,0,0,1,0,0,0,0,0,0,0,2
124, ,P 24 ANN C COGN SCI,3,0,0,0,0,0,3,0,0,0,0,0
125, ,PARALLEL DISTRIBUTED,3,0,0,0,0,0,0,0,0,0,0,3
126,4.763,PERS SOC PSYCHOL REV,3,0,0,1,0,0,0,0,0,0,1,1
127, ,PHILOS T R SOC B,3,0,0,0,0,0,0,1,1,0,0,1
128, ,PHYS REV E,3,0,0,0,0,0,0,0,1,0,0,2
129, ,PLOS BIOL,3,0,1,0,2,0,0,0,0,0,0,0
130, ,PROSPECTIVE MEMORY T,3,0,0,0,0,0,0,0,0,0,0,3
131,4.212,PSYCHOL MED,3,0,0,0,1,0,1,0,0,0,0,1
132,2.333,REV GEN PSYCHOL,3,0,1,0,0,0,0,2,0,0,0,0
133, ,SIGNAL DETECT THEORY,3,0,0,0,0,0,0,0,0,0,0,3
134,1.206,SOCIOL METHOD RES,3,0,0,0,2,0,0,0,0,0,0,1
135,0.942,SPATIAL VISION,3,0,0,0,1,0,0,0,0,0,0,2
136, ,STAT POWER ANAL BEHA,3,0,0,0,0,0,0,0,0,0,0,3
137, ,TIMING FUTURE CASE T,3,0,3,0,0,0,0,0,0,0,0,0
138,3.782,ACTA PSYCHIAT SCAND,2,0,0,0,0,0,0,0,0,0,0,2
139, ,ADV NEUR IN,2,0,0,0,0,0,0,2,0,0,0,0
140, ,ADV NEURAL INFORM PR,2,0,0,0,0,2,0,0,0,0,0,0
141, ,AM NAT,2,0,0,0,0,0,0,0,0,0,0,2
142, ,ANN NY ACAD SCI,2,0,0,0,0,0,0,0,0,0,0,2
143, ,ANN STAT,2,0,0,0,0,0,0,0,0,0,0,2
144, ,ANNU REV NEUROSCI,2,0,0,0,0,0,0,0,0,0,0,2
145, ,ARCH PSYCHOL,2,0,0,0,0,0,0,0,0,0,0,2
146, ,ARCHITECTURE COGNITI,2,0,0,0,0,0,0,0,0,0,0,2
147, ,BASIC APPL MEMORY RE,2,0,0,0,0,0,0,0,0,0,0,2
148, ,BIOL PSYCHIAT,2,0,0,1,0,0,0,0,0,0,0,1
149,2.715,BIOL PSYCHOL,2,0,0,0,0,0,0,0,0,0,0,2
150,5.446,BRIT J PSYCHIAT,2,0,0,0,0,0,0,0,0,0,1,1
151, ,CATEGORIES CONCEPTS,2,0,0,0,0,0,0,0,0,0,0,2
152, ,CATEGORIZATION INSID,2,0,0,2,0,0,0,0,0,0,0,0
153, ,CATEGORIZATION NAMIN,2,0,0,0,0,0,0,0,0,0,0,2
154, ,CAUSAL MODELS PEOPLE,2,0,0,2,0,0,0,0,0,0,0,0
155,4.854,CLIN PSYCHOL REV,2,0,0,0,0,1,0,0,0,0,0,1
156, ,COGNITIVE DEV ACQUIS,2,0,0,0,0,0,0,0,0,0,0,2
157, ,COGNITIVE PROCESS,2,0,0,2,0,0,0,0,0,0,0,0
158, ,CONSTRUCTION SOC,2,0,0,0,0,0,0,0,0,0,0,2
159, ,CONTROL COGNITIVE PR,2,0,0,0,0,0,0,0,2,0,0,0
160, ,DETECTION THEOR USE,2,0,0,1,0,0,0,0,0,0,0,1
161, ,DEV MOVEMENT CONTROL,2,0,0,0,0,0,0,0,0,0,0,2
162,1.484,ERGONOMICS,2,0,0,0,1,0,0,0,0,0,0,1
163, ,ERKENNTNIS,2,0,0,0,0,0,0,0,0,0,0,2
164, ,EUR J NEUROSCI,2,0,0,0,1,0,0,1,0,0,0,0
165,1.105,EUR PSYCHOL,2,0,0,1,0,0,0,0,1,0,0,0
166, ,EXPLANATION COGNITIO,2,0,0,0,0,0,0,0,2,0,0,0
167, ,GPOWER PRIORI POSTHO,2,0,0,0,0,0,0,0,0,0,0,2
168, ,HANDB MATH PSYCHOL,2,0,0,0,0,0,0,0,0,0,0,2
169, ,HDB AGING COGNITION,2,0,0,0,0,0,0,0,1,0,0,1
170, ,HDB MOTIVATION COGNI,2,0,0,0,0,0,0,0,0,0,0,2
171, ,HDB NEUROPSYCHOLOGY,2,0,0,0,0,0,0,0,1,0,0,1
172, ,HDB UNDERSTANDING ME,2,0,0,2,0,0,0,0,0,0,0,0
173,1.077,HUM DEV,2,0,0,0,0,0,0,0,0,0,0,2
174, ,IN PRESS MEMORY COGN,2,0,0,0,0,0,0,0,0,0,0,2
175, ,IN PRESS PSYCHOL B,2,0,0,0,0,0,0,0,0,0,0,2
176, ,IN PRESS PSYCHOL SCI,2,0,0,0,0,0,0,0,0,0,0,2
177, ,IN PRESS PSYCHONOMIC,2,0,0,0,0,0,0,0,0,0,0,2
178,0.272,INT J PSYCHOL,2,0,0,0,0,2,0,0,0,0,0,0
179, ,INVEST RADIOL,2,0,0,0,0,0,0,0,0,0,0,2
180,3.144,J AFFECT DISORDERS,2,0,0,0,0,0,0,0,2,0,0,0
181, ,J APPL PHYSIOL,2,0,0,0,0,0,0,0,0,0,0,2
182,3.047,J APPL PSYCHOL,2,0,0,0,0,0,0,0,1,0,0,1
183,1.720,J CONSUM PSYCHOL,2,0,0,0,1,0,0,0,0,0,0,1
184,1.172,J ENVIRON PSYCHOL,2,0,0,0,0,0,0,1,0,0,1,0
185,1.180,J EXP ANAL BEHAV,2,0,0,0,0,0,1,0,0,0,0,1
186,1.318,J MOTOR BEHAV,2,0,0,0,0,0,0,1,0,0,0,1
187, ,J NEUROL,2,0,1,0,0,0,0,0,1,0,0,0
188, ,J NEUROL NEUROSUR PS,2,0,0,0,1,0,0,1,0,0,0,0
189,2.331,J PERS,2,0,0,1,0,0,0,0,0,0,0,1
190,4.190,J POLIT ECON,2,0,0,0,1,0,0,0,0,0,0,1
191,1.585,J TRAUMA STRESS,2,0,0,0,0,0,0,0,1,0,0,1
192, ,J VISION,2,0,0,0,0,1,1,0,0,0,0,0
193,1.976,LANGUAGE,2,0,0,0,0,0,0,0,0,0,0,2
194, ,LANGUAGE ACQUISITION,2,0,0,0,0,1,0,0,0,0,0,1
195, ,LARGE SCALE NEURONAL,2,0,0,0,0,0,0,0,0,0,0,2
196,0.338,LINGUISTICS,2,0,0,0,0,0,0,0,0,0,0,2
197,1.931,MANAGE SCI,2,0,0,0,0,0,0,0,0,0,0,2
198,3.964,MARKET SCI,2,0,0,0,0,0,0,0,0,0,1,1
199, ,MENT MODELS,2,0,0,0,0,0,0,0,0,0,0,2
200, ,MINDS EYE COGNITIVE,2,0,0,0,0,0,2,0,0,0,0,0
201,3.000,MONOGR SOC RES CHILD,2,0,0,0,0,0,0,0,0,0,0,2
202,0.611,MOTIV EMOTION,2,0,0,0,1,0,0,0,0,0,0,1
203, ,NAT REV NEUROSCI,2,0,0,0,0,1,0,1,0,0,0,0
204, ,NEURAL COMPUT,2,0,0,1,0,0,0,0,0,0,0,1
205, ,NEURAL NETWORKS,2,0,0,1,0,0,0,0,0,0,0,1
206,2.987,NEUROPSYCHOLOGY,2,0,0,0,0,0,0,0,0,0,2,0
207, ,NOUN CLASSES CATEGOR,2,0,0,0,0,0,0,0,0,0,0,2
208, ,P 28 ANN C COGN SCI,2,0,2,0,0,0,0,0,0,0,0,0
209, ,P 28 ANN M COGN SCI,2,0,2,0,0,0,0,0,0,0,0,0
210,0.364,PHILOS SCI,2,0,0,0,0,0,0,0,0,0,0,2
211, ,PHYS REV LETT,2,0,0,0,0,0,0,1,0,0,0,1
212, ,PHYSICA A,2,0,0,0,0,0,0,1,0,0,1,0
213, ,PRACT ASPECTS ME,2,0,0,0,0,0,0,0,0,0,0,2
214, ,PRINCIPLES PSYCHOL,2,0,0,0,0,0,0,0,0,0,0,2
215, ,PSYCHOL MONOGR,2,0,0,0,0,0,0,0,0,0,0,2
216,0.767,PSYCHOMETRIKA,2,0,0,0,0,0,0,0,0,0,1,1
217, ,PSYCHON SCI,2,0,0,0,0,0,0,0,0,0,0,2
218, ,PSYCHOPHARMACOLOGY,2,0,0,0,0,0,1,0,0,1,0,0
219, ,Q J EXPERIME,2,0,0,0,0,0,0,0,0,0,0,2
220, ,R LANG ENV STAT COMP,2,0,1,0,1,0,0,0,0,0,0,0
221, ,RADIOLOGY,2,0,0,0,0,1,0,0,0,0,0,1
222, ,REMEMBERING STUDY EX,2,0,0,0,0,0,0,0,0,0,0,2
223, ,REV PSICOLOGIA GEN A,2,0,0,0,0,0,0,1,0,1,0,0
224, ,SLEEP MED REV,2,0,1,0,0,0,0,1,0,0,0,0
225, ,SYST NOMINAL CLAS,2,0,0,0,0,0,0,0,2,0,0,0
226, ,THEOR POPUL BIOL,2,0,0,0,0,0,0,0,0,0,0,2
227, ,THESIS CARNEGIE MELL,2,0,0,0,0,0,0,0,0,0,0,2
228, ,UNINTENDED THOUGHT,2,0,0,0,0,0,0,0,0,0,0,2
229, ,VARIETIES MEMORY CON,2,0,0,0,0,0,0,0,0,0,0,2
230, ,WELL BEING FDN HEDON,2,0,0,0,0,0,0,0,0,2,0,0
231, ,WORKING MEMORY CAPAC,2,0,0,2,0,0,0,0,0,0,0,0
232,0.342,Z PSYCHOL,2,0,0,0,0,0,0,0,0,0,0,2
Copyright © 2018 Clarivate Analytics,,,,,,,,,,,,,,
"By exporting the selected data, you agree to the data usage policy set forth in the Terms of Use",,,,,,,,,,,,,,
