Cited Journal Data,,,,,,,,,,,,,,
,Impact Factor,Citing Journal,All Yrs,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,Rest
1,,ALL Journals,567,1,17,27,72,40,26,25,45,30,42,242
2,,ALL OTHERS (75),75,0,1,0,4,5,2,3,8,2,8,42
3,1.571,J LEARN SCI,58,0,6,1,8,7,6,4,4,3,6,13
4,0.270,ETR&D-EDUC TECH RES,41,0,0,3,9,2,2,3,1,5,2,14
5,0.936,SCI EDUC,36,0,2,2,6,1,2,3,3,5,4,8
6,1.029,LEARN INSTR,21,0,0,2,3,7,1,2,1,2,0,3
7,0.800,J COMPUT ASSIST LEAR,20,0,0,2,3,0,2,0,1,2,4,6
8,0.475,EDUC TECHNOL SOC,19,0,1,1,6,0,1,0,0,1,0,9
9,0.541,INT J SCI EDUC,19,0,0,3,0,0,0,2,3,1,2,8
10,1.516,EDUC PSYCHOL REV,18,0,0,1,2,0,1,0,1,1,0,12
11,0.795,INSTR SCI,15,0,0,2,2,1,1,0,0,1,1,7
12,0.574,BRIT J EDUC TECHNOL,14,0,0,1,4,1,1,1,2,0,0,4
13,0.407,INTERACT LEARN ENVIR,14,0,0,0,8,0,2,0,0,1,1,2
14,1.148,J RES SCI TEACH,14,0,0,1,0,1,0,0,4,0,2,6
15,1.602,COMPUT EDUC,13,0,0,0,0,0,0,0,1,1,2,9
16,1.519,COGNITION INSTRUCT,10,1,0,0,0,0,0,0,1,0,0,8
17,2.231,EDUC PSYCHOL-US,9,0,1,0,2,1,0,0,1,0,1,3
18,0.697,J RES MATH EDUC,9,0,0,0,5,0,0,0,0,0,0,4
19,,AIP CONF P,8,0,3,0,0,1,2,0,0,0,1,1
20,1.344,COMPUT HUM BEHAV,8,0,0,0,0,2,0,1,0,1,0,4
21,2.353,J EDUC PSYCHOL,8,0,0,1,0,2,1,1,0,0,2,1
22,,LECT NOTES ARTIF INT,8,0,0,1,0,0,0,0,0,0,0,7
23,0.600,REV RES EDUC,8,0,0,1,0,1,0,1,0,0,0,5
24,,LECT NOTES COMPUT SC,7,0,0,0,0,0,0,0,3,0,0,4
25,1.028,BEHAV INFORM TECHNOL,6,0,0,1,1,1,0,0,1,0,0,2
26,3.000,J ENG EDUC,6,0,0,2,0,0,0,0,2,0,0,2
27,2.600,REV EDUC RES,6,0,1,0,0,1,1,0,0,0,0,3
28,,REV SIGNOS,5,0,0,0,0,0,0,0,0,0,0,5
29,2.032,DEV REV,4,0,0,1,0,1,0,0,0,0,0,2
30,1.077,HUM DEV,4,0,2,0,1,0,0,0,0,0,0,1
31,,HUM-COMPUT INTERACT,4,0,0,0,1,0,0,0,0,0,0,3
32,,MED EDUC,4,0,0,0,1,0,0,0,1,0,0,2
33,,PROC FRONT EDUC CONF,4,0,0,1,0,0,0,0,1,0,0,2
34,1.935,PSYCHON B REV,4,0,0,0,1,0,0,0,0,0,0,3
35,0.317,RES SCI EDUC,4,0,0,0,0,1,0,0,0,0,0,3
36,0.573,AM BEHAV SCI,3,0,0,0,1,1,0,0,0,1,0,0
37,1.257,APPL COGNITIVE PSYCH,3,0,0,0,0,0,0,0,0,0,1,2
38,0.782,BRIT EDUC RES J,3,0,0,0,0,1,0,0,0,1,0,1
39,2.179,COGNITIVE SCI,3,0,0,0,0,0,1,0,0,0,1,1
40,,EUR J PHYS,3,0,0,0,3,0,0,0,0,0,0,0
41,0.180,INNOV EDUC TEACH INT,3,0,0,0,0,0,0,0,0,0,0,3
42,,INT J ENG EDUC,3,0,0,0,1,0,0,0,0,0,0,2
43,0.870,LIBR INFORM SCI RES,3,0,0,0,0,2,0,0,0,0,0,1
44,2.796,ACAD MANAG LEARN EDU,2,0,0,0,0,0,0,1,0,0,0,1
45,,ACM T COMPUT-HUM INT,2,0,0,0,0,0,0,0,0,1,0,1
46,,ADV COMPUT,2,0,0,0,0,0,0,0,1,0,0,1
47,1.930,AM EDUC RES J,2,0,0,0,0,0,0,0,1,0,1,0
48,,AM J PHYS,2,0,0,0,0,0,0,0,0,0,0,2
49,0.963,BEHAV RES METHODS,2,0,0,0,0,0,0,0,0,0,0,2
50,,COMP MED SY,2,0,0,0,0,0,0,0,0,0,0,2
51,,ELE COM ENG,2,0,0,0,0,0,0,0,2,0,0,0
52,,GEOSPHERE,2,0,0,0,0,0,0,0,1,0,0,1
53,,HYDROBIOLOGIA,2,0,0,0,0,0,0,0,0,0,0,2
54,,IEEE INTELL SYST,2,0,0,0,0,0,0,0,0,0,0,2
55,,INT J TECHNOL DES ED,2,0,0,0,0,0,0,0,0,0,1,1
56,0.969,INTERACT COMPUT,2,0,0,0,0,0,0,1,0,0,1,0
57,,J SPORT SCI,2,0,0,0,0,0,0,0,0,0,0,2
58,,MED TEACH,2,0,0,0,0,0,0,0,0,1,1,0
59,0.907,RES Q EXERCISE SPORT,2,0,0,0,0,0,0,1,0,0,0,1
60,,SIMUL-T SOC MOD SIM,2,0,0,0,0,0,0,0,1,0,0,1
61,0.556,STUD HIGH EDUC,2,0,0,0,0,0,0,0,0,0,0,2
62,0.497,TEACH COLL REC,2,0,0,0,0,0,0,0,0,0,0,2
63,0.589,TEACH TEACH EDUC,2,0,0,0,0,0,0,1,0,0,0,1
Copyright © 2018 Clarivate Analytics,,,,,,,,,,,,,,
"By exporting the selected data, you agree to the data usage policy set forth in the Terms of Use",,,,,,,,,,,,,,
