Citing Journal Data,,,,,,,,,,,,,,
,Impact Factor,Cited Journal,All Yrs,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,Rest
1, ,ALL Journals,2228,30,70,88,126,141,123,108,145,128,103,1166
2, ,ALL OTHERS (537),537,6,17,27,23,27,24,22,38,22,25,306
3,2.474,J MEM LANG,197,4,8,5,14,25,14,10,14,12,10,81
4,3.831,COGNITION,103,3,5,6,4,5,4,8,5,5,5,53
5,1.383,LANG COGNITIVE PROC,100,9,9,6,10,6,1,6,11,7,3,32
6,2.408,J EXP PSYCHOL LEARN,95,1,0,2,3,4,9,8,6,9,5,48
7,7.803,PSYCHOL REV,65,0,0,0,4,6,0,2,2,1,4,46
8,1.604,MEM COGNITION,63,0,0,1,5,2,4,3,5,2,1,40
9,2.641,BRAIN LANG,53,0,1,1,10,1,13,3,2,9,2,11
10,2.580,J EXP PSYCHOL HUMAN,40,0,0,0,0,0,4,2,2,3,3,26
11, ,J VERB LEARN VERB BE,37,0,0,0,0,0,0,0,0,0,0,37
12,4.026,COGNITIVE PSYCHOL,33,0,0,2,2,2,1,1,7,0,0,18
13,4.251,PSYCHOL SCI,25,0,0,1,3,2,1,5,4,1,2,6
14,1.976,LANGUAGE,24,0,1,2,2,2,0,0,3,1,1,12
15,1.439,J PHONETICS,22,0,3,0,1,0,3,1,1,0,0,13
16,17.462,BEHAV BRAIN SCI,21,0,0,1,2,0,0,0,0,15,0,3
17,0.500,J PSYCHOLINGUIST RES,21,0,0,0,1,1,2,0,3,2,3,9
18,2.449,Q J EXP PSYCHOL-A,21,0,0,2,2,4,0,0,3,0,1,9
19,0.880,J CHILD LANG,20,0,1,1,1,1,2,1,4,1,1,7
20,4.997,J COGNITIVE NEUROSCI,20,0,1,1,2,3,1,0,2,2,1,7
21,1.935,PSYCHON B REV,18,0,2,1,1,2,3,0,1,2,2,4
22, ,J ACOUST SOC AM,17,0,0,0,0,0,0,0,0,0,0,17
23,4.505,J PERS SOC PSYCHOL,17,0,0,0,0,0,0,0,0,0,0,17
24,9.389,TRENDS COGN SCI,16,0,0,1,3,2,2,2,4,2,0,0
25,5.594,J EXP PSYCHOL GEN,14,0,0,1,0,0,0,0,2,0,0,11
26,0.757,LANG SPEECH,14,0,0,0,0,0,1,3,1,0,0,9
27,10.905,PSYCHOL BULL,14,0,0,0,0,0,2,0,0,1,3,8
28,0.756,BILING-LANG COGN,13,0,3,0,1,1,2,0,0,2,4,0
29,1.462,LINGUIST INQ,11,0,0,0,0,0,0,0,1,1,0,9
30,2.518,PSYCHOL AGING,11,1,1,0,0,0,2,1,1,0,1,4
31, ,SPEECH COMMUN,11,1,0,0,2,1,0,1,0,0,1,5
32,0.963,BEHAV RES METHODS,10,0,0,0,1,0,1,0,0,0,0,8
33,3.382,CHILD DEV,10,0,0,0,1,1,0,1,0,0,1,6
34,2.179,COGNITIVE SCI,10,0,1,0,1,1,1,0,0,2,0,4
35,3.630,NEUROPSYCHOLOGIA,10,0,1,0,0,0,0,0,0,2,1,6
36,1.371,PERCEPT PSYCHOPHYS,10,0,1,0,0,2,0,0,0,0,0,7
37, ,COGNITIVE BRAIN RES,9,0,0,3,1,3,0,2,0,0,0,0
38,1.022,DISCOURSE PROCESS,9,0,0,2,1,0,0,1,0,0,2,3
39, ,LANGUAGE GESTURE,9,0,0,0,0,0,0,2,7,0,0,0
40,0.939,AM J PSYCHOL,8,0,0,0,2,0,0,2,0,1,1,2
41,1.197,COGNITIVE DEV,8,0,1,0,0,0,2,0,0,1,1,3
42,0.338,LINGUISTICS,8,0,0,0,1,0,0,1,0,0,2,4
43, ,PAP LAB PHONOLOGY,8,0,0,0,1,0,0,0,1,0,0,6
44,0.565,PHONETICA,8,0,0,1,0,0,0,1,0,0,0,6
45,3.349,PSYCHOPHYSIOLOGY,8,0,0,1,0,1,0,0,1,1,0,4
46, ,SPEAKING INTENTION A,8,0,0,0,0,0,0,0,0,0,0,8
