Citing Journal Data,,,,,,,,,,,,,,
,Impact Factor,Cited Journal,All Yrs,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,Rest
1, ,ALL Journals,8715,75,219,420,527,551,509,513,492,442,438,4529
2, ,ALL OTHERS (951),951,25,24,38,48,43,50,49,46,36,39,553
3,2.408,J EXP PSYCHOL LEARN,892,2,15,43,58,63,52,55,68,40,43,453
4,1.604,MEM COGNITION,696,12,27,24,51,44,63,42,48,39,29,317
5,7.803,PSYCHOL REV,412,4,0,13,20,9,7,18,18,17,28,278
6,2.474,J MEM LANG,378,3,13,15,25,33,33,25,20,18,21,172
7,1.935,PSYCHON B REV,332,1,16,27,50,35,29,48,29,14,12,71
8,5.594,J EXP PSYCHOL GEN,251,1,7,9,15,15,10,20,13,14,13,134
9,2.580,J EXP PSYCHOL HUMAN,242,0,3,5,9,17,17,10,11,8,12,150
10,4.026,COGNITIVE PSYCHOL,180,2,2,5,1,7,8,8,10,5,10,122
11,2.449,Q J EXP PSYCHOL-A,174,0,0,13,10,12,8,12,11,5,10,93
12,3.831,COGNITION,151,3,4,7,5,4,12,8,18,5,13,72
13, ,J VERB LEARN VERB BE,150,0,0,0,0,0,0,0,0,0,0,150
14,4.251,PSYCHOL SCI,139,0,6,14,19,9,9,10,10,7,10,45
15,1.403,MEMORY,106,1,9,19,14,11,11,10,1,11,2,17
16,2.518,PSYCHOL AGING,103,1,4,5,11,9,8,4,7,9,7,38
17,10.905,PSYCHOL BULL,102,0,2,4,1,4,2,3,2,3,8,73
18, ,J EXP PSYCHOL,94,0,0,1,0,0,0,1,0,0,0,92
19,1.847,PSYCHOL RES-PSYCH FO,66,1,4,3,1,0,8,3,10,4,4,28
20,0.939,AM J PSYCHOL,64,0,3,2,0,6,2,1,1,5,2,42
21,2.714,PSYCHOL LEARN MOTIV,64,1,5,1,6,4,3,0,2,0,3,39
22,1.371,PERCEPT PSYCHOPHYS,62,1,1,2,6,5,1,2,1,4,1,38
23,4.997,J COGNITIVE NEUROSCI,59,0,4,2,4,7,3,10,5,3,5,16
24,3.630,NEUROPSYCHOLOGIA,59,0,5,6,3,13,2,4,8,2,3,13
25,1.538,BRIT J PSYCHOL,57,0,1,1,2,0,1,1,2,2,5,42
26,2.179,COGNITIVE SCI,57,0,0,4,6,5,6,1,0,7,4,24
27, ,SCIENCE,53,0,0,0,2,0,1,2,2,1,2,43
28,9.389,TRENDS COGN SCI,52,0,1,3,6,15,5,13,5,1,1,2
29,2.353,J EDUC PSYCHOL,48,0,0,2,0,3,2,2,1,3,1,34
30,4.505,J PERS SOC PSYCHOL,47,0,0,0,1,2,2,3,1,4,0,34
31,0.963,BEHAV RES METHODS,46,2,0,3,5,7,3,0,0,1,2,23
32,1.384,EUR J COGN PSYCHOL,45,1,3,6,3,3,2,3,4,1,0,19
33,1.783,ACTA PSYCHOL,43,0,2,3,3,3,2,0,0,3,5,22
34,1.257,APPL COGNITIVE PSYCH,43,0,2,5,4,9,1,4,8,3,1,6
35,17.462,BEHAV BRAIN SCI,43,0,0,1,0,2,1,10,11,6,3,9
36, ,NATURE,43,0,0,2,6,0,1,3,2,4,2,23
37,1.925,COGN NEUROPSYCHOL,42,0,0,0,3,6,3,3,1,5,0,21
38,1.563,J EXP CHILD PSYCHOL,42,0,3,2,1,1,2,2,3,4,4,20
39,1.104,Q J EXP PSYCHOL,42,5,10,1,0,1,0,0,0,0,0,25
40,1.022,DISCOURSE PROCESS,40,1,0,4,2,0,1,0,7,0,7,18
41,0.891,CAN J EXP PSYCHOL,38,0,0,4,1,5,5,2,4,1,1,15
42,1.617,PERCEPTION,36,0,1,1,3,2,3,3,2,4,0,17
43, ,ATTENTION PERFORM,35,0,0,0,0,0,1,0,4,2,0,28
44,6.967,AM PSYCHOL,33,0,0,0,3,0,0,0,1,2,4,23
45, ,CAN J PSYCHOL,33,0,0,0,0,0,0,0,1,0,0,32
46,3.382,CHILD DEV,33,0,0,1,2,2,0,2,0,4,1,21
47,1.383,LANG COGNITIVE PROC,32,0,0,1,2,4,3,0,1,4,5,12
48,13.400,ANNU REV PSYCHOL,29,0,0,5,2,2,5,1,2,1,3,8
49,2.732,CONSCIOUS COGN,26,1,1,1,3,0,2,2,0,4,4,8
50,3.038,DEV PSYCHOL,24,0,1,0,2,1,0,1,0,2,1,16
51,1.847,ORGAN BEHAV HUM DEC,24,0,0,0,0,4,0,0,0,0,0,20
52,1.097,THINK REASONING,24,0,1,4,1,0,2,1,2,0,4,9
53, ,VISION RES,24,0,2,1,0,1,6,2,5,1,0,6
54,2.987,NEUROPSYCHOLOGY,22,0,0,3,3,3,0,0,0,5,4,4
55, ,B PSYCHONOMIC SOC,21,0,0,0,0,0,0,0,0,0,0,21
56,2.641,BRAIN LANG,21,0,0,4,4,1,3,0,1,2,1,5
57,0.500,J PSYCHOLINGUIST RES,21,0,0,1,1,1,1,1,4,0,1,11
58, ,P NATL ACAD SCI USA,21,0,2,3,2,1,0,1,2,1,4,5
59,1.511,COGNITION EMOTION,20,1,0,0,2,1,1,3,0,1,2,9
60, ,COGNITIVE BRAIN RES,19,0,0,6,2,4,0,3,3,0,0,1
61, ,CORTEX,19,0,0,0,1,6,1,2,2,1,1,5
62,2.750,CURR DIR PSYCHOL SCI,18,0,0,2,0,5,4,1,1,1,0,4
63,0.272,INT J PSYCHOL,18,0,0,0,0,6,0,0,0,12,0,0
64,1.727,VIS COGN,18,0,2,1,0,3,2,0,5,0,2,3
65, ,PROSPECTIVE MEMORY T,17,0,0,0,0,0,0,0,0,0,0,17
66,0.942,SPATIAL VISION,17,0,0,0,0,0,0,0,1,0,0,16
67,2.308,BRAIN COGNITION,16,0,0,0,4,0,3,1,0,2,2,4
68, ,NEUROIMAGE,16,0,1,0,4,3,3,3,2,0,0,0
69, ,BRAIN,15,0,1,1,1,1,0,0,1,1,0,9
70, ,COMPUT ANAL P,15,0,0,0,0,0,0,0,0,0,0,15
71,2.781,EXP PSYCHOL,15,0,1,4,4,4,2,0,0,0,0,0
72,2.986,INTELLIGENCE,15,0,0,0,2,0,3,0,0,0,0,10
73, ,J GERONTOL B-PSYCHOL,15,0,0,2,0,1,0,0,2,1,0,9
74, ,NAT NEUROSCI,15,0,0,2,1,3,1,1,3,4,0,0
75, ,EXP AGING RES,14,0,0,4,0,0,0,0,0,0,1,9
76, ,CEREB CORTEX,13,1,0,0,0,0,5,1,2,0,0,4
77, ,CHEM SENSES,13,0,0,2,2,0,0,2,0,0,2,5
78,1.487,CONTEMP EDUC PSYCHOL,13,0,0,0,0,3,0,1,0,3,0,6
79,1.282,J MATH PSYCHOL,13,0,0,0,0,2,3,1,1,0,0,6
80, ,J NEUROSCI,13,0,1,5,0,1,0,1,2,0,1,2
81,0.387,PERCEPT MOTOR SKILL,13,0,0,0,0,2,0,0,0,0,0,11
82,1.121,SOC COGNITION,13,0,0,0,2,1,2,2,0,2,0,4
83, ,WORKING MEMORY,13,0,0,0,0,0,0,0,0,0,0,13
84, ,BEHAV NEUROSCI,12,0,0,0,2,0,0,1,0,3,0,6
85, ,MATH COGNITION,12,0,0,0,0,0,0,0,0,0,0,12
86, ,MODELS WORKING MEMOR,12,0,0,0,0,0,0,0,0,11,0,1
87,2.580,PERS SOC PSYCHOL B,12,0,0,0,1,0,1,1,0,1,0,8
88, ,COGN AFFECT BEHAV NE,11,1,0,1,0,1,3,5,0,0,0,0
89,0.564,J GEN PSYCHOL,11,0,0,0,0,2,0,0,0,1,0,8
90,3.349,PSYCHOPHYSIOLOGY,11,0,0,0,0,1,0,0,3,0,1,6
91,1.580,APPL PSYCHOLINGUIST,10,0,1,0,2,0,0,0,0,2,2,3
92, ,HDB AGING COGNITION,10,0,0,0,0,0,0,0,6,0,0,4
93,4.684,J ABNORM PSYCHOL,10,0,0,0,1,0,0,0,0,0,0,9
94,2.058,J EXP SOC PSYCHOL,10,0,1,1,0,2,2,1,1,0,0,2
95, ,NEURON,10,0,1,0,1,2,1,1,1,2,1,0
96,0.609,SCAND J PSYCHOL,10,0,0,2,1,0,1,0,0,1,0,5
97,1.205,BRIT J DEV PSYCHOL,9,1,0,2,2,0,0,0,0,0,1,3
98, ,J GERONTOL,9,0,0,0,0,0,0,0,0,0,0,9
99, ,J INT NEUROPSYCH SOC,9,0,0,0,0,0,1,4,0,1,1,2
100,1.231,LEARN INDIVID DIFFER,9,0,0,0,1,0,0,0,1,1,0,6
101,0.353,PSYCHOL REP,9,0,0,0,0,0,0,2,0,0,0,7
102, ,PSYCHON SCI,9,0,0,0,0,0,0,0,0,0,0,9
103,1.148,READ RES QUART,9,0,0,0,0,0,0,0,0,0,0,9
104, ,VARIETIES MEMORY CON,9,0,0,0,0,0,0,0,0,0,0,9
105,0.380,ANN PSYCHOL,8,0,0,0,0,0,0,5,0,0,0,3
106, ,ANNU REV NEUROSCI,8,0,0,0,1,0,2,2,0,0,0,3
107, ,DETECTION THEOR USE,8,0,0,3,0,0,0,0,0,0,0,5
108,2.075,J EXP PSYCHOL ANIM B,8,0,0,0,0,0,1,0,0,0,1,6
109,1.810,J EXP PSYCHOL-APPL,8,0,0,0,0,1,0,2,1,1,0,3
110, ,OXFORD HANDB MEMORY,8,0,0,0,0,0,0,0,8,0,0,0
111, ,SIMILARITY ANALOGICA,8,0,0,0,0,0,0,0,0,0,0,8
112, ,TRENDS NEUROSCI,8,0,0,0,1,1,0,0,1,0,3,2
113, ,ATTENTION MEMORY INT,7,0,0,0,0,0,0,0,0,0,0,7
114, ,BIG BOOK CONCEPTS,7,0,0,0,0,0,7,0,0,0,0,0
115,0.457,CAN PSYCHOL,7,0,0,0,0,0,0,0,0,0,0,7
116,1.519,COGNITION INSTRUCT,7,0,1,0,0,1,0,1,0,0,0,4
117, ,COGNITIVE NEUROSCIEN,7,0,0,0,2,1,1,0,0,0,0,3
118, ,CONSEQUENCES MEANING,7,0,0,0,0,0,0,7,0,0,0,0
119, ,J ACOUST SOC AM,7,0,0,0,0,0,0,0,1,0,0,6
120,3.047,J APPL PSYCHOL,7,0,0,0,1,0,0,0,0,0,0,6
121,1.172,J ENVIRON PSYCHOL,7,0,0,0,0,0,1,0,0,1,0,5
122, ,J NEUROPHYSIOL,7,0,0,0,2,0,2,0,0,0,0,3
123, ,NAT REMEMBERING E,7,0,0,0,0,0,0,6,0,1,0,0
124, ,PERSPECTIVES HUM M,7,0,0,0,0,0,1,6,0,0,0,0
125, ,PHILOS T R SOC B,7,0,0,0,0,0,1,0,0,0,1,5
126, ,STAT POWER ANAL BEHA,7,0,0,0,0,0,0,0,0,0,0,7
127, ,CONSTRUCTION MENT,6,0,0,0,0,0,0,0,0,6,0,0
128, ,CURR PSYCHOL LETT,6,0,0,1,1,0,1,2,1,0,0,0
129, ,HDB BINDING MEMORY P,6,0,6,0,0,0,0,0,0,0,0,0
130, ,HIPPOCAMPUS,6,0,0,0,2,0,2,0,0,1,0,1
131, ,HUM SPATIAL MEMORY,6,0,0,0,6,0,0,0,0,0,0,0
