Citing Journal Data,,,,,,,,,,,,,,
,Impact Factor,Cited Journal,All Yrs,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,Rest
1, ,ALL Journals,1043,5,12,44,62,72,57,48,81,63,52,547
2, ,ALL OTHERS (303),303,1,5,17,14,17,11,13,17,16,15,177
3,1.097,THINK REASONING,57,0,0,13,3,6,6,4,1,3,7,14
4,7.803,PSYCHOL REV,42,0,0,2,0,4,6,1,4,2,0,23
5,4.505,J PERS SOC PSYCHOL,41,0,0,0,2,0,1,0,5,3,4,26
6,3.831,COGNITION,37,0,0,0,0,1,0,0,8,0,5,23
7,2.449,Q J EXP PSYCHOL-A,29,0,0,1,2,3,3,4,2,3,0,11
8,2.408,J EXP PSYCHOL LEARN,27,0,0,0,2,10,2,0,5,0,1,7
9,1.604,MEM COGNITION,25,0,0,0,1,4,2,4,2,0,0,12
10,1.847,ORGAN BEHAV HUM DEC,20,0,0,0,0,0,0,2,1,1,2,14
11,4.026,COGNITIVE PSYCHOL,17,3,0,0,0,0,0,1,0,0,0,13
12,2.179,COGNITIVE SCI,17,0,0,2,2,0,1,2,1,1,0,8
13,9.389,TRENDS COGN SCI,14,0,0,2,2,5,0,3,2,0,0,0
14,1.538,BRIT J PSYCHOL,13,0,0,0,0,0,1,0,0,0,0,12
15,2.580,PERS SOC PSYCHOL B,13,0,0,0,1,0,0,1,2,1,0,8
16,5.594,J EXP PSYCHOL GEN,12,0,0,1,3,1,1,0,1,1,2,2
17,10.905,PSYCHOL BULL,12,0,0,0,0,0,2,0,0,0,0,10
18,2.058,J EXP SOC PSYCHOL,11,0,0,1,0,1,1,0,0,1,0,7
19,4.251,PSYCHOL SCI,11,0,2,0,2,0,0,1,0,0,1,5
20,6.967,AM PSYCHOL,9,0,0,0,0,0,0,0,2,0,0,7
21,17.462,BEHAV BRAIN SCI,9,0,0,0,0,1,1,0,3,2,0,2
22, ,HEURISTICS BIASES PS,9,0,0,0,0,0,9,0,0,0,0,0
23, ,SCIENCE,9,0,1,0,0,0,1,0,1,1,1,4
24,3.382,CHILD DEV,8,0,0,0,0,1,0,1,2,0,0,4
25,1.563,J EXP CHILD PSYCHOL,8,0,0,1,0,0,2,0,0,0,0,5
26,1.197,COGNITIVE DEV,7,0,0,0,1,0,1,0,2,0,1,2
27,1.935,PSYCHON B REV,7,0,1,0,0,3,0,1,1,1,0,0
28,1.104,Q J EXP PSYCHOL,7,1,1,0,0,0,0,0,0,0,0,5
29,3.038,DEV PSYCHOL,6,0,0,0,1,1,0,0,1,1,1,1
30,2.353,J EDUC PSYCHOL,6,0,0,0,0,0,0,0,0,1,0,5
31, ,JUDGEMENT UNCERTAINT,6,0,0,0,0,0,0,0,0,0,0,6
32,6.667,ADV EXP SOC PSYCHOL,5,0,0,0,0,1,0,0,0,0,0,4
33, ,CHOICES VALUES FRAME,5,0,0,0,0,0,0,0,5,0,0,0
34,1.519,COGNITION INSTRUCT,5,0,0,0,1,0,0,0,1,0,0,3
35,1.022,DISCOURSE PROCESS,5,0,0,0,0,0,0,3,0,0,0,2
36, ,IF,5,0,0,0,5,0,0,0,0,0,0,0
37,1.583,J BEHAV DECIS MAKING,5,0,0,0,0,3,0,0,0,0,0,2
38,0.400,J FORECASTING,5,0,0,0,0,0,0,0,0,0,0,5
39,2.714,PSYCHOL LEARN MOTIV,5,0,0,0,0,0,0,0,0,0,0,5
40, ,RATIONALITY REASONIN,5,0,0,0,0,0,0,0,0,0,0,5
41, ,SIMPLE HEURISTICS MA,5,0,0,0,0,0,0,0,0,5,0,0
42,1.783,ACTA PSYCHOL,4,0,0,0,0,0,0,0,0,1,0,3
43,0.939,AM J PSYCHOL,4,0,0,0,0,0,0,0,0,1,1,2
44, ,BIAS HUM REASONING,4,0,0,0,0,0,0,0,0,0,0,4
45, ,CONDITIONALS,4,0,0,0,0,0,0,0,0,0,0,4
46,2.032,DEV REV,4,0,0,0,0,0,1,1,1,0,0,1
47,1.384,EUR J COGN PSYCHOL,4,0,0,0,0,1,0,0,0,1,0,2
48,1.409,INT J FORECASTING,4,0,0,0,1,0,0,0,0,0,0,3
49,4.190,J POLIT ECON,4,0,0,0,0,0,0,1,0,0,0,3
50,0.824,MERRILL PALMER QUART,4,0,0,0,0,0,0,0,0,0,0,4
51,1.311,MIND LANG,4,0,1,0,0,3,0,0,0,0,0,0
52,0.891,CAN J EXP PSYCHOL,3,0,0,0,2,0,0,0,0,0,0,1
53, ,COGNITIVA,3,0,0,1,0,0,0,0,1,0,0,1
54, ,DUAL PROCESS THEORIE,3,0,0,0,0,0,0,0,0,3,0,0
55,2.972,ECONOMETRICA,3,0,0,0,0,0,0,0,0,0,0,3
56,2.231,EDUC PSYCHOL-US,3,0,0,0,1,0,0,1,0,0,1,0
57,1.570,EUR J SOC PSYCHOL,3,0,0,0,0,0,1,0,0,0,1,1
58, ,INSIGHTS DECISION MA,3,0,0,0,0,0,0,0,0,0,0,3
59,2.986,INTELLIGENCE,3,0,0,0,1,0,0,0,0,0,0,2
