Citing Journal Data,,,,,,,,,,,,,,
,Impact Factor,Cited Journal,All Yrs,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,Rest
1, ,ALL Journals,5192,47,201,372,335,348,304,323,286,246,272,2458
2, ,ALL OTHERS (544),544,22,28,23,20,33,23,23,20,29,23,300
3,2.580,J EXP PSYCHOL HUMAN,579,4,14,44,30,36,34,30,30,39,41,277
4,1.371,PERCEPT PSYCHOPHYS,353,1,8,25,17,19,17,22,25,16,7,196
5, ,VISION RES,191,4,13,14,7,12,13,13,19,6,10,80
6,7.803,PSYCHOL REV,155,0,1,9,4,2,4,16,1,3,9,106
7,1.935,PSYCHON B REV,128,0,7,16,20,10,17,11,3,16,9,19
8,4.251,PSYCHOL SCI,127,0,6,12,14,15,5,19,11,15,7,23
9,4.026,COGNITIVE PSYCHOL,123,0,4,2,1,9,5,3,3,1,10,85
10,5.594,J EXP PSYCHOL GEN,122,0,9,17,12,1,7,3,4,2,3,64
11, ,NATURE,103,0,1,2,3,2,2,6,4,3,18,62
12,2.408,J EXP PSYCHOL LEARN,96,0,3,7,4,7,4,5,8,1,6,51
13,2.449,Q J EXP PSYCHOL-A,86,0,0,6,8,2,5,9,7,4,3,42
14,1.783,ACTA PSYCHOL,81,1,4,3,3,3,5,4,0,10,0,48
15,9.389,TRENDS COGN SCI,80,0,3,9,11,15,5,4,23,5,2,3
16, ,EXP BRAIN RES,72,0,6,7,11,4,2,7,9,1,7,18
17,1.617,PERCEPTION,72,0,4,4,4,3,3,4,4,5,1,40
18,1.847,PSYCHOL RES-PSYCH FO,70,0,4,5,9,8,4,2,9,1,1,27
19,1.604,MEM COGNITION,67,0,3,6,5,3,6,2,6,1,6,29
20,1.727,VIS COGN,66,0,11,9,5,8,5,3,12,2,8,3
21,3.831,COGNITION,61,1,2,7,1,4,6,8,0,2,3,27
22, ,J EXP PSYCHOL,57,0,1,0,0,0,0,0,1,0,0,55
23, ,ATTENTION PERFORM,56,0,0,0,0,1,2,0,3,0,0,50
24, ,J ACOUST SOC AM,55,0,1,5,1,0,1,1,0,2,1,43
25,3.630,NEUROPSYCHOLOGIA,53,3,5,7,5,6,7,1,2,0,1,16
26, ,NAT NEUROSCI,52,0,3,10,7,6,6,6,5,5,4,0
27, ,SCIENCE,52,0,1,0,5,0,0,4,0,4,2,36
28,4.997,J COGNITIVE NEUROSCI,50,1,2,6,6,5,3,6,7,3,2,9
29,10.905,PSYCHOL BULL,45,0,2,1,0,1,0,3,0,5,5,28
30,17.462,BEHAV BRAIN SCI,41,0,0,0,1,3,3,13,4,2,0,15
31, ,J NEUROSCI,39,0,3,4,2,3,3,2,0,0,2,20
32, ,J NEUROPHYSIOL,33,0,0,1,2,3,6,0,4,0,7,10
33,1.043,ECOL PSYCHOL,32,0,2,0,4,2,1,3,0,0,2,18
34,1.318,J MOTOR BEHAV,31,0,0,1,4,4,4,3,1,0,0,14
35, ,NEUROIMAGE,31,1,4,2,5,4,6,5,1,2,0,1
36, ,COGNITIVE BRAIN RES,30,0,0,7,5,8,4,2,2,0,1,1
37, ,J OPT SOC AM A,28,0,0,0,0,3,2,0,3,0,1,19
38, ,BRAIN,27,0,0,1,1,2,0,1,1,5,3,13
39, ,CURR BIOL,26,0,0,4,5,6,3,1,4,2,0,1
40, ,NEURON,26,0,0,4,7,2,5,3,1,2,1,1
41, ,ANNU REV NEUROSCI,25,0,0,1,4,0,1,5,2,1,0,11
42, ,J VISION,25,1,3,5,5,6,4,1,0,0,0,0
43,0.387,PERCEPT MOTOR SKILL,24,0,0,0,1,1,1,2,1,1,1,16
44, ,CEREB CORTEX,23,1,1,1,1,6,1,2,1,0,0,9
45, ,P NATL ACAD SCI USA,23,0,1,4,0,3,4,3,1,0,1,6
46,1.104,Q J EXP PSYCHOL,22,2,6,0,0,1,0,0,0,0,0,13
47,0.942,SPATIAL VISION,22,0,0,1,3,2,0,0,1,1,0,14
48, ,NAT REV NEUROSCI,21,0,0,4,2,3,4,6,2,0,0,0
49,2.474,J MEM LANG,20,0,0,0,1,1,0,1,0,2,3,12
50, ,P ROY SOC B-BIOL SCI,20,0,1,5,0,0,0,3,1,2,0,8
51,0.963,BEHAV RES METHODS,19,0,2,1,1,0,1,0,1,2,2,9
52,1.384,EUR J COGN PSYCHOL,19,0,1,2,10,0,0,2,0,1,0,3
53,2.308,BRAIN COGNITION,18,0,0,2,3,1,4,0,1,0,1,6
54,0.891,CAN J EXP PSYCHOL,18,0,0,2,0,3,2,3,0,0,0,8
55, ,NEUROREPORT,18,0,0,1,1,0,2,2,3,4,1,4
56,1.925,COGN NEUROPSYCHOL,17,0,0,2,0,2,1,1,2,3,0,6
57,0.939,AM J PSYCHOL,15,0,0,0,0,0,0,0,0,0,0,15
58, ,BIOL CYBERN,15,0,0,0,0,2,0,0,0,0,0,13
59,1.538,BRIT J PSYCHOL,14,0,1,0,0,0,1,1,2,2,0,7
60,1.252,HUM MOVEMENT SCI,14,0,0,1,2,0,1,1,1,1,1,6
61,3.349,PSYCHOPHYSIOLOGY,14,0,1,2,1,1,1,3,0,0,1,4
62,2.732,CONSCIOUS COGN,13,0,0,1,2,4,3,0,0,0,1,2
63, ,EUR J NEUROSCI,13,0,1,1,2,1,1,5,1,0,0,1
64,1.113,HUM FACTORS,13,0,0,0,0,1,0,1,0,0,0,11
65,1.484,ERGONOMICS,12,0,2,0,0,0,0,2,0,0,0,8
