Cited Journal Data,,,,,,,,,,,,,,
,Impact Factor,Citing Journal,All Yrs,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,Rest
1,,ALL Journals,867,1,18,1,51,69,22,9,18,1,18,659
2,,ALL OTHERS (155),155,0,0,0,4,7,6,0,5,0,1,132
3,1.604,MEM COGNITION,64,1,5,1,6,4,3,0,2,0,3,39
4,1.104,Q J EXP PSYCHOL,38,0,0,0,5,3,0,1,0,0,0,29
5,1.935,PSYCHON B REV,29,0,1,0,4,1,0,0,0,0,0,23
6,5.594,J EXP PSYCHOL GEN,18,0,0,0,1,2,0,0,2,0,0,13
7,1.684,BEHAV PROCESS,16,0,0,0,0,0,0,0,0,0,0,16
8,3.831,COGNITION,16,0,0,0,3,3,0,0,0,0,1,9
9,2.474,J MEM LANG,16,0,2,0,3,1,0,0,0,0,0,10
10,,CORTEX,15,0,0,0,1,1,0,0,0,0,0,13
11,4.251,PSYCHOL SCI,15,0,0,0,4,2,0,0,0,0,0,9
12,2.408,J EXP PSYCHOL LEARN,14,0,1,0,2,2,1,0,0,0,1,7
13,1.403,MEMORY,13,0,0,0,1,1,0,0,1,0,2,8
14,7.803,PSYCHOL REV,13,0,3,0,1,0,0,0,0,0,0,9
15,2.179,COGNITIVE SCI,12,0,1,0,1,1,0,0,0,0,0,9
16,3.630,NEUROPSYCHOLOGIA,11,0,1,0,0,0,1,0,0,0,0,9
17,1.847,PSYCHOL RES-PSYCH FO,10,0,0,0,0,2,0,0,0,0,1,7
18,0.429,APPL PREV PSYCHOL,9,0,0,0,0,3,0,0,2,0,1,3
19,0.824,AGING NEUROPSYCHOL C,8,0,0,0,0,0,0,0,0,0,0,8
20,1.384,EUR J COGN PSYCHOL,8,0,0,0,0,1,0,0,0,0,0,7
21,1.267,LEARN BEHAV,8,0,0,0,0,0,0,0,0,0,0,8
22,1.778,LEARN MOTIV,8,0,0,0,0,0,0,0,0,0,0,8
23,2.518,PSYCHOL AGING,8,0,0,0,0,0,0,0,0,0,0,8
24,1.257,APPL COGNITIVE PSYCH,7,0,0,0,0,2,0,0,0,0,1,4
25,,CEREB CORTEX,7,0,0,0,0,1,0,0,0,0,0,6
26,,LECT NOTES COMPUT SC,7,0,0,0,1,0,1,0,0,1,0,4
27,1.783,ACTA PSYCHOL,6,0,0,0,0,1,0,0,0,0,1,4
28,2.732,CONSCIOUS COGN,6,0,1,0,0,0,0,0,0,0,0,5
29,1.180,J EXP ANAL BEHAV,6,0,0,0,0,0,0,0,0,0,0,6
30,,J INT NEUROPSYCH SOC,6,0,0,0,1,1,0,0,0,0,0,4
31,4.505,J PERS SOC PSYCHOL,6,0,0,0,0,3,1,1,1,0,0,0
32,,LECT NOTES ARTIF INT,6,0,0,0,0,0,0,0,0,0,0,6
33,,NEUROIMAGE,6,0,0,0,0,0,0,0,0,0,0,6
34,2.987,NEUROPSYCHOLOGY,6,0,0,0,0,0,0,0,0,0,0,6
35,1.371,PERCEPT PSYCHOPHYS,6,0,1,0,0,1,0,0,0,0,1,3
36,,BRAIN RES,5,0,0,0,2,1,0,0,0,0,0,2
37,3.382,CHILD DEV,5,0,0,0,0,0,0,0,0,0,0,5
38,2.922,DEV NEUROPSYCHOL,5,0,0,0,0,0,0,0,0,0,0,5
39,3.038,DEV PSYCHOL,5,0,0,0,0,1,0,0,0,0,0,4
40,1.516,EDUC PSYCHOL REV,5,0,0,0,0,3,0,0,0,0,1,1
41,2.781,EXP PSYCHOL,5,0,0,0,1,1,0,0,0,0,0,3
42,0.732,J CONSCIOUSNESS STUD,5,0,1,0,1,1,0,0,0,0,0,2
43,1.563,J EXP CHILD PSYCHOL,5,0,0,0,1,0,0,0,0,0,0,4
44,2.075,J EXP PSYCHOL ANIM B,5,0,0,0,0,0,0,0,0,0,0,5
45,1.810,J EXP PSYCHOL-APPL,5,0,0,0,1,0,0,1,0,0,0,3
46,,LEARN MEMORY,5,0,0,0,0,0,0,1,0,0,0,4
47,1.617,PERCEPTION,5,0,0,0,0,1,0,0,0,0,0,4
48,1.097,THINK REASONING,5,0,0,0,0,0,0,0,0,0,0,5
49,0.342,Z PSYCHOL,5,0,0,0,0,1,0,1,0,0,0,3
50,0.380,ANN PSYCHOL,4,0,0,0,0,0,0,0,0,0,0,4
51,0.963,BEHAV RES METHODS,4,0,0,0,0,0,1,0,0,0,0,3
52,3.600,BEHAV RES THER,4,0,0,0,0,1,0,0,1,0,0,2
53,1.538,BRIT J PSYCHOL,4,0,0,0,0,0,0,0,1,0,0,3
54,1.511,COGNITION EMOTION,4,0,0,0,0,1,0,0,0,0,0,3
55,,EXP AGING RES,4,0,0,0,0,0,0,0,0,0,0,4
56,,HIPPOCAMPUS,4,0,0,0,0,0,0,0,0,0,0,4
57,2.205,INT J PSYCHOPHYSIOL,4,0,1,0,0,0,0,0,0,0,0,3
58,2.333,J BEHAV THER EXP PSY,4,0,0,0,0,0,0,0,0,0,0,4
59,2.580,J EXP PSYCHOL HUMAN,4,0,0,0,0,0,0,0,0,0,0,4
60,1.383,LANG COGNITIVE PROC,4,0,0,0,0,0,0,0,0,0,0,4
61,2.561,PHYSIOL BEHAV,4,0,0,0,0,0,0,0,0,0,0,4
62,10.905,PSYCHOL BULL,4,0,0,0,0,0,0,0,0,0,0,4
63,0.609,SCAND J PSYCHOL,4,0,0,0,0,0,1,0,0,0,1,2
