Cited Journal Data,,,,,,,,,,,,,,
,Impact Factor,Citing Journal,All Yrs,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,Rest
1,,ALL Journals,7525,115,626,1017,1122,1010,734,550,1146,639,401,165
2,,ALL OTHERS (376),376,3,30,44,57,48,33,26,54,43,26,12
3,,NEUROIMAGE,345,2,30,55,55,43,29,15,63,33,13,7
4,3.630,NEUROPSYCHOLOGIA,273,2,14,35,33,41,28,22,66,15,13,4
5,4.997,J COGNITIVE NEUROSCI,235,1,16,30,31,40,28,12,49,12,10,6
6,,CEREB CORTEX,199,2,15,26,33,23,27,12,39,12,5,5
7,,BRAIN RES,178,4,15,21,22,26,15,8,42,9,14,2
8,,J NEUROSCI,174,8,34,29,42,5,13,11,13,12,6,1
9,9.389,TRENDS COGN SCI,156,25,25,29,22,17,9,10,9,3,7,0
10,,PROG BRAIN RES,130,1,6,28,22,14,12,7,22,9,8,1
11,,EXP BRAIN RES,108,0,2,7,16,24,10,13,22,5,6,3
12,,VISION RES,104,1,11,6,10,17,23,8,13,7,2,6
13,,J VISION,102,0,7,21,6,10,15,9,16,9,3,6
14,,SOC NEUROSCI,94,1,6,15,21,15,5,4,10,10,6,1
15,,CURR BIOL,90,5,11,7,11,17,9,8,10,7,4,1
16,2.580,J EXP PSYCHOL HUMAN,80,0,3,9,11,15,5,4,23,5,2,3
17,,P NATL ACAD SCI USA,80,4,11,13,13,14,4,6,3,8,3,1
18,3.831,COGNITION,79,0,2,11,13,19,6,2,7,15,3,1
19,4.251,PSYCHOL SCI,78,0,7,15,13,12,8,6,8,7,1,1
20,3.198,DEVELOPMENTAL SCI,75,0,12,16,7,7,4,8,7,3,11,0
21,,PHILOS T R SOC B,72,0,5,11,16,20,3,5,6,3,2,1
22,,NEURON,70,3,15,11,17,3,9,2,3,4,0,3
23,,J NEUROPHYSIOL,69,0,9,4,13,5,8,4,9,8,5,4
24,,NEUROREPORT,69,2,8,8,9,7,4,3,12,5,7,4
25,,LECT NOTES COMPUT SC,65,1,7,4,7,4,9,9,12,6,3,3
26,,LECT NOTES ARTIF INT,64,1,3,1,2,13,16,4,10,4,7,3
27,1.371,PERCEPT PSYCHOPHYS,59,0,1,8,9,9,4,4,14,2,3,5
28,1.617,PERCEPTION,59,0,2,7,5,6,7,4,13,9,4,2
29,2.641,BRAIN LANG,56,0,1,6,3,16,8,5,12,2,3,0
30,,HUM BRAIN MAPP,55,0,0,8,13,7,4,1,11,8,3,0
31,2.732,CONSCIOUS COGN,54,0,1,9,2,9,8,6,12,3,0,4
32,,CORTEX,54,1,0,7,10,11,7,3,9,1,5,0
33,1.604,MEM COGNITION,52,0,1,3,6,15,5,13,5,1,1,2
34,2.205,INT J PSYCHOPHYSIOL,51,0,4,3,10,7,0,5,9,10,1,2
35,1.935,PSYCHON B REV,50,0,3,9,5,10,6,3,6,6,1,1
36,,ANN NY ACAD SCI,46,5,10,6,11,3,1,2,4,1,3,0
37,,BRAIN,46,0,5,6,5,6,5,4,3,6,6,0
38,0.732,J CONSCIOUSNESS STUD,46,0,2,8,8,8,9,3,4,0,3,1
39,,EUR J NEUROSCI,45,0,1,4,11,3,3,5,5,8,2,3
40,10.905,PSYCHOL BULL,44,0,1,6,10,6,4,2,7,5,2,1
41,,NAT NEUROSCI,42,2,3,7,9,6,2,5,3,3,2,0
42,2.308,BRAIN COGNITION,41,1,4,5,5,6,2,2,11,3,1,1
43,,NEUROSCI LETT,39,0,5,3,2,7,0,5,8,8,1,0
44,3.349,PSYCHOPHYSIOLOGY,39,0,0,5,5,4,2,3,14,6,0,0
45,,BIOL PSYCHIAT,36,0,2,7,8,0,1,4,8,5,1,0
46,1.104,Q J EXP PSYCHOL,36,0,0,2,2,8,3,6,9,3,1,2
47,13.400,ANNU REV PSYCHOL,34,0,2,5,8,5,3,2,5,4,0,0
48,,BRAIN RES BULL,34,1,1,7,4,1,2,3,7,6,2,0
49,,CLIN NEUROPHYSIOL,34,0,4,7,7,3,4,2,4,3,0,0
50,2.408,J EXP PSYCHOL LEARN,34,0,1,4,2,13,3,1,6,2,2,0
51,1.783,ACTA PSYCHOL,33,0,0,8,6,7,2,1,5,2,1,1
52,2.715,BIOL PSYCHOL,33,0,2,5,3,4,2,1,10,4,1,1
53,,BRAIN RES REV,33,0,0,2,12,5,2,5,2,3,2,0
54,3.088,EMOTION,33,0,2,9,3,3,3,2,9,0,1,1
55,,NEURAL NETWORKS,33,0,7,2,2,7,4,1,6,2,2,0
56,1.847,PSYCHOL RES-PSYCH FO,33,0,0,1,9,6,5,0,7,1,2,2
57,7.803,PSYCHOL REV,33,0,5,3,4,5,4,3,4,2,2,1
58,,BEHAV NEUROSCI,32,3,1,5,1,5,4,4,1,8,0,0
