Cited Journal Data,,,,,,,,,,,,,,
,Impact Factor,Citing Journal,All Yrs,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,Rest
1,,ALL Journals,4172,14,46,111,91,130,134,155,230,133,158,2970
2,,ALL OTHERS (294),294,0,2,3,5,3,8,6,21,16,1,229
3,1.604,MEM COGNITION,180,2,2,5,1,7,8,8,10,5,10,122
4,3.831,COGNITION,128,0,2,10,6,6,3,15,4,4,3,75
5,2.580,J EXP PSYCHOL HUMAN,123,0,4,2,1,9,5,3,3,1,10,85
6,1.371,PERCEPT PSYCHOPHYS,99,1,3,1,2,4,2,2,6,3,10,65
7,1.935,PSYCHON B REV,93,0,1,5,3,6,3,3,2,3,6,61
8,2.474,J MEM LANG,83,0,2,3,5,3,6,5,4,3,4,48
9,2.408,J EXP PSYCHOL LEARN,82,2,1,0,4,8,2,9,6,1,4,45
10,,J VISION,80,0,0,0,0,3,1,15,3,2,3,53
11,7.803,PSYCHOL REV,80,1,1,3,3,0,7,3,2,4,5,51
12,3.630,NEUROPSYCHOLOGIA,68,0,0,0,2,4,4,1,3,0,1,53
13,4.026,COGNITIVE PSYCHOL,66,0,2,5,5,3,6,1,5,4,1,34
14,,BRAIN RES,62,0,2,1,1,5,2,3,1,0,3,44
15,,LECT NOTES COMPUT SC,58,0,2,3,0,0,2,4,1,3,3,40
16,1.847,PSYCHOL RES-PSYCH FO,58,0,0,0,4,6,4,4,2,0,3,35
17,,VISION RES,58,0,3,0,1,3,1,4,1,1,1,43
18,1.727,VIS COGN,55,0,0,0,1,1,1,3,1,0,7,41
19,3.038,DEV PSYCHOL,53,0,1,3,1,1,5,2,0,1,5,34
20,1.104,Q J EXP PSYCHOL,53,0,0,2,1,4,0,1,2,0,3,40
21,,LECT NOTES ARTIF INT,52,2,0,2,3,1,1,3,0,3,0,37
22,,EXP BRAIN RES,47,0,1,0,3,2,0,0,2,1,1,37
23,3.198,DEVELOPMENTAL SCI,44,0,1,0,3,3,6,1,0,6,3,21
24,5.594,J EXP PSYCHOL GEN,44,0,3,4,2,1,0,2,2,2,1,27
25,1.617,PERCEPTION,42,0,0,1,0,0,1,1,1,0,2,36
26,4.251,PSYCHOL SCI,40,0,2,4,5,1,0,1,4,2,1,20
27,2.179,COGNITIVE SCI,38,1,1,1,3,0,2,2,2,0,2,24
