Cited Journal Data,,,,,,,,,,,,,,
,Impact Factor,Citing Journal,All Yrs,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,Rest
1,,ALL Journals,2093,10,44,126,132,159,145,93,48,82,59,1195
2,,ALL OTHERS (268),268,2,6,10,13,14,12,8,11,10,5,177
3,,LECT NOTES COMPUT SC,89,0,5,0,1,4,4,2,1,2,4,66
4,2.179,COGNITIVE SCI,73,0,5,7,5,6,9,5,1,5,2,28
5,,LECT NOTES ARTIF INT,62,0,0,5,0,3,4,0,2,0,2,46
6,1.604,MEM COGNITION,57,0,0,4,6,5,6,1,0,7,4,24
7,3.831,COGNITION,48,0,2,3,7,10,4,1,1,1,1,18
8,2.474,J MEM LANG,43,0,4,8,3,1,3,1,0,4,0,19
9,7.803,PSYCHOL REV,35,0,0,3,4,6,4,2,1,3,3,9
10,3.198,DEVELOPMENTAL SCI,31,1,2,3,5,6,1,1,1,0,0,11
11,1.935,PSYCHON B REV,28,1,3,4,2,2,5,0,1,0,0,10
12,1.516,EDUC PSYCHOL REV,27,1,0,0,0,0,2,1,1,0,1,21
13,,AIP CONF P,26,0,0,0,1,1,0,0,0,0,2,22
14,1.029,LEARN INSTR,26,0,0,0,0,2,2,2,1,0,0,19
15,2.408,J EXP PSYCHOL LEARN,23,0,0,5,3,0,3,1,1,1,1,8
16,1.111,COGN SYST RES,20,0,0,6,1,1,1,6,0,0,0,5
17,5.594,J EXP PSYCHOL GEN,18,0,0,3,3,2,0,2,0,1,0,7
18,1.344,COMPUT HUM BEHAV,17,0,0,0,0,0,1,2,0,1,0,13
19,1.097,THINK REASONING,17,0,0,2,2,0,1,2,1,1,0,8
20,4.251,PSYCHOL SCI,15,0,1,2,1,3,1,0,0,0,1,6
21,2.641,BRAIN LANG,14,0,0,1,0,3,0,2,0,2,1,5
22,,NEUROCOMPUTING,14,0,0,1,0,3,3,0,0,0,1,6
23,10.905,PSYCHOL BULL,14,0,0,1,3,1,1,1,0,1,0,6
24,3.038,DEV PSYCHOL,13,0,0,0,3,1,3,0,1,0,1,4
25,1.364,INT J HUM-COMPUT ST,13,0,0,0,2,0,1,0,0,0,1,9
26,,PHILOS T R SOC B,13,0,0,0,0,0,1,0,4,0,0,8
27,,BRAIN RES,12,0,0,1,1,1,1,0,0,1,2,5
28,4.026,COGNITIVE PSYCHOL,12,0,0,2,0,3,1,0,0,1,1,4
29,0.270,ETR&D-EDUC TECH RES,12,0,0,0,0,0,0,0,0,0,0,12
30,,INTERACT STUD,12,0,0,0,0,1,3,0,0,0,0,8
31,1.571,J LEARN SCI,12,0,0,0,1,0,0,1,1,1,1,7
32,,MED EDUC,12,0,0,0,0,0,0,1,0,0,0,11
33,,CEREB CORTEX,11,0,0,0,2,2,0,3,0,0,0,4
34,1.487,CONTEMP EDUC PSYCHOL,11,0,0,0,0,2,0,0,0,0,0,9
35,0.541,INT J SCI EDUC,11,0,0,0,2,0,0,0,0,0,0,9
36,2.353,J EDUC PSYCHOL,11,0,0,0,0,0,0,0,0,0,1,10
37,,MIND MACH,11,0,0,1,0,1,0,0,0,0,2,7
38,1.104,Q J EXP PSYCHOL,11,0,0,6,1,2,0,0,0,0,0,2
39,,ARTIF INTELL,10,0,0,1,1,0,0,0,0,0,0,8
40,0.963,BEHAV RES METHODS,10,0,0,0,0,4,0,1,0,0,1,4
41,1.538,BRIT J PSYCHOL,10,0,0,0,1,0,2,0,0,1,0,6
42,0.971,COGN LINGUIST,10,0,0,2,0,1,0,1,0,0,0,6
43,1.602,COMPUT EDUC,10,0,0,0,0,1,0,1,0,0,0,8
44,3.000,J ENG EDUC,10,0,0,0,2,0,0,0,0,0,0,8
45,1.383,LANG COGNITIVE PROC,10,0,1,0,1,1,1,0,0,2,0,4
46,,P NATL ACAD SCI USA,10,1,0,2,1,0,0,1,1,0,0,4
47,,REV SIGNOS,10,0,0,0,1,0,0,5,0,0,0,4
48,1.783,ACTA PSYCHOL,9,0,0,1,1,6,0,0,0,0,0,1
49,1.257,APPL COGNITIVE PSYCH,9,0,0,0,0,1,0,0,0,0,0,8
50,2.231,EDUC PSYCHOL-US,9,0,0,0,1,1,0,0,0,0,0,7
51,,IEEE T NEURAL NETWOR,9,0,0,0,0,0,0,0,0,1,0,8
52,0.795,INSTR SCI,9,0,0,2,0,0,1,0,0,1,0,5
53,0.484,J PRAGMATICS,9,0,0,0,0,2,0,0,0,0,0,7
54,,NEURAL NETWORKS,9,0,0,0,0,0,0,1,0,1,0,7
55,2.714,PSYCHOL LEARN MOTIV,9,0,0,0,1,2,1,0,0,0,0,5
56,2.600,REV EDUC RES,9,1,0,0,0,0,0,1,0,1,0,6
