Cited Journal Data,,,,,,,,,,,,,,
,Impact Factor,Citing Journal,All Yrs,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,Rest
1,,ALL Journals,1448,27,90,101,115,281,80,115,124,76,51,388
2,,ALL OTHERS (173),173,1,7,11,13,35,11,13,19,9,10,44
3,,LECT NOTES COMPUT SC,311,10,43,23,27,59,10,30,16,12,10,71
4,1.364,INT J HUM-COMPUT ST,82,5,4,12,6,19,5,7,7,1,3,13
5,,LECT NOTES ARTIF INT,70,0,7,6,8,18,3,1,2,3,7,15
6,1.344,COMPUT HUM BEHAV,53,1,0,0,5,7,3,4,11,4,1,17
7,0.969,INTERACT COMPUT,45,0,6,4,6,7,2,3,4,5,1,7
8,1.602,COMPUT EDUC,24,0,0,1,2,3,3,3,1,2,0,9
9,1.436,J AM SOC INF SCI TEC,21,0,1,0,2,5,3,2,2,1,0,5
10,0.381,INT J HUM-COMPUT INT,18,4,1,5,1,0,0,0,0,1,0,6
11,1.028,BEHAV INFORM TECHNOL,15,0,1,1,0,2,1,4,2,2,0,2
12,,IEEE T SYST MAN CY A,15,0,0,1,1,1,0,0,5,0,1,6
13,,DECIS SUPPORT SYST,13,0,0,0,1,3,0,2,1,1,0,5
14,1.113,HUM FACTORS,13,0,0,1,0,1,2,2,1,0,0,6
15,,INT FED INFO PROC,12,1,0,0,1,5,0,0,2,0,1,2
16,,P SOC PHOTO-OPT INS,11,0,1,0,1,2,0,1,2,0,0,4
17,,PERS UBIQUIT COMPUT,11,0,0,1,3,1,0,0,1,0,0,5
18,,EXPERT SYST APPL,10,0,0,0,1,1,0,0,1,1,1,5
19,,J ASSOC INF SYST,10,0,1,0,0,2,0,1,2,1,0,3
20,,ACM T COMPUT-HUM INT,9,0,0,0,0,3,0,5,0,1,0,0
21,1.368,CYBERPSYCHOL BEHAV,9,0,0,0,0,2,0,2,3,0,0,2
22,1.484,ERGONOMICS,9,2,0,0,0,1,0,1,0,1,0,4
23,,INT J INTELL SYST,9,0,1,0,0,0,0,0,5,1,0,2
24,1.257,APPL COGNITIVE PSYCH,8,0,0,0,0,0,7,1,0,0,0,0
25,,DISPLAYS,8,0,1,0,3,1,0,1,0,0,0,2
26,,EUR J INFORM SYST,8,0,1,0,0,7,0,0,0,0,0,0
27,,INT J HUM ROBOT,8,0,0,4,1,2,0,0,1,0,0,0
28,,INT J MED INFORM,8,0,0,1,2,1,0,1,0,0,0,3
29,,INT J SEMANT WEB INF,8,0,0,0,0,4,0,0,0,0,0,4
30,,KNOWL ENG REV,8,0,0,1,0,1,0,0,1,0,0,5
31,,DESIGN STUD,7,0,0,2,1,0,0,0,0,1,0,3
32,,IEICE T INF SYST,7,0,0,0,4,1,0,0,1,0,0,1
33,1.631,INFORM MANAGE-AMSTER,7,0,0,1,0,5,1,0,0,0,0,0
34,1.867,J MANAGE INFORM SYST,7,0,0,1,1,0,0,2,2,0,0,1
35,1.516,EDUC PSYCHOL REV,6,0,0,0,0,2,1,1,0,1,0,1
