Cited Journal Data,,,,,,,,,,,,,,
,Impact Factor,Citing Journal,All Yrs,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,Rest
1,,ALL Journals,959,5,35,51,70,117,62,81,108,84,85,261
2,,ALL OTHERS (61),61,1,2,6,4,7,4,8,8,5,3,13
3,0.541,INT J SCI EDUC,297,2,9,16,21,37,18,28,36,25,30,75
4,0.936,SCI EDUC,97,0,4,7,8,9,7,7,15,10,5,25
5,1.148,J RES SCI TEACH,89,0,1,1,4,14,2,8,12,7,6,34
6,0.317,RES SCI EDUC,74,0,2,3,6,11,6,8,7,8,4,19
7,,J CHEM EDUC,33,0,0,5,3,2,0,3,3,1,0,16
8,,J BIOL EDUC,24,0,2,1,0,3,2,4,2,3,3,4
9,0.800,J COMPUT ASSIST LEAR,20,0,2,1,1,2,3,0,5,2,3,1
10,,AM BIOL TEACH,16,0,2,1,2,1,1,2,1,2,2,2
11,,AIP CONF P,15,0,0,3,1,3,1,0,0,1,2,4
12,1.602,COMPUT EDUC,14,0,0,2,1,2,0,1,3,2,0,3
13,1.029,LEARN INSTR,14,0,0,1,0,2,3,0,1,1,2,4
14,0.600,REV RES EDUC,13,0,2,0,1,3,0,3,1,1,1,1
15,1.519,COGNITION INSTRUCT,11,0,0,0,1,0,1,2,2,0,4,1
16,,AM J PHYS,9,0,0,0,1,0,0,0,0,0,3,5
17,0.475,EDUC TECHNOL SOC,8,0,0,0,2,2,1,1,0,0,1,1
18,0.270,ETR&D-EDUC TECH RES,7,0,0,0,0,2,0,1,2,0,0,2
19,0.795,INSTR SCI,7,0,4,0,0,0,0,0,1,2,0,0
20,0.415,ASIA PAC EDUC REV,6,0,0,0,0,0,1,0,0,0,1,4
21,,BIOCHEM MOL BIOL EDU,6,0,0,0,0,1,0,2,0,0,1,2
22,1.344,COMPUT HUM BEHAV,6,0,0,1,0,2,1,0,0,1,0,1
23,2.231,EDUC PSYCHOL-US,6,0,0,0,0,2,0,0,1,1,2,0
24,0.488,EDUC RES-UK,6,0,1,0,2,1,0,1,0,0,0,1
25,2.600,REV EDUC RES,6,0,0,0,1,1,0,0,0,1,0,3
26,,ADV SPACE RES-SERIES,5,0,0,0,0,0,0,1,0,0,1,3
27,1.930,AM EDUC RES J,5,0,0,0,1,0,2,0,0,0,0,2
28,0.782,BRIT EDUC RES J,5,0,0,1,1,0,0,0,1,2,0,0
29,1.487,CONTEMP EDUC PSYCHOL,5,0,0,0,0,0,0,0,0,1,1,3
30,0.246,EDUC STUD,5,0,0,1,1,1,1,0,0,0,1,0
31,,EUR J PHYS,5,0,0,0,0,0,0,0,0,0,2,3
32,0.500,EUR J PSYCHOL EDUC,4,0,0,0,0,2,0,0,0,0,1,1
33,0.784,J OPER RES SOC,4,0,0,0,0,0,0,0,0,2,2,0
34,,Z ERZIEHWISS,4,0,0,0,0,0,0,0,0,1,0,3
35,,ADV PHYSIOL EDUC,3,0,0,1,0,1,0,0,0,0,0,1
36,0.574,BRIT J EDUC TECHNOL,3,0,0,0,1,0,0,0,0,0,0,2
37,2.032,DEV REV,3,1,0,0,0,1,0,0,0,0,0,1
38,1.516,EDUC PSYCHOL REV,3,1,1,0,1,0,0,0,0,0,0,0
39,0.558,EDUC REV,3,0,1,0,1,0,0,0,1,0,0,0
40,,INT J TECHNOL DES ED,3,0,0,0,0,0,0,0,1,0,0,2
41,0.361,J CURRICULUM STUD,3,0,0,0,1,2,0,0,0,0,0,0
42,2.353,J EDUC PSYCHOL,3,0,0,0,0,0,1,0,0,0,1,1
43,1.571,J LEARN SCI,3,0,0,0,0,0,0,0,0,0,2,1
44,,LECT NOTES ARTIF INT,3,0,0,0,0,0,0,0,1,1,0,1
45,1.935,PSYCHON B REV,3,0,0,0,0,0,0,0,1,0,0,2
46,1.340,PUBLIC UNDERST SCI,3,0,0,0,0,0,1,0,0,2,0,0
47,,REV MEX FIS,3,0,0,0,0,1,0,0,0,0,0,2
48,0.589,TEACH TEACH EDUC,3,0,0,0,1,0,1,0,0,0,0,1
49,,ANTHROZOOS,2,0,0,0,0,0,2,0,0,0,0,0
50,2.179,COGNITIVE SCI,2,0,0,0,0,0,0,0,0,0,0,2
51,,GENETICS,2,0,0,0,0,0,1,0,1,0,0,0
52,,IEEE T EDUC,2,0,0,0,0,0,0,0,0,0,0,2
53,,INT J ENG EDUC,2,0,0,0,0,0,0,1,0,0,0,1
54,,INT J ENVIRON POLLUT,2,0,0,0,0,0,0,0,0,0,0,2
55,1.436,J AM SOC INF SCI TEC,2,0,0,0,0,0,1,0,0,0,0,1
56,3.000,J ENG EDUC,2,0,0,0,0,0,0,0,0,1,0,1
57,0.714,J NURS EDUC,2,0,0,0,1,0,0,0,1,0,0,0
58,,LECT NOTES COMPUT SC,2,0,0,0,0,1,0,0,0,0,0,1
59,1.403,MEMORY,2,0,0,0,0,0,0,0,1,0,0,1
60,0.529,OXFORD REV EDUC,2,0,0,0,1,0,1,0,0,0,0,0
61,1.395,SCI COMMUN,2,0,1,0,0,0,0,0,0,0,1,0
62,0.548,TEACH HIGH EDUC,2,0,0,0,0,1,0,0,0,1,0,0
63,0.485,WRIT COMMUN,2,0,1,0,1,0,0,0,0,0,0,0
Copyright © 2018 Clarivate Analytics,,,,,,,,,,,,,,
"By exporting the selected data, you agree to the data usage policy set forth in the Terms of Use",,,,,,,,,,,,,,
