Cited Journal Data,,,,,,,,,,,,,,
,Impact Factor,Citing Journal,All Yrs,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,Rest
1,,ALL Journals,1308,6,17,49,65,74,61,50,56,60,47,823
2,,ALL OTHERS (83),83,0,1,3,3,6,2,1,2,9,2,54
3,0.880,J CHILD LANG,137,0,1,5,7,8,5,11,8,8,3,81
4,1.452,J SPEECH LANG HEAR R,94,0,1,5,9,6,7,2,4,4,2,54
5,3.382,CHILD DEV,74,3,1,6,3,1,1,5,6,6,1,41
6,3.831,COGNITION,49,0,0,1,0,5,4,2,3,2,3,29
7,3.198,DEVELOPMENTAL SCI,42,1,1,3,1,3,2,2,3,0,2,24
8,3.038,DEV PSYCHOL,37,0,2,1,3,2,2,0,0,3,2,22
9,2.032,DEV REV,35,0,1,0,2,0,0,0,0,0,2,30
10,0.756,BILING-LANG COGN,32,0,0,1,0,4,0,1,0,0,4,22
11,0.615,CLIN LINGUIST PHONET,32,0,0,1,3,3,4,1,0,3,0,17
12,0.984,INT J LANG COMM DIS,25,0,0,2,4,1,0,1,1,3,1,12
13,1.580,APPL PSYCHOLINGUIST,24,0,0,1,1,3,0,2,1,1,1,14
14,2.474,J MEM LANG,23,0,0,2,2,1,1,0,1,0,0,16
15,1.439,J PHONETICS,20,0,0,0,0,0,0,0,0,0,0,20
16,1.383,LANG COGNITIVE PROC,20,0,1,1,1,1,2,1,4,1,1,7
17,0.556,LINGUA,19,0,0,0,2,0,0,1,1,1,1,13
18,1.018,AM J SPEECH-LANG PAT,18,0,1,0,0,0,2,0,3,1,1,10
19,1.694,INFANCY,17,0,0,2,0,0,0,1,0,0,1,13
20,0.417,LANG LEARN,17,0,0,1,1,0,1,0,1,1,0,12
21,2.179,COGNITIVE SCI,16,0,0,1,2,2,0,2,0,1,1,7
22,3.212,J AUTISM DEV DISORD,16,0,0,0,2,1,2,0,0,0,1,10
23,0.500,J PSYCHOLINGUIST RES,15,0,0,0,2,2,1,0,1,0,0,9
24,4.026,COGNITIVE PSYCHOL,14,0,0,2,0,1,1,0,0,0,2,8
25,,J COGN DEV,14,0,0,0,0,0,0,0,0,0,2,12
26,0.484,J PRAGMATICS,13,0,0,0,0,1,0,0,0,2,0,10
27,1.976,LANGUAGE,13,0,0,0,0,0,2,0,0,0,0,11
28,0.338,LINGUISTICS,13,0,0,0,1,0,1,1,0,0,0,10
29,2.641,BRAIN LANG,12,0,0,1,1,0,2,2,1,0,0,5
30,,EAR HEARING,12,0,0,0,0,2,1,2,0,0,0,7
31,,INFANC APRENDIZ,12,0,0,0,1,0,1,0,2,1,0,7
32,1.563,J EXP CHILD PSYCHOL,11,0,1,0,1,1,1,0,1,1,0,5
33,0.395,LANG SOC,11,0,0,0,0,1,0,0,0,0,1,9
34,,PHYS LIFE REV,10,0,0,0,1,0,0,0,1,0,1,7
35,1.205,BRIT J DEV PSYCHOL,9,0,0,0,0,2,0,0,0,0,0,7
36,0.971,COGN LINGUIST,9,0,0,1,1,2,1,1,1,0,0,2
37,0.970,INFANT BEHAV DEV,9,0,0,0,0,0,1,0,0,0,0,8
38,0.373,LANG SCI,9,0,0,1,0,0,1,4,0,0,0,3
39,,INT J BILINGUAL,8,0,0,0,0,0,0,0,0,0,1,7
40,0.540,PSYCHOL REC,8,0,0,0,0,0,1,0,0,0,0,7
41,0.424,VOLTA REV,8,0,0,0,0,0,1,0,0,0,0,7
42,1.022,DISCOURSE PROCESS,7,0,1,0,1,0,1,1,0,0,1,2
43,1.439,FOLIA PHONIATR LOGO,7,0,0,0,0,0,0,0,1,1,0,5
44,1.404,LANG SPEECH HEAR SER,7,0,0,0,0,0,0,0,0,0,0,7
45,,MENT RETARD DEV D R,7,0,1,1,0,0,1,0,0,0,0,4
46,2.714,PSYCHOL LEARN MOTIV,7,0,0,1,1,0,0,0,0,2,0,3
47,4.251,PSYCHOL SCI,7,1,0,0,1,0,1,0,0,1,0,3
48,0.320,READ TEACH,7,0,0,0,0,0,0,0,0,0,0,7
49,1.485,STUD SECOND LANG ACQ,7,0,0,0,1,0,0,0,0,0,3,3
50,1.444,ADV CHILD DEV BEHAV,6,0,0,1,0,0,0,1,0,1,0,3
51,4.997,J COGNITIVE NEUROSCI,6,0,0,0,0,1,0,1,0,0,0,4
52,0.305,J VISUAL IMPAIR BLIN,6,0,0,0,0,0,0,0,0,0,0,6
53,1.040,METAPHOR SYMBOL,6,0,0,1,0,0,0,0,0,0,0,5
54,,RUSS LINGUIST,6,0,0,1,0,0,0,0,1,0,1,3
55,1.340,J RES READ,5,0,0,0,0,1,1,1,0,0,0,2
56,0.793,MOD LANG J,5,0,0,0,0,0,0,0,0,0,0,5
57,3.000,MONOGR SOC RES CHILD,5,0,1,0,0,0,0,0,1,0,0,3
58,,PHILOS T R SOC B,5,0,0,0,0,0,0,0,0,0,0,5
59,1.185,RES LANG SOC INTERAC,5,0,0,0,0,0,0,0,0,0,0,5
