Cited Journal Data,,,,,,,,,,,,,,
,Impact Factor,Citing Journal,All Yrs,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,Rest
1,,ALL Journals,8848,89,619,980,1102,803,848,579,1073,429,426,1900
2,,ALL OTHERS (269),269,5,15,13,32,12,26,15,45,9,20,77
3,,NEUROIMAGE,652,2,49,78,77,72,74,46,102,39,18,95
4,3.630,NEUROPSYCHOLOGIA,489,3,32,50,65,51,61,32,46,32,34,83
5,4.997,J COGNITIVE NEUROSCI,467,7,37,69,62,51,46,27,47,26,15,80
6,,BRAIN RES,453,3,38,57,56,40,33,23,56,26,20,101
7,,CEREB CORTEX,347,0,18,53,45,36,21,22,61,20,12,59
8,,J NEUROSCI,257,10,29,36,32,36,21,16,21,10,7,39
9,2.641,BRAIN LANG,156,0,11,17,19,12,12,5,15,11,6,48
10,,EXP BRAIN RES,153,3,7,22,17,17,15,10,9,12,15,26
11,,HUM BRAIN MAPP,141,0,1,13,16,20,16,11,26,6,6,26
12,,SOC NEUROSCI,121,4,6,12,44,15,12,3,9,1,7,8
13,,J NEUROPHYSIOL,117,2,9,18,14,5,18,7,13,7,4,20
14,,PROG BRAIN RES,115,0,2,14,22,5,9,8,16,7,5,27
15,,NEUROREPORT,113,0,8,18,14,7,14,6,14,7,7,18
16,,P NATL ACAD SCI USA,109,0,13,18,14,14,11,3,12,10,3,11
17,2.205,INT J PSYCHOPHYSIOL,105,0,6,12,12,13,9,10,15,7,2,19
18,,LECT NOTES COMPUT SC,104,0,6,2,1,3,3,3,4,0,0,82
19,9.389,TRENDS COGN SCI,104,5,17,15,18,7,16,5,8,2,4,7
20,,CLIN NEUROPHYSIOL,100,2,10,9,8,10,10,4,8,4,6,29
21,3.349,PSYCHOPHYSIOLOGY,94,2,11,10,10,6,11,5,12,3,3,21
22,,CORTEX,86,0,1,15,3,9,6,7,17,3,4,21
23,,BRAIN,84,3,5,16,14,5,7,4,7,5,7,11
24,2.715,BIOL PSYCHOL,77,0,4,2,6,6,11,7,5,4,6,26
25,,NEURON,76,0,6,9,9,8,10,7,10,3,2,12
26,,EUR J NEUROSCI,71,2,5,13,12,5,8,5,4,5,3,9
27,,PHILOS T R SOC B,70,0,9,11,11,4,2,2,7,1,6,17
28,1.371,PERCEPT PSYCHOPHYS,68,0,4,3,12,9,5,2,6,10,4,13
29,2.308,BRAIN COGNITION,66,0,2,3,3,4,8,8,16,5,7,10
30,10.905,PSYCHOL BULL,65,0,5,9,11,6,8,3,5,4,1,13
31,,VISION RES,60,1,4,3,7,9,6,7,5,2,4,12
32,,BIOL PSYCHIAT,59,0,4,4,5,2,9,5,12,1,3,14
33,1.925,COGN NEUROPSYCHOL,59,0,2,10,3,7,5,2,3,3,3,21
34,3.831,COGNITION,59,0,1,6,15,3,4,6,4,2,3,15
35,1.604,MEM COGNITION,59,0,4,2,4,7,3,10,5,3,5,16
36,,COGN AFFECT BEHAV NE,57,0,4,4,6,5,9,5,11,2,3,8
37,,J VISION,55,0,3,1,7,7,5,8,5,1,2,16
38,2.987,NEUROPSYCHOLOGY,55,0,4,5,3,8,10,4,4,1,4,12
