Cited Journal Data,,,,,,,,,,,,,,
,Impact Factor,Citing Journal,All Yrs,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,Rest
1,,ALL Journals,5601,13,121,159,243,357,281,278,280,416,252,3201
2,,ALL OTHERS (289),289,1,6,5,4,13,7,6,7,23,8,209
3,2.353,J EDUC PSYCHOL,383,1,10,20,27,31,20,26,18,27,18,185
4,1.516,EDUC PSYCHOL REV,163,2,1,2,10,6,13,16,10,12,8,83
5,1.487,CONTEMP EDUC PSYCHOL,161,0,1,1,10,10,12,12,11,5,13,86
6,1.024,BRIT J EDUC PSYCHOL,153,1,0,1,8,10,11,12,4,7,4,95
7,1.477,J LEARN DISABIL-US,137,1,1,6,7,7,8,9,9,16,6,67
8,1.029,LEARN INSTR,111,0,3,1,5,7,11,4,6,5,6,63
9,,EDUC PSYCHOL-UK,105,0,0,5,5,1,6,5,9,3,2,69
10,2.600,REV EDUC RES,97,0,4,1,3,8,7,5,3,0,12,54
11,,READ WRIT,93,0,2,8,3,6,3,5,7,12,4,43
12,0.500,EUR J PSYCHOL EDUC,83,0,9,4,8,4,3,6,5,4,1,39
13,2.231,EDUC PSYCHOL-US,66,1,3,0,3,7,3,0,5,2,7,35
14,0.931,J EXP EDUC,66,0,1,2,2,6,7,5,3,7,2,31
15,1.231,LEARN INDIVID DIFFER,66,0,2,6,2,3,3,2,5,7,2,34
16,2.676,SCI STUD READ,61,0,3,3,5,0,5,5,2,7,1,30
17,0.300,PSYCHOL BELG,57,0,0,1,3,2,2,5,4,3,1,36
18,1.257,APPL COGNITIVE PSYCH,53,1,2,0,2,2,2,9,0,4,5,26
19,3.382,CHILD DEV,53,0,1,3,5,7,3,2,4,4,4,20
20,0.962,J SCHOOL PSYCHOL,52,0,3,1,3,3,3,0,4,2,5,28
21,1.563,J EXP CHILD PSYCHOL,50,0,2,1,4,3,3,1,3,8,1,24
22,1.340,J RES READ,50,0,0,0,5,7,3,1,5,7,1,21
23,1.062,ELEM SCHOOL J,48,0,4,2,5,3,6,5,2,1,4,16
24,1.604,MEM COGNITION,48,0,0,2,0,3,2,2,1,3,1,34
25,1.192,PSYCHOL SPORT EXERC,48,0,2,11,2,10,3,1,3,2,0,14
26,1.930,AM EDUC RES J,46,0,2,2,1,4,2,1,2,3,2,27
27,1.400,PERS INDIV DIFFER,45,0,0,1,2,3,4,2,2,7,0,24
28,0.548,J EDUC RES,44,0,2,3,6,4,0,1,2,3,1,22
29,1.344,COMPUT HUM BEHAV,43,0,0,0,0,4,1,3,0,1,1,33
30,0.595,Z PADAGOG PSYCHOL,43,0,1,0,4,2,7,2,4,3,3,17
31,1.118,ANN DYSLEXIA,42,0,1,1,6,4,2,0,2,6,3,17
32,0.370,LEARN DISABILITY Q,41,0,1,0,0,2,3,4,1,2,4,24
33,3.038,DEV PSYCHOL,37,0,1,1,1,4,1,1,2,5,1,20
34,2.528,EXCEPT CHILDREN,36,0,1,1,3,4,2,1,2,2,1,19
35,0.320,READ TEACH,36,0,1,1,1,0,3,3,2,2,2,21
36,0.270,ETR&D-EDUC TECH RES,35,0,0,0,2,1,0,3,3,1,2,23
37,3.047,J APPL PSYCHOL,35,0,0,0,0,1,3,5,1,2,0,23
38,1.602,COMPUT EDUC,34,0,0,0,0,4,2,3,0,2,3,20
39,0.115,JPN J EDUC PSYCHOL,33,0,0,0,1,1,0,1,1,1,1,27
40,0.345,J LIT RES,32,0,2,1,1,5,2,0,2,4,1,14
41,2.986,INTELLIGENCE,31,0,0,1,2,1,1,5,1,2,0,18
42,1.148,J RES SCI TEACH,31,0,0,1,1,4,5,2,0,0,0,18
43,2.580,PERS SOC PSYCHOL B,31,0,3,5,0,0,4,3,2,2,1,11
44,1.205,BRIT J DEV PSYCHOL,30,1,0,1,0,1,0,0,5,4,1,17
45,0.795,INSTR SCI,30,0,0,0,0,0,1,2,2,1,0,24
46,0.353,PSYCHOL REP,30,0,1,0,1,0,2,3,0,2,1,20
47,1.580,APPL PSYCHOLINGUIST,29,0,0,0,2,3,0,1,2,3,0,18
48,,LECT NOTES COMPUT SC,29,0,3,0,1,3,2,2,1,0,0,17
49,0.513,Z ENTWICKL PADAGOGIS,29,0,1,0,1,1,2,1,3,1,4,15
50,0.589,TEACH TEACH EDUC,28,0,0,0,0,0,0,2,2,0,0,24
51,0.267,PSYCHOL ERZ UNTERR,27,0,1,2,6,2,1,1,1,1,2,10
52,1.384,EUR J COGN PSYCHOL,25,0,0,1,1,2,0,1,1,0,3,16
53,0.340,GIFTED CHILD QUART,25,0,0,0,1,0,0,0,1,0,2,21
54,0.800,J COMPUT ASSIST LEAR,25,0,0,0,0,1,5,0,1,1,2,15
