Cited Journal Data,,,,,,,,,,,,,,
,Impact Factor,Citing Journal,All Yrs,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,Rest
1,,ALL Journals,8174,32,192,337,262,379,357,398,359,448,512,4898
2,,ALL OTHERS (253),253,0,1,2,1,5,4,13,9,7,9,202
3,2.580,J EXP PSYCHOL HUMAN,579,4,14,44,30,36,34,30,30,39,41,277
4,1.371,PERCEPT PSYCHOPHYS,537,4,9,19,19,30,26,35,32,30,48,285
5,,EXP BRAIN RES,325,3,9,19,9,14,15,15,12,17,18,194
6,1.935,PSYCHON B REV,304,2,11,12,11,21,16,17,14,18,23,159
7,1.604,MEM COGNITION,242,0,3,5,9,17,17,10,11,8,12,150
8,,VISION RES,234,0,5,21,11,9,20,10,8,12,19,119
9,1.617,PERCEPTION,207,2,2,6,8,7,6,7,3,15,7,144
10,,J VISION,206,3,6,15,11,6,11,9,2,17,7,119
11,1.847,PSYCHOL RES-PSYCH FO,195,0,0,12,7,22,11,15,9,20,10,89
12,1.104,Q J EXP PSYCHOL,186,0,3,9,7,11,2,6,12,15,20,101
13,3.630,NEUROPSYCHOLOGIA,175,0,3,6,3,4,5,12,11,10,8,113
14,1.727,VIS COGN,165,1,1,5,6,10,11,3,6,7,9,106
15,,BRAIN RES,156,0,7,5,4,9,6,8,13,7,7,90
16,7.803,PSYCHOL REV,134,0,4,9,1,2,4,3,5,6,13,87
17,2.408,J EXP PSYCHOL LEARN,127,2,10,4,2,16,3,6,4,4,7,69
18,1.783,ACTA PSYCHOL,126,0,1,5,1,10,9,12,8,4,5,71
19,3.831,COGNITION,104,0,1,4,5,4,7,8,6,7,8,54
20,4.997,J COGNITIVE NEUROSCI,94,0,3,3,1,3,3,6,3,1,12,59
21,1.043,ECOL PSYCHOL,85,0,6,6,3,3,0,7,8,8,6,38
22,,NEUROIMAGE,83,1,6,5,2,0,4,4,1,5,10,45
23,,PROG BRAIN RES,74,0,1,1,3,1,2,0,3,2,6,55
24,3.349,PSYCHOPHYSIOLOGY,69,0,1,2,2,9,2,4,2,4,6,37
25,0.963,BEHAV RES METHODS,64,0,0,5,0,0,4,0,4,5,5,41
26,1.318,J MOTOR BEHAV,63,0,2,1,3,3,4,6,2,6,0,36
27,2.474,J MEM LANG,61,0,0,1,4,2,3,1,2,4,4,40
28,0.380,ANN PSYCHOL,60,0,0,0,3,1,11,1,3,3,0,38
29,1.384,EUR J COGN PSYCHOL,59,0,1,0,2,5,1,2,1,1,4,42
30,,J ACOUST SOC AM,58,0,2,2,5,2,4,2,2,5,4,30
31,2.732,CONSCIOUS COGN,57,0,1,7,3,1,1,7,2,7,4,24
32,,J NEUROPHYSIOL,57,0,3,0,1,0,2,2,4,4,3,38
33,4.251,PSYCHOL SCI,57,0,3,8,2,5,0,6,3,4,1,25
34,1.252,HUM MOVEMENT SCI,56,1,3,3,2,4,2,5,2,2,2,30
35,,CEREB CORTEX,55,0,1,2,4,1,1,5,2,1,4,34
36,5.594,J EXP PSYCHOL GEN,55,2,2,3,3,4,1,4,6,0,5,25
37,,J NEUROSCI,55,0,5,1,2,0,2,3,1,4,2,35
38,1.925,COGN NEUROPSYCHOL,54,0,2,3,2,4,3,3,2,4,5,26
39,2.308,BRAIN COGNITION,52,0,2,2,1,0,3,3,5,1,5,30
40,2.781,EXP PSYCHOL,51,0,2,4,0,2,4,2,2,3,4,28
41,,P NATL ACAD SCI USA,50,1,2,5,1,1,1,1,6,4,2,26
42,,CORTEX,47,0,0,1,0,2,2,3,1,4,7,27
43,,LECT NOTES ARTIF INT,47,0,3,5,3,2,6,2,3,4,1,18
44,,LECT NOTES COMPUT SC,46,0,2,5,2,0,0,4,2,3,1,27
45,,NEUROREPORT,44,0,0,0,0,5,3,2,2,3,4,25
46,1.113,HUM FACTORS,43,1,0,0,0,0,1,6,0,2,3,30
47,10.905,PSYCHOL BULL,41,0,0,1,2,5,0,3,4,2,0,24
48,1.383,LANG COGNITIVE PROC,40,0,0,0,0,0,4,2,2,3,3,26
49,,MOTOR CONTROL,39,0,3,1,4,1,1,0,2,4,2,21
50,,NEUROSCI LETT,37,0,2,1,2,2,2,2,2,2,1,21
51,2.518,PSYCHOL AGING,37,0,0,4,5,7,3,1,2,0,1,14
52,,HEARING RES,36,0,0,1,4,1,3,5,0,2,0,20
53,0.387,PERCEPT MOTOR SKILL,34,0,0,0,1,0,3,1,1,1,6,21
54,0.891,CAN J EXP PSYCHOL,33,0,0,0,0,1,1,0,1,3,3,24
55,0.970,INFANT BEHAV DEV,30,0,1,0,0,2,0,4,1,1,1,20
56,9.389,TRENDS COGN SCI,30,2,2,2,3,1,2,3,2,1,0,12
57,0.500,J PSYCHOLINGUIST RES,29,0,0,0,0,0,3,0,1,1,3,21
58,,NEURON,29,0,2,0,1,4,1,1,4,1,0,15
59,3.088,EMOTION,28,0,0,0,2,5,1,2,1,1,2,14
60,1.403,MEMORY,28,0,0,1,1,1,1,0,0,1,2,21
61,1.121,SOC COGNITION,28,0,0,0,0,0,0,0,0,0,0,28
62,0.939,AM J PSYCHOL,27,0,0,0,0,1,0,1,2,4,1,18
63,,CLIN NEUROPHYSIOL,27,0,0,0,1,0,0,2,1,0,0,23
64,1.511,COGNITION EMOTION,26,0,0,2,0,1,0,3,0,4,2,14
65,,BIOL CYBERN,25,0,0,1,0,1,1,0,0,2,2,18
66,,GAIT POSTURE,25,0,0,0,0,1,0,0,0,2,0,22
67,2.987,NEUROPSYCHOLOGY,25,0,0,1,2,1,1,2,1,0,2,15
68,0.942,SPATIAL VISION,25,0,0,1,1,1,2,2,0,2,1,15
69,0.677,MUSIC PERCEPT,24,0,1,0,1,1,0,2,3,2,1,13
70,2.179,COGNITIVE SCI,22,0,1,0,0,0,2,0,1,0,2,16
71,3.198,DEVELOPMENTAL SCI,22,0,1,1,0,2,0,0,0,0,5,13
72,,PROG NAT SCI,22,0,1,1,1,0,1,1,1,0,3,13
73,,J SPORT SCI,21,0,0,1,1,0,1,0,2,2,1,13
74,0.824,AGING NEUROPSYCHOL C,20,0,0,1,2,0,0,0,0,1,3,13
75,2.641,BRAIN LANG,20,0,0,0,0,0,0,1,0,1,1,17
76,4.026,COGNITIVE PSYCHOL,20,0,1,1,0,1,1,0,2,2,3,9
77,2.205,INT J PSYCHOPHYSIOL,20,0,0,0,0,1,0,2,0,1,0,16
78,2.715,BIOL PSYCHOL,19,0,0,0,0,0,1,0,2,0,2,14
79,,BEHAV BRAIN RES,17,0,2,2,1,1,0,2,1,0,0,8
80,,J INT NEUROPSYCH SOC,17,0,0,0,0,0,0,1,0,1,5,10
81,0.757,LANG SPEECH,17,0,0,0,0,0,2,1,0,1,1,12
82,0.962,LATERALITY,17,0,0,0,0,0,0,0,0,2,0,15
83,,SOC NEUROSCI,17,0,1,4,1,0,0,1,1,1,3,5
84,1.257,APPL COGNITIVE PSYCH,16,0,0,0,0,1,0,0,0,1,1,13
85,3.038,DEV PSYCHOL,16,0,2,0,0,0,0,1,1,0,1,11
86,3.212,J AUTISM DEV DISORD,16,0,1,1,0,0,0,3,0,2,1,8
87,,P SOC PHOTO-OPT INS,16,0,0,0,1,0,0,0,1,2,0,12
88,1.538,BRIT J PSYCHOL,15,0,0,1,0,0,0,0,1,2,0,11
89,3.382,CHILD DEV,15,0,1,0,1,0,2,0,1,0,0,10
90,1.694,INFANCY,15,0,1,0,1,1,2,0,0,0,1,9
91,1.282,J MATH PSYCHOL,15,0,0,0,0,0,0,0,1,2,1,11
92,1.439,J PHONETICS,15,0,1,0,1,1,3,0,1,0,1,7
93,1.452,J SPEECH LANG HEAR R,15,0,0,0,0,0,3,0,0,2,0,10
94,,PHILOS T R SOC B,15,0,1,0,0,1,1,1,0,1,2,8
95,13.400,ANNU REV PSYCHOL,14,0,0,5,1,0,0,0,0,0,0,8
96,2.058,J EXP SOC PSYCHOL,14,0,0,0,0,0,0,1,0,0,1,12
97,0.965,PSICOTHEMA,14,1,0,0,0,0,0,0,0,1,2,10
98,,READ WRIT,14,0,0,0,0,0,0,0,2,0,1,11
99,,VISUAL NEUROSCI,14,0,0,0,0,0,0,0,1,0,2,11
100,,EUR J NEUROSCI,13,0,1,0,0,0,0,0,0,0,0,12
101,0.732,J CONSCIOUSNESS STUD,13,0,0,0,1,1,0,0,0,0,0,11
102,1.414,DISABIL REHABIL,12,0,0,0,0,0,1,0,0,2,0,9
103,4.505,J PERS SOC PSYCHOL,12,0,0,1,0,0,0,0,0,0,1,10
104,0.417,LANG LEARN,12,0,0,0,0,0,1,0,1,2,1,7
105,,BEHAV NEUROSCI,11,0,0,0,1,0,1,1,1,1,2,4
106,,BRAIN,11,0,0,2,1,1,0,0,1,1,1,4
107,1.197,COGNITIVE DEV,11,0,0,0,0,0,0,1,1,0,1,8
108,0.382,JPN PSYCHOL RES,11,0,0,0,0,1,0,0,0,0,1,9
109,,PLOS BIOL,11,0,0,0,0,0,0,1,0,0,1,9
110,4.240,SCHIZOPHR RES,11,0,0,0,1,1,1,0,0,2,0,6
111,1.684,BEHAV PROCESS,10,0,0,0,0,0,0,1,5,0,1,3
112,,CLIN EXP OPTOM,10,0,0,1,0,0,0,0,0,2,1,6
113,,EXP AGING RES,10,0,0,0,1,1,0,0,0,1,1,6
114,2.035,EXP CLIN PSYCHOPHARM,10,0,0,0,0,0,0,0,0,2,2,6
115,1.691,J CLIN EXP NEUROPSYC,10,0,0,0,0,1,0,0,1,0,0,8
116,1.563,J EXP CHILD PSYCHOL,10,0,1,0,0,0,0,0,1,1,1,6
117,1.810,J EXP PSYCHOL-APPL,10,0,0,0,0,1,0,0,0,0,1,8
118,0.250,MUSIC SCI,10,0,0,1,0,1,0,0,0,1,0,7
119,0.609,SCAND J PSYCHOL,10,0,0,0,0,0,0,0,0,0,0,10
120,0.581,SWISS J PSYCHOL,10,0,0,0,0,0,0,0,0,0,0,10
121,,BEHAV BRAIN FUNCT,9,0,0,0,0,1,0,0,0,0,1,7
122,,COGN AFFECT BEHAV NE,9,0,1,0,0,1,1,0,0,1,0,5
123,1.484,ERGONOMICS,9,0,0,1,0,1,1,0,1,0,1,4
124,1.793,J COMP PSYCHOL,9,1,0,0,1,0,0,0,1,0,0,6
125,0.361,PSICOLOGICA,9,0,0,2,0,0,0,1,1,0,1,4
126,0.342,Z PSYCHOL,9,0,2,0,0,0,0,0,0,1,0,6
127,1.636,AM J MENT RETARD,8,0,0,0,0,3,1,0,0,0,1,3
128,0.429,APPL PREV PSYCHOL,8,0,0,0,0,0,0,0,1,0,0,7
129,1.580,APPL PSYCHOLINGUIST,8,0,1,0,0,0,0,0,0,0,0,7
130,,BRAIN RES BULL,8,0,0,0,1,0,1,0,0,0,0,6
131,,CURR BIOL,8,0,0,0,0,1,1,0,0,0,3,3
132,1.570,EUR J SOC PSYCHOL,8,0,0,0,0,0,0,0,0,0,1,7
133,,FRONT BIOSCI,8,0,0,0,0,0,0,0,0,0,0,8
134,2.986,INTELLIGENCE,8,0,0,0,0,0,0,1,0,1,1,5
135,1.340,J RES READ,8,0,0,0,0,0,0,0,0,0,2,6
136,1.078,TRANSPORT RES F-TRAF,8,0,0,0,0,0,0,1,0,2,0,5
137,,BRAIN RES REV,7,0,0,0,0,0,1,1,0,0,1,4
138,,CEREBELLUM,7,0,0,0,1,0,1,2,0,1,0,2
139,2.750,CURR DIR PSYCHOL SCI,7,0,1,0,0,1,1,0,1,0,0,3
140,1.200,J NEUROLINGUIST,7,0,0,1,0,0,0,0,0,0,1,5
141,,NEURAL NETWORKS,7,0,0,0,0,0,1,0,0,0,0,6
142,1.847,ORGAN BEHAV HUM DEC,7,0,0,0,0,0,0,0,0,0,0,7
143,0.571,PHILOS PSYCHOL,7,0,0,0,0,0,0,1,0,0,0,6
144,,ACTA ACUST UNITED AC,6,0,0,0,0,0,0,0,3,0,0,3
145,,APHASIOLOGY,6,0,0,0,0,0,0,0,0,0,0,6
146,,BMC NEUROSCI,6,0,0,0,0,0,0,0,1,0,2,3
147,,CHEM SENSES,6,0,0,0,0,0,0,1,0,0,0,5
148,1.111,COGN SYST RES,6,0,0,0,0,0,0,1,0,0,0,5
149,2.922,DEV NEUROPSYCHOL,6,0,0,0,1,1,0,0,1,0,1,2
150,,DEV PSYCHOBIOL,6,0,0,0,0,0,1,0,0,1,0,4
151,,EUR J SPORT SCI,6,0,0,0,0,0,0,0,0,0,0,6
152,,FOOD QUAL PREFER,6,0,0,0,0,0,0,0,0,0,0,6
153,,HUM PSYCHOPHARM CLIN,6,0,0,0,0,0,0,0,0,0,0,6
154,,INT J NEUROSCI,6,0,0,0,0,0,0,0,0,0,0,6
155,0.272,INT J PSYCHOL,6,0,0,0,0,0,0,0,0,1,0,5
156,,INVEST OPHTH VIS SCI,6,0,0,0,0,1,0,0,0,0,0,5
157,,J AM ACAD AUDIOL,6,0,1,0,2,0,0,2,0,0,0,1
158,,J EXP BIOL,6,0,0,0,0,0,0,0,0,1,0,5
159,2.075,J EXP PSYCHOL ANIM B,6,0,0,0,0,0,1,1,0,0,0,4
160,0.564,J GEN PSYCHOL,6,0,0,0,0,0,0,0,0,0,1,5
161,1.122,J RISK UNCERTAINTY,6,0,0,0,0,0,0,0,0,0,0,6
162,,NEUROBIOL AGING,6,0,0,0,1,0,0,0,1,0,0,4
163,,NEUROCASE,6,0,0,1,0,1,0,0,0,1,0,3
164,0.325,NEW ZEAL J PSYCHOL,6,0,1,1,0,0,0,0,0,0,0,4
165,1.400,PERS INDIV DIFFER,6,0,0,0,0,1,0,0,0,0,0,5
166,2.714,PSYCHOL LEARN MOTIV,6,0,0,0,0,0,1,1,1,0,0,3
167,0.167,PSYCHOLOGIA,6,0,0,0,0,0,1,0,0,0,0,5
168,0.947,AUST J PSYCHOL,5,0,0,0,0,0,0,0,0,1,1,3
169,,BIOMED TECH,5,0,0,0,1,2,0,1,0,0,0,1
170,0.615,CLIN LINGUIST PHONET,5,0,0,0,0,0,0,0,0,2,2,1
171,,CURR OPIN NEUROBIOL,5,0,0,0,1,0,0,1,0,0,0,3
172,,EAR HEARING,5,0,0,0,0,0,0,0,0,0,0,5
173,2.529,EVOL HUM BEHAV,5,0,2,2,0,0,0,0,0,0,0,1
174,,HUM BRAIN MAPP,5,0,0,0,0,0,0,0,0,0,0,5
175,1.364,INT J HUM-COMPUT ST,5,0,0,0,0,0,0,0,0,0,0,5
176,2.619,J ABNORM CHILD PSYCH,5,0,0,0,0,2,0,1,0,0,0,2
177,,J NEUROSCI METH,5,0,0,0,0,0,0,0,0,0,0,5
178,,J PHYSIOL-LONDON,5,0,0,0,0,0,0,0,0,0,0,5
179,,LEARN MEMORY,5,0,1,0,0,0,0,0,0,0,0,4
180,1.311,MIND LANG,5,0,1,2,0,0,0,0,0,0,0,2
181,,NAT NEUROSCI,5,0,0,0,0,0,0,0,0,0,0,5
182,,NEUROPSYCHOL REHABIL,5,0,0,0,0,0,0,0,0,0,0,5
183,,NEUROSCI RES,5,0,0,1,0,0,0,0,0,0,1,3
184,,P ROY SOC B-BIOL SCI,5,0,0,0,0,0,0,0,1,0,0,4
185,,PHYS THER,5,0,0,1,0,0,0,0,0,0,0,4
186,2.298,PSYCHIAT RES,5,0,0,0,0,0,1,0,0,0,0,4
187,0.353,PSYCHOL REP,5,0,0,0,0,0,0,0,0,0,0,5
188,,RESTOR NEUROL NEUROS,5,0,0,0,0,0,1,0,0,0,0,4
189,,REV NEUROSCI,5,0,0,0,0,0,0,0,0,0,0,5
190,1.024,ADAPT BEHAV,4,0,0,0,0,0,0,0,0,0,0,4
191,9.127,AM J PSYCHIAT,4,0,0,0,0,0,0,0,0,0,0,4
192,,ARCH PHYS MED REHAB,4,0,0,0,0,1,0,0,0,1,0,2
193,,ARTIF INTELL REV,4,0,0,1,0,0,0,0,0,0,0,3
194,,AVIAT SPACE ENVIR MD,4,0,1,0,0,0,0,0,0,0,0,3
195,3.600,BEHAV RES THER,4,0,0,0,0,0,1,0,0,0,0,3
196,,BRAIN STRUCT FUNCT,4,0,0,0,0,0,0,0,1,0,0,3
197,,CONNECT SCI,4,0,0,0,0,0,0,0,1,0,0,3
198,,HIPPOCAMPUS,4,0,1,0,2,1,0,0,0,0,0,0
199,,IEEE T VIS COMPUT GR,4,0,0,0,0,0,0,0,1,0,0,3
200,2.000,J ANXIETY DISORD,4,0,0,0,0,0,0,1,0,0,0,3
201,1.583,J BEHAV DECIS MAKING,4,0,0,0,0,0,0,0,0,0,1,3
202,2.353,J EDUC PSYCHOL,4,0,0,1,0,0,0,0,0,0,0,3
203,,J ELECTROMYOGR KINES,4,0,0,0,0,0,0,0,0,0,0,4
204,,J NEUROL SCI,4,0,0,0,0,0,0,1,0,0,1,2
205,,J SENS STUD,4,0,0,0,0,0,0,0,0,0,0,4
206,1.719,J SPORT EXERCISE PSY,4,0,0,0,0,0,1,0,1,0,0,2
207,,JARO-J ASSOC RES OTO,4,0,0,0,0,0,1,0,0,0,0,3
208,1.931,MANAGE SCI,4,0,0,0,0,0,0,0,0,0,0,4
209,,MED DECIS MAKING,4,0,0,0,0,0,1,0,0,0,0,3
210,,NEUROREHAB NEURAL RE,4,0,0,1,0,0,0,1,0,0,0,2
211,,NEUROSCIENCE,4,0,0,0,0,1,0,0,0,1,1,1
212,,OPT REV,4,0,0,0,0,0,0,0,0,0,1,3
213,,PRESENCE-TELEOP VIRT,4,0,0,0,0,0,0,0,0,0,0,4
214,,PRIMATES,4,0,0,1,0,0,0,0,0,1,0,2
215,,PROG NEURO-PSYCHOPH,4,0,0,0,0,0,0,0,0,0,1,3
216,,PSYCHOPHARMACOLOGY,4,0,1,0,0,0,0,0,0,0,0,3
217,0.589,SPAN J PSYCHOL,4,0,0,0,0,0,0,0,0,0,1,3
218,,SPEECH COMMUN,4,0,0,0,1,0,2,0,0,0,0,1
219,0.587,THEOR PSYCHOL,4,0,0,1,0,0,0,0,0,0,0,3
220,,Z ERZIEHWISS,4,0,0,0,0,0,0,1,0,0,0,3
221,,ZH VYSSH NERV DEYAT+,4,0,0,0,0,0,0,0,0,0,1,3
222,6.667,ADV EXP SOC PSYCHOL,3,0,0,0,0,0,0,0,0,1,0,2
223,0.516,AM ANN DEAF,3,0,0,0,0,0,0,0,0,0,1,2
224,,AM MATH MON,3,0,0,0,0,0,0,0,0,0,0,3
225,1.118,ANN DYSLEXIA,3,0,1,0,0,0,0,0,0,0,0,2
226,,APPETITE,3,0,0,0,0,1,0,0,0,0,0,2
227,15.976,ARCH GEN PSYCHIAT,3,0,0,0,0,0,0,0,1,0,0,2
228,0.756,BILING-LANG COGN,3,0,0,0,0,0,1,0,0,1,0,1
229,,BIOL PSYCHIAT,3,0,0,0,0,0,0,1,0,0,0,2
230,0.512,BRIT J MATH STAT PSY,3,0,0,0,0,0,0,0,0,0,0,3
231,1.481,COMMUN RES,3,0,0,0,0,0,0,1,0,0,0,2
232,,DEV MED CHILD NEUROL,3,0,0,0,0,0,0,1,0,0,0,2
233,2.032,DEV REV,3,0,0,1,0,1,0,0,0,0,0,1
234,1.516,EDUC PSYCHOL REV,3,0,0,0,0,0,0,0,0,0,0,3
235,,EUR ARCH PSY CLIN N,3,0,0,0,0,0,1,0,0,0,0,2
236,1.992,EUR CHILD ADOLES PSY,3,0,0,0,0,0,0,1,0,1,0,1
237,,EUR PHYS J B,3,0,0,0,0,0,0,0,0,0,0,3
238,,EUR REV APPL PSYCHOL,3,0,0,0,0,0,0,0,0,0,0,3
239,,IEEE T PATTERN ANAL,3,0,0,1,0,0,0,0,0,0,0,2
240,,INT J NEURAL SYST,3,0,0,0,0,0,0,0,0,0,0,3
241,0.474,INT J SPORT PSYCHOL,3,0,0,0,0,0,0,0,0,1,0,2
242,1.436,J AM SOC INF SCI TEC,3,0,0,0,0,0,0,1,0,0,0,2
243,4.432,J CHILD PSYCHOL PSYC,3,0,0,0,1,0,0,0,0,0,0,2
244,1.720,J CONSUM PSYCHOL,3,0,0,0,0,0,0,0,0,0,0,3
245,1.172,J ENVIRON PSYCHOL,3,0,0,0,0,0,0,0,0,0,0,3
246,1.180,J EXP ANAL BEHAV,3,0,0,0,0,0,0,0,0,0,0,3
247,1.048,J GAMBL STUD,3,0,0,0,0,0,0,0,0,0,0,3
248,1.739,J MARKETING RES,3,0,0,0,0,0,0,0,0,0,1,2
249,,J NEW MUSIC RES,3,0,0,0,0,0,0,0,0,0,0,3
250,1.333,J NONVERBAL BEHAV,3,0,0,0,0,0,0,0,1,0,0,2
251,,J OPT SOC AM A,3,0,0,0,0,0,0,0,0,0,0,3
252,,J PSYCHOPHARMACOL,3,0,0,0,0,1,0,0,0,0,0,2
253,1.857,J RES PERS,3,0,0,0,1,0,0,0,0,1,0,1
254,0.940,J RISK RES,3,0,0,0,0,0,0,0,0,0,0,3
255,,J SLEEP RES,3,0,0,0,0,0,0,0,1,0,0,2
