Cited Journal Data,,,,,,,,,,,,,,
,Impact Factor,Citing Journal,All Yrs,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,Rest
1,,ALL Journals,4363,27,152,187,294,361,339,252,230,243,266,2012
2,,ALL OTHERS (136),136,0,1,4,9,9,13,8,4,7,5,76
3,1.604,MEM COGNITION,378,3,13,15,25,33,33,25,20,18,21,172
4,2.474,J MEM LANG,377,3,22,17,29,56,25,27,18,15,37,128
5,2.408,J EXP PSYCHOL LEARN,221,2,9,12,21,28,21,12,9,12,16,79
6,1.383,LANG COGNITIVE PROC,197,4,8,5,14,25,14,10,14,12,10,81
7,,BRAIN RES,166,0,2,6,3,4,16,9,17,19,14,76
8,3.831,COGNITION,149,0,2,4,8,20,12,8,12,11,12,60
9,1.935,PSYCHON B REV,137,1,5,12,16,16,8,3,6,5,8,57
10,0.963,BEHAV RES METHODS,91,0,1,5,9,10,9,6,4,7,4,36
11,2.641,BRAIN LANG,86,2,8,5,2,3,7,6,5,5,4,39
12,1.104,Q J EXP PSYCHOL,83,0,5,4,12,9,10,5,4,3,5,26
13,3.630,NEUROPSYCHOLOGIA,82,1,2,4,4,5,18,5,5,9,0,29
14,7.803,PSYCHOL REV,77,0,9,2,3,8,7,0,6,1,6,35
15,1.403,MEMORY,73,0,4,5,8,5,8,4,4,2,6,27
16,4.026,COGNITIVE PSYCHOL,64,0,0,2,4,5,5,6,1,2,10,29
17,4.997,J COGNITIVE NEUROSCI,62,2,3,6,2,2,7,3,2,2,4,29
18,5.594,J EXP PSYCHOL GEN,59,0,2,9,5,6,1,3,3,3,4,23
19,2.518,PSYCHOL AGING,53,2,3,2,7,5,5,2,0,2,1,24
20,0.500,J PSYCHOLINGUIST RES,48,0,0,1,0,2,2,3,2,4,3,31
21,1.580,APPL PSYCHOLINGUIST,47,0,4,0,6,5,1,5,1,6,3,16
22,0.757,LANG SPEECH,45,0,0,1,1,2,1,3,1,5,2,29
23,,NEUROIMAGE,44,0,2,1,2,2,8,1,0,6,2,20
24,1.452,J SPEECH LANG HEAR R,42,0,1,1,2,2,1,5,4,3,2,21
25,4.251,PSYCHOL SCI,41,0,3,5,4,7,2,2,2,1,2,13
26,2.179,COGNITIVE SCI,40,0,3,3,2,2,0,2,4,3,4,17
27,1.200,J NEUROLINGUIST,39,0,0,0,1,2,3,3,4,7,4,15
28,1.384,EUR J COGN PSYCHOL,37,0,0,5,5,3,4,1,0,2,0,17
29,,APHASIOLOGY,35,1,4,0,3,3,0,2,8,2,1,11
30,1.925,COGN NEUROPSYCHOL,35,0,2,0,1,3,1,1,2,3,0,22
31,1.022,DISCOURSE PROCESS,31,0,2,0,3,0,0,3,0,2,1,20
32,0.380,ANN PSYCHOL,29,0,1,0,4,3,1,5,0,1,1,13
33,0.756,BILING-LANG COGN,26,0,0,2,0,1,0,4,1,5,0,13
34,0.417,LANG LEARN,26,0,1,0,2,0,0,2,1,6,1,13
35,,READ WRIT,26,0,0,0,0,2,1,2,0,1,2,18
36,1.563,J EXP CHILD PSYCHOL,25,0,0,1,3,0,1,5,2,0,1,12
37,,LECT NOTES COMPUT SC,25,0,1,1,1,0,1,1,0,1,3,16
38,,CEREB CORTEX,23,0,1,1,2,3,3,1,1,2,1,8
39,,J ACOUST SOC AM,22,0,0,0,2,2,0,2,1,2,3,10
40,10.905,PSYCHOL BULL,22,1,3,2,3,2,2,0,1,1,0,7
