Cited Journal Data,,,,,,,,,,,,,,
,Impact Factor,Citing Journal,All Yrs,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,Rest
1,,ALL Journals,795,20,30,42,64,110,103,54,30,50,34,258
2,,ALL OTHERS (97),97,1,4,6,8,15,11,4,3,1,3,41
3,1.029,LEARN INSTR,84,15,3,3,5,10,12,4,5,8,2,17
4,2.231,EDUC PSYCHOL-US,30,0,2,1,4,3,1,6,0,0,1,12
5,1.344,COMPUT HUM BEHAV,28,0,1,0,1,8,9,0,2,1,0,6
6,0.541,INT J SCI EDUC,25,0,0,1,0,1,1,2,2,0,1,17
7,2.353,J EDUC PSYCHOL,25,0,0,3,2,3,3,2,2,3,1,6
8,1.024,BRIT J EDUC PSYCHOL,23,1,0,3,2,4,0,0,1,3,1,8
9,1.516,EDUC PSYCHOL REV,23,0,4,1,6,2,5,0,0,1,1,3
10,1.257,APPL COGNITIVE PSYCH,22,0,4,0,10,2,5,0,0,0,0,1
11,2.600,REV EDUC RES,20,0,0,4,0,4,0,2,0,1,1,8
12,0.270,ETR&D-EDUC TECH RES,18,0,0,0,2,3,5,1,0,0,0,7
13,0.795,INSTR SCI,15,0,0,0,0,1,4,0,0,2,3,5
14,0.589,TEACH TEACH EDUC,15,0,0,0,0,0,0,2,0,2,1,10
15,1.487,CONTEMP EDUC PSYCHOL,14,1,0,1,1,4,1,1,2,0,1,2
16,0.500,EUR J PSYCHOL EDUC,14,1,1,5,0,0,0,1,1,2,0,3
17,0.608,HIGH EDUC,14,0,0,0,0,1,3,0,1,1,0,8
18,0.115,JPN J EDUC PSYCHOL,14,0,0,0,0,0,0,4,0,1,0,9
19,0.800,J COMPUT ASSIST LEAR,13,0,0,0,0,2,1,1,1,0,2,6
20,,IASTED INT CONF INTE,12,0,0,0,0,8,4,0,0,0,0,0
21,1.148,J RES SCI TEACH,12,0,0,0,0,0,3,2,0,0,1,6
22,0.556,STUD HIGH EDUC,11,0,0,1,0,0,1,1,0,2,2,4
23,1.602,COMPUT EDUC,10,0,0,0,0,3,1,1,0,2,0,3
24,,EDUC PSYCHOL-UK,9,0,0,2,2,2,0,0,0,0,0,3
25,1.231,LEARN INDIVID DIFFER,9,0,1,0,1,0,3,1,0,2,0,1
26,,PROC FRONT EDUC CONF,9,0,3,0,0,5,1,0,0,0,0,0
27,1.364,INT J HUM-COMPUT ST,8,0,0,0,5,1,1,0,0,1,0,0
28,0.574,BRIT J EDUC TECHNOL,7,0,0,1,0,0,2,2,1,1,0,0
29,3.382,CHILD DEV,7,0,0,0,1,1,2,0,0,0,0,3
30,0.632,EARLY CHILD RES Q,7,0,0,1,0,0,0,3,0,0,1,2
31,,LECT NOTES ARTIF INT,7,0,0,0,0,0,3,1,0,2,0,1
32,0.317,RES SCI EDUC,7,0,0,0,1,0,0,2,0,0,0,4
