Cited Journal Data,,,,,,,,,,,,,,
,Impact Factor,Citing Journal,All Yrs,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,Rest
1,,ALL Journals,19678,81,322,485,692,660,628,695,672,630,596,14217
2,,ALL OTHERS (721),721,4,7,9,22,23,17,29,15,24,15,556
3,4.505,J PERS SOC PSYCHOL,302,1,15,11,9,16,18,13,17,10,1,191
4,3.047,J APPL PSYCHOL,233,1,1,4,5,5,4,9,1,8,19,176
5,1.400,PERS INDIV DIFFER,212,0,3,8,7,7,8,6,10,7,13,143
6,2.580,PERS SOC PSYCHOL B,187,0,3,2,13,8,7,4,9,9,3,129
7,10.905,PSYCHOL BULL,156,5,5,7,15,11,3,6,2,5,5,92
8,3.038,DEV PSYCHOL,139,0,4,3,3,3,7,6,9,3,4,97
9,3.600,BEHAV RES THER,136,5,2,0,10,3,10,4,0,2,1,99
10,2.619,J ABNORM CHILD PSYCH,123,0,6,3,2,0,10,6,5,0,3,88
11,1.857,J RES PERS,121,0,2,1,6,2,4,3,13,6,6,78
12,1.511,COGNITION EMOTION,119,0,3,1,2,2,6,5,6,7,1,86
13,2.058,J EXP SOC PSYCHOL,118,0,2,2,5,5,4,9,8,6,2,75
14,0.657,J APPL SOC PSYCHOL,113,0,0,1,1,3,2,4,3,1,3,95
15,4.684,J ABNORM PSYCHOL,106,2,1,2,8,3,7,3,5,1,5,69
16,1.604,MEM COGNITION,102,0,2,4,1,4,2,3,2,3,8,73
17,3.382,CHILD DEV,99,0,2,2,3,5,5,4,5,4,2,67
18,4.854,CLIN PSYCHOL REV,99,0,1,3,10,5,8,3,2,1,5,61
19,3.088,EMOTION,98,1,2,2,1,3,11,5,7,1,3,62
20,0.652,SEX ROLES,92,0,1,0,5,2,3,1,4,3,0,73
21,1.935,PSYCHON B REV,90,0,7,4,3,2,2,3,0,8,7,54
22,2.331,J PERS,89,0,5,2,6,1,4,1,6,4,5,55
23,1.847,ORGAN BEHAV HUM DEC,89,0,0,0,6,4,1,3,1,6,0,68
24,2.615,PERS PSYCHOL,83,1,0,2,1,4,1,2,1,1,12,58
25,4.251,PSYCHOL SCI,80,1,3,3,6,1,5,2,7,4,2,46
26,2.986,INTELLIGENCE,79,0,0,3,2,0,1,3,2,1,7,60
27,1.728,J FAM PSYCHOL,79,0,0,4,0,1,7,3,1,0,0,63
28,7.803,PSYCHOL REV,78,0,2,5,1,2,6,3,2,2,3,52
29,3.630,NEUROPSYCHOLOGIA,76,0,1,2,0,4,0,2,3,3,3,58
30,2.518,PSYCHOL AGING,76,1,0,2,3,0,0,5,1,3,2,59
31,6.967,AM PSYCHOL,73,0,0,5,7,8,1,5,6,0,5,36
32,2.966,HEALTH PSYCHOL,73,1,1,1,8,5,4,4,0,4,1,44
33,,LECT NOTES COMPUT SC,72,0,0,1,1,6,2,5,0,2,6,49
