Cited Journal Data,,,,,,,,,,,,,,
,Impact Factor,Citing Journal,All Yrs,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,Rest
1,,ALL Journals,4721,7,98,356,201,196,198,469,336,495,235,2130
2,,ALL OTHERS (423),423,1,9,22,12,10,16,40,31,36,18,228
3,0.732,J CONSCIOUSNESS STUD,70,0,0,0,1,1,3,20,3,4,1,37
4,3.630,NEUROPSYCHOLOGIA,67,0,0,1,5,1,3,6,9,18,5,19
5,,PHILOS T R SOC B,56,0,1,6,2,3,4,8,3,4,5,20
6,,BRAIN RES,54,0,0,2,0,1,2,4,4,11,0,30
7,,EXP BRAIN RES,52,0,0,4,3,1,3,5,2,1,0,33
8,,NEUROIMAGE,52,0,0,4,2,6,3,6,8,6,1,16
9,,LECT NOTES ARTIF INT,51,0,0,8,4,2,1,9,1,5,3,18
10,3.831,COGNITION,47,0,0,1,4,1,3,3,2,15,3,15
11,,LECT NOTES COMPUT SC,47,0,2,3,2,0,2,2,5,4,4,23
12,1.604,MEM COGNITION,43,0,0,1,0,2,1,10,11,6,3,9
13,1.952,EUR J PERSONALITY,42,0,13,3,0,0,3,2,7,6,0,8
14,2.580,J EXP PSYCHOL HUMAN,41,0,0,0,1,3,3,13,4,2,0,15
15,1.935,PSYCHON B REV,41,0,0,0,2,3,3,9,3,12,2,7
16,4.997,J COGNITIVE NEUROSCI,40,0,0,1,0,3,1,3,2,8,1,21
17,0.571,PHILOS PSYCHOL,40,0,0,1,0,2,2,17,1,4,1,12
18,4.251,PSYCHOL SCI,40,0,2,6,4,2,1,6,0,7,1,11
19,17.462,BEHAV BRAIN SCI,39,0,6,10,3,3,1,2,3,2,0,9
20,,J NEUROSCI,39,0,0,3,0,3,1,2,3,4,1,22
21,,PROG BRAIN RES,39,0,0,1,1,1,3,3,1,6,6,17
22,2.732,CONSCIOUS COGN,38,0,1,3,2,0,3,3,5,2,1,18
