Cited Journal Data,,,,,,,,,,,,,,
,Impact Factor,Citing Journal,All Yrs,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,Rest
1,,ALL Journals,6452,88,221,369,412,333,359,479,310,329,345,3207
2,,ALL OTHERS (261),261,1,10,6,13,9,9,17,12,11,8,165
3,3.831,COGNITION,348,7,11,21,20,30,34,29,25,19,18,134
4,2.474,J MEM LANG,180,1,5,18,7,12,14,7,16,14,9,77
5,3.630,NEUROPSYCHOLOGIA,156,1,7,12,21,8,9,14,6,9,4,65
6,1.604,MEM COGNITION,151,3,4,7,5,4,12,8,18,5,13,72
7,3.198,DEVELOPMENTAL SCI,147,2,6,16,12,10,14,9,10,12,3,53
8,3.038,DEV PSYCHOL,128,1,6,9,4,6,11,7,7,10,6,61
9,1.383,LANG COGNITIVE PROC,103,3,5,6,4,5,4,8,5,5,5,53
10,4.251,PSYCHOL SCI,95,2,7,4,4,8,13,5,5,6,4,37
11,,NEUROIMAGE,92,0,1,5,25,3,2,6,5,2,9,34
12,,PROG BRAIN RES,91,1,4,4,7,3,7,13,1,3,7,41
13,,BRAIN RES,88,3,4,4,7,6,4,5,5,2,9,39
14,3.382,CHILD DEV,80,0,2,7,2,3,6,3,1,4,0,52
15,4.997,J COGNITIVE NEUROSCI,77,2,3,5,13,5,3,4,4,2,10,26
16,2.408,J EXP PSYCHOL LEARN,76,0,3,5,2,3,4,7,6,8,3,35
17,,SOC NEUROSCI,75,0,3,3,4,4,2,2,5,5,3,44
18,2.641,BRAIN LANG,73,3,3,2,13,1,1,3,2,7,1,37
19,2.179,COGNITIVE SCI,73,1,0,3,2,3,7,2,3,4,3,45
20,,CEREB CORTEX,72,0,1,3,14,2,7,11,3,2,3,26
21,9.389,TRENDS COGN SCI,70,4,10,9,4,7,6,2,5,3,2,18
22,1.371,PERCEPT PSYCHOPHYS,68,2,4,5,3,6,2,9,2,3,6,26
23,,LECT NOTES COMPUT SC,66,1,5,1,2,4,7,7,2,0,8,29
24,1.935,PSYCHON B REV,65,2,2,9,6,8,1,6,3,4,2,22
25,2.580,J EXP PSYCHOL HUMAN,61,1,2,7,1,4,6,8,0,2,3,27
26,4.026,COGNITIVE PSYCHOL,59,0,1,4,3,6,4,6,3,6,1,25
27,7.803,PSYCHOL REV,53,0,0,0,5,2,8,6,3,3,2,24
28,1.925,COGN NEUROPSYCHOL,52,2,2,2,8,1,3,3,1,2,4,24
29,2.732,CONSCIOUS COGN,52,1,2,8,3,2,3,16,0,0,1,16
30,1.104,Q J EXP PSYCHOL,52,1,0,4,2,8,3,6,5,2,2,19
31,1.617,PERCEPTION,50,0,2,3,2,5,2,5,4,5,5,17
32,,LECT NOTES ARTIF INT,49,0,0,1,5,3,4,3,2,3,3,25
33,0.556,LINGUA,48,0,1,4,1,3,2,2,2,1,1,31
34,1.311,MIND LANG,48,0,0,3,2,4,3,4,1,0,2,29
35,1.783,ACTA PSYCHOL,46,0,0,11,1,1,0,1,2,7,5,18
36,,J VISION,46,3,4,1,1,1,6,14,0,2,3,11
37,1.694,INFANCY,45,0,1,4,0,4,6,4,2,6,2,16
