Cited Journal Data,,,,,,,,,,,,,,
,Impact Factor,Citing Journal,All Yrs,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,Rest
1,,ALL Journals,1382,72,157,246,234,206,140,56,88,82,75,26
2,,ALL OTHERS (144),144,5,24,26,14,13,22,8,11,6,7,8
3,3.198,DEVELOPMENTAL SCI,157,20,16,30,31,24,6,4,9,3,9,5
4,3.382,CHILD DEV,73,2,5,13,16,16,11,1,6,1,2,0
5,3.038,DEV PSYCHOL,70,2,3,10,13,16,5,2,5,5,8,1
6,0.970,INFANT BEHAV DEV,41,0,1,12,6,5,4,1,5,7,0,0
7,,PROG BRAIN RES,41,3,3,11,7,5,4,1,2,1,4,0
8,3.831,COGNITION,38,0,1,5,7,12,1,2,1,4,5,0
9,1.694,INFANCY,33,1,2,4,7,4,4,5,1,2,3,0
10,1.197,COGNITIVE DEV,29,0,3,4,2,10,2,1,3,2,2,0
11,4.251,PSYCHOL SCI,23,1,1,4,7,4,1,3,0,1,1,0
12,1.783,ACTA PSYCHOL,22,0,0,4,5,1,5,0,1,2,4,0
13,,J COGN DEV,21,1,2,1,5,10,0,0,1,1,0,0
14,1.563,J EXP CHILD PSYCHOL,19,0,2,3,3,4,2,1,1,1,2,0
15,9.389,TRENDS COGN SCI,19,1,6,3,0,4,3,0,0,0,2,0
16,3.630,NEUROPSYCHOLOGIA,17,0,3,4,4,2,2,0,2,0,0,0
17,2.922,DEV NEUROPSYCHOL,16,0,3,2,7,2,2,0,0,0,0,0
18,,SOC NEUROSCI,16,1,3,3,4,1,1,0,0,2,1,0
19,2.032,DEV REV,15,2,0,3,1,4,1,0,4,0,0,0
20,,ANIM COGN,14,0,1,4,3,1,2,2,0,1,0,0
21,1.091,INFANT CHILD DEV,14,0,0,2,7,2,2,0,1,0,0,0
22,3.212,J AUTISM DEV DISORD,14,0,1,5,1,3,0,2,2,0,0,0
23,4.374,DEV PSYCHOPATHOL,13,5,0,2,2,1,1,2,0,0,0,0
24,2.641,BRAIN LANG,12,0,6,0,0,0,1,1,0,4,0,0
25,1.205,BRIT J DEV PSYCHOL,12,0,0,2,4,4,0,0,1,1,0,0
26,,IEEE T EVOLUT COMPUT,12,0,2,1,3,2,1,0,0,1,2,0
27,4.432,J CHILD PSYCHOL PSYC,12,0,1,5,3,1,1,0,1,0,0,0
28,,P NATL ACAD SCI USA,12,4,1,1,2,0,1,1,1,0,1,0
29,2.308,BRAIN COGNITION,11,0,0,2,4,2,0,0,3,0,0,0
30,,DEV PSYCHOBIOL,11,1,1,1,2,2,0,0,2,1,0,1
31,1.452,J SPEECH LANG HEAR R,11,0,0,1,4,2,0,4,0,0,0,0
32,,CURR BIOL,9,6,0,1,1,0,0,0,0,0,0,1
33,10.905,PSYCHOL BULL,9,0,3,1,2,2,0,0,1,0,0,0
34,,SCIENCE,9,2,3,1,2,1,0,0,0,0,0,0
35,0.880,J CHILD LANG,8,0,2,2,1,2,1,0,0,0,0,0
36,4.997,J COGNITIVE NEUROSCI,8,0,2,1,2,1,0,0,0,2,0,0
37,2.097,J DEV BEHAV PEDIATR,8,0,1,2,1,2,1,0,1,0,0,0
38,,LECT NOTES ARTIF INT,8,1,1,1,2,0,2,0,0,1,0,0
39,1.311,MIND LANG,8,0,1,0,2,0,0,0,2,0,3,0
40,0.167,PSYCHOLOGIA,8,1,0,0,2,2,0,0,0,1,1,1
41,1.444,ADV CHILD DEV BEHAV,7,0,1,0,2,0,2,0,2,0,0,0
42,0.756,BILING-LANG COGN,7,0,1,1,1,3,0,1,0,0,0,0
43,,BRAIN RES,7,0,1,2,0,2,0,0,0,1,1,0
44,,CEREB CORTEX,7,0,1,3,1,0,1,0,0,1,0,0
45,,HUM BRAIN MAPP,7,0,1,4,0,1,1,0,0,0,0,0
46,0.732,J CONSCIOUSNESS STUD,7,0,0,0,0,1,4,0,0,1,1,0
47,,MENT RETARD DEV D R,7,0,0,1,0,1,2,2,1,0,0,0
48,2.750,CURR DIR PSYCHOL SCI,6,3,1,2,0,0,0,0,0,0,0,0
49,,EUR J NEUROSCI,6,0,1,2,0,2,1,0,0,0,0,0
50,,INTERACT STUD,6,0,0,1,1,1,0,1,0,2,0,0
51,,PHILOS T R SOC B,6,1,0,1,2,0,0,1,0,1,0,0
52,,TWIN RES HUM GENET,6,2,1,2,0,0,1,0,0,0,0,0
53,,CHILD NEUROPSYCHOL,5,0,0,1,1,0,1,1,1,0,0,0
54,,CLIN NEUROPHYSIOL,5,0,2,1,1,0,1,0,0,0,0,0
55,4.026,COGNITIVE PSYCHOL,5,0,0,1,0,1,0,0,1,1,1,0
56,,CURR OPIN NEUROBIOL,5,0,3,1,0,0,1,0,0,0,0,0
57,,INT J AUDIOL,5,0,3,0,2,0,0,0,0,0,0,0
58,2.205,INT J PSYCHOPHYSIOL,5,0,1,0,2,0,2,0,0,0,0,0
59,4.655,J AM ACAD CHILD PSY,5,0,2,2,0,0,1,0,0,0,0,0
60,1.793,J COMP PSYCHOL,5,0,1,0,0,0,1,0,0,2,1,0
61,0.843,J GENET PSYCHOL,5,0,0,0,0,0,1,2,1,0,1,0
62,,NEUROIMAGE,5,0,1,1,0,1,2,0,0,0,0,0
63,,PROG NEUROBIOL,5,0,1,0,0,2,1,0,1,0,0,0
64,7.803,PSYCHOL REV,5,2,0,0,1,0,0,0,1,0,1,0
65,1.935,PSYCHON B REV,5,0,0,1,1,1,0,1,0,1,0,0
66,,ANIM BEHAV,4,0,1,1,2,0,0,0,0,0,0,0
67,,BEHAV BRAIN RES,4,0,0,2,0,0,1,0,0,0,0,1
68,0.963,BEHAV RES METHODS,4,0,0,0,0,1,0,1,1,1,0,0
69,,BIOL PSYCHIAT,4,0,0,4,0,0,0,0,0,0,0,0
70,2.715,BIOL PSYCHOL,4,0,1,3,0,0,0,0,0,0,0,0
71,1.660,CHILD ADOL PSYCH CL,4,0,0,2,1,0,1,0,0,0,0,0
72,3.088,EMOTION,4,0,1,0,1,0,0,0,0,2,0,0
73,1.992,EUR CHILD ADOLES PSY,4,0,0,4,0,0,0,0,0,0,0,0
74,,IEEE COMPUT INTELL M,4,0,1,0,0,0,0,0,0,1,2,0
75,1.171,INT J BEHAV DEV,4,0,0,0,1,0,0,1,0,2,0,0
76,0.556,LINGUA,4,0,0,1,1,1,1,0,0,0,0,0
77,3.000,MONOGR SOC RES CHILD,4,1,1,0,0,1,1,0,0,0,0,0
78,,NEUROCOMPUTING,4,0,2,0,0,0,1,0,0,1,0,0
79,,PEDIATRICS,4,0,1,1,0,1,0,0,1,0,0,0
80,0.350,SYNTHESE,4,0,0,0,0,1,1,0,1,0,1,0
81,1.636,AM J MENT RETARD,3,0,0,0,2,0,1,0,0,0,0,0
82,15.976,ARCH GEN PSYCHIAT,3,0,0,2,1,0,0,0,0,0,0,0
83,,ARCH PEDIAT ADOL MED,3,0,1,1,0,1,0,0,0,0,0,0
84,1.538,BRIT J PSYCHOL,3,0,0,0,1,1,0,0,0,1,0,0
85,0.615,CLIN LINGUIST PHONET,3,0,0,0,0,1,1,1,0,0,0,0
