Cited Journal Data,,,,,,,,,,,,,,
,Impact Factor,Citing Journal,All Yrs,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,Rest
1,,ALL Journals,7590,27,155,358,441,436,360,365,501,353,377,4217
2,,ALL OTHERS (216),216,1,3,2,13,4,7,14,10,8,6,148
3,1.604,MEM COGNITION,892,2,15,43,58,63,52,55,68,40,43,453
4,2.408,J EXP PSYCHOL LEARN,446,5,15,38,23,24,27,32,30,19,21,212
5,1.935,PSYCHON B REV,307,2,11,27,22,30,20,20,22,9,14,130
6,1.104,Q J EXP PSYCHOL,233,0,8,19,11,24,20,11,20,12,15,93
7,2.474,J MEM LANG,210,1,10,11,17,8,11,15,8,17,17,95
8,7.803,PSYCHOL REV,178,0,8,10,16,17,8,12,11,22,7,67
9,3.630,NEUROPSYCHOLOGIA,157,0,4,7,9,13,4,12,5,12,7,84
10,1.403,MEMORY,143,1,2,7,8,4,4,5,11,8,10,83
11,1.384,EUR J COGN PSYCHOL,142,0,2,12,8,4,6,10,8,6,5,81
12,,BRAIN RES,137,0,5,10,8,6,0,2,4,8,10,84
13,1.847,PSYCHOL RES-PSYCH FO,110,0,1,5,12,8,11,9,11,5,4,44
14,5.594,J EXP PSYCHOL GEN,107,0,3,9,8,7,6,6,10,7,4,47
15,0.963,BEHAV RES METHODS,103,0,2,7,3,5,7,7,7,0,11,54
16,2.580,J EXP PSYCHOL HUMAN,96,0,3,7,4,7,4,5,8,1,6,51
17,1.383,LANG COGNITIVE PROC,95,1,0,2,3,4,9,8,6,9,5,48
18,3.831,COGNITION,91,0,1,5,7,10,6,5,9,5,5,38
19,2.518,PSYCHOL AGING,91,1,4,6,2,11,4,5,16,3,1,38
20,1.371,PERCEPT PSYCHOPHYS,80,0,1,6,7,7,2,1,6,3,6,41
21,2.732,CONSCIOUS COGN,79,0,0,4,6,8,4,3,2,3,3,46
22,,NEUROIMAGE,76,0,1,0,2,4,2,2,4,1,4,56
23,4.251,PSYCHOL SCI,75,0,2,6,6,3,2,3,2,5,3,43
