Cited Journal Data,,,,,,,,,,,,,,
,Impact Factor,Citing Journal,All Yrs,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,Rest
1,,ALL Journals,5171,34,168,270,311,289,348,274,335,260,231,2651
2,,ALL OTHERS (212),212,1,4,15,10,6,8,9,14,4,11,130
3,1.604,MEM COGNITION,696,12,27,24,51,44,63,42,48,39,29,317
4,2.408,J EXP PSYCHOL LEARN,215,3,20,16,19,22,11,6,11,10,6,91
5,1.935,PSYCHON B REV,199,2,15,7,19,11,17,11,16,6,12,83
6,1.104,Q J EXP PSYCHOL,156,0,3,14,12,13,13,17,10,5,7,62
7,2.474,J MEM LANG,132,1,4,3,13,8,6,7,12,4,7,67
8,1.403,MEMORY,131,2,5,9,5,8,9,12,8,12,7,54
9,1.384,EUR J COGN PSYCHOL,110,0,2,6,9,8,7,7,7,11,4,49
10,7.803,PSYCHOL REV,94,0,6,8,2,4,5,2,6,6,2,53
11,,BRAIN RES,92,3,2,4,2,7,8,1,8,3,5,49
12,3.630,NEUROPSYCHOLOGIA,85,0,1,6,2,3,3,5,4,5,3,53
13,0.963,BEHAV RES METHODS,80,1,3,4,11,3,4,4,7,5,4,34
14,4.997,J COGNITIVE NEUROSCI,69,0,2,4,3,4,5,4,3,1,3,40
15,2.580,J EXP PSYCHOL HUMAN,67,0,3,6,5,3,6,2,6,1,6,29
16,1.783,ACTA PSYCHOL,64,0,0,7,5,4,5,6,2,6,0,29
17,1.383,LANG COGNITIVE PROC,63,0,0,1,5,2,4,3,5,2,1,40
18,5.594,J EXP PSYCHOL GEN,62,0,3,6,1,2,10,3,5,3,5,24
19,2.518,PSYCHOL AGING,62,0,3,1,10,4,3,2,3,3,3,30
20,3.831,COGNITION,59,0,0,2,8,3,7,4,6,1,2,26
21,1.371,PERCEPT PSYCHOPHYS,59,0,6,2,3,4,2,2,2,2,5,31
22,1.257,APPL COGNITIVE PSYCH,58,0,2,4,5,9,2,2,3,3,4,24
23,,NEUROIMAGE,58,0,1,4,0,3,4,1,6,2,2,35
24,1.847,PSYCHOL RES-PSYCH FO,57,0,0,9,7,4,1,2,3,3,2,26
25,2.732,CONSCIOUS COGN,53,0,0,2,1,2,2,1,3,6,2,34
26,4.251,PSYCHOL SCI,43,0,3,4,3,2,3,3,5,2,0,18
27,10.905,PSYCHOL BULL,40,0,2,5,4,2,2,3,4,1,0,17
28,,CEREB CORTEX,37,0,2,1,5,3,0,2,1,0,2,21
29,2.179,COGNITIVE SCI,37,2,2,2,1,0,3,2,2,0,1,22
30,,CORTEX,37,0,0,2,1,3,3,0,2,3,4,19
31,1.563,J EXP CHILD PSYCHOL,36,0,1,3,2,3,2,7,3,4,3,8
32,0.824,AGING NEUROPSYCHOL C,35,0,0,2,1,1,4,1,3,4,1,18
33,2.641,BRAIN LANG,35,0,0,1,0,0,8,1,2,0,0,23
34,1.538,BRIT J PSYCHOL,35,0,0,2,2,1,1,3,2,1,4,19
35,0.342,Z PSYCHOL,34,0,3,3,3,2,0,1,5,1,3,13
36,4.026,COGNITIVE PSYCHOL,31,0,0,1,3,5,3,3,2,1,1,12
37,2.781,EXP PSYCHOL,31,0,1,0,4,2,3,3,0,1,1,16
38,1.617,PERCEPTION,31,0,1,2,1,1,1,1,0,3,3,18
39,9.389,TRENDS COGN SCI,28,1,0,1,2,3,1,3,4,1,1,11
40,,LECT NOTES ARTIF INT,27,0,2,2,1,1,2,3,0,3,1,12
41,,LECT NOTES COMPUT SC,25,1,1,1,1,1,1,1,4,2,0,12
42,1.121,SOC COGNITION,25,0,1,3,0,0,7,1,0,0,1,12
43,1.097,THINK REASONING,25,0,0,0,1,4,2,4,2,0,0,12
44,1.727,VIS COGN,25,0,0,0,1,1,1,4,1,1,1,15
45,0.380,ANN PSYCHOL,24,0,1,0,2,1,3,0,3,1,1,12
46,2.205,INT J PSYCHOPHYSIOL,24,0,1,0,0,0,2,1,3,1,2,14
47,0.891,CAN J EXP PSYCHOL,23,0,1,0,1,2,4,0,2,3,0,10
48,0.500,J PSYCHOLINGUIST RES,23,0,0,1,1,0,1,0,0,1,0,19
49,0.939,AM J PSYCHOL,22,0,0,0,3,1,3,0,2,5,0,8
50,,J VISION,22,0,2,1,2,4,0,0,1,0,1,11
51,2.987,NEUROPSYCHOLOGY,22,0,0,0,1,3,1,1,0,3,3,10
52,2.308,BRAIN COGNITION,21,0,0,1,1,0,3,1,0,1,3,11
53,3.088,EMOTION,21,0,0,0,4,2,0,0,0,1,2,12
54,3.349,PSYCHOPHYSIOLOGY,21,0,0,2,0,0,1,0,4,0,1,13
55,1.200,J NEUROLINGUIST,20,0,0,1,0,1,1,0,4,0,1,12
56,1.511,COGNITION EMOTION,19,1,0,1,1,2,1,1,0,1,1,10
57,0.574,CREATIVITY RES J,19,0,0,0,0,0,1,1,0,0,1,16
58,0.417,LANG LEARN,19,0,0,1,0,0,0,1,1,0,1,15
59,,METHODS,19,0,0,0,0,1,2,2,4,0,0,10
60,1.040,METAPHOR SYMBOL,18,0,0,0,0,2,2,0,0,0,1,13
61,3.382,CHILD DEV,17,1,0,2,1,1,2,3,1,1,0,5
62,,P NATL ACAD SCI USA,17,0,0,1,1,3,0,2,2,0,1,7
63,1.925,COGN NEUROPSYCHOL,16,0,0,1,1,0,0,1,0,1,1,11
64,,J INT NEUROPSYCH SOC,16,0,0,3,1,1,2,2,2,0,0,5
65,,LEARN MEMORY,16,0,1,0,1,1,1,2,0,0,0,10
66,0.609,SCAND J PSYCHOL,16,0,0,0,2,1,0,1,0,1,0,11
67,,COGN AFFECT BEHAV NE,15,1,0,0,2,2,1,0,0,2,0,7
68,1.022,DISCOURSE PROCESS,15,0,0,0,1,1,0,6,1,1,1,4
69,1.452,J SPEECH LANG HEAR R,15,0,0,0,1,3,0,1,0,0,0,10
70,0.387,PERCEPT MOTOR SKILL,15,0,0,0,0,0,0,0,1,0,1,13
71,,VISION RES,15,0,1,1,1,0,2,0,1,0,0,9
72,2.058,J EXP SOC PSYCHOL,14,0,1,1,0,0,1,0,0,2,0,9
73,0.353,PSYCHOL REP,14,0,0,1,1,1,1,0,0,2,0,8
74,,READ WRIT,14,0,0,2,0,2,0,0,1,0,1,8
75,1.580,APPL PSYCHOLINGUIST,13,0,0,1,2,0,1,0,1,0,1,7
76,2.715,BIOL PSYCHOL,13,0,0,1,0,0,1,1,0,1,0,9
77,,EXP BRAIN RES,13,0,2,1,0,0,2,0,2,2,0,4
78,,HIPPOCAMPUS,13,0,0,2,0,0,0,2,0,1,0,8
79,1.691,J CLIN EXP NEUROPSYC,13,0,0,0,1,0,0,0,1,1,1,9
80,,PHILOS T R SOC B,13,0,0,2,2,0,0,0,2,0,1,6
81,0.965,PSICOTHEMA,13,0,0,2,0,0,0,0,0,1,2,8
82,0.167,PSYCHOLOGIA,13,0,0,1,0,1,1,1,0,0,0,9
83,2.353,J EDUC PSYCHOL,12,0,0,0,0,0,2,0,3,0,1,6
84,0.757,LANG SPEECH,12,0,0,1,1,0,3,0,1,0,0,6
85,,NEUROREPORT,12,0,0,0,1,1,0,1,3,1,1,4
86,1.444,ADV CHILD DEV BEHAV,11,0,1,1,0,1,0,1,2,0,0,5
87,,BEHAV BRAIN FUNCT,11,0,1,1,0,1,0,1,0,0,0,7
88,2.750,CURR DIR PSYCHOL SCI,11,2,1,0,1,1,1,2,1,1,0,1
89,0.564,J GEN PSYCHOL,11,0,0,2,1,1,0,1,0,1,1,4
90,1.477,J LEARN DISABIL-US,11,0,0,0,0,0,0,1,0,1,0,9
91,1.340,J RES READ,11,0,0,0,0,0,1,1,1,0,3,5
92,,MED EDUC,11,0,0,0,0,0,0,0,0,0,1,10
93,,APHASIOLOGY,10,0,0,0,0,1,0,0,0,0,0,9
94,3.600,BEHAV RES THER,10,0,0,0,0,0,0,1,0,0,0,9
95,1.111,COGN SYST RES,10,0,0,0,0,2,1,0,2,0,0,5
96,1.197,COGNITIVE DEV,10,0,1,0,0,1,0,1,1,1,1,4
97,1.143,J DEAF STUD DEAF EDU,10,0,0,0,1,0,0,0,0,0,0,9
98,1.810,J EXP PSYCHOL-APPL,10,0,1,0,0,1,2,1,0,2,0,3
99,,J NEUROSCI,10,0,0,0,0,2,1,1,1,2,0,3
100,,NEUROPSYCHOL REHABIL,10,0,0,0,0,1,1,0,1,1,0,6
101,1.400,PERS INDIV DIFFER,10,0,1,1,1,0,1,2,0,1,0,3
102,,PROG BRAIN RES,10,0,0,0,0,0,0,0,0,3,1,6
103,1.684,BEHAV PROCESS,9,0,0,1,0,1,1,1,1,0,0,4
104,2.986,INTELLIGENCE,9,0,0,0,1,0,0,1,1,2,0,4
105,0.732,J CONSCIOUSNESS STUD,9,0,2,0,0,0,1,0,0,2,0,4
106,1.180,J EXP ANAL BEHAV,9,0,1,0,0,0,0,0,0,0,0,8
107,4.505,J PERS SOC PSYCHOL,9,0,1,0,2,1,0,0,0,0,1,4
108,1.344,COMPUT HUM BEHAV,8,0,0,0,0,0,0,0,0,2,0,6
109,3.038,DEV PSYCHOL,8,0,1,0,0,0,0,1,1,0,0,5
110,3.198,DEVELOPMENTAL SCI,8,0,0,1,0,1,0,0,0,0,0,6
111,,HEARING RES,8,0,0,1,0,0,0,0,0,1,1,5
112,0.539,J PSYCHOL,8,0,0,0,0,0,1,0,0,0,1,6
113,,NEUROSCI LETT,8,0,0,0,0,0,0,0,2,0,0,6
114,1.487,CONTEMP EDUC PSYCHOL,7,0,0,0,0,0,1,1,0,0,0,5
115,,CURR BIOL,7,0,0,1,0,0,0,0,2,1,1,2
116,1.570,EUR J SOC PSYCHOL,7,0,0,0,1,0,1,0,1,0,0,4
117,,EXP AGING RES,7,0,0,0,0,0,0,1,3,2,0,1
118,2.035,EXP CLIN PSYCHOPHARM,7,0,1,0,0,0,1,0,1,1,0,3
119,0.429,J CREATIVE BEHAV,7,0,0,0,0,0,2,0,1,1,0,3
120,1.282,J MATH PSYCHOL,7,0,0,0,0,0,0,0,0,2,0,5
121,2.714,PSYCHOL LEARN MOTIV,7,0,0,0,1,0,0,2,2,1,0,1
122,,TOPOI-INT REV PHILOS,7,0,0,0,0,1,1,0,0,0,0,5
123,1.253,AM CRIM LAW REV,6,0,0,0,0,0,0,0,0,0,0,6
124,0.756,BILING-LANG COGN,6,0,0,0,1,0,1,0,0,2,0,2
125,,BRAIN,6,0,0,0,0,0,0,0,0,0,0,6
126,,BRAIN RES REV,6,0,0,0,0,0,0,0,0,0,0,6
127,1.516,EDUC PSYCHOL REV,6,0,0,0,0,0,1,2,0,0,0,3
128,1.029,LEARN INSTR,6,0,0,0,0,0,0,1,3,0,0,2
129,0.677,MUSIC PERCEPT,6,0,0,0,1,0,0,0,1,0,0,4
130,2.580,PERS SOC PSYCHOL B,6,0,0,0,0,0,1,0,0,0,0,5
131,,PROG NAT SCI,6,0,0,2,0,0,0,0,0,0,0,4
132,,SCIENCE,6,0,0,0,1,0,2,0,0,0,0,3
133,0.589,SPAN J PSYCHOL,6,0,1,0,0,1,1,0,0,0,0,3
134,0.885,ADV HEALTH SCI EDUC,5,0,0,0,0,0,0,1,0,0,0,4
135,1.930,AM EDUC RES J,5,0,0,0,0,0,0,1,0,0,0,4
136,13.400,ANNU REV PSYCHOL,5,0,0,1,0,1,1,0,0,0,0,2
137,,ARTIF INTELL REV,5,0,2,1,0,0,0,0,1,0,0,1
138,0.615,CLIN LINGUIST PHONET,5,0,0,0,0,0,0,0,0,0,0,5
139,,CLIN NEUROPHYSIOL,5,0,1,0,0,0,0,0,0,0,0,4
140,2.922,DEV NEUROPSYCHOL,5,0,0,0,0,0,1,0,1,0,0,3
141,2.032,DEV REV,5,0,1,1,0,0,1,0,0,0,0,2
142,,EPILEPSY BEHAV,5,0,0,0,0,0,0,0,0,1,1,3
143,0.270,ETR&D-EDUC TECH RES,5,0,0,0,0,0,0,1,0,0,0,4
144,1.252,HUM MOVEMENT SCI,5,0,0,0,0,0,0,0,0,1,0,4
145,1.583,J BEHAV DECIS MAKING,5,0,1,1,0,1,0,0,0,0,1,1
146,1.738,J CONSUM RES,5,0,0,1,0,0,0,0,0,0,0,4
147,0.843,J GENET PSYCHOL,5,0,0,0,0,1,0,0,0,1,0,3
148,,J NEUROPHYSIOL,5,0,0,0,0,0,0,0,1,0,1,3
149,0.962,LATERALITY,5,0,0,0,0,0,0,1,2,0,0,2
150,1.551,LAW HUMAN BEHAV,5,0,0,3,0,0,0,0,0,0,0,2
151,1.231,LEARN INDIVID DIFFER,5,0,0,0,1,0,0,0,0,0,1,3
152,,NAT NEUROSCI,5,0,0,0,0,1,0,0,0,0,0,4
153,,NAT REV NEUROSCI,5,0,2,1,0,0,0,0,0,0,0,2
154,,NEUROCASE,5,0,1,0,0,0,1,0,0,0,1,2
155,,NEURON,5,0,0,0,0,0,0,0,0,0,0,5
156,1.847,ORGAN BEHAV HUM DEC,5,0,0,0,0,0,1,3,1,0,0,0
157,0.361,PSICOLOGICA,5,0,0,1,1,0,1,0,0,0,0,2
158,2.298,PSYCHIAT RES,5,0,0,0,1,0,0,0,1,0,0,3
159,0.815,PSYCHOL CRIME LAW,5,0,0,0,0,0,1,0,0,1,0,3
160,0.919,PSYCHOL MARKET,5,0,0,0,0,0,0,0,0,0,1,4
161,2.600,REV EDUC RES,5,0,0,0,0,0,0,0,0,1,0,4
162,,REV NEUROLOGIA,5,0,0,0,0,0,0,0,1,1,0,3
163,1.018,AM J SPEECH-LANG PAT,4,0,0,0,0,0,0,0,0,0,0,4
164,2.393,ARCH SEX BEHAV,4,0,0,0,1,0,0,0,0,0,0,3
165,,BEHAV NEUROSCI,4,0,0,1,0,1,0,0,0,0,0,2
166,,BEHAV THER,4,0,0,0,0,0,0,0,0,0,0,4
167,,BRAIN RES BULL,4,0,0,0,0,0,0,0,1,0,1,2
168,1.205,BRIT J DEV PSYCHOL,4,0,0,1,0,0,0,0,0,0,1,2
169,,CHILD NEUROPSYCHOL,4,0,0,0,0,0,0,0,0,1,0,3
170,1.113,HUM FACTORS,4,0,0,0,0,0,1,0,0,1,0,2
171,1.171,INT J BEHAV DEV,4,0,0,0,1,0,1,0,1,0,1,0
172,1.180,J ACAD MARKET SCI,4,0,0,0,0,0,0,0,0,0,0,4
173,,J ACOUST SOC AM,4,0,0,0,0,0,0,0,0,0,2,2
174,3.212,J AUTISM DEV DISORD,4,0,0,0,0,0,0,0,0,0,0,4
175,,J COGN DEV,4,0,0,1,1,1,0,1,0,0,0,0
176,1.793,J COMP PSYCHOL,4,0,0,0,0,0,0,0,0,0,0,4
177,1.720,J CONSUM PSYCHOL,4,0,1,0,0,1,0,0,0,0,1,1
178,2.075,J EXP PSYCHOL ANIM B,4,0,0,0,0,1,0,0,1,0,1,1
179,1.439,J PHONETICS,4,0,0,0,0,0,0,0,0,0,0,4
180,0.115,JPN J EDUC PSYCHOL,4,0,0,0,1,0,0,0,0,0,0,3
181,0.556,LINGUA,4,0,0,0,0,0,0,0,0,0,0,4
182,0.364,PHILOS SCI,4,0,0,0,0,0,0,0,0,0,0,4
183,1.784,RISK ANAL,4,0,0,0,1,1,1,0,0,0,0,1
184,0.581,SWISS J PSYCHOL,4,0,0,0,0,0,0,0,0,2,1,1
185,,ACAD MED,3,0,0,0,0,0,0,0,0,0,1,2
186,1.024,ADAPT BEHAV,3,0,1,0,0,0,0,0,0,0,0,2
187,,AGING CLIN EXP RES,3,0,0,0,0,0,1,0,0,1,0,1
188,,AIP CONF P,3,0,0,1,0,0,0,0,0,0,0,2
