Cited Journal Data,,,,,,,,,,,,,,
,Impact Factor,Citing Journal,All Yrs,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,Rest
1,,ALL Journals,7521,81,627,780,918,800,526,598,536,474,400,1781
2,,ALL OTHERS (434),434,3,28,36,49,52,25,27,24,21,21,148
3,4.251,PSYCHOL SCI,242,19,38,55,38,20,10,9,12,9,7,25
4,1.935,PSYCHON B REV,169,3,16,25,22,17,8,19,10,6,18,25
5,1.371,PERCEPT PSYCHOPHYS,152,0,6,13,16,12,10,18,13,12,18,34
6,1.604,MEM COGNITION,139,0,6,14,19,9,9,10,10,7,10,45
7,3.630,NEUROPSYCHOLOGIA,135,0,9,7,18,15,9,10,17,18,10,22
8,2.580,J EXP PSYCHOL HUMAN,127,0,6,12,14,15,5,19,11,15,7,23
9,3.831,COGNITION,117,1,2,15,13,18,21,11,8,4,8,16
10,,VISION RES,111,0,14,7,19,15,7,15,3,4,11,16
11,4.505,J PERS SOC PSYCHOL,110,0,10,12,26,9,10,7,6,5,6,19
12,,J VISION,95,0,11,12,8,13,8,9,6,3,9,16
13,7.803,PSYCHOL REV,83,4,5,5,13,3,5,5,3,5,9,26
14,4.997,J COGNITIVE NEUROSCI,81,1,7,6,10,14,5,9,7,6,3,13
15,3.088,EMOTION,79,2,7,6,17,16,6,2,5,3,4,11
16,1.617,PERCEPTION,79,0,6,3,10,10,5,9,10,4,7,15
17,3.038,DEV PSYCHOL,78,0,10,20,10,9,4,5,3,6,5,6
18,,NEUROIMAGE,78,0,7,8,14,9,7,3,6,6,3,15
19,,PROG BRAIN RES,77,0,5,6,15,15,4,2,8,5,4,13
20,9.389,TRENDS COGN SCI,76,4,18,12,11,6,9,5,2,4,0,5
21,3.198,DEVELOPMENTAL SCI,73,0,6,17,9,9,10,4,3,3,4,8
22,2.408,J EXP PSYCHOL LEARN,72,3,9,3,11,3,4,3,5,5,4,22
