Cited Journal Data,,,,,,,,,,,,,,
,Impact Factor,Citing Journal,All Yrs,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,Rest
1,,ALL Journals,253,1,6,28,21,16,17,18,27,17,25,77
2,,ALL OTHERS (60),60,0,3,2,3,3,7,5,8,2,3,24
3,1.097,THINK REASONING,57,0,0,13,3,6,6,4,1,3,7,14
4,1.604,MEM COGNITION,24,0,1,4,1,0,2,1,2,0,4,9
5,2.781,EXP PSYCHOL,16,0,0,2,1,2,0,2,4,2,0,3
6,,TOPOI-INT REV PHILOS,11,0,0,1,0,0,0,1,4,1,0,4
7,4.026,COGNITIVE PSYCHOL,9,0,0,0,0,0,0,1,1,3,1,3
8,2.408,J EXP PSYCHOL LEARN,9,0,0,1,0,0,0,1,1,2,2,2
9,1.935,PSYCHON B REV,8,0,0,0,3,1,0,0,1,0,1,2
10,1.231,LEARN INDIVID DIFFER,6,1,0,1,1,0,0,0,0,1,1,1
11,0.380,ANN PSYCHOL,5,0,0,1,0,1,0,1,1,0,0,1
12,1.538,BRIT J PSYCHOL,5,0,0,0,0,2,0,0,0,1,0,2
13,0.965,PSICOTHEMA,5,0,0,2,1,0,0,0,1,0,1,0
14,1.104,Q J EXP PSYCHOL,5,0,1,0,0,0,0,1,0,1,1,1
15,2.058,J EXP SOC PSYCHOL,4,0,0,0,0,0,0,0,1,0,1,2
16,2.179,COGNITIVE SCI,3,0,0,0,0,0,0,1,0,0,0,2
17,1.583,J BEHAV DECIS MAKING,3,0,0,0,2,1,0,0,0,0,0,0
18,0.115,JPN J EDUC PSYCHOL,3,0,0,0,1,0,1,0,0,1,0,0
19,0.677,MUSIC PERCEPT,3,0,0,0,0,0,0,0,0,0,0,3
20,1.847,PSYCHOL RES-PSYCH FO,3,0,0,0,1,0,0,0,0,0,1,1
21,1.487,CONTEMP EDUC PSYCHOL,2,0,0,0,2,0,0,0,0,0,0,0
22,4.997,J COGNITIVE NEUROSCI,2,0,1,0,0,0,0,0,0,0,1,0
23,0.900,J ECON PSYCHOL,2,0,0,0,0,0,0,0,1,0,1,0
24,3.000,J ENG EDUC,2,0,0,0,0,0,0,0,0,0,0,2
25,,LECT NOTES ARTIF INT,2,0,0,1,1,0,0,0,0,0,0,0
26,10.905,PSYCHOL BULL,2,0,0,0,0,0,0,0,1,0,0,1
27,9.389,TRENDS COGN SCI,2,0,0,0,1,0,1,0,0,0,0,0
Copyright © 2018 Clarivate Analytics,,,,,,,,,,,,,,
"By exporting the selected data, you agree to the data usage policy set forth in the Terms of Use",,,,,,,,,,,,,,
