Cited Journal Data,,,,,,,,,,,,,,
,Impact Factor,Citing Journal,All Yrs,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,Rest
1,,ALL Journals,150,0,29,21,20,20,43,10,5,1,0,1
2,,ALL OTHERS (47),47,0,5,8,6,1,20,4,3,0,0,0
3,,LECT NOTES ARTIF INT,17,0,1,2,5,3,5,1,0,0,0,0
4,,LECT NOTES COMPUT SC,15,0,1,2,5,3,3,1,0,0,0,0
5,1.111,COGN SYST RES,12,0,0,1,2,4,3,0,2,0,0,0
6,,INTERACT STUD,8,0,1,1,0,1,4,0,0,0,0,1
7,2.179,COGNITIVE SCI,6,0,4,2,0,0,0,0,0,0,0,0
8,5.594,J EXP PSYCHOL GEN,5,0,4,0,0,0,0,1,0,0,0,0
9,,APPL INTELL,4,0,0,0,0,4,0,0,0,0,0,0
10,2.580,J EXP PSYCHOL HUMAN,4,0,1,1,0,0,1,1,0,0,0,0
11,,SPEECH COMMUN,4,0,4,0,0,0,0,0,0,0,0,0
12,,J EXP THEOR ARTIF IN,3,0,0,2,0,0,0,0,0,1,0,0
13,1.604,MEM COGNITION,3,0,2,1,0,0,0,0,0,0,0,0
14,1.024,ADAPT BEHAV,2,0,0,1,0,0,0,1,0,0,0,0
15,,ADV COMPLEX SYST,2,0,0,0,0,1,1,0,0,0,0,0
16,,ARTIF INTELL REV,2,0,0,0,0,0,1,1,0,0,0,0
17,,AUTON AGENT MULTI-AG,2,0,0,0,0,1,1,0,0,0,0,0
18,,IEEE T SYST MAN CY C,2,0,0,0,0,0,2,0,0,0,0,0
19,,P NATL ACAD SCI USA,2,0,2,0,0,0,0,0,0,0,0,0
20,,SOC NEUROSCI,2,0,2,0,0,0,0,0,0,0,0,0
21,,VISION RES,2,0,2,0,0,0,0,0,0,0,0,0
22,1.586,ACCIDENT ANAL PREV,1,0,0,0,0,0,1,0,0,0,0,0
23,,ADV ROBOTICS,1,0,0,0,0,1,0,0,0,0,0,0
24,,ANIMAL,1,0,0,0,0,0,1,0,0,0,0,0
25,13.400,ANNU REV PSYCHOL,1,0,0,0,1,0,0,0,0,0,0,0
26,,APPL ARTIF INTELL,1,0,0,0,0,1,0,0,0,0,0,0
27,,ARTIF LIFE,1,0,0,0,1,0,0,0,0,0,0,0
Copyright © 2018 Clarivate Analytics,,,,,,,,,,,,,,
"By exporting the selected data, you agree to the data usage policy set forth in the Terms of Use",,,,,,,,,,,,,,
