Citing Journal Data,,,,,,,,,,,,,,
,Impact Factor,Cited Journal,All Yrs,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,Rest
1, ,ALL Journals,2122,6,142,166,137,128,104,121,122,109,96,991
2, ,ALL OTHERS (777),777,3,40,44,46,41,30,35,46,34,44,414
3,17.462,BEHAV BRAIN SCI,39,0,6,10,3,3,1,2,3,2,0,9
4, ,J COMP NEUROL,38,0,0,2,0,1,0,2,2,2,2,27
5, ,SCIENCE,35,0,5,2,4,2,1,2,0,1,2,16
6,2.732,CONSCIOUS COGN,30,0,5,11,1,3,2,2,2,1,1,2
7, ,J NEUROPHYSIOL,30,0,2,3,1,2,1,2,5,1,2,11
8, ,J NEUROSCI,29,0,1,2,4,4,2,5,0,3,4,4
9, ,NEUROSCIENCE,26,0,0,5,2,0,1,2,3,3,0,10
10, ,NATURE,25,0,2,4,2,3,1,1,0,0,1,11
11, ,P NATL ACAD SCI USA,23,0,3,2,1,3,3,2,0,0,1,8
12,7.803,PSYCHOL REV,23,0,2,3,6,0,1,0,0,1,0,10
13, ,J THEOR BIOL,19,0,2,1,0,3,1,2,4,0,1,5
14, ,BRAIN,18,0,4,1,0,2,1,2,2,0,0,6
15,3.600,BEHAV RES THER,17,0,0,0,2,2,1,2,1,1,0,8
16,9.389,TRENDS COGN SCI,17,1,5,1,2,2,3,2,1,0,0,0
17,2.239,AM ECON REV,16,0,0,1,0,0,0,0,1,0,0,14
18, ,NAT NEUROSCI,16,1,0,2,3,3,1,3,2,1,0,0
19, ,PROG BRAIN RES,16,0,0,1,3,0,1,0,1,0,0,10
20,2.972,ECONOMETRICA,15,0,0,0,0,0,1,0,0,0,0,14
21,10.905,PSYCHOL BULL,15,0,0,0,0,1,1,6,0,0,1,6
22, ,BRAIN RES,14,0,1,0,0,0,1,0,2,0,0,10
23, ,NAT REV NEUROSCI,14,0,2,4,2,2,3,1,0,0,0,0
24,4.505,J PERS SOC PSYCHOL,13,0,0,0,0,1,0,0,1,2,0,9
25, ,NEURON,13,0,3,2,3,1,3,0,1,0,0,0
26,2.529,EVOL HUM BEHAV,12,0,1,0,0,3,1,4,1,0,2,0
27, ,EXP BRAIN RES,12,0,0,0,0,0,0,0,0,0,0,12
28, ,P ROY SOC B-BIOL SCI,12,0,2,0,3,2,3,0,1,1,0,0
29, ,TRENDS NEUROSCI,12,0,0,3,1,1,0,1,1,2,0,3
30,9.127,AM J PSYCHIAT,11,0,2,1,2,1,0,1,1,0,0,3
31, ,NEUROSCI BIOBEHAV R,11,0,4,0,1,0,1,2,1,1,0,1
32, ,PHILOS T R SOC B,11,0,0,1,3,2,1,1,2,1,0,0
33,3.688,Q J ECON,11,0,0,0,0,0,2,2,0,0,0,7
34, ,ANN NY ACAD SCI,10,0,0,2,0,0,0,1,2,0,1,4
35, ,BIOL PSYCHIAT,10,0,1,5,1,0,1,1,0,0,0,1
36, ,NEUROIMAGE,10,0,5,2,1,0,2,0,0,0,0,0
37, ,BRAIN BEHAV EVOLUT,9,0,0,0,0,0,0,0,0,0,0,9
38, ,CEREB CORTEX,9,0,1,0,1,1,0,0,2,1,1,2
39,3.382,CHILD DEV,9,0,0,0,0,0,0,2,1,0,0,6
40,3.831,COGNITION,9,0,0,0,0,0,0,2,2,2,0,3
41,6.967,AM PSYCHOL,8,0,0,0,1,0,1,0,0,1,0,5
42, ,ANIM BEHAV,8,0,0,0,0,0,0,1,2,3,1,1
43,3.038,DEV PSYCHOL,8,0,0,0,0,0,0,1,0,0,0,7
44, ,EPILEPSY FUNCT,8,0,0,0,0,0,0,0,0,0,0,8
45,5.060,J CLIN PSYCHIAT,8,0,0,1,2,0,0,0,0,0,0,5
46, ,PAIN,8,0,1,0,1,1,0,0,0,0,1,4
47, ,ADAPTED MIND EVOLUTI,7,0,0,0,0,0,0,0,0,0,0,7
48, ,AFFECTIVE NEUROSCIEN,7,0,0,0,0,0,0,0,0,0,7,0
49, ,ANNU REV NEUROSCI,7,0,0,0,0,0,0,1,1,1,1,3
50,15.976,ARCH GEN PSYCHIAT,7,0,0,0,0,0,1,0,2,0,0,4
51,2.308,BRAIN COGNITION,7,0,1,0,5,1,0,0,0,0,0,0
52,2.312,CURR ANTHROPOL,7,0,0,0,0,0,3,0,0,1,0,3
53, ,CURR OPIN NEUROBIOL,7,0,0,0,0,0,0,2,0,3,0,2
54,2.561,PHYSIOL BEHAV,7,0,0,0,0,1,1,1,0,0,0,4
55, ,Q REV BIOL,7,0,0,0,1,0,0,0,0,0,0,6
56,1.094,AM ANTHROPOL,6,0,1,0,0,0,0,1,1,2,0,1
57, ,AM NAT,6,0,1,0,0,0,0,0,1,0,0,4
58, ,BRIT MED J,6,0,1,0,0,0,0,0,0,0,0,5
