Citing Journal Data,,,,,,,,,,,,,,
,Impact Factor,Cited Journal,All Yrs,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,Rest
1, ,ALL Journals,1434,0,28,73,78,104,86,91,81,72,75,746
2, ,ALL OTHERS (403),403,0,10,20,19,15,16,22,19,15,21,246
3,7.803,PSYCHOL REV,78,0,0,3,4,3,3,6,2,4,2,51
4,4.026,COGNITIVE PSYCHOL,66,0,2,5,5,3,6,1,5,4,1,34
5,2.474,J MEM LANG,64,0,0,2,4,5,5,6,1,2,10,29
6,3.831,COGNITION,59,0,1,4,3,6,4,6,3,6,1,25
7,2.408,J EXP PSYCHOL LEARN,44,0,0,3,0,6,4,1,2,0,2,26
8,1.604,MEM COGNITION,31,0,0,1,3,5,3,3,2,1,1,12
9,5.594,J EXP PSYCHOL GEN,30,0,1,2,1,4,1,3,2,2,1,13
10,4.251,PSYCHOL SCI,22,0,0,1,1,2,4,2,2,1,2,7
11,1.935,PSYCHON B REV,22,0,0,3,0,4,7,1,3,2,1,1
12, ,SCIENCE,21,0,0,2,1,0,1,0,3,1,3,10
13,2.580,J EXP PSYCHOL HUMAN,20,0,1,1,0,1,1,0,2,2,3,9
14,3.382,CHILD DEV,19,0,0,0,2,0,1,1,0,1,0,14
15,3.038,DEV PSYCHOL,18,0,1,1,0,2,0,0,0,1,0,13
16,17.462,BEHAV BRAIN SCI,17,0,0,0,1,0,0,2,1,6,0,7
17, ,NEUROIMAGE,15,0,0,2,1,0,3,4,1,1,1,2
18,10.905,PSYCHOL BULL,15,0,0,0,0,0,0,0,1,1,0,13
19,9.389,TRENDS COGN SCI,15,0,1,0,2,8,0,0,1,1,2,0
20,0.880,J CHILD LANG,14,0,0,2,0,1,1,0,0,0,2,8
21,1.371,PERCEPT PSYCHOPHYS,14,0,0,0,0,0,0,0,0,1,0,13
22,2.179,COGNITIVE SCI,12,0,0,2,0,3,1,0,0,1,1,4
23,0.500,J PSYCHOLINGUIST RES,12,0,0,0,0,1,0,1,1,0,0,9
24, ,P NATL ACAD SCI USA,12,0,1,1,1,2,3,0,3,0,0,1
25, ,J EXP PSYCHOL,11,0,0,0,0,0,0,0,0,0,0,11
26,0.963,BEHAV RES METHODS,10,0,0,2,4,1,0,0,0,0,1,2
27,1.383,LANG COGNITIVE PROC,10,0,0,0,3,0,0,0,0,0,1,6
28,1.976,LANGUAGE,10,0,0,2,0,1,0,0,0,0,1,6
