Citing Journal Data,,,,,,,,,,,,,,
,Impact Factor,Cited Journal,All Yrs,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,Rest
1, ,ALL Journals,7437,11,55,144,341,577,575,534,540,479,438,3743
2, ,ALL OTHERS (2482),2482,5,19,58,130,218,209,195,175,144,154,1175
3,1.344,COMPUT HUM BEHAV,338,3,14,15,24,54,35,27,16,17,25,108
4,5.826,MIS QUART,141,0,0,0,0,8,0,6,9,12,4,102
5,4.505,J PERS SOC PSYCHOL,122,0,0,0,0,2,2,3,1,4,10,100
6,1.631,INFORM MANAGE-AMSTER,84,0,0,2,7,11,12,7,7,7,8,23
7, ,J EDUC COMPUT RES,75,0,0,1,2,2,2,5,3,7,5,48
8,1.368,CYBERPSYCHOL BEHAV,73,0,0,2,11,8,14,21,7,5,5,0
9,1.931,MANAGE SCI,73,0,0,0,0,0,0,1,11,0,0,61
10,3.047,J APPL PSYCHOL,65,0,0,1,0,1,2,2,4,4,1,50
11,2.682,INFORM SYST RES,63,0,0,0,2,1,9,1,7,2,3,38
12,1.867,J MANAGE INFORM SYST,55,0,0,0,1,4,5,3,2,6,4,30
13,1.602,COMPUT EDUC,53,0,4,0,8,0,4,5,4,2,4,22
14,1.364,INT J HUM-COMPUT ST,53,1,0,0,5,7,3,4,11,4,1,17
15,1.481,COMMUN RES,51,0,1,0,0,2,1,7,0,0,3,37
16,6.967,AM PSYCHOL,50,0,0,0,1,2,0,1,4,0,10,32
17,1.847,ORGAN BEHAV HUM DEC,48,0,0,0,0,1,1,0,4,1,0,41
18,2.353,J EDUC PSYCHOL,43,0,0,0,0,4,1,3,0,1,1,33
19, ,COMMUN ACM,42,0,0,0,1,3,1,3,6,2,3,23
20,1.435,DECISION SCI,40,0,0,0,0,0,2,2,0,4,4,28
21,10.905,PSYCHOL BULL,40,0,0,0,0,0,1,0,0,0,4,35
22,2.231,EDUC PSYCHOL-US,36,0,0,0,0,23,0,0,2,0,0,11
23, ,HUM-COMPUT INTERACT,36,0,0,1,0,1,1,0,2,1,2,28
24,1.028,BEHAV INFORM TECHNOL,35,0,2,1,0,2,4,4,2,5,0,15
25,1.476,HUM COMMUN RES,33,0,0,0,3,0,7,1,5,0,1,16
26,2.580,PERS SOC PSYCHOL B,32,0,0,0,0,1,3,10,0,2,3,13
27,1.739,J MARKETING RES,30,0,0,0,0,0,0,0,0,0,0,30
