Citing Journal Data,,,,,,,,,,,,,,
,Impact Factor,Cited Journal,All Yrs,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,Rest
1, ,ALL Journals,1552,3,39,64,114,92,137,79,106,98,96,724
2, ,ALL OTHERS (458),458,2,14,26,28,23,34,24,36,21,22,228
3,2.353,J EDUC PSYCHOL,161,0,1,1,10,10,12,12,11,5,13,86
4,1.487,CONTEMP EDUC PSYCHOL,63,0,1,5,3,3,4,6,10,6,3,22
5,2.231,EDUC PSYCHOL-US,35,0,1,2,4,5,2,1,2,5,3,10
6,3.051,STRUCT EQU MODELING,35,0,5,0,2,3,3,0,1,8,1,12
7,1.516,EDUC PSYCHOL REV,32,0,0,0,0,3,11,9,0,0,3,6
8,4.505,J PERS SOC PSYCHOL,29,0,0,0,0,1,0,3,0,2,2,21
9,2.600,REV EDUC RES,26,0,0,0,1,0,0,0,1,2,0,22
10,7.803,PSYCHOL REV,25,0,0,0,2,1,0,1,0,0,1,20
11,3.382,CHILD DEV,21,0,0,3,0,1,0,2,0,4,1,10
12, ,PERSONAL EPISTEMOLOG,17,0,0,0,0,0,17,0,0,0,0,0
13,1.930,AM EDUC RES J,16,0,0,0,2,0,1,0,0,0,3,10
14,1.022,DISCOURSE PROCESS,15,0,0,1,3,0,0,2,1,1,3,4
15,1.024,BRIT J EDUC PSYCHOL,14,0,0,1,1,0,5,1,0,0,2,4
16,1.029,LEARN INSTR,14,1,0,1,1,4,1,1,2,0,1,2
17,6.967,AM PSYCHOL,13,0,0,0,1,1,0,0,0,0,0,11
18,1.519,COGNITION INSTRUCT,12,0,0,1,0,0,0,0,2,0,1,8
19,3.038,DEV PSYCHOL,12,0,0,0,0,0,2,0,0,1,0,9
20,10.905,PSYCHOL BULL,12,0,0,0,0,0,1,0,0,1,2,8
21,3.500,PSYCHOL METHODS,12,0,0,1,1,0,4,1,1,0,3,1
22,2.179,COGNITIVE SCI,11,0,0,0,0,2,0,0,0,0,0,9
23,1.148,READ RES QUART,11,0,0,0,1,0,0,0,1,2,0,7
24, ,ANNU M AM EDUC RES,10,0,0,0,2,1,3,0,1,2,1,0
25,0.548,J EDUC RES,10,0,1,0,2,0,0,0,0,1,0,6
26,1.477,J LEARN DISABIL-US,10,0,0,0,0,1,2,0,0,0,1,6
27,1.231,LEARN INDIVID DIFFER,10,0,0,0,0,1,0,0,0,5,0,4
28,1.619,MULTIVAR BEHAV RES,10,0,1,1,0,2,1,0,0,1,2,2
29, ,SELF REGULATION LEAR,8,0,0,0,0,0,0,3,0,0,0,5
30, ,EDUC RESEARCHER,7,0,0,0,0,4,0,0,0,0,0,3
31,0.697,J RES MATH EDUC,7,0,1,0,0,1,0,0,1,0,1,3
32,0.962,J SCHOOL PSYCHOL,7,0,0,0,2,1,0,1,1,0,0,2
33,1.604,MEM COGNITION,7,0,0,0,0,0,1,1,0,0,0,5
34,0.767,PSYCHOMETRIKA,7,0,0,0,0,0,0,0,1,0,0,6
35,13.400,ANNU REV PSYCHOL,6,0,0,0,0,0,1,0,1,0,0,4
36, ,ARGUMENTATION,6,0,0,0,1,0,0,0,0,2,0,3
37, ,CONT EDUC PSYCHOL,6,0,5,0,0,0,0,0,0,0,0,1
38,0.831,EDUC PSYCHOL MEAS,6,0,0,0,2,0,0,0,0,0,0,4
39,1.062,ELEM SCHOOL J,6,0,0,0,0,0,0,1,0,1,0,4
40,1.171,INT J BEHAV DEV,6,0,1,0,2,0,1,0,0,0,0,2
41,1.154,J EARLY ADOLESCENCE,6,0,0,0,0,0,0,0,0,0,0,6
42,0.931,J EXP EDUC,6,0,0,0,0,1,0,0,0,1,1,3
43,2.474,J MEM LANG,6,0,0,1,0,0,0,0,1,0,0,4
44,2.676,SCI STUD READ,6,0,0,0,0,0,1,0,0,4,1,0
45, ,ADV MOTIV A,5,0,0,0,0,0,0,0,0,1,0,4
46, ,DEV ACHIEVEMENT MOTI,5,0,0,0,0,0,3,0,0,0,0,2
47, ,EDUC PSYCHOL,5,0,0,0,1,0,0,0,0,0,2,2
48, ,HANDB READING RES,5,0,0,0,0,0,0,0,4,0,0,1
49,0.541,INT J SCI EDUC,5,0,0,0,0,0,0,0,0,1,1,3
50,2.986,INTELLIGENCE,5,0,0,0,2,0,0,0,0,0,0,3
51,4.214,J CONSULT CLIN PSYCH,5,0,0,1,0,0,0,0,0,1,0,3
52,1.719,J SPORT EXERCISE PSY,5,0,0,0,1,1,0,0,2,0,0,1
53, ,MATH THINKING LEARNI,5,0,0,0,0,0,0,0,4,1,0,0
54,2.449,Q J EXP PSYCHOL-A,5,0,0,0,2,2,0,0,0,0,0,1
55,0.699,RES HIGH EDUC,5,0,0,0,1,1,0,0,0,0,2,1
56,1.257,APPL COGNITIVE PSYCH,4,0,0,0,0,2,0,0,0,1,0,1
57,17.462,BEHAV BRAIN SCI,4,0,0,0,0,0,0,0,1,1,0,2
