Citing Journal Data,,,,,,,,,,,,,,
,Impact Factor,Cited Journal,All Yrs,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,Rest
1, ,ALL Journals,3122,14,103,218,281,307,254,211,216,167,143,1208
2, ,ALL OTHERS (1543),1543,5,57,123,159,145,143,113,101,87,66,544
3,1.364,INT J HUM-COMPUT ST,82,5,4,12,6,19,5,7,7,1,3,13
4,5.826,MIS QUART,54,0,2,3,3,8,1,4,1,5,2,25
5,4.505,J PERS SOC PSYCHOL,36,0,0,0,0,0,0,0,2,2,2,30
6,2.682,INFORM SYST RES,33,0,0,1,4,2,6,1,4,1,2,12
7, ,COMMUN ACM,32,0,0,1,5,7,0,1,0,4,1,13
8,1.631,INFORM MANAGE-AMSTER,28,0,2,2,7,6,1,1,0,1,2,6
9, ,LECT NOTES COMPUT SC,25,0,2,4,4,5,6,2,0,1,1,0
10, ,HUM-COMPUT INTERACT,24,0,0,0,1,3,2,0,1,1,1,15
11, ,ARTIF INTELL,20,0,0,1,0,0,0,0,3,0,0,16
12,1.739,J MARKETING RES,19,0,0,0,0,0,0,0,1,0,0,18
13,1.931,MANAGE SCI,18,0,0,1,1,0,0,0,0,0,0,16
14,0.969,INTERACT COMPUT,17,0,0,0,4,1,5,1,1,1,0,4
15,1.867,J MANAGE INFORM SYST,17,0,0,3,3,3,0,0,2,2,1,3
16,1.344,COMPUT HUM BEHAV,16,0,2,3,3,0,2,1,1,1,0,3
17, ,LECT NOTES ARTIF INT,16,0,1,2,1,3,4,0,3,0,0,2
18,4.372,ACAD MANAGE REV,15,0,0,0,0,0,0,0,0,0,8,7
19,6.967,AM PSYCHOL,15,0,0,0,1,0,1,0,0,0,0,13
20, ,J ACOUST SOC AM,15,0,1,0,0,0,0,0,3,1,1,9
21,1.738,J CONSUM RES,15,0,0,0,0,0,0,0,1,0,0,14
22,10.905,PSYCHOL BULL,14,0,0,1,0,0,0,1,1,0,1,10
23,2.179,COGNITIVE SCI,13,0,0,0,2,0,1,0,0,0,1,9
24,3.750,J MARKETING,12,0,2,1,0,0,0,0,0,0,0,9
25,1.113,HUM FACTORS,11,0,0,0,1,0,3,0,0,0,1,6
26,1.436,J AM SOC INF SCI TEC,11,1,0,0,0,0,1,0,2,3,1,3
27,7.803,PSYCHOL REV,11,0,0,0,0,0,0,0,0,1,0,10
28, ,SCIENCE,11,0,0,0,0,0,3,0,1,0,0,7
29,1.481,COMMUN RES,10,0,3,0,0,0,1,0,1,0,0,5
30,3.047,J APPL PSYCHOL,10,0,0,0,0,3,0,1,0,1,0,5
31, ,P C HUM FACT COMP SY,10,0,2,0,0,3,0,0,0,1,2,2
32, ,AFFECTIVE COMPUTING,9,0,0,0,0,0,0,0,0,0,0,9
33,1.028,BEHAV INFORM TECHNOL,9,0,1,4,0,0,0,1,1,1,0,1
34, ,COMPUT SECUR,9,0,0,0,0,0,0,1,1,0,0,7
35, ,DECIS SUPPORT SYST,9,1,0,4,2,0,0,1,0,0,0,1
36,1.476,HUM COMMUN RES,9,0,0,1,1,0,1,1,0,0,0,5
37, ,INT J MAN MACH STUD,9,0,0,0,0,0,0,0,0,0,0,9
38,1.847,ORGAN BEHAV HUM DEC,9,0,0,0,0,0,0,1,0,0,1,7
39,3.130,ORGAN SCI,9,0,0,0,1,3,0,1,0,2,2,0
40,3.349,PSYCHOPHYSIOLOGY,9,0,0,1,0,1,0,0,0,0,0,7
41,13.400,ANNU REV PSYCHOL,8,0,0,0,0,1,0,3,1,0,0,3
42,1.602,COMPUT EDUC,8,1,1,1,0,1,2,0,1,0,1,0
43, ,J STRATEGIC INF SYST,8,0,0,0,0,0,6,0,2,0,0,0
44,1.029,LEARN INSTR,8,0,0,0,5,1,1,0,0,1,0,0
45,2.580,PERS SOC PSYCHOL B,8,0,0,0,0,0,0,1,0,1,0,6
46, ,ACM T COMPUT-HUM INT,7,0,0,2,0,0,1,0,2,2,0,0
47,4.026,COGNITIVE PSYCHOL,7,0,0,0,0,0,0,0,0,1,0,6
48,1.570,EUR J SOC PSYCHOL,7,0,0,0,0,0,0,2,0,1,0,4
49, ,IEEE INTELL SYST,7,0,0,2,1,3,0,1,0,0,0,0
50,1.232,J COMPUT-MEDIAT COMM,7,0,2,0,0,1,0,0,0,1,1,2
51, ,P NATL ACAD SCI USA,7,0,0,0,5,0,2,0,0,0,0,0
52,1.617,PERCEPTION,7,0,0,0,0,0,0,0,0,0,0,7
53, ,APPL ARTIF INTELL,6,0,0,3,0,0,1,0,1,0,0,1
54,0.963,BEHAV RES METHODS,6,1,0,0,0,1,2,0,1,1,0,0
55,3.831,COGNITION,6,0,0,0,0,0,0,0,1,0,1,4
56,1.435,DECISION SCI,6,0,0,0,0,0,0,0,0,0,0,6
57,1.484,ERGONOMICS,6,0,0,0,1,0,0,0,0,0,1,4
58,0.657,J APPL SOC PSYCHOL,6,0,0,0,0,0,1,0,0,2,0,3
59,2.054,J RETAILING,6,0,0,0,0,0,0,1,1,0,0,4
60, ,PERS UBIQUIT COMPUT,6,0,0,0,1,0,5,0,0,0,0,0
61, ,PRESENCE-TELEOP VIRT,6,0,0,0,0,0,0,0,1,1,4,0
62,4.251,PSYCHOL SCI,6,0,0,0,0,1,1,0,0,0,0,4
63, ,PSYCHOMETRIC THEOR,6,0,0,0,0,0,0,0,0,0,0,6
64,5.017,ACAD MANAGE J,5,0,0,0,0,0,0,0,1,1,1,2
65,1.783,ACTA PSYCHOL,5,0,0,0,0,0,0,0,0,0,0,5
66,0.573,AM BEHAV SCI,5,0,0,0,0,0,1,3,0,0,0,1
67, ,BIOINFORMATICS,5,0,1,1,0,1,0,0,1,1,0,0
68, ,C HUM FACT COMP SYST,5,0,1,0,2,1,0,1,0,0,0,0
69, ,CARTOGRAPHY GEOGR,5,0,0,0,0,0,1,4,0,0,0,0
70,2.750,CURR DIR PSYCHOL SCI,5,0,1,0,0,2,0,0,1,1,0,0
71, ,EMBODIED CONVERSATIO,5,0,0,0,0,0,0,0,5,0,0,0
72, ,EMOTIONAL DES WHY,5,0,0,0,5,0,0,0,0,0,0,0
73, ,IEEE T PATTERN ANAL,5,0,0,0,0,1,0,1,1,0,2,0
74, ,IEEE T SYST MAN CYB,5,0,0,0,0,0,0,0,0,0,0,5
75, ,INTERACTIONS,5,0,1,0,1,0,1,0,0,1,0,1
76,0.878,J BUS RES,5,0,0,2,1,0,0,0,0,0,1,1
77,2.580,J EXP PSYCHOL HUMAN,5,0,0,0,0,0,0,0,0,0,0,5
78,1.810,J EXP PSYCHOL-APPL,5,0,0,1,0,0,0,1,1,1,0,1
79,2.058,J EXP SOC PSYCHOL,5,0,0,0,0,1,0,2,1,0,0,1
80,2.000,J MANAGE,5,0,0,0,0,1,0,0,1,0,0,3
81, ,KNOWL ENG REV,5,0,0,0,1,0,2,0,0,0,0,2
82, ,MEDIA EQUATION PEOPL,5,0,0,0,0,0,0,0,0,0,0,5
83, ,NATURE,5,0,0,0,0,0,0,1,1,2,1,0
84,1.327,OMEGA-INT J MANAGE S,5,0,0,0,0,0,1,0,2,1,0,1
85, ,P CHI 2003,5,0,0,0,0,4,0,0,0,0,0,1
86,2.067,SOC PSYCHOL QUART,5,0,0,0,0,0,0,0,0,1,0,4
87,3.051,STRUCT EQU MODELING,5,0,0,0,1,0,0,0,0,1,1,2
88, ,TRUST ORG FRONTIERS,5,0,0,0,0,0,0,0,0,0,0,5
89,1.586,ACCIDENT ANAL PREV,4,0,0,1,0,1,0,0,0,0,0,2
90,2.912,ADMIN SCI QUART,4,0,0,0,0,0,0,0,0,0,1,3
91, ,AM J DISTANCE ED,4,0,0,0,0,0,0,0,1,0,0,3
92, ,COMMUNICATIONS ASS I,4,0,0,1,0,1,0,0,2,0,0,0
93, ,COMPUTER,4,0,0,0,2,0,0,0,0,0,0,2
94, ,DESIGN STUD,4,0,0,0,0,0,1,0,1,0,0,2
95,0.826,ETHOS,4,0,0,0,0,0,0,0,0,0,0,4
96, ,HANDB HUM COMPUTER I,4,0,0,0,0,2,1,0,0,0,0,1
97,1.323,HARVARD BUS REV,4,0,0,1,0,2,0,0,0,0,0,1
98, ,HUM FACTORS COMPUT,4,0,0,0,0,0,0,0,0,0,0,4
99, ,IEEE T COMPUT,4,0,0,0,0,0,1,1,0,0,0,2
100, ,IEEE T SYST MAN CY A,4,0,0,0,0,1,0,2,1,0,0,0
101, ,INTERNET RES,4,0,0,0,0,0,0,2,1,1,0,0
102,1.156,J COMMUN,4,0,0,0,0,0,0,0,0,0,0,4
103,0.800,J COMPUT ASSIST LEAR,4,0,0,1,0,2,0,0,1,0,0,0
104,2.353,J EDUC PSYCHOL,4,0,0,0,0,0,0,0,1,1,0,2
105,5.594,J EXP PSYCHOL GEN,4,0,0,0,0,0,0,0,0,0,0,4
106, ,J WEB SEMANT,4,0,0,1,0,2,0,0,0,0,0,1
107, ,KNOWL ACQUIS,4,0,0,0,0,0,0,0,0,0,0,4
108, ,P ACM WORM 03,4,0,0,0,0,4,0,0,0,0,0,0
109, ,P CHI 2003 C HUM FAC,4,0,0,0,0,4,0,0,0,0,0,0
110, ,P HAW INT C SYST SCI,4,0,0,0,0,2,1,0,1,0,0,0
111, ,P NATL C ART INT,4,0,0,0,0,0,0,0,2,1,0,1
112, ,SCI AM,4,0,0,0,0,0,1,1,0,0,0,2
113, ,THESIS MASS I TECH,4,0,0,0,0,2,0,2,0,0,0,0
114, ,USER MODEL USER-ADAP,4,0,0,0,0,0,1,0,0,0,0,3
115, ,ACM T INFORM SYST,3,0,0,1,0,0,0,0,0,0,1,1
116, ,ADV INSTRUCT PSYCHOL,3,0,0,0,0,0,0,0,2,0,0,1
117, ,ADV NEURAL INFORM PR,3,0,0,0,1,0,1,1,0,0,0,0
118, ,AI MAG,3,0,0,0,1,0,0,0,0,0,0,2
119,2.239,AM ECON REV,3,0,0,0,0,0,0,0,1,0,0,2
120, ,AUTOMAT CONSTR,3,0,1,1,0,1,0,0,0,0,0,0
121, ,BEHAV ECOL SOCIOBIOL,3,0,0,0,0,0,0,0,0,0,0,3
122, ,CHI 2000 AMST,3,0,0,0,0,0,0,0,3,0,0,0
123,1.511,COGNITION EMOTION,3,0,0,0,0,0,0,0,0,0,0,3
124, ,COMPUT NETW,3,0,0,0,0,0,1,0,0,1,1,0
125,1.368,CYBERPSYCHOL BEHAV,3,0,1,0,0,0,1,1,0,0,0,0
126, ,DESCRIPTION LOGIC HD,3,0,0,0,0,3,0,0,0,0,0,0
127,0.556,DIAGNOSTICA,3,0,0,0,0,1,0,0,0,0,1,1
128, ,ELECTROEN CLIN NEURO,3,0,0,0,0,0,0,0,0,1,0,2
129, ,EUR J INFORM SYST,3,0,0,0,0,0,0,2,0,0,1,0
130,0.526,GROUP DECIS NEGOT,3,0,0,0,3,0,0,0,0,0,0,0
131, ,IEEE EXPERT,3,0,0,0,0,0,0,0,0,0,0,3
132, ,IEEE SECUR PRIV,3,0,0,1,2,0,0,0,0,0,0,0
133, ,IEEE T BIO-MED ENG,3,0,0,0,1,0,0,1,0,0,0,1
134,0.962,IEEE T ENG MANAGE,3,0,0,1,0,1,0,0,1,0,0,0
135,1.500,INFORM PROCESS MANAG,3,0,0,0,0,0,0,2,0,0,1,0
136, ,INFORM SCIENCES,3,0,0,0,0,1,0,0,0,2,0,0
137, ,INFORM SYST MANAGE,3,0,0,0,0,1,0,0,1,1,0,0
138, ,INT J ARTIFICIAL INT,3,0,0,1,0,0,0,0,0,1,0,1
139,0.381,INT J HUM-COMPUT INT,3,0,0,1,0,0,0,0,1,0,0,1
140, ,INT JOINT C ART INT,3,0,0,0,0,0,0,1,0,0,0,2
141, ,J ARTIF INTELL RES,3,0,0,0,0,0,0,0,0,0,0,3
142, ,J ASSOC INF SYST,3,0,0,0,0,1,1,0,1,0,0,0
143, ,J COMP PHYSIOL A,3,0,0,0,0,1,0,0,0,0,0,2
144,0.900,J ECON PSYCHOL,3,0,0,0,0,0,0,0,0,1,0,2
145, ,J EDUC COMPUT RES,3,0,0,0,0,1,0,0,0,1,1,0
