Citing Journal Data,,,,,,,,,,,,,,
,Impact Factor,Cited Journal,All Yrs,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,Rest
1, ,ALL Journals,1276,2,25,61,55,68,57,71,66,64,69,738
2, ,ALL OTHERS (455),455,1,12,21,23,24,25,22,15,22,23,267
3,0.880,J CHILD LANG,137,0,1,5,7,8,5,11,8,8,3,81
4,3.382,CHILD DEV,79,0,1,3,5,3,2,5,7,4,3,46
5,3.038,DEV PSYCHOL,41,0,2,3,0,0,3,5,2,2,2,22
6,3.831,COGNITION,40,0,0,1,1,5,0,0,4,5,7,17
7,3.000,MONOGR SOC RES CHILD,27,0,0,0,0,0,0,0,1,1,5,20
8,1.452,J SPEECH LANG HEAR R,17,0,1,2,1,1,2,0,0,4,5,1
9,3.212,J AUTISM DEV DISORD,15,0,0,2,2,0,0,0,2,0,0,9
10, ,J ACOUST SOC AM,13,1,0,1,0,0,0,0,0,1,0,10
11, ,1 LANGUAGE,12,0,0,0,0,1,2,0,1,0,0,8
12,1.197,COGNITIVE DEV,12,0,0,2,0,0,1,1,0,1,0,7
13,1.439,J PHONETICS,12,0,0,1,1,1,0,1,1,0,0,7
14, ,J SPEECH HEAR RES,12,0,0,0,0,0,0,0,0,0,0,12
15,1.976,LANGUAGE,11,0,0,0,0,1,0,0,0,0,0,10
16,1.580,APPL PSYCHOLINGUIST,10,0,0,0,1,1,0,0,1,0,3,4
17, ,LANGUAGE ACQUISITION,10,0,0,0,0,1,0,3,0,0,1,5
18, ,CHILDES PROJECT TOOL,9,0,0,0,0,0,0,0,8,0,0,1
19,1.563,J EXP CHILD PSYCHOL,9,0,1,1,0,0,0,0,0,1,0,6
20,2.474,J MEM LANG,9,0,0,0,1,0,0,0,2,1,0,5
21,1.462,LINGUIST INQ,9,0,1,0,1,0,0,0,0,0,0,7
22,3.198,DEVELOPMENTAL SCI,8,0,2,2,1,2,1,0,0,0,0,0
23,0.970,INFANT BEHAV DEV,7,0,0,0,0,0,1,0,0,0,2,4
24,4.997,J COGNITIVE NEUROSCI,7,0,0,0,2,0,1,0,1,1,0,2
25,1.383,LANG COGNITIVE PROC,7,0,0,0,1,0,0,0,0,0,1,5
26, ,CONSTRUCTING LANGUAG,6,0,0,0,0,6,0,0,0,0,0,0
27, ,CROSSLINGUISTIC STUD,6,0,0,0,0,0,0,0,0,0,0,6
28, ,LANGUAGE DEV,6,0,0,0,0,0,0,0,0,0,0,6
29,0.338,LINGUISTICS,6,0,0,0,0,1,0,0,0,1,2,2
30, ,MACARTHUR COMMUNICAT,6,0,0,0,0,0,0,0,0,0,0,6
31,4.251,PSYCHOL SCI,6,0,1,1,0,0,0,0,0,2,1,1
32, ,SCIENCE,6,0,0,0,0,0,1,0,0,0,0,5
33,9.389,TRENDS COGN SCI,6,0,0,2,1,0,1,0,2,0,0,0
34, ,1ST LANGUAGE,5,0,0,0,0,0,0,0,0,0,0,5
35,1.205,BRIT J DEV PSYCHOL,5,0,0,0,0,0,0,0,0,0,1,4
36,2.922,DEV NEUROPSYCHOL,5,0,0,0,0,2,0,1,0,0,0,2
37, ,J COGN DEV,5,0,1,1,0,0,0,1,2,0,0,0
