Citing Journal Data,,,,,,,,,,,,,,
,Impact Factor,Cited Journal,All Yrs,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,Rest
1, ,ALL Journals,5402,81,247,370,396,342,313,327,300,267,251,2508
2, ,ALL OTHERS (831),831,37,30,46,41,30,41,32,40,37,41,456
3,2.408,J EXP PSYCHOL LEARN,307,2,11,27,22,30,20,20,22,9,14,130
4,2.580,J EXP PSYCHOL HUMAN,304,2,11,12,11,21,16,17,14,18,23,159
5,1.935,PSYCHON B REV,247,11,23,30,47,20,34,22,13,8,5,34
6,7.803,PSYCHOL REV,231,3,5,7,18,3,8,18,9,8,9,143
7,1.604,MEM COGNITION,199,2,15,7,19,11,17,11,16,6,12,83
8,1.371,PERCEPT PSYCHOPHYS,177,0,5,10,3,15,10,18,12,6,1,97
9,4.251,PSYCHOL SCI,169,3,16,25,22,17,8,19,10,6,18,25
10,5.594,J EXP PSYCHOL GEN,166,1,8,11,21,12,10,13,7,1,10,72
11,2.474,J MEM LANG,137,1,5,12,16,16,8,3,6,5,8,57
12,4.026,COGNITIVE PSYCHOL,93,0,1,5,3,6,3,3,2,3,6,61
13,10.905,PSYCHOL BULL,90,0,7,4,3,2,2,3,0,8,7,54
14,2.449,Q J EXP PSYCHOL-A,70,0,0,6,1,7,5,3,3,4,3,38
15,3.831,COGNITION,65,2,2,9,6,8,1,6,3,4,2,22
16,2.518,PSYCHOL AGING,50,1,1,4,6,4,1,6,3,1,2,21
17,9.389,TRENDS COGN SCI,50,0,3,9,5,10,6,3,6,6,1,1
18, ,J VERB LEARN VERB BE,49,0,0,0,0,0,0,0,0,0,0,49
19, ,NATURE,46,1,1,0,2,0,0,1,0,3,10,28
20, ,J EXP PSYCHOL,42,0,0,0,0,0,0,0,0,0,0,42
21,17.462,BEHAV BRAIN SCI,41,0,0,0,2,3,3,9,3,12,2,7
22,1.282,J MATH PSYCHOL,40,2,9,2,2,2,0,0,14,0,0,9
23,0.963,BEHAV RES METHODS,39,2,2,2,6,8,1,3,1,0,1,13
24, ,SCIENCE,39,1,0,2,3,1,2,2,3,1,2,22
25, ,ATTENTION PERFORM,37,0,0,0,0,0,3,0,5,5,0,24
26, ,VISION RES,37,0,0,6,3,2,0,6,5,1,1,13
27,1.783,ACTA PSYCHOL,36,1,4,5,3,2,0,1,1,2,2,15
28,4.505,J PERS SOC PSYCHOL,36,0,0,0,1,3,1,3,3,3,1,21
29,1.847,PSYCHOL RES-PSYCH FO,36,2,2,3,3,1,1,4,3,1,2,14
30,1.727,VIS COGN,34,0,2,4,5,2,3,4,2,4,4,4
31,1.403,MEMORY,32,0,2,5,7,4,2,1,0,2,2,7
32,1.617,PERCEPTION,32,0,0,0,1,1,1,2,4,2,1,20
33,2.714,PSYCHOL LEARN MOTIV,29,0,1,0,4,1,0,0,0,0,0,23
34,6.967,AM PSYCHOL,28,0,0,0,2,1,0,0,1,4,0,20
35,2.179,COGNITIVE SCI,28,1,3,4,2,2,5,0,1,0,0,10
36,1.104,Q J EXP PSYCHOL,28,0,8,0,0,0,0,0,0,0,0,20
37,2.075,J EXP PSYCHOL ANIM B,27,0,3,1,1,0,1,2,1,0,1,17
38,1.257,APPL COGNITIVE PSYCH,25,0,7,3,3,0,2,1,5,2,0,2
39,2.353,J EDUC PSYCHOL,24,0,0,0,1,2,2,1,1,1,0,16
40,4.997,J COGNITIVE NEUROSCI,23,1,3,4,2,4,1,1,1,3,0,3
41,1.511,COGNITION EMOTION,21,2,0,0,3,1,1,3,3,2,0,6
42,1.383,LANG COGNITIVE PROC,21,0,1,3,2,3,1,0,1,2,0,8
43,0.939,AM J PSYCHOL,20,0,0,0,1,0,1,2,0,0,0,16
44,3.630,NEUROPSYCHOLOGIA,20,0,0,2,1,2,3,0,2,3,0,7
45, ,P NATL ACAD SCI USA,20,0,1,3,2,2,3,3,0,2,0,4
46,3.349,PSYCHOPHYSIOLOGY,20,1,0,1,2,2,0,1,1,1,3,8
47, ,NAT NEUROSCI,19,0,0,2,4,7,0,1,0,5,0,0
48,0.891,CAN J EXP PSYCHOL,17,0,0,1,1,2,3,1,2,3,1,3
49,2.732,CONSCIOUS COGN,17,0,2,2,3,2,0,0,0,0,2,6
50,2.308,BRAIN COGNITION,16,0,0,3,2,2,0,1,1,2,1,4
51,1.538,BRIT J PSYCHOL,16,0,0,0,0,1,1,0,1,1,0,12
52,2.750,CURR DIR PSYCHOL SCI,16,0,0,1,0,3,3,1,0,2,2,4
53, ,J AM STAT ASSOC,16,0,0,1,0,0,0,0,0,1,0,14
