Citing Journal Data,,,,,,,,,,,,,,
,Impact Factor,Cited Journal,All Yrs,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,Rest
1, ,ALL Journals,4036,56,124,242,285,235,250,221,214,195,202,2012
2, ,ALL OTHERS (1211),1211,23,39,72,80,77,71,64,64,54,52,615
3,0.963,BEHAV RES METHODS,234,4,8,22,38,21,22,14,13,20,7,65
4,2.408,J EXP PSYCHOL LEARN,103,0,2,7,3,5,7,7,7,0,11,54
5,2.474,J MEM LANG,91,0,1,5,9,10,9,6,4,7,4,36
6,7.803,PSYCHOL REV,85,0,0,1,2,1,1,8,2,1,4,65
7,1.604,MEM COGNITION,80,1,3,4,11,3,4,4,7,5,4,34
8,2.580,J EXP PSYCHOL HUMAN,64,0,0,5,0,0,4,0,4,5,5,41
9,2.449,Q J EXP PSYCHOL-A,43,0,0,2,1,3,0,4,0,0,5,28
10,10.905,PSYCHOL BULL,42,1,0,3,1,0,0,1,0,4,6,26
11,1.935,PSYCHON B REV,42,1,3,2,4,5,3,3,3,3,3,12
12, ,J VERB LEARN VERB BE,37,0,0,0,0,0,0,0,0,0,0,37
13, ,VISION RES,35,0,0,0,0,2,2,5,1,0,0,25
14,4.505,J PERS SOC PSYCHOL,31,0,0,0,0,2,1,0,2,2,2,22
15,0.767,PSYCHOMETRIKA,31,0,2,0,0,0,0,0,1,0,0,28
16,5.594,J EXP PSYCHOL GEN,30,0,0,1,5,0,0,0,1,2,0,21
17, ,J EXP PSYCHOL,28,0,0,0,0,0,0,0,0,0,0,28
18,1.371,PERCEPT PSYCHOPHYS,27,0,1,0,0,0,1,4,1,1,0,19
19,4.251,PSYCHOL SCI,27,0,2,3,2,0,0,3,3,1,3,10
20,3.500,PSYCHOL METHODS,26,0,2,1,5,3,5,1,2,0,1,6
21,1.022,DISCOURSE PROCESS,24,0,0,1,2,0,0,1,3,0,9,8
22,0.831,EDUC PSYCHOL MEAS,24,2,0,2,0,0,0,5,1,2,1,11
23,3.831,COGNITION,21,0,1,2,3,0,0,2,0,2,1,10
24,1.384,EUR J COGN PSYCHOL,21,0,1,5,1,3,3,0,2,0,0,6
25,3.630,NEUROPSYCHOLOGIA,20,0,1,3,1,0,1,1,1,0,1,11
26,2.641,BRAIN LANG,18,0,0,5,4,3,5,0,0,0,1,0
27,3.382,CHILD DEV,18,0,0,0,2,1,0,1,0,1,1,12
28,6.967,AM PSYCHOL,17,0,1,0,1,0,1,0,1,4,0,9
29,1.563,J EXP CHILD PSYCHOL,17,0,1,0,0,1,0,0,0,1,1,13
30,1.783,ACTA PSYCHOL,16,0,0,2,1,4,0,0,0,0,0,9
31,1.538,BRIT J PSYCHOL,16,0,0,0,0,1,3,0,3,2,1,6
32,4.026,COGNITIVE PSYCHOL,16,0,0,1,0,1,0,1,0,0,1,12
33, ,J AM STAT ASSOC,16,0,0,0,0,0,0,1,0,0,0,15
34, ,SCIENCE,16,0,0,0,0,0,0,1,0,0,1,14
35,1.619,MULTIVAR BEHAV RES,15,0,0,1,1,3,0,0,2,0,0,8
36,1.257,APPL COGNITIVE PSYCH,14,0,0,3,0,0,1,0,2,1,3,4
37, ,BIOMETRIKA,14,0,0,0,0,0,0,0,1,0,0,13
38,2.781,EXP PSYCHOL,14,0,3,6,0,0,5,0,0,0,0,0
39,3.047,J APPL PSYCHOL,14,0,0,0,0,0,0,0,0,3,3,8
40,3.349,PSYCHOPHYSIOLOGY,14,0,0,1,2,1,2,0,2,0,1,5
41, ,SLEEP,14,0,0,2,1,1,2,2,1,2,1,2
42,4.684,J ABNORM PSYCHOL,13,0,0,1,0,0,1,0,0,1,1,9
43,1.383,LANG COGNITIVE PROC,13,1,1,0,2,0,1,1,1,0,2,4
44,0.387,PERCEPT MOTOR SKILL,13,0,0,0,0,0,0,0,0,0,0,13
45,2.580,PERS SOC PSYCHOL B,13,0,0,3,1,0,0,1,1,2,2,3
