Citing Journal Data,,,,,,,,,,,,,,
,Impact Factor,Cited Journal,All Yrs,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,Rest
1, ,ALL Journals,2031,15,74,92,95,122,119,121,104,92,88,1109
2, ,ALL OTHERS (696),696,5,33,34,28,39,34,34,30,30,26,403
3,7.803,PSYCHOL REV,74,0,0,3,4,1,2,5,6,4,2,47
4,3.831,COGNITION,73,1,0,3,2,3,7,2,3,4,3,45
5,2.179,COGNITIVE SCI,73,0,5,7,5,6,9,5,1,5,2,28
6,2.408,J EXP PSYCHOL LEARN,47,0,0,1,4,2,1,3,2,2,4,28
7,2.474,J MEM LANG,40,0,3,3,2,2,0,2,4,3,4,17
8,4.026,COGNITIVE PSYCHOL,38,1,1,1,3,0,2,2,2,0,2,24
9,17.462,BEHAV BRAIN SCI,37,0,0,1,5,2,2,3,1,7,1,15
10,1.604,MEM COGNITION,37,2,2,2,1,0,3,2,2,0,1,22
11,5.594,J EXP PSYCHOL GEN,31,0,1,0,0,1,0,2,3,0,3,21
12,10.905,PSYCHOL BULL,25,2,0,1,0,1,1,0,1,2,2,15
13,4.251,PSYCHOL SCI,24,0,2,1,2,3,6,1,3,0,3,3
14,2.580,J EXP PSYCHOL HUMAN,22,0,1,0,0,0,2,0,1,0,2,16
15, ,NATURE,20,1,1,1,0,1,1,1,2,2,5,5
16, ,SCIENCE,20,0,0,1,1,2,2,1,0,0,0,13
17,9.389,TRENDS COGN SCI,19,1,0,2,2,4,3,2,1,3,0,1
18, ,ARTIF INTELL,17,0,0,1,0,1,0,4,1,0,0,10
19,0.880,J CHILD LANG,16,0,0,1,2,2,0,2,0,1,1,7
20, ,P NATL ACAD SCI USA,15,0,1,7,1,2,0,0,0,1,0,3
21,1.935,PSYCHON B REV,14,0,0,1,3,1,4,3,1,0,0,1
22,4.997,J COGNITIVE NEUROSCI,12,0,1,2,0,0,0,0,1,1,1,6
23,2.714,PSYCHOL LEARN MOTIV,12,0,1,0,1,1,0,0,0,0,0,9
24,0.939,AM J PSYCHOL,11,0,0,0,0,1,1,1,0,0,0,8
25,4.505,J PERS SOC PSYCHOL,11,0,0,0,0,0,0,2,2,0,0,7
26,1.383,LANG COGNITIVE PROC,10,0,1,0,0,0,1,1,0,1,1,5
27,0.963,BEHAV RES METHODS,9,0,0,0,2,0,2,1,0,0,0,4
28,2.641,BRAIN LANG,9,0,0,0,2,1,0,1,1,0,0,4
29,1.519,COGNITION INSTRUCT,9,0,0,0,0,0,1,1,1,0,0,6
30, ,J EXP PSYCHOL,9,0,0,0,0,0,1,0,0,0,0,8
31, ,J NEUROSCI,9,0,1,0,0,1,1,1,1,0,1,3
32,0.500,J PSYCHOLINGUIST RES,9,0,0,0,0,0,0,0,2,2,0,5
33, ,J VERB LEARN VERB BE,9,0,0,0,0,0,0,0,0,0,0,9
34,3.038,DEV PSYCHOL,8,0,0,0,1,3,0,0,0,1,1,2
35,1.371,PERCEPT PSYCHOPHYS,8,0,1,0,0,0,0,1,1,0,1,4
36,1.925,COGN NEUROPSYCHOL,7,0,0,0,0,1,1,0,1,0,0,4
37, ,NEURON,7,0,0,1,1,1,2,0,0,2,0,0
38, ,PARALLEL DISTRIBUTED,7,0,0,0,0,0,0,0,0,0,0,7
39, ,BIOL CYBERN,6,0,0,0,0,0,0,1,0,0,0,5
40,3.382,CHILD DEV,6,0,0,0,0,1,1,1,0,0,0,3
41,1.111,COGN SYST RES,6,0,4,2,0,0,0,0,0,0,0,0
42,1.197,COGNITIVE DEV,6,0,0,0,0,0,0,0,0,1,0,5
43, ,CONNECT SCI,6,0,0,0,0,0,1,0,0,1,0,4
44, ,INTELLIGENT TUTORING,6,0,0,0,2,0,3,0,1,0,0,0
45,1.793,J COMP PSYCHOL,6,0,0,1,0,0,0,3,1,0,0,1
46,1.462,LINGUIST INQ,6,0,0,0,0,0,0,0,0,0,0,6
47, ,MENT MODELS,6,0,0,0,0,0,0,0,0,0,0,6
48,2.449,Q J EXP PSYCHOL-A,6,0,0,0,0,2,1,0,0,0,1,2
49, ,VISION RES,6,1,1,0,0,0,0,0,0,1,0,3
50, ,ATTENTION PERFORM,5,0,0,0,0,0,0,0,2,0,0,3
51, ,CHILDES PROJECT TOOL,5,0,0,0,0,0,0,0,5,0,0,0
52,2.312,CURR ANTHROPOL,5,0,0,2,0,2,1,0,0,0,0,0
53, ,J ACOUST SOC AM,5,0,0,0,0,0,0,0,0,0,0,5
54, ,J AM STAT ASSOC,5,0,0,0,0,0,0,0,0,0,0,5
55,2.075,J EXP PSYCHOL ANIM B,5,0,0,1,0,0,0,0,1,0,0,3
56, ,J OPT SOC AM,5,0,0,0,0,0,0,0,0,0,0,5
57,1.778,LEARN MOTIV,5,0,0,0,0,0,0,0,0,0,0,5
58, ,NAT NEUROSCI,5,0,1,0,0,0,0,2,2,0,0,0
59, ,NEURAL COMPUT,5,0,0,0,1,0,0,0,0,0,0,4
60, ,NEURAL NETWORKS,5,0,0,0,2,1,0,0,0,0,0,2
61,1.847,PSYCHOL RES-PSYCH FO,5,0,0,0,0,0,1,2,0,0,1,1
62, ,ADAPTIVE CHARACTER T,4,0,0,0,0,0,0,0,0,0,0,4
63, ,AM J PHYS,4,0,0,0,0,0,0,0,0,1,0,3
64, ,ANN NY ACAD SCI,4,0,0,1,0,0,0,0,0,0,0,3
65, ,ANNU REV NEUROSCI,4,0,0,0,0,0,1,0,1,0,0,2
66,1.538,BRIT J PSYCHOL,4,0,1,0,0,0,0,0,0,0,0,3
67, ,COGNITIVE SEMANTICS,4,0,0,0,0,0,0,0,4,0,0,0
68,1.022,DISCOURSE PROCESS,4,0,0,0,0,0,1,0,0,2,1,0
69, ,IEEE T NEURAL NETWOR,4,0,1,0,0,0,0,0,1,0,0,2
70, ,INFORM COMPUT,4,0,0,0,0,0,0,0,0,0,0,4
71, ,INT J ARTIFICIAL INT,4,0,1,0,0,1,0,2,0,0,0,0
72, ,J ARTIF INTELL RES,4,0,0,0,1,1,1,0,0,1,0,0
73, ,J COGNITION CULTURE,4,0,2,0,0,1,0,1,0,0,0,0
74,2.058,J EXP SOC PSYCHOL,4,0,1,0,1,0,1,0,0,0,0,1
75,1.282,J MATH PSYCHOL,4,0,0,0,0,1,0,0,0,0,0,3
76, ,J NEUROPHYSIOL,4,0,0,0,0,3,0,0,0,0,1,0
77, ,P 23 ANN C COGN SCI,4,0,0,0,0,0,0,4,0,0,0,0
78, ,P 25 ANN C COGN SCI,4,0,0,0,0,4,0,0,0,0,0,0
79, ,PHILOS INVEST,4,0,0,0,0,0,0,0,0,0,0,4
80, ,TRENDS NEUROSCI,4,0,0,0,0,0,0,0,1,0,0,3
