Citing Journal Data,,,,,,,,,,,,,,
,Impact Factor,Cited Journal,All Yrs,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,Rest
1, ,ALL Journals,7595,59,252,419,467,515,534,460,457,409,401,3622
2, ,ALL OTHERS (1579),1579,18,69,90,83,96,92,80,90,73,57,831
3,3.382,CHILD DEV,734,5,13,29,53,49,39,58,37,31,30,390
4,3.038,DEV PSYCHOL,501,7,14,26,34,47,28,29,27,37,29,223
5,10.905,PSYCHOL BULL,139,0,4,3,3,3,7,6,9,3,4,97
6,3.831,COGNITION,128,1,6,9,4,6,11,7,7,10,6,61
7,4.374,DEV PSYCHOPATHOL,116,1,4,7,8,5,4,20,13,6,12,36
8,4.505,J PERS SOC PSYCHOL,114,0,0,5,6,2,4,6,9,2,7,73
9,4.432,J CHILD PSYCHOL PSYC,101,2,6,8,9,3,15,7,7,4,6,34
10,1.563,J EXP CHILD PSYCHOL,85,0,1,4,6,2,8,8,1,2,5,48
11, ,HANDB CHILD PSYCHOL,79,0,35,0,0,0,0,0,0,0,33,11
12,4.251,PSYCHOL SCI,78,0,10,20,10,9,4,5,3,6,5,6
13,3.198,DEVELOPMENTAL SCI,70,2,3,10,13,16,5,2,5,5,8,1
14,1.197,COGNITIVE DEV,69,1,0,1,2,4,4,2,8,2,6,39
15,0.970,INFANT BEHAV DEV,66,0,1,0,1,3,4,1,3,4,6,43
16,2.619,J ABNORM CHILD PSYCH,63,0,2,1,5,4,9,6,3,2,6,25
17,6.967,AM PSYCHOL,60,0,2,2,1,2,3,2,11,3,9,25
18,1.205,BRIT J DEV PSYCHOL,60,0,3,3,3,4,5,6,3,4,6,23
19,7.803,PSYCHOL REV,60,0,0,0,2,2,1,1,0,6,2,46
20,3.000,MONOGR SOC RES CHILD,59,0,2,0,5,2,2,1,1,0,4,42
21,4.026,COGNITIVE PSYCHOL,53,0,1,3,1,1,5,2,0,1,5,34
22,4.684,J ABNORM PSYCHOL,53,0,0,4,4,6,2,1,2,2,2,30
23,0.824,MERRILL PALMER QUART,50,0,0,2,2,0,2,2,0,4,4,34
24,4.655,J AM ACAD CHILD PSY,48,1,0,1,1,6,2,5,3,4,2,23
25,0.915,J YOUTH ADOLESCENCE,42,0,1,3,2,2,1,2,4,5,2,20
26,1.171,INT J BEHAV DEV,40,0,1,2,3,4,4,4,4,1,1,16
27,1.756,J MARRIAGE FAM,38,0,0,0,0,4,2,3,3,5,1,20
28,0.880,J CHILD LANG,37,0,2,1,3,2,2,0,0,3,2,22
29,4.214,J CONSULT CLIN PSYCH,37,0,0,1,3,0,2,0,4,0,2,25
30,2.353,J EDUC PSYCHOL,37,0,1,1,1,4,1,1,2,5,1,20
31,2.518,PSYCHOL AGING,37,0,2,3,0,6,2,0,1,1,3,19
32, ,SCIENCE,34,0,0,4,3,0,1,1,0,2,1,22
33,0.986,SOC DEV,34,0,0,3,5,6,4,2,5,4,1,4
34,2.032,DEV REV,31,0,0,1,5,0,5,0,1,1,0,18
35, ,J COGN DEV,31,1,3,5,5,6,2,5,4,0,0,0
36,1.728,J FAM PSYCHOL,30,0,1,4,0,6,5,6,2,4,0,2
37,3.500,PSYCHOL METHODS,29,0,1,0,0,2,13,3,1,2,1,6
38,2.922,DEV NEUROPSYCHOL,28,0,0,12,1,0,2,5,1,1,0,6
39,2.098,J HEALTH SOC BEHAV,26,1,0,0,2,4,0,0,3,4,2,10
40, ,HANDB PARENTING,25,0,0,0,0,0,21,0,0,0,0,4
41,2.331,J PERS,25,0,1,2,0,6,2,0,1,0,0,13
42,1.211,J RES ADOLESCENCE,25,0,0,2,1,2,0,3,4,5,2,6
43,1.055,J APPL DEV PSYCHOL,24,0,0,0,9,3,0,2,1,1,1,7
44, ,J CLIN CHILD PSYCHOL,24,0,0,0,0,0,0,2,4,1,2,15
45,13.400,ANNU REV PSYCHOL,23,2,1,0,1,1,3,2,3,1,1,8
46,15.976,ARCH GEN PSYCHIAT,21,0,0,3,0,1,1,1,3,0,0,12
47,1.077,HUM DEV,21,0,0,0,1,0,0,2,0,4,1,13
48,1.694,INFANCY,21,0,3,2,2,2,5,5,2,0,0,0
49,9.389,TRENDS COGN SCI,21,0,1,4,5,2,3,2,0,1,3,0
50,17.462,BEHAV BRAIN SCI,20,0,0,1,2,0,0,3,0,1,6,7
51,2.750,CURR DIR PSYCHOL SCI,20,0,1,3,3,1,3,1,2,2,1,3
52,1.057,INFANT MENT HEALTH J,20,0,0,0,2,3,1,2,0,0,1,11
53,1.154,J EARLY ADOLESCENCE,20,0,0,3,1,1,1,0,0,1,1,12
54,2.580,PERS SOC PSYCHOL B,20,0,0,1,2,0,3,1,2,2,1,8
55, ,DEV PSYCHOBIOL,19,1,0,0,0,1,3,0,3,1,2,8
56,1.091,INFANT CHILD DEV,18,1,2,0,1,0,13,1,0,0,0,0
57,1.390,J SOC ISSUES,18,0,1,0,1,1,8,1,0,2,0,4
58,1.207,J ADOLESCENCE,17,0,0,1,7,1,0,0,1,2,0,5
59,3.630,NEUROPSYCHOLOGIA,17,0,0,3,1,1,1,0,0,0,2,9
60,2.580,J EXP PSYCHOL HUMAN,16,0,2,0,0,0,0,1,1,0,1,11
61, ,J GERONTOL B-PSYCHOL,16,0,1,0,1,6,5,0,1,2,0,0
62,9.127,AM J PSYCHIAT,15,0,2,0,1,0,2,1,1,1,0,7
63,1.570,EUR J SOC PSYCHOL,15,0,0,0,1,1,1,2,0,1,0,9
64,1.240,J ADOLESCENT RES,15,0,0,0,0,3,2,2,0,1,1,6
65,2.474,J MEM LANG,15,0,1,0,3,0,2,2,0,0,1,6
66,3.051,STRUCT EQU MODELING,15,0,0,1,1,3,0,2,0,4,0,4
67, ,BIOL PSYCHIAT,14,0,0,1,0,1,5,3,0,0,1,3
68,5.446,BRIT J PSYCHIAT,14,0,1,0,0,0,0,4,1,3,0,5
69,0.843,J GENET PSYCHOL,14,0,0,1,0,2,2,0,0,0,0,9
70,1.551,LAW HUMAN BEHAV,14,0,0,2,1,2,2,1,0,0,0,6
71, ,PEDIATRICS,14,1,0,0,3,1,0,0,0,1,1,7
72,1.400,PERS INDIV DIFFER,14,0,1,3,1,0,1,4,1,0,2,1
73,1.959,AM J ORTHOPSYCHIAT,13,0,0,0,0,0,0,2,0,2,3,6
74,1.257,APPL COGNITIVE PSYCH,13,0,0,2,1,0,1,2,2,0,3,2
75,2.179,COGNITIVE SCI,13,0,0,0,3,1,3,0,1,0,1,4
76,0.632,EARLY CHILD RES Q,13,0,1,0,1,3,1,0,4,0,1,2
77,3.212,J AUTISM DEV DISORD,13,0,1,0,2,0,1,2,0,1,0,6
78,5.594,J EXP PSYCHOL GEN,13,0,0,0,1,1,0,4,1,1,3,2
79, ,MULTIPLE REGRESSION,13,0,1,0,0,0,0,0,0,0,0,12
80, ,P NATL ACAD SCI USA,13,0,0,4,1,1,0,1,2,1,3,0
81,4.212,PSYCHOL MED,13,0,0,2,0,0,0,0,0,1,1,9
82,1.290,SOCIOL EDUC,13,0,0,0,0,0,1,2,1,0,1,8
83, ,APPL DEV SCI,12,0,2,1,0,3,1,1,1,1,1,1
84,2.555,J CLIN CHILD ADOLESC,12,0,0,1,5,3,3,0,0,0,0,0
85,1.524,J CROSS CULT PSYCHOL,12,0,0,0,0,1,0,2,4,0,0,5
86,2.408,J EXP PSYCHOL LEARN,12,0,0,1,1,0,0,0,2,0,0,8
87,4.763,PERS SOC PSYCHOL REV,12,1,0,0,0,0,3,4,2,1,1,0
88,3.349,PSYCHOPHYSIOLOGY,12,0,0,0,0,0,0,0,1,0,0,11
89,1.444,ADV CHILD DEV BEHAV,11,0,0,1,1,2,3,0,0,0,0,4
90, ,HDB ATTACHMENT THEOR,11,0,0,0,0,0,0,0,0,11,0,0
91,2.966,HEALTH PSYCHOL,11,0,1,0,0,1,0,2,0,1,1,5
92,4.997,J COGNITIVE NEUROSCI,11,0,1,0,2,2,2,1,0,0,1,2
93, ,NATURE,11,0,1,0,0,0,2,0,0,0,0,8
94, ,NEUROIMAGE,11,0,1,0,3,2,0,2,2,0,0,1
95,1.371,PERCEPT PSYCHOPHYS,11,0,0,1,0,0,0,0,1,0,0,9
96, ,PSYCHOL INQ,11,0,0,0,0,2,0,0,1,0,6,2
97,0.767,PSYCHOMETRIKA,11,0,0,0,0,0,0,1,0,0,0,10
98,0.652,SEX ROLES,11,0,0,0,0,2,1,0,0,2,1,5
99, ,STAT POWER ANAL BEHA,11,0,0,0,0,0,0,0,0,0,0,11
100,1.000,AM J COMMUN PSYCHOL,10,0,0,0,0,1,3,0,1,0,0,5
101,3.277,AM SOCIOL REV,10,0,0,0,0,0,0,0,0,1,2,7
102,1.580,APPL PSYCHOLINGUIST,10,0,0,1,1,0,0,0,0,2,1,5
103,1.717,ATTACH HUM DEV,10,0,0,2,0,1,3,2,1,1,0,0
104,0.908,CHILD YOUTH SERV REV,10,0,0,1,2,1,1,0,2,1,1,1
105,4.758,FUTURE CHILD,10,0,0,4,0,0,0,0,0,4,0,2
106, ,HIERARCHICAL LINEAR,10,0,0,0,0,0,5,0,0,0,0,5
107,2.566,J COUNS PSYCHOL,10,0,0,0,0,1,1,1,1,0,0,6
108,1.719,J SPORT EXERCISE PSY,10,0,1,1,0,0,1,0,0,1,2,4
109,0.792,APPL PSYCH MEAS,9,0,0,0,0,0,0,0,0,0,0,9
110,1.987,BRIT J SOC PSYCHOL,9,0,0,0,0,1,0,1,0,3,0,4
111, ,CHILD NEUROPSYCHOL,9,0,0,1,1,2,1,1,0,2,0,1
112,1.135,COGNITIVE THER RES,9,0,0,2,0,1,0,1,0,1,0,4
113, ,DEV SOC SELF,9,0,0,0,9,0,0,0,0,0,0,0
114, ,HANDB ADOLES PSYCHOL,9,0,0,0,9,0,0,0,0,0,0,0
115,2.269,INT J EAT DISORDER,9,0,0,0,1,1,0,0,1,0,0,6
116,0.657,J APPL SOC PSYCHOL,9,1,0,0,0,1,0,1,1,2,0,3
117,0.962,J SCHOOL PSYCHOL,9,0,0,0,1,2,0,0,2,2,2,0
118, ,NEIGHBORHOOD POVERTY,9,0,0,0,0,0,0,0,0,0,0,9
119,2.400,ANNU REV SOCIOL,8,0,0,0,0,0,1,2,0,0,0,5
120,2.308,BRAIN COGNITION,8,0,0,0,3,2,1,0,0,0,0,2
121,4.854,CLIN PSYCHOL REV,8,0,1,0,2,0,0,0,0,0,0,5
122,1.511,COGNITION EMOTION,8,0,0,0,0,0,0,0,0,1,1,6
123,1.368,CYBERPSYCHOL BEHAV,8,0,0,1,1,0,3,3,0,0,0,0
124,1.737,DEMOGRAPHY,8,1,0,0,0,0,0,0,2,0,0,5
125, ,DIAGN STAT MAN MENT,8,0,0,0,0,0,0,0,2,0,0,6
126,2.097,J DEV BEHAV PEDIATR,8,0,0,0,0,1,1,0,2,0,0,4
127, ,J GERONTOL,8,0,0,0,0,0,0,0,0,0,1,7
128,0.870,J SOC PERS RELAT,8,0,0,0,0,1,0,0,1,2,0,4
129, ,JAMA-J AM MED ASSOC,8,0,0,0,0,1,1,1,1,1,0,3
130,1.604,MEM COGNITION,8,0,1,0,0,0,0,1,1,0,0,5
131,1.311,MIND LANG,8,0,0,0,2,0,1,0,1,1,0,3
132,1.619,MULTIVAR BEHAV RES,8,0,0,0,0,0,0,1,0,1,1,5
133,2.987,NEUROPSYCHOLOGY,8,0,0,3,1,1,0,0,0,0,0,3
134, ,PEABODY PICTURE VOCA,8,0,0,0,0,0,0,0,0,0,0,8
135,1.048,PERS RELATIONSHIP,8,0,0,1,0,0,1,0,2,0,1,3
136,1.935,PSYCHON B REV,8,0,2,1,1,0,0,1,2,0,0,1
137,3.109,PSYCHOSOM MED,8,0,2,0,0,1,1,0,0,0,1,3
138, ,USING MULTIVAR S,8,0,0,0,0,0,0,2,1,0,0,5
139,0.475,ADOLESCENCE,7,0,0,1,0,1,0,0,0,0,1,4
140,1.240,AGGRESSIVE BEHAV,7,0,1,0,0,1,1,1,0,0,0,3
141, ,BIENN M SOC RES CHIL,7,0,0,4,0,2,0,0,0,1,0,0
142, ,CHILDRENS INFLUENCE,7,0,0,0,0,7,0,0,0,0,0,0
143,1.731,CLIN CHILD FAM PSYCH,7,0,0,1,1,0,0,2,2,1,0,0
144, ,HDB SELF REGULATION,7,0,0,0,4,0,0,0,3,0,0,0
145,0.956,J FAM ISSUES,7,0,0,0,1,0,1,0,0,0,0,5
146,1.333,J NONVERBAL BEHAV,7,0,0,1,0,0,1,0,2,0,0,3
147,0.826,J SCI STUD RELIG,7,0,0,0,0,1,0,1,0,1,1,3
148, ,MANUAL CHILD BEHAV C,7,0,0,0,0,0,0,0,0,0,0,7
149, ,MAPPING MIND DOMAIN,7,0,0,0,0,0,0,0,0,0,0,7
150,1.403,MEMORY,7,0,0,0,3,0,0,0,0,1,2,1
151, ,PARENT-SCI PRACT,7,0,1,1,1,1,2,1,0,0,0,0
152,1.617,PERCEPTION,7,0,0,0,0,0,0,0,0,2,0,5
153,2.676,SCI STUD READ,7,0,1,1,0,1,0,0,3,0,0,1
154,1.244,SOC FORCES,7,1,0,1,0,1,2,1,1,0,0,0
155,3.338,AM J SOCIOL,6,0,0,1,0,0,0,0,0,0,0,5
156, ,ANN NY ACAD SCI,6,0,1,0,0,0,0,0,0,1,1,3
157, ,BRAIN,6,0,0,1,0,0,0,0,1,0,0,4
158,1.506,CHILD ABUSE NEGLECT,6,0,0,0,0,0,0,1,1,0,0,4
159, ,DISSERT ABSTR,6,0,0,0,0,0,0,0,0,0,1,5
160,0.831,EDUC PSYCHOL MEAS,6,0,0,0,0,2,0,0,0,1,0,3
161, ,HDB CHILD PSYCHOL SO,6,0,2,0,0,0,0,0,0,0,2,2
162, ,J ACOUST SOC AM,6,0,0,0,0,1,0,0,0,0,0,5
163,1.857,J RES PERS,6,0,0,0,1,0,1,0,0,0,0,4
164,1.976,LANGUAGE,6,0,0,0,1,1,0,0,0,0,0,4
165, ,MINN SYM CHILD PSYCH,6,0,0,1,0,0,0,0,0,2,0,3
166, ,NEW DIRECTIONS CHILD,6,0,0,1,0,0,0,0,0,0,0,5
167, ,ORG ACTIVITIES CONTE,6,0,0,6,0,0,0,0,0,0,0,0
168,2.196,PSYCHOL ASSESSMENT,6,0,0,0,0,1,1,0,0,0,1,3
169, ,PSYCHONEUROENDOCRINO,6,0,1,2,0,0,1,1,1,0,0,0
170, ,READ WRIT,6,0,0,0,0,1,0,0,5,0,0,0
171, ,SOCIOECONOMIC STATUS,6,0,0,0,0,4,0,0,0,2,0,0
172, ,UNDERSTANDING OTHER,6,0,0,0,0,0,0,0,4,0,0,2
173, ,VISION RES,6,0,0,0,0,0,0,0,0,0,1,5
174,3.612,AM J PUBLIC HEALTH,5,0,0,1,0,0,0,1,0,1,0,2
175, ,APPL LONGITUDINAL DA,5,0,0,0,0,5,0,0,0,0,0,0
176,0.947,AUST J PSYCHOL,5,0,0,0,0,0,0,0,0,0,2,3
177,1.024,BRIT J EDUC PSYCHOL,5,0,0,1,0,0,0,0,3,0,0,1
178, ,BRIT MED J,5,0,0,1,0,0,0,0,1,0,1,2
179, ,CAUSAL COGNITION MUL,5,0,0,0,0,0,0,0,0,0,0,5
180,1.000,CHILD PSYCHIAT HUM D,5,0,0,0,0,0,0,1,0,0,0,4
181, ,CHILDREN PREJUDICE,5,0,0,0,0,0,0,0,0,0,0,5
182, ,DEV THEORIES INTENTI,5,0,0,0,0,0,0,0,0,5,0,0
183,0.871,FAM RELAT,5,0,0,0,0,0,0,0,0,0,0,5
184, ,HLM 5 HIERARCHICAL L,5,0,0,0,0,0,0,2,3,0,0,0
185, ,IN PRESS CHILD DEV,5,0,0,0,0,0,0,0,0,0,0,5
186, ,INTERGROUP DIALOGUE,5,0,0,0,0,0,0,5,0,0,0,0
187,3.047,J APPL PSYCHOL,5,0,0,0,0,1,0,1,0,0,1,2
188,1.222,J CLIN PSYCHOL,5,0,0,0,0,0,0,0,0,0,0,5
189,1.324,J PERS ASSESS,5,0,0,0,0,1,0,0,0,0,0,4
190,0.539,J PSYCHOL,5,0,0,0,0,0,0,0,1,2,0,2
191,0.860,J SOC PSYCHOL,5,0,0,0,0,0,0,1,0,1,0,3
192,1.585,J TRAUMA STRESS,5,0,0,0,1,0,0,0,0,1,0,3
193,1.410,MEDIA PSYCHOL,5,0,0,2,0,1,1,1,0,0,0,0
194,0.611,MOTIV EMOTION,5,0,0,0,0,0,2,0,0,0,0,3
195, ,MPLUS USERS GUIDE,5,0,0,0,1,0,0,1,0,1,2,0
196, ,NAT NEUROSCI,5,0,1,0,1,1,0,1,0,1,0,0
197, ,NATURAL THEORIES MIN,5,0,0,0,0,0,0,0,0,0,0,5
198, ,NEW ENGL J MED,5,0,0,0,0,0,0,0,0,0,2,3
199, ,PEER HARASSMENT SCH,5,0,0,0,0,0,0,5,0,0,0,0
200,0.387,PERCEPT MOTOR SKILL,5,0,0,0,0,0,0,0,1,0,0,4
201,2.714,PSYCHOL LEARN MOTIV,5,0,0,0,0,1,0,0,0,0,0,4
202,0.353,PSYCHOL REP,5,0,0,0,0,0,0,0,0,0,0,5
203,1.148,READ RES QUART,5,0,0,1,0,1,0,0,0,0,0,3
204,0.907,RES Q EXERCISE SPORT,5,0,0,0,0,0,1,0,0,0,0,4
205, ,SCHOOL PSYCHOL REV,5,0,0,0,1,2,0,0,0,0,1,1
206,2.067,SOC PSYCHOL QUART,5,0,0,0,0,0,1,0,1,0,0,3
207, ,SOC SKILLS RATING,5,0,0,0,0,0,0,0,0,0,0,5
208,1.206,SOCIOL METHOD RES,5,0,0,0,0,1,0,1,0,0,1,2
209, ,THRESHOLD DEV ADOLES,5,0,0,0,0,0,0,0,0,0,0,5
210, ,UNPUB ADULT ATTACHME,5,0,0,0,0,0,1,0,0,0,2,2
211, ,ACTION SELF DEV THEO,4,0,0,0,0,0,0,0,0,4,0,0
212,6.667,ADV EXP SOC PSYCHOL,4,0,0,0,0,0,2,0,0,0,1,1
213, ,ALCOHOL CLIN EXP RES,4,0,0,0,1,0,0,0,1,0,0,2
214,1.930,AM EDUC RES J,4,0,0,1,0,0,1,0,0,0,0,2
215,0.939,AM J PSYCHOL,4,0,0,0,0,0,0,0,0,0,0,4
216, ,APPL MULTIPLE REGRES,4,0,0,0,0,2,0,0,0,0,0,2
217, ,BEHAV THER,4,0,1,0,0,0,0,0,0,0,0,3
218,1.538,BRIT J PSYCHOL,4,0,0,1,0,0,1,0,0,0,0,2
219,1.660,CHILD ADOL PSYCH CL,4,0,0,0,0,0,1,0,0,0,1,2
220, ,CHILDS THEOR MIND,4,0,0,0,0,0,0,0,0,0,0,4
221, ,COGNITIVE BRAIN RES,4,0,0,2,0,1,0,0,0,0,0,1
222, ,COMPANY THEY KEEP FR,4,0,0,0,0,0,0,0,0,0,0,4
223, ,DEV MED CHILD NEUROL,4,0,0,0,0,0,1,0,0,2,0,1
224, ,EARLY EDUC DEV,4,0,0,0,1,1,2,0,0,0,0,0
225, ,FAM PLANN PERSPECT,4,0,0,0,0,0,0,1,0,0,0,3
226,1.820,GERONTOLOGIST,4,0,0,0,0,0,0,0,0,0,0,4
227, ,IN PRESS PSYCHOL SCI,4,0,0,0,0,0,0,0,0,0,0,4
228,0.272,INT J PSYCHOL,4,0,0,0,0,0,1,0,0,1,0,2
229,2.986,INTELLIGENCE,4,0,0,1,0,0,1,0,0,1,0,1
230,2.387,J ADOLESCENT HEALTH,4,0,0,0,1,0,0,0,0,0,0,3
231,0.935,J COMMUNITY PSYCHOL,4,0,0,0,0,1,1,1,0,0,0,1
232,0.931,J EXP EDUC,4,0,0,0,1,3,0,0,0,0,0,0
233,2.058,J EXP SOC PSYCHOL,4,0,0,0,0,0,0,2,0,1,0,1
234,0.500,J PSYCHOLINGUIST RES,4,0,0,0,0,1,0,0,0,0,0,3
235,1.859,J PSYCHOSOM RES,4,0,0,0,1,0,1,0,0,0,0,2
236,0.766,J REPROD INFANT PSYC,4,0,0,0,0,0,0,0,1,1,0,2
237,2.093,J STUD ALCOHOL DRUGS,4,0,0,0,1,0,0,0,2,0,0,1
238,0.962,LATERALITY,4,0,0,0,1,0,1,2,0,0,0,0
239, ,NAT REV NEUROSCI,4,0,0,0,1,0,1,2,0,0,0,0
240,1.333,NEBR SYM MOTIV,4,0,0,1,0,0,0,0,0,0,0,3
241, ,NEUROSCI BIOBEHAV R,4,0,3,0,0,1,0,0,0,0,0,0
242, ,NEW METHODS ANAL CHA,4,0,0,0,0,0,0,4,0,0,0,0
243, ,ORIGINS INTELLIGENCE,4,0,0,0,0,0,0,0,0,0,0,4
244, ,PARENTING CHILDRENS,4,0,0,0,0,0,0,0,0,0,0,4
245, ,PATTERNS ATTACHMENT,4,0,0,0,0,0,0,0,0,0,0,4
246, ,PERSPECTIVES PSYCHOL,4,0,4,0,0,0,0,0,0,0,0,0
247, ,PHILOS T R SOC B,4,0,0,0,0,3,0,0,0,0,1,0
248, ,PRINCIPLES PRACTICE,4,0,0,3,0,0,0,0,0,0,1,0
249,1.800,PSYCHIATRY,4,0,0,0,0,0,0,0,0,0,0,4
250,2.237,PSYCHOL ADDICT BEHAV,4,0,0,0,2,0,0,0,0,1,0,1
251,0.543,PSYCHOL SCHOOLS,4,0,0,0,1,0,0,0,1,0,0,2
252, ,READING WRITING INTE,4,0,0,0,0,2,1,0,1,0,0,0
253,2.600,REV EDUC RES,4,0,0,2,0,0,0,0,1,0,0,1
254,2.333,REV GEN PSYCHOL,4,0,0,0,2,0,0,1,0,0,0,1
255, ,TRENDS NEUROSCI,4,0,0,0,0,0,0,0,1,0,1,2
256, ,WOODCOCK JOHNSON PSY,4,0,0,0,0,0,0,0,1,0,0,3
257, ,1 LANGUAGE,3,0,0,0,1,0,0,0,0,0,0,2
258, ,4 FACTOR INDEX SOCIA,3,0,0,0,0,0,0,0,0,0,0,3
259,1.783,ACTA PSYCHOL,3,0,0,0,0,0,0,0,0,1,0,2
260, ,ADULT ATTACHMENT INT,3,0,0,0,0,0,0,0,0,0,0,3
261, ,ADV INFANCY RES,3,0,0,0,0,0,0,0,0,0,0,3
262,0.824,AGING NEUROPSYCHOL C,3,0,0,0,2,1,0,0,0,0,0,0
263,1.094,AM ANTHROPOL,3,0,0,0,0,0,0,0,0,0,0,3
264,2.239,AM ECON REV,3,0,0,0,1,1,1,0,0,0,0,0
265,0.837,AM J EDUC,3,0,1,0,0,0,0,0,0,0,0,2
266, ,AM SCI,3,0,0,0,0,0,0,0,0,0,0,3
267, ,ANAL INCOMPLETE MULT,3,0,0,0,0,0,0,0,0,0,0,3
268, ,ANN CHILD DEV,3,0,0,0,0,0,0,0,0,0,0,3
269, ,ANNU REV NEUROSCI,3,0,0,0,1,0,0,1,0,1,0,0
270, ,ARCH INTERN MED,3,0,0,0,0,0,0,0,0,0,0,3
271, ,ATTACHMENT INFANCY A,3,0,0,2,0,0,1,0,0,0,0,0
272, ,ATTACHMENT LOSS,3,0,0,0,0,0,0,0,0,0,0,3
273, ,AUTISM EXECUTIVE DIS,3,0,0,0,0,0,0,0,0,0,0,3
274, ,BAYLEY SCALES INFANT,3,0,0,0,0,0,0,0,0,0,0,3
275,2.953,BEHAV GENET,3,0,0,1,0,0,0,0,1,0,0,1
276, ,BEHAV NEUROSCI,3,0,0,0,0,0,0,0,1,1,0,1
277,0.963,BEHAV RES METHODS,3,0,0,1,0,0,0,0,0,0,1,1
278, ,BERLIN AGING STUDY A,3,0,0,0,0,0,0,0,0,3,0,0
279, ,BERLING AGING STUDY,3,0,0,0,0,0,0,0,0,2,0,1
280, ,BEST METHODS ANAL CH,3,0,0,0,0,0,0,0,0,0,0,3
281,2.715,BIOL PSYCHOL,3,0,0,0,0,0,0,1,2,0,0,0
282, ,BIOMETRICS,3,0,0,0,0,0,0,0,0,0,0,3
283, ,BIOMETRIKA,3,0,0,0,0,0,0,0,0,0,0,3
284,1.879,BRIT J CLIN PSYCHOL,3,0,0,0,1,0,0,0,0,0,0,2
285, ,BRIT J SOC CLIN PSYC,3,0,0,0,0,0,0,0,0,0,0,3
286, ,CAUSES CONDUCT DISOR,3,0,0,0,0,3,0,0,0,0,0,0
287, ,CHEM SENSES,3,0,0,0,0,0,0,0,0,0,0,3
288, ,CHILDRENS REASONING,3,0,0,0,0,0,0,0,3,0,0,0
289, ,CHILDRENS SOURCE MON,3,0,0,0,0,0,0,0,3,0,0,0
290,0.971,COGN LINGUIST,3,0,0,1,0,0,0,0,1,0,1,0
291, ,COGNITIVE NEUROSCIEN,3,0,0,1,1,0,0,0,0,0,1,0
292, ,COMMUNITY PROGRAMS P,3,0,0,0,0,0,3,0,0,0,0,0
293,2.344,CRIMINOLOGY,3,0,0,0,0,0,0,0,0,0,0,3
294, ,DEV INTERSENSORY PER,3,0,0,0,0,0,0,0,0,0,0,3
295,1.022,DISCOURSE PROCESS,3,0,0,0,0,0,0,0,0,0,0,3
296, ,DISSERT ABSTRAC,3,0,0,0,1,0,0,1,0,0,0,1
297, ,DRUG ALCOHOL DEPEN,3,0,2,0,0,0,0,0,0,0,0,1
298, ,DYNAMIC SYST APPR,3,0,0,0,0,0,0,0,0,0,0,3
299, ,EARLY CHILD DEV CARE,3,0,0,1,0,0,1,0,0,0,0,1
300,2.972,ECONOMETRICA,3,0,0,0,0,0,0,0,0,0,0,3
301,1.516,EDUC PSYCHOL REV,3,0,0,0,1,0,0,1,0,0,0,1
302,2.231,EDUC PSYCHOL-US,3,0,0,0,0,0,0,0,0,1,0,2
303, ,ENEMIES DARKER SIDE,3,0,0,0,0,3,0,0,0,0,0,0
304, ,EPIGENESIS MIND ESSA,3,0,0,0,0,0,0,0,0,0,0,3
305,1.384,EUR J COGN PSYCHOL,3,0,0,0,0,1,0,1,0,0,0,1
306, ,EXCEPT BRAIN NE,3,0,0,0,0,0,0,0,0,0,0,3
307, ,FIRST LANGUAGE,3,0,0,0,0,1,0,0,0,1,0,1
308, ,FRONTIER ADULTHOOD T,3,0,0,3,0,0,0,0,0,0,0,0
309,1.492,GROUP PROCESS INTERG,3,0,0,0,0,2,1,0,0,0,0,0
310, ,GROWTH INTERPERSONAL,3,0,0,0,0,0,0,0,0,0,0,3
311, ,GROWTH LOGICAL THINK,3,0,0,0,0,0,0,0,0,0,0,3
312, ,HANDB SOC PSYCHOL,3,0,0,0,0,1,0,0,0,0,2,0
313, ,HDB CHILDHOOD COGNIT,3,0,0,0,0,0,3,0,0,0,0,0
314, ,HLTH PROFILE INUIT R,3,0,0,0,0,0,0,0,0,0,0,3
315,1.113,HUM FACTORS,3,0,0,0,0,0,0,0,0,0,0,3
316, ,IN PRESS DEV PSYCHOL,3,0,0,0,0,0,0,0,0,0,0,3
317, ,IN PRESS DEV SCI,3,0,0,0,0,0,0,0,0,0,0,3
318, ,INHIBITORY PROCESSES,3,0,0,0,0,0,0,0,0,0,0,3
319,0.938,INT J INTERCULT REL,3,0,0,0,0,0,0,0,0,0,0,3
320, ,INT J OBESITY,3,0,0,0,0,1,1,1,0,0,0,0
321,0.184,J ADULT DEV,3,0,0,0,0,1,1,1,0,0,0,0
