Citing Journal Data,,,,,,,,,,,,,,
,Impact Factor,Cited Journal,All Yrs,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,Rest
1, ,ALL Journals,2002,46,84,99,121,110,110,109,117,94,110,1002
2, ,ALL OTHERS (562),562,16,21,25,37,27,37,33,35,27,28,276
3,2.353,J EDUC PSYCHOL,163,2,1,2,10,6,13,16,10,12,8,83
4,2.231,EDUC PSYCHOL-US,53,0,2,5,1,21,1,0,0,1,4,18
5,7.803,PSYCHOL REV,41,0,0,0,0,0,0,0,1,1,2,37
6,1.516,EDUC PSYCHOL REV,34,14,0,2,1,0,0,1,0,0,5,11
7,4.505,J PERS SOC PSYCHOL,32,0,1,0,0,3,0,2,2,2,3,19
8,2.600,REV EDUC RES,32,0,0,1,1,4,0,1,3,1,2,19
9,1.487,CONTEMP EDUC PSYCHOL,31,0,0,1,0,3,1,0,4,1,3,18
10,1.519,COGNITION INSTRUCT,29,0,0,0,0,1,0,1,1,1,4,21
11,2.179,COGNITIVE SCI,27,1,0,0,0,0,2,1,1,0,1,21
12,0.795,INSTR SCI,23,0,1,1,11,0,0,1,0,2,0,7
13,1.029,LEARN INSTR,23,0,4,1,6,2,5,0,0,1,1,3
14, ,CAMBRIDGE HDB MULTIM,22,0,1,21,0,0,0,0,0,0,0,0
15, ,J EDUC COMPUT RES,20,0,0,0,1,1,0,0,1,4,0,13
16,6.967,AM PSYCHOL,18,0,0,0,2,0,0,0,2,1,0,13
17,1.571,J LEARN SCI,18,0,0,1,2,0,1,0,1,1,0,12
18,1.602,COMPUT EDUC,16,0,10,0,1,1,0,1,2,0,0,1
19, ,J ED MULTIMEDIA HYPE,16,0,0,0,0,0,1,3,0,2,2,8
20,1.024,BRIT J EDUC PSYCHOL,14,0,0,0,2,0,3,1,1,0,1,6
21, ,EDUC TECHNOL RES DE,14,1,0,9,0,0,0,0,0,0,0,4
22,1.563,J EXP CHILD PSYCHOL,14,0,1,0,1,0,1,0,0,2,1,8
23,2.408,J EXP PSYCHOL LEARN,14,0,0,0,0,1,0,0,1,0,1,11
24,10.905,PSYCHOL BULL,14,0,0,0,1,0,0,0,1,0,1,11
25,1.344,COMPUT HUM BEHAV,13,3,2,0,0,3,0,2,0,1,0,2
26,3.382,CHILD DEV,12,0,0,0,0,1,0,0,0,0,1,10
27,1.022,DISCOURSE PROCESS,12,0,0,1,0,0,1,1,0,0,3,6
28,5.594,J EXP PSYCHOL GEN,12,0,0,0,0,2,0,1,0,1,0,8
29,1.148,READ RES QUART,12,0,0,0,0,0,0,0,0,0,0,12
30,4.026,COGNITIVE PSYCHOL,11,0,0,0,0,0,0,1,0,0,0,10
31,1.930,AM EDUC RES J,10,0,0,0,0,0,0,0,1,0,1,8
32,1.113,HUM FACTORS,10,0,0,0,0,1,0,0,1,0,4,4
33, ,INT J ED RES,10,0,0,0,1,2,1,0,0,1,4,1
34,0.931,J EXP EDUC,10,0,0,0,1,0,3,0,2,1,0,3
35,0.936,SCI EDUC,10,0,0,1,2,0,2,0,2,0,1,2
36, ,ACAD MED,9,0,0,0,1,0,0,0,2,1,1,4
37,1.257,APPL COGNITIVE PSYCH,9,0,3,0,1,1,0,0,0,1,0,3
38,1.477,J LEARN DISABIL-US,9,0,0,1,1,0,0,2,1,1,0,3
39,13.400,ANNU REV PSYCHOL,8,0,1,0,1,0,0,0,0,0,1,5
40, ,EDUC RESEARCHER,8,0,0,0,0,0,0,0,0,1,1,6
41, ,EDUC TECHNOL,8,0,1,2,0,0,0,0,0,0,0,5
42,1.231,LEARN INDIVID DIFFER,8,0,0,1,0,0,0,0,1,1,0,5
43,0.142,EDUC LEADERSHIP,7,0,0,0,0,0,3,1,0,0,0,3
44, ,ANNU M AM EDUC RES,6,0,0,0,0,1,0,1,2,0,0,2
45,1.538,BRIT J PSYCHOL,6,0,1,0,0,0,0,0,1,0,0,4
46, ,CONTEMP EDUC PSYC,6,0,1,0,0,0,0,0,0,0,0,5
47,3.038,DEV PSYCHOL,6,0,0,0,1,0,0,0,0,0,0,5
48, ,HANDB EDUC PSYCHOL,6,0,3,0,0,0,0,0,0,0,0,3
49,1.364,INT J HUM-COMPUT ST,6,0,0,0,0,2,1,1,0,1,0,1
50,1.810,J EXP PSYCHOL-APPL,6,0,0,1,0,0,1,2,0,0,0,2
51,1.604,MEM COGNITION,6,0,0,0,0,0,1,2,0,0,0,3
52,2.580,PERS SOC PSYCHOL B,6,0,0,0,0,0,0,0,0,0,3,3
53,2.449,Q J EXP PSYCHOL-A,6,0,0,0,0,0,1,2,0,0,0,3
54, ,READ WRIT,6,0,0,0,0,0,0,1,2,0,0,3
55, ,ADV MOTIVATION ACHIE,5,0,0,1,0,0,0,0,0,0,0,4
