Citing Journal Data,,,,,,,,,,,,,,
,Impact Factor,Cited Journal,All Yrs,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,Rest
1, ,ALL Journals,4015,11,104,197,225,250,242,245,243,227,200,2071
2, ,ALL OTHERS (1121),1121,4,27,58,56,77,75,54,65,53,54,598
3,2.353,J EDUC PSYCHOL,383,1,10,20,27,31,20,26,18,27,18,185
4,4.505,J PERS SOC PSYCHOL,119,0,4,5,4,5,3,9,6,8,2,73
5,3.382,CHILD DEV,92,0,4,2,4,6,3,8,1,11,2,51
6,1.487,CONTEMP EDUC PSYCHOL,62,0,0,4,2,4,2,6,10,5,6,23
7,1.148,READ RES QUART,61,0,0,0,0,1,0,1,3,1,1,54
8,3.038,DEV PSYCHOL,55,0,1,5,3,7,1,2,2,0,4,30
9,1.930,AM EDUC RES J,48,0,1,0,1,3,1,3,3,0,4,32
10,10.905,PSYCHOL BULL,47,0,3,5,1,1,1,1,0,1,0,34
11,2.600,REV EDUC RES,43,0,1,0,7,1,0,0,3,1,3,27
12,2.231,EDUC PSYCHOL-US,42,0,2,2,0,1,3,5,3,5,5,16
13,1.062,ELEM SCHOOL J,35,0,0,3,4,4,2,2,3,1,3,13
14,6.967,AM PSYCHOL,34,0,0,1,6,0,0,1,5,0,3,18
15,1.563,J EXP CHILD PSYCHOL,34,0,0,0,1,1,1,3,1,2,6,19
16,0.548,J EDUC RES,32,0,1,2,2,1,0,2,0,1,2,21
17,7.803,PSYCHOL REV,29,0,0,0,0,1,0,0,0,0,0,28
18,1.516,EDUC PSYCHOL REV,28,0,1,1,1,5,3,7,0,0,2,8
19,0.962,J SCHOOL PSYCHOL,25,0,1,5,0,0,2,2,7,2,0,6
20,1.029,LEARN INSTR,25,0,0,3,2,3,3,2,2,3,1,6
21,2.676,SCI STUD READ,25,0,0,3,3,0,4,3,5,3,1,3
22,3.051,STRUCT EQU MODELING,25,0,1,0,2,1,2,3,0,7,0,9
23,1.024,BRIT J EDUC PSYCHOL,24,0,2,1,1,1,5,3,1,2,0,8
24,0.589,TEACH TEACH EDUC,24,0,0,1,2,0,1,3,2,1,0,14
25,1.519,COGNITION INSTRUCT,23,0,0,0,0,0,2,0,2,0,1,18
26, ,HANDB READING RES,21,0,0,0,0,0,0,0,8,0,0,13
27, ,READ WRIT,20,0,0,1,0,0,0,4,2,1,0,12
28,1.477,J LEARN DISABIL-US,19,0,0,0,3,0,2,1,1,0,1,11
29,2.580,PERS SOC PSYCHOL B,19,0,1,2,2,3,1,2,3,0,2,3
30,3.047,J APPL PSYCHOL,18,0,1,0,2,2,1,2,0,0,1,9
31,0.931,J EXP EDUC,18,0,0,0,0,3,2,0,1,2,1,9
32,4.432,J CHILD PSYCHOL PSYC,16,0,0,1,1,0,1,0,0,1,1,11
33, ,J READING BEHAV,16,0,0,0,0,0,0,0,0,0,0,16
34,0.697,J RES MATH EDUC,16,1,0,2,2,0,0,1,0,2,1,7
35,4.251,PSYCHOL SCI,16,0,2,2,2,1,0,3,3,1,1,1
36,2.619,J ABNORM CHILD PSYCH,15,0,0,0,0,0,1,1,3,2,1,7
37,2.058,J EXP SOC PSYCHOL,15,0,0,0,1,3,4,0,3,4,0,0
38,3.500,PSYCHOL METHODS,15,0,0,1,0,0,10,0,0,1,1,2
39,1.022,DISCOURSE PROCESS,14,0,0,1,2,0,1,4,0,1,0,5
40,4.214,J CONSULT CLIN PSYCH,14,0,0,0,0,1,3,0,0,0,3,7
41,2.566,J COUNS PSYCHOL,14,0,0,0,2,0,0,1,0,0,1,10
42,2.408,J EXP PSYCHOL LEARN,14,0,0,0,1,0,0,0,0,0,0,13
43,2.331,J PERS,14,0,1,0,1,2,1,2,0,1,0,6
44,1.231,LEARN INDIVID DIFFER,13,0,0,3,0,0,0,0,0,2,1,7
45,1.580,APPL PSYCHOLINGUIST,12,0,0,0,1,2,3,1,1,2,0,2
46,1.604,MEM COGNITION,12,0,0,0,0,0,2,0,3,0,1,6
47,1.290,SOCIOL EDUC,12,0,0,0,2,0,1,0,0,1,0,8
48,2.179,COGNITIVE SCI,11,0,0,0,0,0,0,0,0,0,1,10
49,4.655,J AM ACAD CHILD PSY,11,0,0,0,0,0,0,1,0,3,2,5
50,1.055,J APPL DEV PSYCHOL,11,0,0,1,0,1,1,1,1,1,1,4
51,5.594,J EXP PSYCHOL GEN,11,0,0,0,1,1,1,3,0,0,1,4
52,2.474,J MEM LANG,11,0,0,0,0,0,1,1,0,0,1,8
53,1.340,J RES READ,11,0,0,1,1,1,1,2,0,1,0,4
54,0.370,LEARN DISABILITY Q,11,0,0,0,0,0,0,1,0,3,0,7
55,1.619,MULTIVAR BEHAV RES,11,0,0,0,2,0,1,4,0,0,0,4
56,13.400,ANNU REV PSYCHOL,10,1,1,1,1,1,2,0,2,1,0,0
57,1.154,J EARLY ADOLESCENCE,10,0,0,0,0,2,1,0,0,0,0,7
58, ,J VERB LEARN VERB BE,10,0,0,0,0,0,0,0,0,0,0,10
59, ,SCHOOL PSYCHOL REV,10,0,0,0,3,0,0,1,0,1,0,5
60, ,STAT POWER ANAL BEHA,10,0,0,0,0,0,0,0,0,0,0,10
61,6.667,ADV EXP SOC PSYCHOL,9,0,0,0,0,0,1,0,0,0,0,8
62,0.831,EDUC PSYCHOL MEAS,9,0,0,1,1,0,2,0,0,0,0,5
63, ,HANDB CHILD PSYCHOL,9,0,1,0,0,0,0,0,0,0,6,2
64,4.374,DEV PSYCHOPATHOL,8,0,0,0,0,1,1,0,0,0,2,4
65,2.032,DEV REV,8,0,0,0,0,0,0,1,1,0,1,5
66, ,EDUC RESEARCHER,8,0,0,1,1,1,0,0,1,0,0,4
67,1.571,J LEARN SCI,8,0,0,1,0,2,1,1,0,0,2,1
68, ,J RES DEV EDUC,8,0,0,0,0,0,0,0,0,1,1,6
69,0.611,MOTIV EMOTION,8,0,2,0,0,0,0,1,1,0,0,4
70,0.767,PSYCHOMETRIKA,8,0,0,0,0,0,0,0,0,0,0,8
71,0.699,RES HIGH EDUC,8,0,0,0,0,0,0,1,0,0,0,7
72, ,SCIENCE,8,1,1,0,0,0,0,0,0,0,0,6
73,3.831,COGNITION,7,0,0,0,1,0,0,0,0,0,0,6
74, ,HANDB EDUC PSYCHOL,7,0,3,0,0,0,0,0,0,0,0,4
75, ,HIERARCHICAL LINEAR,7,0,0,0,0,0,7,0,0,0,0,0
76,1.148,J RES SCI TEACH,7,0,0,0,0,0,0,0,1,0,0,6
77,0.417,LANG LEARN,7,0,0,1,0,2,0,1,0,0,1,2
78, ,LEARNS CASES RES BAS,7,0,0,0,0,0,0,0,0,7,0,0
79, ,MULTIPLE REGRESSION,7,0,0,0,0,0,0,0,0,0,0,7
80,0.600,REV RES EDUC,7,0,0,0,0,0,0,0,0,1,1,5
81,0.652,SEX ROLES,7,0,1,0,1,0,3,1,0,0,0,1
82, ,ADV MOTIVATION ACHIE,6,0,0,0,0,0,0,0,0,0,0,6
83,1.000,AM J COMMUN PSYCHOL,6,0,0,0,0,0,0,0,0,1,0,5
84,0.588,ANXIETY STRESS COPIN,6,0,0,0,3,0,0,0,1,0,0,2
85, ,BLACK WHITE TEST SCO,6,0,0,1,0,0,0,0,0,0,5,0
86, ,DISSERT ABSTR,6,0,0,0,0,0,0,1,1,0,1,3
87, ,EARLY EDUC DEV,6,0,0,0,0,2,1,0,1,0,0,2
88, ,HANDB RES TEACHING,6,0,0,0,0,0,1,2,0,0,0,3
89, ,HANDB WRITING RES,6,0,5,1,0,0,0,0,0,0,0,0
90, ,HDB SELF DETERMINATI,6,0,0,0,0,0,6,0,0,0,0,0
91, ,INT J ED RES,6,0,0,0,0,2,0,0,0,1,0,3
92, ,INTRINSIC EXTRINSIC,6,0,0,0,0,0,0,0,6,0,0,0
93, ,ISSUES EDUC,6,0,0,0,0,0,1,3,0,0,0,2
94, ,J CLIN CHILD PSYCHOL,6,0,0,0,0,0,0,1,1,2,0,2
95, ,J EDUC COMPUT RES,6,0,0,0,1,0,0,0,2,1,1,1
96,1.211,J RES ADOLESCENCE,6,1,0,0,0,0,0,1,1,0,1,2
97,1.024,J SPEC EDUC,6,0,0,1,0,0,1,0,0,0,0,4
98,2.148,J VOCAT BEHAV,6,0,0,0,0,3,0,0,0,1,0,2
99, ,LEARN DISABILITIE,6,0,0,0,2,1,0,1,0,1,0,1
100, ,PRINCIPLES PRACTICE,6,0,0,2,0,0,0,0,0,0,4,0
101,0.353,PSYCHOL REP,6,0,0,0,0,0,0,1,1,1,0,3
102,0.543,PSYCHOL SCHOOLS,6,0,0,0,0,0,0,1,0,0,0,5
103, ,SOC PSYCHOL ED,6,0,0,0,3,0,0,2,0,0,0,1
104,0.947,SOCIOL METHODOL,6,0,0,0,0,0,0,0,0,0,0,6
105,0.497,TEACH COLL REC,6,0,0,0,0,1,0,2,0,0,1,2
106, ,UNDERSTANDING PREVEN,6,0,0,0,0,0,0,0,0,6,0,0
107,0.362,URBAN EDUC,6,0,0,0,1,3,0,0,0,1,0,1
108,1.118,ANN DYSLEXIA,5,0,0,0,0,2,0,0,3,0,0,0
109,2.953,BEHAV GENET,5,0,0,0,0,1,0,1,0,0,0,3
110, ,CAMBRIDGE HDB MULTIM,5,0,0,5,0,0,0,0,0,0,0,0
111,4.026,COGNITIVE PSYCHOL,5,0,0,0,0,0,0,0,0,0,0,5
112,2.922,DEV NEUROPSYCHOL,5,0,3,0,0,0,0,0,0,0,0,2
113,1.265,DYSLEXIA,5,0,0,0,1,0,0,1,3,0,0,0
114, ,EDUC PSYCHOL-UK,5,0,1,1,0,0,0,0,2,1,0,0
115, ,INTELLECTUAL TALENT,5,0,0,0,0,0,0,0,0,0,0,5
116, ,INTRINSIC MOTIVATION,5,0,0,0,0,0,0,0,0,0,0,5
117,0.657,J APPL SOC PSYCHOL,5,0,0,1,2,0,0,0,0,0,1,1
118,2.555,J CLIN CHILD ADOLESC,5,0,0,2,0,2,1,0,0,0,0,0
119,0.935,J COMMUNITY PSYCHOL,5,0,0,0,0,0,1,0,0,1,0,3
120,0.824,MERRILL PALMER QUART,5,0,0,0,0,0,0,0,0,1,0,4
121, ,NCES PUBL,5,0,1,1,1,0,2,0,0,0,0,0
122, ,PSYCHOL INQ,5,0,0,0,0,0,0,0,4,0,0,1
123,2.400,PSYCHOL PUBLIC POL L,5,0,0,0,0,0,0,0,1,0,0,4
124,0.500,REM SPEC EDUC,5,0,0,0,0,0,0,1,1,1,0,2
125,0.548,RES TEACH ENGL,5,0,0,0,0,0,0,0,0,0,1,4
126, ,ANNU M AM EDUC RES,4,0,0,1,0,0,0,0,0,0,0,3
127,1.178,APPL LINGUIST,4,0,0,0,0,0,0,0,1,0,0,3
128, ,APPL MULTIPLE REGRES,4,0,0,0,0,2,0,0,0,0,0,2
129,17.462,BEHAV BRAIN SCI,4,0,0,0,1,0,0,0,0,0,0,3
130,2.750,CURR DIR PSYCHOL SCI,4,0,0,1,2,0,1,0,0,0,0,0
131,0.632,EARLY CHILD RES Q,4,0,0,0,0,1,0,0,3,0,0,0
132,0.500,EUR J PSYCHOL EDUC,4,0,0,0,0,0,0,1,0,0,0,3
133,1.570,EUR J SOC PSYCHOL,4,0,1,0,0,1,0,2,0,0,0,0
134,2.528,EXCEPT CHILDREN,4,0,0,2,0,0,0,0,0,0,0,2
135, ,HDB DISCOURSE PROCES,4,0,0,0,0,4,0,0,0,0,0,0
136,1.077,HUM DEV,4,0,1,0,0,0,0,0,1,0,0,2
137,1.921,HUM PERFORM,4,0,0,0,0,4,0,0,0,0,0,0
138,0.795,INSTR SCI,4,0,0,0,0,0,0,0,0,1,0,3
139,1.171,INT J BEHAV DEV,4,0,0,2,0,0,0,0,0,0,0,2
140,2.986,INTELLIGENCE,4,0,0,1,0,0,0,0,0,0,0,3
141,1.240,J ADOLESCENT RES,4,0,0,0,2,1,0,0,0,1,0,0
142,2.580,J EXP PSYCHOL HUMAN,4,0,0,1,0,0,0,0,0,0,0,3
143,1.719,J SPORT EXERCISE PSY,4,0,0,0,1,2,0,1,0,0,0,0
144,0.560,J TEACH EDUC,4,0,0,0,0,0,0,0,0,0,0,4
145,0.915,J YOUTH ADOLESCENCE,4,0,0,0,0,0,2,0,2,0,0,0
146,0.793,MOD LANG J,4,0,0,0,0,0,0,0,0,1,0,3
147,3.000,MONOGR SOC RES CHILD,4,0,0,0,0,0,0,1,1,0,2,0
148, ,MPLUS USERS GUIDE,4,0,1,1,2,0,0,0,0,0,0,0
149,1.333,NEBR SYM MOTIV,4,0,0,0,0,0,0,0,0,0,0,4
150,0.253,PHI DELTA KAPPAN,4,0,0,0,0,0,0,2,0,0,0,2
151, ,READ RES INSTRUCT,4,0,0,0,0,0,0,0,0,0,1,3
152,0.320,READ TEACH,4,0,0,0,0,0,1,0,0,0,0,3
153, ,READING WRITING Q,4,0,0,0,1,0,0,0,0,0,1,2
154,0.488,SCHOOL PSYCHOL QUART,4,0,0,0,0,0,1,1,0,0,0,2
